milliseconds,m,h,c
0,3.650135953553922e-08,1.0999491320174455e-05,0.02299478259580578
100,3.649761802936557e-08,1.1001316141043867e-05,0.02298961694791932
200,3.6490401877214184e-08,1.1003745729555897e-05,0.02298708920832191
300,3.64834735946988e-08,1.1004036448533531e-05,0.022974399108623082
400,3.6483403567935905e-08,1.1005845868428187e-05,0.02296931084715067
500,3.647724134731248e-08,1.1006839191660616e-05,0.0229632579453651
600,3.6469487456551765e-08,1.1009524808082919e-05,0.02295587458810583
700,3.646893937620196e-08,1.1011429496474928e-05,0.022947797892310155
800,3.64588219672183e-08,1.1011596508070882e-05,0.022935459929419692
900,3.645888090745809e-08,1.10143610471399e-05,0.022924575181549504
1000,3.6451398382294094e-08,1.1015423390058327e-05,0.022916828791646922
1100,3.6449392215559195e-08,1.10163801713201e-05,0.02291031266221324
1200,3.643895053128474e-08,1.1019085497280241e-05,0.022912313131463583
1300,3.6437301479016154e-08,1.1018804561299713e-05,0.022904794715683355
1400,3.6433712932131675e-08,1.1021341938407685e-05,0.022887922933299394
1500,3.642513373619436e-08,1.1022305656368816e-05,0.022884398518366513
1600,3.642394639547193e-08,1.1024064894511372e-05,0.0228803039176488
1700,3.641528839326901e-08,1.1025236914890934e-05,0.02287297282083284
1800,3.6409872351589386e-08,1.1027103290627007e-05,0.02286065157913359
1900,3.640508923342076e-08,1.102989012319171e-05,0.02285649990570534
2000,3.640359441991657e-08,1.1031469848484477e-05,0.02283999904021537
2100,3.6395944530603255e-08,1.1031564358911154e-05,0.02284198117988188
2200,3.639367037980681e-08,1.1033002413164298e-05,0.02282813493779728
2300,3.638354771866927e-08,1.103506663140072e-05,0.02282009174146243
2400,3.637855499634937e-08,1.1035883373984498e-05,0.022812912526706582
2500,3.6374870915119386e-08,1.1037057621543966e-05,0.022810154813135648
2600,3.637245637495409e-08,1.1038380666840306e-05,0.022796562146965856
2700,3.637012412011499e-08,1.1040807361332792e-05,0.022791225283116563
2800,3.636497305654821e-08,1.1041594497385634e-05,0.02278320704168464
2900,3.635606494683399e-08,1.1043161755601722e-05,0.02277658322930205
3000,3.634934853116488e-08,1.1044541516116424e-05,0.02276778837350528
3100,3.634549397932274e-08,1.1046154518265708e-05,0.022755246424860206
3200,3.634365068727494e-08,1.104865847527812e-05,0.02275188428604365
3300,3.634120773874727e-08,1.1049386177212711e-05,0.022750209309692435
3400,3.6335541708077236e-08,1.10505576082152e-05,0.02273685179379536
3500,3.6331528530859846e-08,1.1053601057365482e-05,0.02272645248491928
3600,3.6326471606097216e-08,1.1055209584829623e-05,0.02272324515763123
3700,3.631858170227134e-08,1.105491013391695e-05,0.022713377851235034
3800,3.631331062674997e-08,1.1057480472563985e-05,0.0227111334153406
3900,3.63056721695911e-08,1.1058957013586538e-05,0.022696582799101417
4000,3.630631768102012e-08,1.1060883859768978e-05,0.022695341489408796
4100,3.6297501749272516e-08,1.1062708053029985e-05,0.02268917855630705
4200,3.629554541657915e-08,1.106293167680674e-05,0.022680892758064113
4300,3.629071000101787e-08,1.1065126515090831e-05,0.022668426999544185
4400,3.628292752611348e-08,1.1065981830255525e-05,0.02265918403216286
4500,3.6275412889068093e-08,1.1068978593867557e-05,0.02265555230607014
4600,3.6271932321800185e-08,1.1069528411625432e-05,0.022641659708067217
4700,3.626566551327986e-08,1.1070699329041722e-05,0.022634344703027318
4800,3.6263608442530604e-08,1.1072431499632786e-05,0.022635089286855946
4900,3.625768498070942e-08,1.1073231122933946e-05,0.022627213401088534
5000,3.625649015002863e-08,1.1074828027702376e-05,0.022609929566324155
