miliseconds,m,h,c
0,3.6501608991836895e-08,1.1000833471019726e-05,0.023003028408628848
100,3.64938281623748e-08,1.1001618270057765e-05,0.02299017873150658
200,3.648897934724906e-08,1.1002303495313481e-05,0.02298815335207186
300,3.6483283100739796e-08,1.1004688201005859e-05,0.02297492831341109
400,3.647733661486564e-08,1.1006395419217124e-05,0.022969168619397712
500,3.647298793527673e-08,1.100777225191335e-05,0.022964239328668073
600,3.647369665683252e-08,1.1008812696287115e-05,0.02295124172228609
700,3.6467471862420154e-08,1.1011372550742748e-05,0.022950205986386647
800,3.6458957918583434e-08,1.1011418183585975e-05,0.022942395832668563
900,3.645578150865127e-08,1.1014396170583769e-05,0.02293182823237471
1000,3.645247704437782e-08,1.1014830231150528e-05,0.0229244950193011
1100,3.6444735761227575e-08,1.1017842728624432e-05,0.022919526062467752
1200,3.64411595162332e-08,1.1018795921305392e-05,0.02290874947066825
1300,3.6432713096512447e-08,1.1019698285098285e-05,0.022898556607368385
1400,3.643267827769993e-08,1.1021912331606712e-05,0.022889446474679283
1500,3.6426052778417265e-08,1.102329504494979e-05,0.022878132877034024
1600,3.6419604204267326e-08,1.1024073052791177e-05,0.02287293191205431
1700,3.6418314379218824e-08,1.1025493727919736e-05,0.022869939245337482
1800,3.6411226248043944e-08,1.1028210056170503e-05,0.02285673024150106
1900,3.640482065332849e-08,1.1028088431313204e-05,0.022856330135359967
2000,3.640297069687239e-08,1.1030854211870949e-05,0.022846741219923083
2100,3.63935142158728e-08,1.1031005009362962e-05,0.022839292825925
2200,3.6391937328977686e-08,1.1034191508863036e-05,0.022828591521736483
2300,3.638965159955731e-08,1.1034601236725677e-05,0.022823883882686514
2400,3.638547430097747e-08,1.1036788688420403e-05,0.022816507089372415
2500,3.637614724015913e-08,1.1039044008075225e-05,0.022804504392897364
2600,3.6374733700172255e-08,1.1039896340258215e-05,0.02279641995209027
2700,3.6367482670694246e-08,1.1041176836275894e-05,0.022790748873700868
2800,3.63623020091724e-08,1.1042965485270724e-05,0.022779206680007952
2900,3.636015757138156e-08,1.104304409133278e-05,0.022777822377111324
3000,3.635028878442157e-08,1.1044771429319802e-05,0.022765014877136572
3100,3.6345016637096424e-08,1.1045875416894353e-05,0.022760302583569175
3200,3.634372859327626e-08,1.1047786256053638e-05,0.022747321457443095
3300,3.633420415784869e-08,1.1050746296674623e-05,0.022747127863151053
3400,3.633352598066973e-08,1.1051015785473792e-05,0.02273745631329453
3500,3.632718910796308e-08,1.1051924659706008e-05,0.02272672925451515
3600,3.632338744333781e-08,1.1055545648167266e-05,0.022716467176079558
3700,3.6321107408934685e-08,1.1055986053748744e-05,0.022718452362592716
3800,3.63116245172268e-08,1.1058527825103677e-05,0.022706983784963542
3900,3.631002424268842e-08,1.1057839326833432e-05,0.022697737099881005
4000,3.6300497591947047e-08,1.1060767276670272e-05,0.022697071456683725
4100,3.629911022104615e-08,1.1061684045928523e-05,0.02268588822886893
4200,3.62928631804133e-08,1.1064532529651072e-05,0.022679037798796643
4300,3.628543875307615e-08,1.1065241566617546e-05,0.022673890412317523
4400,3.628492026082829e-08,1.1067450273646486e-05,0.022663658480003575
4500,3.6277895101684636e-08,1.1068743839761219e-05,0.02265245252891571
4600,3.627762174925314e-08,1.1069177946257554e-05,0.0226443063030436
4700,3.627089892451486e-08,1.107016874302814e-05,0.02263260581952451
4800,3.626541215015552e-08,1.107284613567075e-05,0.022631640106606968
4900,3.6260309893090024e-08,1.1073761949611438e-05,0.022626147328376794
5000,3.625806752574381e-08,1.1075205625707626e-05,0.022619340228206886
