milliseconds,m,h,c
0,3.649818339778416e-08,1.0999175518128181e-05,0.022997056828644936
100,3.649664293170339e-08,1.1001615777916156e-05,0.022988120848735034
200,3.648844292757543e-08,1.1002703614488675e-05,0.022981896987475253
300,3.648779416610642e-08,1.1004561671136874e-05,0.022980657829626435
400,3.648096037895822e-08,1.1007045030300221e-05,0.022971816751416418
500,3.64780106835395e-08,1.1008056636876879e-05,0.022959065163938832
600,3.646780049086723e-08,1.1008593694695106e-05,0.02295608809056798
700,3.64645468098972e-08,1.1011652588383985e-05,0.02294542950201883
800,3.646054417799163e-08,1.1012668173881359e-05,0.022941579234278132
900,3.6454217099428866e-08,1.1013176294386618e-05,0.022928530945758897
1000,3.6448097966482345e-08,1.1015377317530687e-05,0.022922955983485416
1100,3.644369723964167e-08,1.1016930897642671e-05,0.022910512086313787
1200,3.643791865456081e-08,1.1018486355828209e-05,0.022910150014463213
1300,3.6433866156866377e-08,1.1020630487929222e-05,0.022901552167151087
1400,3.643108354197196e-08,1.102237086563672e-05,0.02288877527585742
1500,3.642364010067923e-08,1.1022918658930376e-05,0.022888092715331182
1600,3.6419314767294494e-08,1.1024428374674647e-05,0.022880981406112333
1700,3.6413985370507375e-08,1.102567690989268e-05,0.02287330473326562
1800,3.6413691941009005e-08,1.1028461391148408e-05,0.022861731039676904
1900,3.640606621113297e-08,1.1029239257881284e-05,0.022858289802715388
2000,3.640172003192851e-08,1.1029975891583771e-05,0.02285082942174836
2100,3.639781972823876e-08,1.1031516847146463e-05,0.022839164094572064
2200,3.639198344181596e-08,1.103411567126032e-05,0.02283445071896271
2300,3.638929835703678e-08,1.1035241129245589e-05,0.022821993433665692
2400,3.6384290337461675e-08,1.1035450998529787e-05,0.02281993625076387
2500,3.637749340396449e-08,1.1037485931915148e-05,0.022808159566120687
2600,3.6370366197524336e-08,1.1038852851555768e-05,0.022800171318786068
2700,3.636589097621458e-08,1.1039994026523446e-05,0.022794139236466553
2800,3.6363110798940006e-08,1.104290139668699e-05,0.02277867377835309
2900,3.635863842536851e-08,1.1043948639879999e-05,0.0227756837714864
3000,3.6350316756193044e-08,1.1044959078222118e-05,0.022767695847114956
3100,3.6348432359992034e-08,1.10466010685046e-05,0.022761917658407002
3200,3.633970953053484e-08,1.1048118468061661e-05,0.022752340047784297
3300,3.634128906848576e-08,1.1049263487424454e-05,0.02274734947064933
3400,3.63301276577314e-08,1.1050855407078759e-05,0.022734817723782177
3500,3.632926533963018e-08,1.1053957141056832e-05,0.02272978039427323
3600,3.6320535491006417e-08,1.1053816267541372e-05,0.022720086282874977
3700,3.6316101925597194e-08,1.1055812839360487e-05,0.02271330886889814
3800,3.6311831808726806e-08,1.10565709209349e-05,0.022706584567381394
3900,3.631015863243971e-08,1.1059601034342913e-05,0.022698022306318857
4000,3.630106758873569e-08,1.106104303529911e-05,0.022691866084037022
4100,3.6296286441830876e-08,1.1062620987077947e-05,0.022680128787475044
4200,3.629473927978452e-08,1.1063992658133852e-05,0.022675862192981712
4300,3.628786169172438e-08,1.1064402178468118e-05,0.02267081308449719
4400,3.62828487822447e-08,1.1065753855632073e-05,0.022665968154839646
4500,3.628258706511108e-08,1.106697519551839e-05,0.022656954183869843
4600,3.627183071054554e-08,1.106918294570647e-05,0.022643152206128656
4700,3.626789063950691e-08,1.1069939843196234e-05,0.022643413013623524
4800,3.62642766700242e-08,1.1073446333859854e-05,0.022633075686450795
4900,3.6256473238539684e-08,1.1073242524057386e-05,0.022625093904532188
5000,3.625797095181114e-08,1.1075612172301886e-05,0.022614291251708715
