miliseconds,m,h,c
0,3.650171775368066e-08,1.0999177910031024e-05,0.023000075427038327
100,3.649303339077415e-08,1.1000717494076095e-05,0.022994380029679126
200,3.6488274714298256e-08,1.1003837385020862e-05,0.022985456908075068
300,3.648684799864499e-08,1.1005603206783416e-05,0.02297978019216298
400,3.6478789016561176e-08,1.1005544720604505e-05,0.022966908070131048
500,3.6472893072684666e-08,1.1007567963952047e-05,0.02295954406671794
600,3.647049420378446e-08,1.1008733122748251e-05,0.022958069208662505
700,3.6466076827533304e-08,1.101041272878471e-05,0.022945872499192783
800,3.6462680088429066e-08,1.1012829477272945e-05,0.02293320634625805
900,3.645399353318746e-08,1.1014390174654948e-05,0.02293106847223646
1000,3.644837681337576e-08,1.1015124366781556e-05,0.022923568244465568
1100,3.644366951245933e-08,1.1015808768629781e-05,0.022912914478806272
1200,3.6441423490566154e-08,1.1018198751892294e-05,0.0229107512822398
1300,3.643466644882882e-08,1.1020500492092761e-05,0.022896921733065696
1400,3.6433517782001995e-08,1.10203289844494e-05,0.02289549861629278
1500,3.642663189912809e-08,1.1023036803643613e-05,0.022885078764162032
1600,3.642240270235337e-08,1.102403567792474e-05,0.02287484786395777
1700,3.64195352165823e-08,1.102608836600511e-05,0.02286982068047676
1800,3.6411731251457095e-08,1.1028195025974377e-05,0.02286302983577957
1900,3.640349628689178e-08,1.1029834356819582e-05,0.02285835867507029
2000,3.640387164491969e-08,1.103117868903654e-05,0.022839450364076485
2100,3.6398156819401346e-08,1.1032594553141678e-05,0.022837616461594178
2200,3.639266193338711e-08,1.1033084895721359e-05,0.02283415896312559
2300,3.638765501097677e-08,1.1035244094008608e-05,0.022827576104947928
2400,3.63854315459932e-08,1.1036242630038125e-05,0.022811714748018536
2500,3.637916329947387e-08,1.1038534404996224e-05,0.022806172414790132
2600,3.6374981716854045e-08,1.1039309563249404e-05,0.022802400699562537
2700,3.636663984008062e-08,1.1040458060077298e-05,0.02279168561916009
2800,3.635890172459552e-08,1.1042036098529353e-05,0.02278853095800036
2900,3.635681418351796e-08,1.1045025165432536e-05,0.02277977583665852
3000,3.6353088278746304e-08,1.104470005309928e-05,0.02277213462893856
3100,3.634457481841975e-08,1.1046072274327616e-05,0.022762910178239244
3200,3.634134122055854e-08,1.1049432701622685e-05,0.022753028813189954
3300,3.633571348940688e-08,1.1049737999959636e-05,0.022748912614689573
3400,3.633099630503223e-08,1.1052354383561164e-05,0.022736646821510293
3500,3.6330270170279174e-08,1.1053669588421602e-05,0.02272827611393839
3600,3.631986543570749e-08,1.1054548358431983e-05,0.02272079427654417
3700,3.631547677860059e-08,1.1056609879926538e-05,0.02271373555250397
3800,3.631310004195802e-08,1.1056982498332676e-05,0.02270843899859354
3900,3.630745821627825e-08,1.1059115212010781e-05,0.022703604555332484
4000,3.6305544994705295e-08,1.1060333790636552e-05,0.0226930319372994
4100,3.629812380351175e-08,1.1061039198369244e-05,0.022679035880295725
4200,3.6295984498444496e-08,1.1063181261219478e-05,0.022676869533054977
4300,3.628968763804438e-08,1.1064543507254013e-05,0.0226734598690909
4400,3.6280673819758636e-08,1.1067418457586615e-05,0.022662813766626443
4500,3.627869768572248e-08,1.1068287069301542e-05,0.022649989251353784
4600,3.6273043530846983e-08,1.1069077643369316e-05,0.02265030367204029
4700,3.626732281102859e-08,1.1070197245671928e-05,0.02263696170465956
4800,3.626289090955106e-08,1.107321682956402e-05,0.02262752543778011
4900,3.6260778013991335e-08,1.1074029787511971e-05,0.022627083023271967
5000,3.625132542785426e-08,1.1074866191759433e-05,0.022614493548227425
