miliseconds,IX,TF_VIIa_IX,TF_VIIa,IXa,TF_VIIa_X,X,Xa,VIII,Xa_VIII,VIIIa,IIa,IIa_VIII,VIIIa_IXa,VIIIa_IXa_X,V,Xa_V,Va,IIa_V,Va_Xa,II,Va_Xa_II,Fibrinogen,Fibrinogen_IIa,Fibrin,VIIIa_inact,IXa_inact,Xa_inact,IIa_inact,Xa_Xa_Inhibitor,Xa_Inhibitor,Va_Xa_Xa_Inhibitor,IIa_IIa_Inhibitor,IIa_Inhibitor
0,90.00006434791443,5.600989642212874e-06,0.004971505420326676,-4.141964721597822e-06,-3.728308676703807e-06,169.99991390951195,4.582666268010729e-05,0.7000008950075659,-1.2495319187594845e-06,2.3595452030280633e-08,-2.1804486003794185e-08,1.9383458549080472e-10,-2.1311083050696914e-12,-5.95138815718824e-12,20.00011227043607,-9.831164096840518e-05,1.6233756716652832e-07,-8.744612044835027e-09,2.334975005092107e-09,1399.9999999192212,2.798120308785564e-09,7899.999996736655,6.0958326493117295e-09,-2.72919202397572e-07,-1.076279217578018e-10,-2.553925995700048e-07,4.3766321186511193e-07,7.014690021258501e-10,0.0,0.0,0.0,0.0,0.0
100,89.99833103034375,0.0016202624360079929,0.0010176239683747537,8.210570782480546e-05,0.002377294420703203,169.9971989660666,0.0002162154072271469,0.7000005903976534,-8.180965717524962e-07,1.3105213286025728e-07,-3.959204971468763e-08,1.5740019709667422e-10,-3.141264084887764e-11,-1.711394048671865e-11,20.000036863631422,8.575720605441146e-05,-7.436688683321034e-06,6.820967470120495e-09,2.8217289839644864e-09,1400.000000082351,2.8589788772162336e-09,7900.000001910957,9.47879589902881e-09,-3.0338015406917953e-06,1.8076612127710568e-10,2.0194803009553524e-07,8.489555343166054e-07,-2.6080305481829714e-10,0.0,0.0,0.0,0.0,0.0
200,89.99797709826048,0.0019345733341504588,0.0008171024241175268,0.00011753480841823866,0.0022619465035577197,169.99734402760876,0.00046928092075833235,0.6999981469259317,3.0597111481467026e-06,-1.1051507177999664e-07,1.0129928015707848e-08,5.758396419104905e-11,-1.743424373354704e-11,1.1987219240359846e-11,19.999821141481743,9.801558117421752e-05,-7.264127733494522e-06,-1.0946184162877284e-08,2.9615504381887217e-09,1399.999999930419,7.568346940095463e-10,7900.000001210902,1.0036311004971565e-08,-8.478763580824561e-07,1.7248052064552342e-10,-1.470270438037877e-07,-1.312498700721263e-06,3.077642679489639e-10,0.0,0.0,0.0,0.0,0.0
300,89.99760507692426,0.0021075581487801248,0.0008009361690685433,0.00026878965024565725,0.002117690021822549,169.99708118833382,0.0006785715832900281,0.6999924205747801,4.944037975518976e-06,6.987384542291247e-08,1.2204290102960658e-09,-1.944814137857244e-10,-1.0391388968850433e-11,-1.612706280000646e-11,19.99971507105828,0.0002172954568786452,1.056858414350776e-05,1.3173088765062104e-09,-2.2075503020141943e-11,1399.9999999431827,-5.978945521003349e-10,7899.9999973393615,-2.6722537927204833e-08,-3.583799651604912e-07,-2.2434580904647712e-10,1.893665940261601e-08,2.4792262481803996e-06,-3.857794202904514e-10,0.0,0.0,0.0,0.0,0.0
400,89.99742174732705,0.002207963154273133,0.000781014856798907,0.00038451497596737834,0.0020069346615217334,169.99696008418303,0.0008657755025455547,0.6999907725155657,7.897942075417113e-06,4.973736434355876e-08,4.526449369629858e-08,-1.0874838059358372e-10,-5.18716547799351e-11,-5.599572364627327e-12,19.999634629699262,0.0002306282733504925,-3.85019752757448e-07,1.0723652832816441e-08,-4.3523650487904906e-10,1400.0000000009288,-3.440821429706337e-11,7900.0000009580535,-4.009082950089764e-08,2.8896681166217307e-06,-2.8401531919138564e-11,-9.395624121682119e-09,3.7790789274499653e-06,7.099851121327793e-10,0.0,0.0,0.0,0.0,0.0
500,89.99720659076974,0.002303856447627448,0.0007326969684741689,0.0004441188201413464,0.0019449251584209668,169.9965103760071,0.001006057678162269,0.699986529509926,1.2183305506359585e-05,9.75939982130298e-08,4.48732500273024e-08,1.343934539029698e-10,1.4434941076433225e-11,-1.513778452111674e-11,19.999423261725596,0.0005140293000897034,1.82154255016789e-06,-1.6902523727745452e-09,-1.968039273064348e-09,1400.0000000532862,2.725154094919891e-09,7900.000002666598,2.3985287978580418e-08,2.6858827072421e-06,-1.3518320945389652e-10,-4.893654870291255e-08,5.00975104368029e-06,2.253170459851898e-10,0.0,0.0,0.0,0.0,0.0
600,89.99707779016086,0.002344276155950042,0.0007541980293382612,0.000524651944034976,0.0019000782375493774,169.996374040873,0.0010761108514874493,0.6999821548125874,1.538242564661684e-05,4.103434052821358e-08,2.6640530347106127e-08,-1.0366228899825158e-10,-3.413418609016959e-11,3.3566463328120352e-12,19.99940362505628,0.0006626239736713118,8.074396245880093e-06,3.5504849771095867e-09,1.0011263785433716e-09,1399.9999999788322,-3.1013481786061436e-09,7900.000000653993,2.67098929058298e-08,2.9937404022372425e-08,-1.5807917020695724e-10,9.472649036136673e-08,6.356447883265309e-06,2.334413378462662e-10,0.0,0.0,0.0,0.0,0.0
700,89.9969591823098,0.0023799788700343896,0.0007170416946223401,0.0006690647499953357,0.0018626696324352497,169.99624189362825,0.0011301243219859912,0.6999780836310009,2.1511885813356864e-05,1.2066198784882715e-07,4.5051093081271e-09,1.419050170211075e-10,-3.6367216237303566e-11,-6.615572218080437e-12,19.999169501100518,0.0006971696719580902,2.04223052411488e-05,2.0418439945396083e-10,-2.6417478455798723e-09,1399.9999999161075,1.0999265302041548e-09,7899.999998592385,-1.7218551547102163e-08,7.095408254820254e-07,5.515416258249184e-11,5.247034542658894e-07,4.482996565683403e-06,2.488771681639078e-10,0.0,0.0,0.0,0.0,0.0
800,89.99688244951959,0.002419500392160039,0.0007372226683217079,0.0008197219624344274,0.0018477556745873209,169.99576901886115,0.0013392950711950847,0.6999770332441245,2.3788559899652934e-05,1.566393783163983e-07,1.2122309450181624e-08,1.1310303214418483e-10,-5.0840737754503756e-11,7.212032239410191e-12,19.999132364526442,0.0010177882165407618,1.7369350938696962e-05,1.1603259987004461e-08,3.0666290550001173e-10,1400.000000030967,1.6040087669428499e-09,7899.99999920166,2.0423036997813095e-08,4.086146741851802e-07,2.623378687841819e-10,3.4654634876305924e-07,6.211447102979786e-06,-3.180918534849158e-10,0.0,0.0,0.0,0.0,0.0
900,89.99672449737096,0.0024446574249269272,0.0007303854537454558,0.0008743460453958838,0.0018318095759724056,169.9954985697798,0.0014076210073192934,0.6999721580677737,2.8512559599184242e-05,2.4812076768698327e-07,-3.658447700935538e-08,1.237168306563053e-10,5.172822757840115e-11,9.465535008658253e-12,19.998807199717927,0.001173146052105632,1.837823194006601e-05,-1.9603701563350032e-09,-8.13298171711787e-10,1400.0000000789169,-4.75074895931611e-10,7900.000003133273,1.0916392228000683e-08,9.349251421106556e-07,2.4649829620911677e-10,7.656152584336364e-07,6.951231303560938e-06,5.206197029346258e-10,0.0,0.0,0.0,0.0,0.0
