miliseconds,IX,TF_VIIa_IX,TF_VIIa,IXa,TF_VIIa_X,X,Xa,VIII,Xa_VIII,VIIIa,IIa,IIa_VIII,VIIIa_IXa,VIIIa_IXa_X,V,Xa_V,Va,IIa_V,Va_Xa,II,Va_Xa_II,Fibrinogen,Fibrinogen_IIa,Fibrin,VIIIa_inact,IXa_inact,Xa_inact,IIa_inact,Xa_Xa_Inhibitor,Xa_Inhibitor,Va_Xa_Xa_Inhibitor,IIa_IIa_Inhibitor,IIa_Inhibitor
0,90.0000119508647,5.845479430338714e-06,0.0050274059299208855,1.0627729167134712e-05,1.235552101504767e-05,170.0000801878728,1.0090143809484835e-05,0.6999994942707738,-1.6026142062759227e-06,-3.569236977340207e-08,-4.906022780558955e-08,9.885487972507427e-11,3.96409675377933e-11,-1.7849727357349472e-12,19.999992651771585,5.7256384115836423e-05,-6.0165163843626614e-06,-8.114667245572985e-09,-1.9488523726427605e-09,1400.0000000138464,4.711158804859225e-10,7899.999998132857,-5.8232320042085334e-09,1.73676810253627e-06,4.475121047755693e-11,-3.5477676932624806e-07,-1.1126094890111573e-06,-4.99288662580377e-10,0.0,0.0,0.0,0.0,0.0
100,89.99827282810837,0.0016266798063026427,0.0010134856312568673,3.9031894873098535e-05,0.002366795481177578,169.99736317491906,0.0002569526768921022,0.7000001707923533,-6.982939473973295e-07,5.9543694439335226e-08,3.023595164349187e-08,-4.946474105046695e-11,5.444520751956827e-11,-9.840165942841321e-12,20.00000323337471,-3.0667637251384185e-05,3.427020601675411e-06,-5.051960332976064e-09,1.325136308665279e-10,1400.0000000939979,-2.4467594548061693e-09,7899.999999159437,-4.654891376658858e-08,1.8718793459726597e-06,2.353631885459269e-10,-1.483611885793238e-07,2.348449485432696e-06,-3.403365644083924e-11,0.0,0.0,0.0,0.0,0.0
200,89.9979124957871,0.001939595762411142,0.000805111637508584,0.0001399222103701832,0.0022519662730582373,169.99713829826203,0.0005380612839605072,0.6999977588032563,2.7402039821591324e-06,2.4406890386774503e-08,7.14558898621657e-09,7.920884903501406e-11,-8.633857294612121e-12,-1.5850577536709286e-11,19.9998103373942,3.705309664964982e-05,-4.4226528473421765e-06,-1.1219435700476627e-09,-2.278226733792924e-09,1399.9999999984882,-3.051084369636397e-09,7899.9999980598095,2.6253309441359328e-08,1.310851255722705e-06,-5.959575925013232e-11,1.4173122592516028e-07,2.0219258605649e-06,-2.600559657541952e-10,0.0,0.0,0.0,0.0,0.0
300,89.99772009643239,0.0021022358732123605,0.0007557450029150852,0.0002904044806923962,0.002104550261535264,169.99692500511932,0.0007037670841572529,0.6999951164938614,7.193257655987064e-06,1.0704533105508418e-08,3.361829228685957e-08,-8.883200935850827e-11,-3.2489305202065756e-11,-3.612565080646979e-12,19.999766885880874,0.00026899883173751,-5.571929978564419e-06,-1.0922818852745837e-08,-2.217255016718337e-09,1400.0000000305754,1.4462095925889694e-09,7899.999999543961,5.7807741033704696e-09,1.8946100711574774e-06,-2.2891771562653705e-10,-5.481709441026305e-08,-3.336428712552242e-07,-4.732674875378102e-11,0.0,0.0,0.0,0.0,0.0
400,89.99748553610614,0.002212221481397764,0.0007439765437014614,0.0002738106131818459,0.0020209327300852713,169.99684110242202,0.0008636660540079489,0.6999879933145278,1.0517737734677099e-05,-6.342400300833627e-08,-4.315305736920575e-08,1.2369782966219414e-10,-4.2216392392724277e-11,5.4955057062195054e-12,19.999678202268182,0.0002905289991690748,-2.9539214208839445e-06,6.04211248286989e-09,3.1327907017647614e-09,1400.0000000896382,5.976845150162618e-10,7899.999998401097,-4.578295354932874e-08,-2.113338700420754e-06,-6.856372222362261e-11,1.1140257977066625e-08,1.5945223676484292e-06,-8.107286117393544e-10,0.0,0.0,0.0,0.0,0.0
500,89.99727878875932,0.0022930299130265786,0.000739916200957693,0.00046889453820628133,0.0019464296407766578,169.99673672046643,0.0009693366145893274,0.6999876102598231,1.4633396485042098e-05,1.312661207960966e-07,-4.843661891872838e-08,1.6021745254128488e-10,4.9940675649179894e-11,-4.819016023055797e-12,19.99945523117456,0.00037398944422869726,3.1209379401627803e-06,9.670667843610475e-09,-3.284449743473107e-11,1400.0000001043188,-1.7052588515789956e-09,7899.999996901251,-3.257066422420059e-08,-2.2848729749562912e-06,5.967232852330964e-11,-5.767068728783801e-08,3.1247977628650945e-06,1.8304381042102708e-10,0.0,0.0,0.0,0.0,0.0
600,89.99705269327858,0.0023697426455694466,0.0007244320344766699,0.0005985455326218719,0.0019092613207812386,169.99634550011257,0.001081291853874706,0.6999814753300462,1.8119206242809235e-05,-3.788408872586613e-09,3.6077902144772035e-08,7.617173695388664e-11,1.2033788254501579e-11,-5.1055886595944036e-12,19.999293049662214,0.0007170041040794636,9.390483404561182e-06,7.86088302242281e-09,1.0641893790922294e-09,1399.9999999435302,-1.4927065974750052e-10,7900.000001336962,-3.1510557138627316e-08,7.090418288931324e-07,-6.645952481779111e-11,6.052102320973035e-08,5.28014486888176e-06,-2.233220979311573e-10,0.0,0.0,0.0,0.0,0.0
700,89.9969525820388,0.002380254060048379,0.000728891395984393,0.0006176199201857135,0.0018591678695335178,169.9960284282723,0.001197972189776851,0.699980117004317,2.2358429081493367e-05,8.507303185545747e-08,-2.462812007094302e-08,1.5022428526914757e-10,2.7126466648916967e-11,-2.0830308841166988e-12,19.999165315021575,0.0007038798083669457,2.5889978853390317e-06,1.1357311814814776e-08,1.653899738620933e-09,1400.0000000071675,-1.1774110543025136e-10,7899.999998349407,4.174106673114403e-08,-2.6243068250988243e-06,2.4501636466685356e-10,5.513494071489356e-07,6.206497557853909e-06,-3.826710809146152e-10,0.0,0.0,0.0,0.0,0.0
800,89.99686618164233,0.0024278265767802626,0.0007543236257734108,0.000827182036877195,0.0018523835807146081,169.99590702897336,0.0012210621532238342,0.6999760881889584,2.6960381432413743e-05,6.396431109259258e-08,4.6686354554251455e-08,-3.2513068182850135e-11,6.029850659407543e-13,6.081661900031009e-12,19.99912263700583,0.0008462933134084961,7.868371307674664e-06,-3.779557278308399e-09,5.194770214212381e-10,1399.999999921496,1.9254342347730287e-09,7899.999998689623,2.290699543668255e-08,4.0365632192311916e-07,8.442178858617116e-11,7.221344797852138e-07,4.805311597463703e-06,-1.6293520097702482e-10,0.0,0.0,0.0,0.0,0.0
900,89.99673353146189,0.0024393746085575665,0.0007501713332194417,0.000804919130499832,0.0018415212892539412,169.99567259333693,0.0014014634055080927,0.6999729878829309,2.8536493910350613e-05,1.8340764789858937e-07,1.556625719268188e-08,9.963783555370249e-11,-3.0014868364999857e-11,-6.6491697776753145e-12,19.998902037363315,0.0010383545904471066,2.2220881767559665e-05,-9.317145451864815e-09,-2.7075867484611326e-09,1399.999999991684,-7.594561002613241e-11,7899.999999186685,-6.7576125768473865e-09,-1.8182389854990713e-06,-8.137924803715111e-11,3.1041252253668836e-07,7.501619022337564e-06,4.5137373131321186e-10,0.0,0.0,0.0,0.0,0.0
