milliseconds,IX,TF_VIIa_IX,TF_VIIa,IXa,TF_VIIa_X,X,Xa,VIII,Xa_VIII,VIIIa,IIa,IIa_VIII,VIIIa_IXa,VIIIa_IXa_X,V,Xa_V,Va,IIa_V,Va_Xa,II,Va_Xa_II,Fibrinogen,Fibrinogen_IIa,Fibrin,VIIIa_inact,IXa_inact,Xa_inact,IIa_inact,Xa_Xa_Inhibitor,Xa_Inhibitor,Va_Xa_Xa_Inhibitor,IIa_IIa_Inhibitor,IIa_Inhibitor
0,90.00006564409074,-3.828394777706003e-06,0.0050128223213240794,-3.6080772240549136e-05,-7.534132258915034e-06,169.99989079534248,-4.173871285375071e-05,0.6999980602183096,-1.7064625342447808e-06,-7.285411132393552e-09,2.832981004526726e-08,3.976486760268376e-11,-6.897608152429475e-12,-1.3150170710762637e-11,19.999910939981863,-1.2715327983421898e-05,-4.8032737325834696e-06,-2.6525239792019463e-09,2.526009632492542e-09,1399.9999999042573,1.6463624713398907e-09,7900.00000142546,1.579323630203258e-08,4.987958408795942e-08,1.4610025011630459e-10,3.097278386082915e-07,5.048155431150546e-07,2.1678797584559454e-10,0.0,0.0,0.0,0.0,0.0
100,89.99835832613967,0.0016078388259147317,0.0010074203268339587,5.9842760698860674e-05,0.002366510113403887,169.9974236059269,0.0001833580917911476,0.6999992193874384,-3.963209804501385e-08,1.1551486431092452e-08,-1.4412810004270023e-08,-1.1449711929149482e-10,4.01479762056e-11,-1.1788865888032285e-11,20.00009430086779,-6.572060068268967e-05,1.0689899216826441e-05,-6.061341478325892e-09,2.9354966135975616e-09,1399.9999999037427,1.036489685599292e-09,7899.999998979971,1.2308206426224866e-08,-2.885095443371096e-06,-1.6132911360133128e-10,9.606007473797583e-08,2.29112491490801e-06,1.3829254305197902e-10,0.0,0.0,0.0,0.0,0.0
200,89.9980159758472,0.0019089441197270662,0.000815134974793486,0.00018288233841107243,0.002263253030850869,169.99723607439515,0.0005381156337347388,0.6999994173311608,2.579230046807182e-06,2.358762879912695e-08,-1.835148242584786e-08,-6.770374314532684e-11,1.78160311476212e-11,3.295730058690264e-12,19.9999596961177,0.0001442904439910922,7.941707688959697e-06,-4.70203844335543e-09,-2.734581515815422e-09,1400.000000011877,1.6239000938931197e-09,7900.000002014609,7.559573056062474e-09,-2.8542061073466965e-06,-1.8081824633526616e-10,1.0860981074886763e-07,-1.597881760286832e-06,-2.9625813430799526e-10,0.0,0.0,0.0,0.0,0.0
300,89.99772409219861,0.0021160428153477054,0.0007770333306940199,0.00028593602299001525,0.0021111429720497977,169.99717836236871,0.0006421771173769107,0.6999941269063913,7.615927222185696e-06,1.311582534033776e-07,1.1950849976830445e-08,-8.403956045645077e-11,3.533514741456484e-11,-1.6552545585223636e-11,19.99976563539525,0.00024264001982677197,1.0459706771591208e-05,5.740940118938594e-09,1.3857919590698615e-09,1399.999999935439,-1.443651929091291e-09,7900.000000147836,-3.3790645906722026e-08,-1.131191187544849e-06,2.0182237885467356e-10,3.869917308711667e-08,2.4666215276345607e-06,6.131661739949622e-10,0.0,0.0,0.0,0.0,0.0
400,89.99741819912752,0.0022222790058586536,0.0007663397302231132,0.0002982665555388405,0.00199781876376566,169.99663570108967,0.000779614756569427,0.6999905148364359,8.527683577901388e-06,-5.4907589624563094e-08,3.157599179841477e-08,-5.0992879644201363e-11,8.889986830026698e-12,3.0665373185652296e-12,19.99971479400242,0.0003125770294056872,1.2551042872444648e-05,1.093184409300372e-08,2.1339102996426756e-09,1400.000000109414,2.683121090379428e-09,7899.999999087454,1.2071664465424227e-08,1.5540636000108115e-06,1.8905155765045365e-10,1.5795376576256728e-08,2.511683489378212e-06,1.7830227296281842e-10,0.0,0.0,0.0,0.0,0.0
500,89.99734887286873,0.002309423256599502,0.0007263928171272227,0.000409623754724297,0.0019538304772416634,169.99642799556452,0.0009846463692352579,0.6999855840985352,1.388803313764406e-05,-1.3108440173239687e-08,-2.0001280834828857e-09,3.631853418518357e-12,2.4228479486118188e-11,-5.112397464905949e-12,19.99964203564598,0.0003681531369632005,-8.63928197847056e-06,1.0279726674850287e-08,-2.8132259224794803e-09,1399.9999999669326,3.086396383574546e-09,7899.999998218778,3.029683850462686e-08,8.31008452945781e-07,1.6309553518493005e-10,1.6978760451056002e-07,1.3820338247439663e-06,-1.6022723580418867e-10,0.0,0.0,0.0,0.0,0.0
600,89.99708767202524,0.0023586862493588747,0.0007530581850836176,0.0005758608498405051,0.0018878853514668677,169.99638859003338,0.0010281786700863198,0.6999837313797792,1.872367196930202e-05,1.1843585189881231e-07,4.85070761335697e-08,-1.7447945283389874e-10,-1.62161368607618e-11,-2.5980764914999426e-13,19.99937785116453,0.0006600745417875606,6.774298011371063e-06,-6.148949673685166e-09,5.5089618585229223e-11,1400.000000007536,1.3925000215151316e-09,7899.999999847351,-4.834809435381911e-08,1.8413865599832413e-06,1.9355617734548793e-11,-1.0266960501256087e-07,3.2632509835414712e-06,-2.6782254380108093e-10,0.0,0.0,0.0,0.0,0.0
700,89.9968771469134,0.00239396088142953,0.0007191701205703472,0.0006135460063254758,0.0018671465083300064,169.9961619500594,0.001189877796706705,0.6999797521921202,1.9233210893195363e-05,1.4239550539054768e-08,-4.33687436458575e-08,5.5588373896809384e-11,4.558282782659745e-11,3.668903855331433e-12,19.999272334590234,0.0008053472931894298,1.8831249616635213e-05,-6.540205131591649e-09,3.0727031132711035e-09,1399.9999999911217,-2.3647016853415618e-09,7900.000000269945,3.445425022949329e-08,2.341274014900587e-07,2.39319869282019e-10,5.589437381890533e-07,4.221088268774777e-06,6.51990500497781e-10,0.0,0.0,0.0,0.0,0.0
800,89.99674521986039,0.0024019192153643884,0.0007479259161691521,0.0007381995020417191,0.0018542774302377134,169.99583505524714,0.0012867881586457039,0.6999757962941018,2.2955221790340637e-05,1.6937760303474414e-07,-2.2070681498510793e-08,-5.3400461249005054e-11,3.0560500571984285e-11,-9.882310117617147e-12,19.999076802501587,0.0008136000898610162,1.2156559365528048e-05,-1.1545890586418475e-08,-2.7581558535156655e-09,1399.9999999126521,-2.96716729207111e-09,7899.9999976193485,-4.7393535828985654e-08,3.0440274814992235e-06,2.4076245646319284e-12,5.371976296782425e-07,5.195296216461799e-06,8.950704533430174e-10,0.0,0.0,0.0,0.0,0.0
900,89.99668268906504,0.0024508300789963097,0.0007092571702654446,0.0009253957641508813,0.001839877174837007,169.99551699576108,0.0013510171406594309,0.6999705805279398,3.0350560251455203e-05,3.513836666335342e-07,-4.1359380348623384e-08,1.9280783980191058e-10,9.769727301293654e-12,-1.5134216711464343e-11,19.998834490497337,0.0010320825125339046,8.989967671988718e-06,-8.786356282384497e-09,-1.628082791678428e-09,1399.999999884381,-4.5369906423693645e-10,7900.000001542572,1.428495007286565e-08,2.285103344053559e-06,1.4245494099930293e-10,6.788351042731618e-07,5.921231031496634e-06,5.186953068432871e-10,0.0,0.0,0.0,0.0,0.0
