miliseconds,IX,TF_VIIa_IX,TF_VIIa,IXa,TF_VIIa_X,X,Xa,VIII,Xa_VIII,VIIIa,IIa,IIa_VIII,VIIIa_IXa,VIIIa_IXa_X,V,Xa_V,Va,IIa_V,Va_Xa,II,Va_Xa_II,Fibrinogen,Fibrinogen_IIa,Fibrin,VIIIa_inact,IXa_inact,Xa_inact,IIa_inact,Xa_Xa_Inhibitor,Xa_Inhibitor,Va_Xa_Xa_Inhibitor,IIa_IIa_Inhibitor,IIa_Inhibitor
0,90.00003539875051,1.2707634691933102e-05,0.00501508180819478,7.1215761812002424e-06,-9.387025742207855e-06,169.9998949971193,-6.106509573199335e-05,0.700001029109972,-1.3803865161902397e-06,-1.1041803220971849e-07,3.015807279482277e-08,1.486362295475294e-10,3.9357413357768364e-13,-1.2808392606077378e-11,19.99995185091488,-7.506025878641519e-05,-8.361432759398812e-06,-7.46124616823084e-09,-2.1087020270235412e-09,1399.999999965892,1.6986903971478188e-09,7899.9999974107395,-1.4706883059382417e-08,4.6747551780053064e-08,1.1120786542190624e-10,-1.9338559345858037e-07,1.2724277535374192e-06,-5.609144681089478e-10,0.0,0.0,0.0,0.0,0.0
100,89.99829006457769,0.0015969169713450871,0.0010414019208989994,2.1934834373802848e-05,0.002361936763839579,169.99753182749583,0.00022440930731845517,0.6999978051451075,1.6537940411683583e-07,4.071958585448885e-08,-1.2441763024572798e-09,-9.818913242689145e-11,-3.228449696076593e-11,-1.3985114924754368e-11,20.00008377788494,0.0001353185009137094,-2.444136284038167e-06,6.745866316458595e-09,2.2828829492058487e-10,1399.9999999494275,2.6194166419291237e-09,7899.999998940718,-4.416945439867304e-08,-2.438575107996894e-06,-1.9280307844738387e-11,-2.57192726830044e-07,3.810611174351794e-07,-7.489295565031479e-11,0.0,0.0,0.0,0.0,0.0
200,89.99789953432158,0.0019113796219127387,0.0008162823006535205,0.00020308334746649506,0.002257859659350152,169.99700143351183,0.0005016829990895135,0.6999978993714009,9.431016138476375e-07,-2.741099700280304e-08,4.609637224592181e-08,1.4798527929468616e-10,-1.8307309708577485e-11,1.6360338101914852e-11,19.999823653033474,0.0001283897307397652,5.6938545511490336e-06,4.649295874787386e-09,1.4862609292155383e-09,1399.9999999239758,-1.574989183122196e-09,7900.000001897493,4.83300433845971e-08,1.6192690895112326e-06,-1.720344849589164e-10,1.5712715469843296e-07,1.4601311646350322e-06,8.069013089105191e-10,0.0,0.0,0.0,0.0,0.0
300,89.99763622487097,0.002092597799939988,0.0007833895546491486,0.0002680868503201284,0.0021054054384217974,169.99684431194058,0.0006793941494493668,0.6999956913405656,5.065049378796814e-06,-2.4506706325239676e-08,-1.9467364908764e-08,1.419691741002544e-10,-5.475475354006447e-11,-5.26800162110113e-12,19.999901474443647,0.0002959077299811681,4.769526001657715e-06,1.2294257941284715e-09,-8.147108686117277e-10,1399.9999998888934,-5.256002493602115e-10,7900.000002466735,-4.4247872111001285e-08,2.0320184648033606e-06,3.872415422224508e-11,3.720435377919871e-07,2.3123224262686133e-06,-2.3639857674364947e-10,0.0,0.0,0.0,0.0,0.0
400,89.9975244057819,0.002237789462379576,0.0007752079783814795,0.0003556162419760418,0.00201414236361519,169.99672970686137,0.0008440190327646214,0.6999920210790369,7.846685076432663e-06,1.4870597502366345e-07,-1.3622947483763188e-08,1.1280432536585804e-10,4.330500713930176e-11,4.282575748487787e-12,19.999578531879898,0.0003177848733757844,2.1330286232082904e-06,-9.702264823558284e-09,-2.5381187672480135e-09,1400.0000000080204,-1.1185677317835956e-09,7900.000001305479,2.55380674336744e-08,-2.2147046392396423e-06,-1.0872604357517574e-10,-3.5472665672515684e-08,1.401903422415264e-06,3.0938539853089754e-10,0.0,0.0,0.0,0.0,0.0
500,89.99720877899624,0.002301628002556228,0.0007821106242995276,0.0005189203528334602,0.0019498246836931665,169.9965521376249,0.0010312894553629096,0.6999858375210778,1.427020218128538e-05,-7.158743372199598e-08,-2.5271737717657077e-08,1.4571193537087813e-10,-8.125404613110551e-12,1.868267298830026e-12,19.99947180670557,0.0005359180154460342,1.2200516698492652e-05,-4.783590408852026e-09,-1.8200559949003773e-09,1399.9999999429695,1.7393167656333626e-09,7899.999998293296,-4.6347515249931934e-08,-6.244639972216883e-07,2.223105937455268e-10,2.1450157901342947e-07,4.373720892412451e-06,-8.782191439339182e-10,0.0,0.0,0.0,0.0,0.0
600,89.99717780597082,0.002343065870677059,0.0007287484651561682,0.0005898002196949861,0.0018893381201788623,169.99651307586876,0.0010918496699695846,0.6999845222437364,1.7181938878685338e-05,-1.014668957012561e-08,2.6288823145131384e-08,-3.826313713571623e-12,4.1029304805741266e-11,-3.827049215804761e-12,19.999479683900443,0.0006214747960958919,-1.0048261116593885e-06,6.2352934588832516e-09,-8.235148477920133e-10,1399.9999999061404,1.1891517838734406e-09,7899.999996963039,-4.115815896106781e-09,1.6230903851427686e-06,2.496370166350836e-10,2.2679048973925836e-07,5.935716666700937e-06,-4.0743141659194104e-10,0.0,0.0,0.0,0.0,0.0
700,89.99700509315949,0.0023842397430086336,0.0007523634523354144,0.0007317973738581661,0.001868763258088695,169.99600437797778,0.001241835003182961,0.6999794789607234,2.0103680836394875e-05,1.271572000897065e-07,-1.4204452526276813e-08,-2.8819360032565774e-11,-7.704008873011427e-12,1.2252878700590692e-11,19.99913788796161,0.0007188914961912321,1.3958984603164765e-05,1.0362970892596024e-08,-2.5490775754946483e-09,1399.9999999120653,2.4333315518369717e-09,7900.000000548672,2.6689629492488603e-08,1.3137226978899746e-06,-1.8933566459701613e-10,2.22564731821905e-07,3.7665525044509563e-06,-3.7223486366708403e-10,0.0,0.0,0.0,0.0,0.0
800,89.99676835922783,0.002400042409605302,0.0007257117878607536,0.00078592523817943,0.0018335626688568956,169.99584502505428,0.001301359586281292,0.699975164358603,2.6397151556439292e-05,3.1601593488004184e-07,2.9742103938135767e-08,6.295732965237163e-11,-3.226731075932405e-11,1.8405269540577727e-11,19.999164797550886,0.0008812486858594558,2.2418905388132855e-05,4.64557762095242e-09,2.1406567971357243e-09,1399.9999999293623,2.5499386548786496e-09,7899.999998971303,-3.646377673428008e-08,2.7908399342175593e-07,-1.6121546814201803e-10,5.608135222953491e-07,5.000270413338592e-06,-2.172921476241871e-10,0.0,0.0,0.0,0.0,0.0
900,89.99673170673655,0.002450055466363729,0.0007264964208799556,0.0008975309788722632,0.001839112412222648,169.99583404467703,0.0014128265734894144,0.6999730861091026,2.8151023071148777e-05,1.5426945357820093e-07,-3.1858158854836355e-08,1.7886011025594826e-10,-1.6911534702737306e-11,1.1503441556447511e-11,19.99892060753464,0.00099226015922408,7.1533880842414065e-06,3.2768721323812485e-09,1.0664087001438062e-09,1400.0000000327614,2.979653920698714e-10,7899.999998132703,2.0087088328785965e-08,3.5699991805817343e-07,5.021820263698282e-11,4.542657246050328e-07,7.51961801089079e-06,-3.2322567909712e-10,0.0,0.0,0.0,0.0,0.0
