miliseconds,IkBalpha,NFkB,IkBalpha_NFkB,IkBbeta,IkBbeta_NFkB,IkBeps,IkBeps_NFkB,IKK_IkBalpha,IKK_IkBalpha_NFkB,IKK,IKK_IkBbeta,IKK_IkBbeta_NFkB,IKK_IkBeps,IKK_IkBeps_NFkB,NFkB_nuc,IkBalpha_nuc,IkBalpha_nuc_NFkB_nuc,IkBbeta_nuc,IkBbeta_nuc_NFkB_nuc,IkBeps_nuc,IkBalpha_transcript,IkBbeta_transcript,IkBeps_transcript,IkBeps_nuc_NFkB_nuc,fr_after_trigger
0,0.09987228040072009,0.09968481266730272,-5.7208672430389384e-05,1.595826583769149e-07,-2.2655325153375235e-09,-2.2181990071148247e-07,-2.3964615176978728e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014189279487695832,5.081008440311619e-07,-2.0543011817975848e-05,-1.7707387660218617e-09,4.840843115324251e-09,-1.1891815926048479e-09,0.00026046402622645256,6.042422276319888e-07,2.3565587009804632e-07,1.0095548305154027e-10,0.5
100,0.08126584345193932,0.044261312809142916,0.018434505119150593,-4.1420702744018663e-07,1.0540803313491557e-09,-7.7104666313835e-08,-6.428554973143147e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03787544051122252,0.00015997284643688822,2.7105080276080156e-06,-4.168598556672847e-10,3.879440320619867e-09,4.2685103909768586e-10,-0.00019769299747554196,1.3617324639125528e-06,3.3660753068565394e-07,1.330425989921555e-09,0.5
200,0.07392430317356503,0.02121648253750937,0.025408594116764993,2.809009576319669e-07,5.763149571479406e-09,-8.152721673754719e-08,-6.569850993282767e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547751463079238,0.00026773231878194124,2.483540579008616e-05,-1.527297578073731e-09,1.0987302450727306e-09,-1.0306845386741148e-09,0.0004701987998780967,2.6086404506051905e-06,1.990690990584396e-06,2.448560016957502e-09,0.5
300,0.07071478440299087,0.009614368563250096,0.028654782311792058,-2.551849861251893e-07,3.7763357500790476e-09,2.649138572032823e-07,3.3997030829001774e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062438330077260594,0.0003408474685962207,9.022610129411459e-05,1.1504366420440337e-09,5.136767014376284e-11,5.989318080964225e-10,0.00048693522007638715,2.662445278811667e-06,2.7326446043526413e-06,1.3837379662818516e-09,0.5
400,0.0692532101820504,0.005428399699341998,0.030125879095810416,6.276135900915022e-07,9.943968680049818e-09,-1.5018689421827216e-07,4.698967307316147e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06624011844350705,0.0003913878615135283,0.00013031133199853905,-1.1528731697240966e-09,1.4452135667548408e-09,1.0701477863635206e-09,0.0010184750324107336,3.9407637947201485e-06,2.7272292269697746e-06,8.472637824724161e-10,0.5
500,0.06847148118608772,0.0026440621922635263,0.03066399358721225,5.85055026025396e-07,8.250903312938338e-09,4.6677925597094037e-07,4.782878477467752e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06802520684337596,0.0004354159667991859,0.0002342383156347114,-6.874872575198035e-10,-2.494279139874771e-10,1.373440597820915e-09,0.0011964657271229166,5.920472489747847e-06,3.434572840940015e-06,9.419341762924482e-11,0.5
600,0.06794984453965687,0.0017147705561739099,0.030852123634265358,4.037759212933207e-07,1.1196245651637298e-08,4.580450512977603e-07,7.88043192627019e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06890922101688389,0.0004588708205679601,0.00029638831149998935,5.085009949607197e-10,1.661640149045095e-09,2.1795983223541064e-10,0.0021741251355538588,6.751545437162084e-06,4.671909412614846e-06,1.3853169963981893e-09,0.5
700,0.06807609849946938,2.858267465595055e-05,0.031161750285200306,4.941511826117329e-07,1.545370284138904e-08,3.7227621962445973e-07,7.377494321221549e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06898002455321864,0.0004945358532438994,0.0003630085940853942,2.7295060312859634e-09,-4.3944082572012146e-10,1.936176061759676e-09,0.0024180414554292396,6.921282982909758e-06,4.973482361550005e-06,2.8689947942519235e-09,0.5
800,0.06773537545280199,0.0006114842134519352,0.0309365275769616,5.207399170759654e-07,1.5256577924631104e-08,6.56080405800594e-07,1.4284455630506373e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911683886965021,0.0005020737717381139,0.0004265191428043091,1.905273576259759e-09,-1.3281434928834676e-09,1.7935917891255503e-11,0.0027211260021103,8.233576985515253e-06,5.579624858732701e-06,1.9343451805988172e-09,0.5
900,0.06774145514272747,0.000686379554444571,0.031086680203972216,6.646927188495784e-07,1.9463561899209406e-08,8.071271757751155e-07,9.63173072880302e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06932931148567219,0.0005217261023317991,0.0005045383440022721,3.584048151941048e-09,3.2950380664511157e-09,4.836595657426877e-10,0.003114252737723826,8.944879727623498e-06,6.865776803803221e-06,-1.5947118497346373e-09,0.5
