miliseconds,IkBalpha,NFkB,IkBalpha_NFkB,IkBbeta,IkBbeta_NFkB,IkBeps,IkBeps_NFkB,IKK_IkBalpha,IKK_IkBalpha_NFkB,IKK,IKK_IkBbeta,IKK_IkBbeta_NFkB,IKK_IkBeps,IKK_IkBeps_NFkB,NFkB_nuc,IkBalpha_nuc,IkBalpha_nuc_NFkB_nuc,IkBbeta_nuc,IkBbeta_nuc_NFkB_nuc,IkBeps_nuc,IkBalpha_transcript,IkBbeta_transcript,IkBeps_transcript,IkBeps_nuc_NFkB_nuc,fr_after_trigger
0,0.10020705375248229,0.09963289801481288,1.7300182410241298e-06,3.777241621316439e-07,5.024527848545663e-10,-1.939611454764827e-07,2.441765502838449e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001147571935760374,6.221176842453884e-06,1.5577931085719785e-05,-1.0978539218483142e-09,-2.5780628405479843e-09,-1.4007302274008016e-10,1.8485632714924653e-05,-3.813338029022574e-07,-1.7474440958659845e-07,4.826736674619696e-10,0.5
100,0.08136044822862638,0.04443390133241237,0.01868124644056718,3.2265665312578586e-07,3.874690061891815e-09,-7.779088093840536e-08,2.1860560817133306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03839039645233964,0.00015687014693386246,-1.9718347258956187e-06,-2.1752811699896777e-11,-2.1336955135945248e-09,-9.78129958060236e-10,-5.948625449217994e-05,1.8238513101795115e-06,8.418931305029736e-07,4.629009753324215e-10,0.5
200,0.0739940699359586,0.020944546259144575,0.025621139299936604,-3.1368250679717116e-07,3.753162718329916e-09,-2.0518751055155487e-08,3.686604713665194e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05487862182132476,0.0002625403525635882,2.968703645616777e-05,-9.49647115943051e-10,-3.5301617304795867e-09,5.924930817081267e-10,0.00014639366783011557,1.5732725466291727e-06,1.100998106319061e-06,7.511275110295799e-10,0.5
300,0.07069036273999005,0.009287844495590069,0.02889901356146701,-2.339965753795962e-07,2.4845489488791667e-09,-1.9989999075523395e-08,3.748941673233268e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06276553523876878,0.00033557760977994815,8.522383345889727e-05,1.7225969335531109e-09,2.749914203051602e-09,-5.225807427172826e-12,0.0009210905950593882,3.353287108954679e-06,2.439867053112983e-06,-3.2817790855450653e-10,0.5
400,0.06940204733134299,0.004043106353094253,0.029866572912263117,6.607513657440255e-07,8.014859291759972e-09,1.7830546300771697e-07,8.265231471201913e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06620655755389494,0.0003882008750048203,0.00013254590665371665,-1.7264536981044362e-10,2.8110740198978945e-09,-8.305101416818065e-10,0.0009058002279607247,4.635490370630168e-06,3.4372276004514474e-06,2.2967636275333264e-09,0.5
500,0.06835321364454487,0.002846263711697585,0.03090615966791562,-2.3748021019823964e-08,1.0161737213820108e-08,1.579755459529411e-07,7.48535224433516e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06820961753275084,0.0004359413265707796,0.0002298569389124744,1.8320754553394293e-09,-4.0880551373381663e-10,1.0390824275989806e-11,0.0017651813823241044,5.602558160500542e-06,3.606009325880889e-06,-1.979071703209285e-10,0.5
600,0.06817991565991038,0.000881902187623551,0.03119874197900703,6.99162611581928e-07,1.5070882099989697e-08,2.3489988231291955e-07,1.0680960868918997e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06858882487111426,0.0004645840319117405,0.0002802712045751318,9.256599793112309e-10,-4.860209655497782e-09,2.6234918108141033e-10,0.0016697309963195467,5.624274072266397e-06,4.965921124242165e-06,-1.289652067932044e-09,0.5
700,0.06794932852189678,0.001405404579829887,0.0309374534064448,3.8951759283932443e-07,1.313382302958812e-08,5.772777367205634e-07,1.1194027063916393e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06913544924763815,0.00048348682049837176,0.00036685173295408595,-1.5122751141417566e-10,-1.2526542530820703e-09,-4.196894458410265e-10,0.002610960620514926,7.833364265957897e-06,5.3276048545302685e-06,2.4184858143631913e-09,0.5
800,0.06750456891835455,0.0011032130356626584,0.031331425559388656,1.2074962262360253e-06,1.45743298580652e-08,4.823948595878923e-07,1.1241417285649884e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06931115034882358,0.0005127560362911851,0.00040917090049560797,2.8622916090392512e-09,1.08161901146271e-09,1.3995532007608502e-09,0.0031945123605230654,8.325443073149702e-06,6.169094487420067e-06,2.2400015803856077e-09,0.5
900,0.06743951905023327,0.00047377308471645036,0.030988166562499992,9.447163560993975e-07,1.805271705039215e-08,9.998501741725654e-07,1.1502754714539964e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06893080357709756,0.0005241554833173314,0.000495915321323945,3.398100459685203e-10,6.882413241021171e-10,1.5116587334225264e-09,0.003447972871336199,9.820387118408948e-06,7.157664852310697e-06,1.654391350626652e-09,0.5
