milliseconds,IkBalpha,NFkB,IkBalpha_NFkB,IkBbeta,IkBbeta_NFkB,IkBeps,IkBeps_NFkB,IKK_IkBalpha,IKK_IkBalpha_NFkB,IKK,IKK_IkBbeta,IKK_IkBbeta_NFkB,IKK_IkBeps,IKK_IkBeps_NFkB,NFkB_nuc,IkBalpha_nuc,IkBalpha_nuc_NFkB_nuc,IkBbeta_nuc,IkBbeta_nuc_NFkB_nuc,IkBeps_nuc,IkBalpha_transcript,IkBbeta_transcript,IkBeps_transcript,IkBeps_nuc_NFkB_nuc,fr_after_trigger
0,0.09996272302249376,0.09937503386743944,9.517420529755345e-05,-1.8945863898769604e-07,-3.6029523306947557e-09,2.473396124143312e-07,3.2892013867953757e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014823341845982244,4.312524412037749e-06,-2.0147103375367398e-05,-1.406679745983374e-09,4.349132476545939e-09,9.455175982027192e-11,8.596487263261556e-05,-3.3438764453827186e-07,1.1028694199855572e-07,-1.8328558773022942e-10,0.5
100,0.08148587005601646,0.044693461455109766,0.018539923418221457,-1.395873529694868e-07,-1.5582092024572925e-09,-3.0517856525409243e-07,3.945156338671043e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03779623032138001,0.00015178125616338665,1.897413157352935e-05,-3.3587915911986593e-10,-2.3926513113083436e-09,-6.827531125236611e-10,7.729277390232054e-05,1.2713245336069365e-06,5.515179375670347e-07,-7.095472514651838e-10,0.5
200,0.07397330677462881,0.020020159866324015,0.025827908609276206,1.4817825818737793e-07,-1.392697601928632e-10,2.8707043133445087e-07,5.426266540697786e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055045791647334495,0.0002606595215691704,3.3939101534750566e-05,-1.394216231850186e-09,3.542814105323452e-09,-2.9528164291825727e-10,0.0002893673304764032,2.0575498945231827e-06,1.6474654307223e-06,8.467006612133763e-11,0.5
300,0.07070019048432456,0.010318933007413881,0.028949726170831958,3.3415537782135195e-07,2.4863859884139993e-09,-2.314024894693281e-07,7.180514147742066e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06193502584887228,0.0003404100524890061,6.357600797489765e-05,1.308494932261259e-09,2.1001124192868224e-09,1.1957293521521955e-09,0.00046529867953083075,2.6376447281681348e-06,2.149411042636657e-06,-2.3699430203079027e-09,0.5
400,0.06939289757984989,0.004630756881577583,0.030182235368745716,3.661956262442249e-07,1.27536601448996e-08,-1.7025463145174056e-08,2.969256120973855e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06581581341647308,0.00039486517885260937,0.00012543572806991268,2.0309217382301005e-10,3.9613241518620595e-09,-9.706123083000166e-10,0.0010563604722509982,4.483421923646469e-06,2.9315178057987316e-06,1.549482281419425e-09,0.5
500,0.068459640708709,0.002082230729109128,0.03084418149104655,7.130821815058723e-09,8.8411556324857e-09,3.390853684820345e-07,1.1463675894414013e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06742406866336689,0.00043596222041381895,0.00020515048588405372,1.3293658776811635e-09,-3.933306194252571e-09,-6.611328233545302e-10,0.00125617218659555,6.043577645684197e-06,3.386897302090738e-06,-2.2759379029787742e-09,0.5
600,0.06822412504999072,0.0013741472154625168,0.030951903462933462,1.4419225240249538e-07,1.6770004478067945e-08,4.839754363839708e-07,1.0337954941776554e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06900711861277485,0.000470386464544438,0.00029472912927930756,1.4910070886082302e-09,4.788663636513151e-09,-9.337944431018426e-11,0.0017291557614174616,6.704361619050524e-06,4.421747945796586e-06,-2.375482284092054e-09,0.5
700,0.06786686790169094,0.0012873855793287532,0.03093981295055253,1.574937041263219e-07,1.56726786753067e-08,6.24971734731179e-07,1.1641788275594017e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06861528698516796,0.0004915943210831512,0.00037082974612300055,2.676127282489433e-09,-1.7885914040571778e-09,1.4075166596184606e-09,0.0027856542123178302,6.896838032593327e-06,5.433141151857152e-06,2.629689235821058e-09,0.5
800,0.06771362608181732,0.0005749540312851257,0.031106579666066753,3.4799608394601947e-07,1.438419260425153e-08,3.192500104290789e-07,8.862952429290531e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06881969767302165,0.0005020651355758165,0.00040700845310379547,-1.8088590446509232e-10,-3.647850870772379e-09,1.225141187852124e-09,0.0029670349058842616,8.680693556936984e-06,5.668623885110459e-06,-1.300949729468788e-09,0.5
900,0.06757065216260293,-0.00023633646684495296,0.031058689498245265,1.2901680326243827e-06,1.5635955285590556e-08,6.68122148451271e-07,1.5660477419680734e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06932437834869107,0.0005207055235002577,0.000474628303973159,1.7373558557518248e-09,1.9643359274059564e-09,2.57664447059047e-09,0.0033268085458774245,9.434581117051308e-06,7.324016146464892e-06,-6.16640331519059e-10,0.5
