miliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
0,0.011796430886185255,0.03797397539636564,0.0039481305668667786,0.002001234541634943,1.5799306914114195e-05,2.2867292154038076e-08,1.3538951458400155e-05,9.359946603410472e-06,3.340150660885777e-08,0.00028667465941969485,0.0030382117003765054
100,0.01122785431137487,0.03797740679997211,0.0039493445394338704,0.0020018906249115887,1.5484057652427055e-05,2.2135362573211232e-08,1.3931711550580971e-05,9.329138899556528e-06,3.499758589962506e-08,0.00028688002436081403,0.003037606113348427
200,0.010966632467738885,0.0379825441701819,0.003853607903543157,0.0020017992331927267,1.5009541561295777e-05,2.149812138430338e-08,1.449359206471535e-05,9.232551309494044e-06,3.662066954114105e-08,0.0002868957789490259,0.003049595708709966
300,0.010743814979678844,0.03797617784209634,0.0037858678195663823,0.0019984933390429015,1.4630002725619947e-05,2.0561931327532093e-08,1.4925843572611018e-05,9.13658426107025e-06,3.816262466107976e-08,0.00028689491567248195,0.0030692027334108434
400,0.010186129593916066,0.0379806858480972,0.0037265444949199987,0.0019955201236760856,1.4294823213641691e-05,1.9820301374383254e-08,1.5381807347766986e-05,9.040045206776326e-06,3.9534819272707606e-08,0.00028704715505933995,0.0030876064437775673
500,0.009992511789387181,0.03798663128087985,0.0035739371405839955,0.0019973748375964953,1.404447381218556e-05,1.9194516200456516e-08,1.569846902889086e-05,8.967806262956922e-06,4.068114020448962e-08,0.0002870608278481655,0.0031228676978140124
600,0.00928715154022163,0.03798455598445473,0.0034828313176511025,0.001993140771098636,1.3802592280216273e-05,1.8662952118815112e-08,1.59961262313488e-05,8.907181774230182e-06,4.151165084767097e-08,0.0002869821254204605,0.0031461335127850043
700,0.008979459211524826,0.03799285187515742,0.0033504400266027505,0.0019935235506634784,1.3687669648856838e-05,1.821040281102223e-08,1.6193632750817155e-05,8.849426461858621e-06,4.234728969719049e-08,0.00028688715570796865,0.0031777652246352387
800,0.008785958200099067,0.03799228122358802,0.003294376121033611,0.001997183210852215,1.3512880579061055e-05,1.76067444122454e-08,1.636670916907558e-05,8.803737451397654e-06,4.2999979026406786e-08,0.00028668970484211487,0.00320812788924366
900,0.008329337258657707,0.038004616099625854,0.003131365765899196,0.001992204861198639,1.3451451075618137e-05,1.7286518094331068e-08,1.6490552533489576e-05,8.779962191766355e-06,4.3327884035805875e-08,0.0002866964721984611,0.0032421388019793804
1000,0.007979692035207854,0.03800054915818067,0.0030834142437395247,0.001989754341809666,1.3339264031787455e-05,1.6712757560300305e-08,1.6559589237419672e-05,8.751821124759976e-06,4.370540125213573e-08,0.00028669251472715756,0.0032661038437651717
1100,0.007518396665706842,0.03800921525759168,0.002989178633605009,0.001985741420881352,1.3288175523847896e-05,1.645560570331945e-08,1.6691901864036247e-05,8.726614370388469e-06,4.406444779323789e-08,0.00028689107833136874,0.0032909444599112016
1200,0.007146366265338508,0.03801714064899207,0.002859731225819808,0.0019881754337486303,1.3247039319994714e-05,1.5960445612249326e-08,1.6750134088513226e-05,8.713724155575487e-06,4.4332087828428445e-08,0.00028669351389473593,0.0033196491674151404
1300,0.006828191502731017,0.03802296360711592,0.0027838986485583654,0.0019805387870596796,1.3226327056092991e-05,1.5608100933485142e-08,1.6785817295811055e-05,8.711119998341962e-06,4.447030843471708e-08,0.0002865554843941349,0.0033421672703047266
1400,0.006537054121344278,0.03804134778227453,0.002709196956325208,0.0019795340154816214,1.322479223959471e-05,1.5460567021117858e-08,1.6763849381115405e-05,8.703794882554698e-06,4.4362602909647115e-08,0.0002864845896267252,0.0033601308591269777
1500,0.0058988821835827465,0.03805241889869908,0.0026450513299869282,0.0019775372878884177,1.3190573392068866e-05,1.498851606294072e-08,1.6815117519768708e-05,8.694832495483169e-06,4.453242631253577e-08,0.0002860988191568245,0.0033737310154495635
1600,0.005712532522581028,0.038060531916544245,0.00257157534579814,0.0019748289260787958,1.3192295870565707e-05,1.4870050758937628e-08,1.6792899704638856e-05,8.697671600662875e-06,4.457784093263459e-08,0.00028611386516404544,0.003395267694785266
1700,0.0052780076253191605,0.03807666964603875,0.0025060274195553268,0.001965324799347839,1.3198348706126162e-05,1.4527679315940035e-08,1.6845210316542192e-05,8.685485861477369e-06,4.460015587613109e-08,0.00028582608187546,0.0034127085728437537
1800,0.00499693150597971,0.0380768643324758,0.0024312971693589325,0.0019652761717565918,1.3210277129299386e-05,1.445266835659531e-08,1.6796181425074223e-05,8.689769099757906e-06,4.4663976741221037e-08,0.0002855637937670695,0.0034184309321289084
