miliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
0,0.011678864547769903,0.03798630192403897,0.003914128419707607,0.00199617753514918,1.5795697278722524e-05,2.3063929680061178e-08,1.3552288419230134e-05,9.352351328003712e-06,3.3358955196558293e-08,0.0002866703699053972,0.0030387304456385533
100,0.011390729099884965,0.037987711934444966,0.0039449065413594275,0.0019992043077849474,1.548353198095835e-05,2.2213541795240746e-08,1.3897322703145204e-05,9.3226423435428e-06,3.491273135696777e-08,0.00028687505405730634,0.003045882211945968
200,0.011073332932301432,0.037974894324911725,0.0038426343524681217,0.0020030967694141186,1.5026614892406155e-05,2.1500132717681348e-08,1.4445068724872437e-05,9.225006566330159e-06,3.675706504494311e-08,0.00028663864950906657,0.003045203048148783
300,0.010556272451345683,0.03797405864266975,0.0037833208044253837,0.001996949669068512,1.4620643942573557e-05,2.058025247323232e-08,1.4956759610172562e-05,9.125448645963401e-06,3.813268808493826e-08,0.0002868364175835583,0.00307652120423704
400,0.010106022770848409,0.037986997205204036,0.0036830789883300435,0.0020018326534971343,1.431222671079517e-05,1.9939278475895337e-08,1.5337288386853174e-05,9.048400546377057e-06,3.958733870610192e-08,0.00028687696658237375,0.003093971354788798
500,0.009906186085845543,0.03799161296484992,0.0035790046252130096,0.0020011702331235834,1.4032035241935821e-05,1.9219213824424745e-08,1.568363699680069e-05,8.97322062010082e-06,4.0661974908399097e-08,0.000287007477726931,0.003124768524746621
600,0.009407929669676053,0.037989973874196704,0.0034697638452576007,0.0019951059428841766,1.3820381150169862e-05,1.865662579485828e-08,1.6002520410765727e-05,8.902431422256576e-06,4.157755268399504e-08,0.00028683928599637664,0.003150270849771317
700,0.008969817680792984,0.037985544642689974,0.003388427800182076,0.0019966368210804918,1.3672430954096065e-05,1.8092293944131135e-08,1.6221904665627193e-05,8.859421192163538e-06,4.244177871653341e-08,0.0002868931146187575,0.0031815718000330483
800,0.008632078693009056,0.037997257815783815,0.003300649445793725,0.001997342953406781,1.35146285782208e-05,1.7569680423754032e-08,1.6362605256181383e-05,8.81715561849547e-06,4.281882397051851e-08,0.000286796168501763,0.003205695826324433
900,0.008414163179172514,0.03800745274412535,0.0031556660920983785,0.001996210954199471,1.3428627891408801e-05,1.7212291667355368e-08,1.6496566394009638e-05,8.778837131143681e-06,4.332203216229798e-08,0.0002869805651693596,0.0032384383531984403
