milliseconds,N,Na,Nan,MF,F,Bp,BN,A,K,B,MAx,Rasa,ERKa,Xa,MDusp,Dusp,Rast,ERKt,Xt,D,Kt,Fgf
0,0.5084133637607263,0.20092421120626267,2.5160163949479535e-05,0.10137142218280275,0.0010264217407937198,0.09990548974627662,0.0011808093811453587,0.10040765947184696,2.9976207971922575,0.10668793846281775,0.083844453779606,0.5167384111425424,0.17317253406143207,0.10474210528395579,0.08945550854520389,0.09801927701101797,2.0,2.0,2.0,2.0,3.0,1.0
100,0.4452777030264269,0.2435512287854507,0.00026330388084669365,0.09494912577183164,0.0019480220826120973,0.0023095064136674924,0.017594966748107226,0.039443093847086844,2.9492040443670873,0.17283130590908463,0.11639732674320588,0.5623534775302718,0.21285570841208823,0.12121884062335617,0.08838817320624125,0.0935361245886347,2.0,2.0,2.0,2.0,3.0,1.0
200,0.382748327643258,0.28503657912524866,0.00032862728637318516,0.0893877310310159,0.0024865514031443326,-0.0006200395887241095,0.020775830090340827,0.017145760626593252,2.929780426316615,0.1674340107493544,0.1673791103978616,0.7172033244408607,0.2166301236901074,0.11502713706563505,0.09853286575040969,0.08268920559104642,2.0,2.0,2.0,2.0,3.0,1.0
300,0.3368843149936703,0.3307004154319509,0.0004593982256875172,0.08359067608693305,0.003247495158246819,0.0007406060857839557,0.03296384686889569,0.009178657199254724,2.9192251408126877,0.17472781023884,0.24077417894001704,0.7827009482550727,0.25937301022049364,0.10683131977717833,0.09207658783352927,0.07676960023190246,2.0,2.0,2.0,2.0,3.0,1.0
400,0.2918308729358447,0.3651038283973082,0.0005355788828775911,0.07725147552613276,0.003803940447454277,-0.0006014973643419489,0.0432248771045336,0.003691156315659732,2.9161744152562723,0.16422129479552927,0.22251264926935085,0.9375921122438,0.31622047632497,0.0513855017058231,0.0885843648981911,0.06944805003710426,2.0,2.0,2.0,2.0,3.0,1.0
500,0.254458445965714,0.39101359196657187,0.0005665491594065137,0.06882823287626072,0.004256553533620231,0.0008778617127362923,0.053497010989890265,0.0036486923336409315,2.9176777418017434,0.18399684102861646,0.2658129307770612,0.957161582089452,0.3320859100162384,0.11196139967125661,0.08335004399332517,0.0665513714759141,2.0,2.0,2.0,2.0,3.0,1.0
600,0.22312719613022813,0.40090640669854605,0.0006108301836054899,0.06573207491438988,0.0048498639982381955,0.00022462253130027846,0.059713634611103794,0.0020830727283699963,2.914791517445373,0.19544926831033635,0.2940733348332839,1.0655609203932637,0.37386840858494763,0.08264994352906607,0.08553440617955944,0.05966032281323129,2.0,2.0,2.0,2.0,3.0,1.0
700,0.2010707767075622,0.42968394566928364,0.000663712799142265,0.059639334855067436,0.0052599647639943545,0.00018555937286706585,0.0678064796529508,0.00364341396717777,2.9129815638965955,0.17835997827090844,0.2755213307226047,1.1764267853141617,0.49113497425815333,0.05932997937239064,0.07856907391657938,0.05382169925227773,2.0,2.0,2.0,2.0,3.0,1.0
800,0.16960446309872731,0.441497369492636,0.0007828326921388535,0.05912641083582343,0.005771470427382729,-0.00047670274162750996,0.06783670684848156,0.0014749232305775648,2.9104530029387186,0.1946785410919192,0.3012759678772322,1.2929001000994214,0.5108431984217328,0.07956630427758973,0.08260590237537466,0.0502675818737464,2.0,2.0,2.0,2.0,3.0,1.0
900,0.16249721578345533,0.4692596016566403,0.0007687919359376323,0.05410780924249115,0.005908159611312742,-0.0005817147329157018,0.07011775879274668,0.0011815983524478652,2.911576219928162,0.21217065744373806,0.35925730869328637,1.3978183349566962,0.6039677292821435,0.0680792288291604,0.08245199462536193,0.04779428570924676,2.0,2.0,2.0,2.0,3.0,1.0
