milliseconds,N,Na,Nan,MF,F,Bp,BN,A,K,B,MAx,Rasa,ERKa,Xa,MDusp,Dusp,Rast,ERKt,Xt,D,Kt,Fgf
0,0.5012551016566308,0.19391538940570452,1.844461676061317e-05,0.10108752139782409,0.0010420370695513334,0.10002258163396781,0.006823351192011442,0.09870732680332614,2.998197241166073,0.10947815623279328,0.11029105067644863,0.5258885558653688,0.1601648519433579,0.10650540650125612,0.10490619883107578,0.09891847315134365,2.0,2.0,2.0,2.0,3.0,1.0
100,0.44130546559302364,0.25398166680360673,0.0002775620102354466,0.09395048377281148,0.0018393727159092535,0.0011641392160161347,0.011180597646675146,0.04104464203024297,2.947386007980935,0.15181096055459323,0.14528631382065846,0.6395277054643131,0.23982575715979174,0.10152785448278859,0.1023305224011722,0.09220780937897238,2.0,2.0,2.0,2.0,3.0,1.0
200,0.39115454935761446,0.296020277063273,0.0003802362633330153,0.0859168088949402,0.0026917208265513468,-9.222105124123887e-05,0.021164594815831654,0.015498555095792354,2.9273846155100065,0.16771609755329742,0.15671364313485697,0.6738976780582421,0.31643679131710023,0.09011431927852537,0.08934402457298689,0.08463896036972156,2.0,2.0,2.0,2.0,3.0,1.0
300,0.33486144984297417,0.33201026682198553,0.00043680429014418814,0.08194949743817408,0.0031003708546428832,0.0010809575521125072,0.03580985951410782,0.007478856923456365,2.9173392958196436,0.17373404167893552,0.23605096593720015,0.767813459408095,0.27742101301123356,0.10630298876130283,0.09232509532161919,0.07759591684473975,2.0,2.0,2.0,2.0,3.0,1.0
400,0.288319796835193,0.359911510444393,0.0005029604789201123,0.07479226798392856,0.003712221880473144,0.0006192353633882419,0.043436816510440374,0.005238297755345933,2.9157612495609486,0.1761168507342232,0.24848909776367997,0.8767842145954421,0.3707952924521895,0.11988380381729302,0.08593319696233376,0.07042749594830565,2.0,2.0,2.0,2.0,3.0,1.0
500,0.2670727886046291,0.3754990696787778,0.0005782303539523694,0.07050088953332356,0.004305327662031416,0.0001435323716809247,0.05016404798869604,0.0017361409530050802,2.914206345917868,0.1853527373411593,0.24627159075416646,1.0251659163260265,0.41571101088747814,0.05143518484657976,0.08920356181653132,0.0638072642453542,2.0,2.0,2.0,2.0,3.0,1.0
600,0.22079638045387104,0.40943156856900353,0.0006144240073162841,0.06481743194370343,0.004734005207317237,0.0012711597846102062,0.06391225556015041,0.003237378396917273,2.91472085315735,0.1922185142237589,0.26649204677737554,1.0885063765204912,0.44098923137143775,0.0988086462362062,0.081456978019758,0.059669055340443984,2.0,2.0,2.0,2.0,3.0,1.0
700,0.20726034517742586,0.427799985334502,0.0006863626845819999,0.061934551766669996,0.0051718158947464555,0.001482857156855167,0.058560511995240955,0.0017332588109010678,2.915763329989679,0.17944682475268103,0.33707336333055193,1.2246348329051762,0.53035368518153,0.06091859784357469,0.09331121520080025,0.053495937886079155,2.0,2.0,2.0,2.0,3.0,1.0
800,0.186416023112912,0.44143998184893246,0.0007182826284606962,0.05915169355202822,0.005673558140714358,-3.682126024006304e-07,0.07609480575199647,0.003739710871415137,2.9121509699418953,0.1930560123433393,0.29763553253246666,1.2728990522801449,0.5628925956665258,0.09091135958621768,0.08364683966645522,0.04898167795011199,2.0,2.0,2.0,2.0,3.0,1.0
900,0.15675456137735835,0.47069492505544397,0.0008181527745158494,0.05249614185077977,0.005994460331588793,0.001462973046854046,0.07618415838315466,0.0018229979595048174,2.914731480910326,0.20457021524544763,0.35569872153602394,1.3984535099368616,0.6441908227060621,0.11734857288932155,0.0781604029295015,0.04644484280128147,2.0,2.0,2.0,2.0,3.0,1.0
1000,0.14867118310385666,0.4838449543721496,0.0008460892913853613,0.05270219414056372,0.006291768914677757,0.0014720323514873664,0.07640371993479353,0.0032465801036171043,2.9140182463852478,0.22400280577615655,0.3407212620203893,1.4523781206291846,0.6716719852884931,0.1284147725058239,0.08010985251724308,0.041010378849534755,2.0,2.0,2.0,2.0,3.0,1.0
1100,0.12879464810302907,0.49386793895930003,0.0008571854772657665,0.044912683107063846,0.006348411166247434,0.0014727798067426486,0.0784644396924121,0.003252095781788162,2.908328269296427,0.22185858940302675,0.37149819497441194,1.5071688876769005,0.6639929399046486,0.1279785602992879,0.08627571230144795,0.03997194984544305,2.0,2.0,2.0,2.0,3.0,1.0
1200,0.11113852428120378,0.4970549658620428,0.0008961983268216912,0.042643431230172266,0.006570183403172048,0.0009698097953169604,0.08910728766368972,0.002731678899512429,2.910409667873079,0.22012101043497728,0.3797739217110684,1.597894025391108,0.7500998881956734,0.142522462374469,0.07951311666071421,0.035892165125001374,2.0,2.0,2.0,2.0,3.0,1.0
1300,0.10977400351737757,0.5028227635178022,0.0009716666994566555,0.039959488866361206,0.006868405063201359,0.0017085449083484561,0.09230338745350518,0.003518137652288578,2.909128183323383,0.2489220826621101,0.4121316496598664,1.679950786807767,0.8444257548282583,0.09226654696174172,0.09243769952329926,0.03574311194636254,2.0,2.0,2.0,2.0,3.0,1.0
1400,0.08764498589003636,0.5112049740837218,0.0010054258371075843,0.03929892566791869,0.007073274084279606,0.0001373405861709353,0.09419122351088047,0.0017551869312548054,2.9105961751565936,0.25550042039864446,0.43825195701541714,1.7486782237015674,0.9424043632365944,0.15891537148931023,0.08574309948415308,0.032771393177115575,2.0,2.0,2.0,2.0,3.0,1.0
1500,0.07829173676143486,0.527195492267416,0.001045686373283981,0.037738159164001,0.007057908648123525,-0.0002810569052941517,0.09790325645069888,0.0038783101194781373,2.9098201667729886,0.26379792622297205,0.4338741042327575,1.8362985516151233,1.1062877175154866,0.13993264257507076,0.08163310581000996,0.027687132356014114,2.0,2.0,2.0,2.0,3.0,1.0
1600,0.07143953056047024,0.5348707465609672,0.001102400418131228,0.03395270029057073,0.0071911652364628,0.00013222867159076848,0.10466355752693572,0.00431065817000987,2.9092133236999573,0.2623226843264365,0.5115420279722029,1.9304205081111636,1.121077470241667,0.1273962961706802,0.07421057196308473,0.028528339584167638,2.0,2.0,2.0,2.0,3.0,1.0
1700,0.0858102598780321,0.5294139719918668,0.001121603959971956,0.032505835506099735,0.007256182632185857,0.0012384835575257832,0.10561153056068323,0.0033854215406317494,2.9065113546769075,0.27742209491382236,0.5295770761753441,1.9198402490551365,1.2233752888323843,0.13732056299544784,0.08695330475746584,0.024734775595226403,2.0,2.0,2.0,2.0,3.0,1.0
1800,0.06674668370356272,0.5384444807314416,0.0011751786154654542,0.027528494031628346,0.00734616898858984,-0.00028787349131780915,0.1075579483881395,0.004102117464076378,2.902783057830631,0.2901224379651162,0.538490997874936,2.005365114369936,1.3346156836828957,0.15533107515908381,0.07244580738502018,0.02439085380604971,2.0,2.0,2.0,2.0,3.0,1.0
1900,0.06056633345630068,0.5384010625572407,0.0011696726165770983,0.025170058808501993,0.007445267558938704,0.0009814109660642389,0.11957193196291466,0.0018953827953772373,2.9035300473603014,0.2932154699632137,0.5365903845722549,1.9416640043848954,1.3695304703776165,0.2158725700178305,0.07954331120433177,0.023360343010075585,2.0,2.0,2.0,2.0,3.0,1.0
2000,0.056587316492786546,0.555472834883852,0.0012084362436227821,0.024958627912938305,0.007366845096051572,-0.0005211905281610407,0.11727066423596408,0.004340507987419127,2.903591632516759,0.28889996187012723,0.572711331958851,1.9980390557988448,1.5438163566491343,0.23819415955545428,0.07653749951737181,0.019509606259566853,2.0,2.0,2.0,2.0,3.0,1.0
2100,0.05205078573523335,0.5576641852558323,0.0012203817296325167,0.02392021552799226,0.007373935224963941,0.0010260601648896164,0.12167441436359969,0.003119910611260166,2.9026387966763725,0.3151183453487495,0.6215678986715895,1.9594644218504031,1.5895677952997698,0.2261627950303118,0.0979730891584694,0.021158239569388438,2.0,2.0,2.0,2.0,3.0,1.0
2200,0.051559454461967,0.5632983310188012,0.0012419158709406077,0.023764040798921183,0.007434116015438397,0.0013358080971327406,0.13067707460451225,0.0040383902173499265,2.9014374549764943,0.3275936227426644,0.5914966723668329,1.9622692818061338,1.6666226610280626,0.2650021149399768,0.09370680361176333,0.019918013468065567,2.0,2.0,2.0,2.0,3.0,1.0
2300,0.048468739165292325,0.5587914401739097,0.001264879426494647,0.019787161173821295,0.007267656517702298,-0.0001070250861717889,0.13234239093611733,0.004697755909912134,2.9005959121891953,0.32909487783127983,0.6729307585371526,1.9817019065879944,1.8033000505371826,0.3254695790584392,0.10497925555238348,0.02021489963298446,2.0,2.0,2.0,2.0,3.0,1.0
2400,0.05703911014578344,0.558669863125063,0.0012966425141313481,0.018721248365894286,0.007241133408597683,-0.00013826653862174368,0.1363687271969021,0.004523472332361015,2.8997174091288413,0.33775467401095,0.6830299072028716,1.948930613570541,1.8870333554617904,0.3594760717837967,0.09558364310425843,0.01652750846359439,2.0,2.0,2.0,2.0,3.0,1.0
2500,0.04359442819410533,0.5808568001700426,0.0013193672969817154,0.019030598766656186,0.007199529886295055,0.0013447890439748787,0.1443126560758381,0.004453519219225924,2.893915312808981,0.3407228043269822,0.7028179160523417,1.96626643450145,1.8672535061460411,0.3792841741371391,0.09844557832305438,0.018819292726797738,2.0,2.0,2.0,2.0,3.0,1.0
2600,0.059131410380924,0.5819532291940561,0.001337765433392361,0.015427206689224109,0.0071473433442747645,0.001189806222514046,0.14291457397389207,0.0027174315136763586,2.8930601352593257,0.3439523464779809,0.7210826610440544,1.970022282171516,1.9768324380880147,0.42207302903149835,0.12398149697410633,0.017996680747273716,2.0,2.0,2.0,2.0,3.0,1.0
2700,0.04393577556871878,0.5708670776082017,0.0013297040491389745,0.014367825161994474,0.0068466270508834755,-0.0007977017078769112,0.1480968680410151,0.002772184372494186,2.8911762166954165,0.3530732443304703,0.6973163067211465,1.9502500911012481,2.0003114882372905,0.3932269239505288,0.11479826938263572,0.014973548612436641,2.0,2.0,2.0,2.0,3.0,1.0
2800,0.058137349347624726,0.5720821600468751,0.0013672068590513458,0.01326644990795542,0.0068613999257646895,-0.000796398726966946,0.14970613598148774,0.0027335697966456864,2.8929443671985373,0.36912739764191127,0.7623988701149179,2.000159338004219,1.9921863706338723,0.44996075209837083,0.12484350940352881,0.01685815284621546,2.0,2.0,2.0,2.0,3.0,1.0
2900,0.05660999858751508,0.5877448788311926,0.0013700203893353333,0.012608833829828092,0.006739442884029685,0.00098731774247924,0.15130935322522376,0.0037250401448791315,2.890372986203254,0.36875660324001247,0.7523835619893814,2.012114947393059,1.99428068259509,0.47095380527259667,0.1329929016561669,0.014990084453221987,2.0,2.0,2.0,2.0,3.0,1.0
3000,0.04363432987741517,0.5825822256664929,0.0013477698289720323,0.012411667554394526,0.006777791696210649,0.0007503753493696868,0.16053692369217348,0.004094111040373398,2.887142864664629,0.38977655556687046,0.7853706238807048,1.9507731216800073,2.022692110665844,0.49324855717105126,0.1449418469400182,0.015923859265389553,2.0,2.0,2.0,2.0,3.0,1.0
3100,0.053499651980566686,0.5880815893125785,0.0014170810440462865,0.01153866277876626,0.0065633403087932045,0.0008851898910552091,0.16002088924071733,0.004394915862320287,2.8874592829939583,0.38863629658575055,0.8315051282616279,2.0248601751142523,2.053745755739368,0.5751268649525583,0.17244389173992372,0.018348047696242757,2.0,2.0,2.0,2.0,3.0,1.0
3200,0.04107474796367164,0.581740097215519,0.0014453511496838592,0.011768038045133777,0.0065408481020702595,0.0012423844145819966,0.16518202029901352,0.005209493015647607,2.88651220160711,0.40531572808574656,0.8645012740370074,1.953589650976385,1.971802295922988,0.626124756461763,0.17169519351025636,0.01980111628048665,2.0,2.0,2.0,2.0,3.0,1.0
3300,0.046392605317730484,0.5932899940465387,0.001421335409094241,0.010229422701683985,0.006466938511472099,0.001413155664914351,0.1787982293788548,0.006009236991358257,2.8829699400960087,0.41748356800407416,0.869942835599776,1.9529327576543867,1.967191191442855,0.6205626294022885,0.18453523810805397,0.01725269114897374,2.0,2.0,2.0,2.0,3.0,1.0
3400,0.052471160044693814,0.6022522311808786,0.0014145932072175285,0.009392403139669535,0.006416299390938862,-0.00016376816142042359,0.17282228298561447,0.005109695312511894,2.8810401021527605,0.408170876917388,0.8513751592999013,1.9970363281314494,1.985831470544526,0.6546894802695568,0.2006045356717168,0.020515617462834968,2.0,2.0,2.0,2.0,3.0,1.0
3500,0.04208617890773998,0.6042930684077452,0.0014947322499069527,0.006261667708110721,0.006042463592857693,-0.00048296127218548364,0.18389209597297088,0.0045836037453292075,2.879629522791899,0.4266042839296783,0.8826563742304879,1.963272489455281,2.0168480473903516,0.7198192518966892,0.2033269672275065,0.02127970551938452,2.0,2.0,2.0,2.0,3.0,1.0
3600,0.04503213565238257,0.5999669382396542,0.0014817164110633176,0.005720938671141415,0.00609925852330256,-0.0007555192774599968,0.1813168011325866,0.005136994240124854,2.8751310008277984,0.43250903891537584,0.9127058458126888,2.0221540762551427,2.044525568345752,0.7554041675940991,0.22135641592393215,0.022492524996660872,2.0,2.0,2.0,2.0,3.0,1.0
3700,0.037340215255553394,0.6068456352081218,0.0015042150363248235,0.008971320580769179,0.005899680357732479,0.0006517073697832784,0.1909520141589248,0.004337356725969355,2.8732267096262345,0.43163775960971806,0.9163468649926808,1.954328734032083,1.9752140520570958,0.7461144426914755,0.22897504773824096,0.021383430503029606,2.0,2.0,2.0,2.0,3.0,1.0
3800,0.03873649256942151,0.6077550612352447,0.0014773897119221145,0.005934959600406389,0.005849167464104969,-7.912761273373909e-05,0.1899156264745879,0.004950070727088941,2.87199869598467,0.46096922176132504,0.9316061723993321,1.950775898799324,1.9498893171570268,0.7706745746139305,0.2536972787085068,0.021260393198631447,2.0,2.0,2.0,2.0,3.0,1.0
3900,0.04507256622302188,0.6092294433142247,0.0015499651327985583,0.005559144129499585,0.005669807082650269,0.0020038263805851153,0.19100320504073123,0.005071341865152935,2.8717923261607696,0.4559166386222614,0.9634501748507994,1.9683308677106788,1.9738961301887934,0.8462939567429055,0.25919819834398755,0.0233892097577502,2.0,2.0,2.0,2.0,3.0,1.0
