milliseconds,Susceptible,Infected,Asymptomatic,Susceptible_quarantined,Exposed_quarantined,Recovered
0,902635.8667216018,1.0382061793881372,114.06454232727802,10755.684871915333,0.3065977606504062,2.135037159051625
100,902688.6797388387,1.2163660522151662,107.70230197891668,10728.425923736571,-0.2533805461422499,6.7548832576231845
200,902733.0756181581,1.308426828586154,101.31817327436431,10705.064182352447,0.43898562091076443,13.030703758824801
300,902802.1123346031,1.4973072553253335,95.43183181394876,10672.944185417384,1.4980639285226123,21.44118691536639
400,902850.2264764355,1.6314526431525345,88.98952156325154,10633.411243220427,2.702152973194617,30.29148943435274
500,902876.1904281141,1.7704327259523054,84.38998900897941,10542.266112871597,2.158869953590703,34.02768870356827
600,902910.3991339763,1.9129486959592363,80.87209281597218,10529.886812411896,3.4239526220039305,39.12411096643096
700,902964.6763568308,1.9616865734982292,76.39845498041969,10452.189433071651,5.074108855847941,44.150097688854046
800,902992.8273593562,2.0752233678880887,71.97857784034822,10407.764037292447,4.506718017143098,51.63856536639854
900,903021.7071309643,2.1554347673471406,69.37424425609632,10401.468581678484,5.837421646300725,55.7928698729155
1000,903092.9882740113,2.307854167509479,66.86784873621761,10322.762746654083,6.1381264835634015,59.15385372698978
1100,903093.36693636,2.3531042632766845,63.35024979098038,10293.495498617589,7.363508548531195,66.85648075501621
1200,903170.1650914544,2.4362337763173816,62.085486047884345,10231.766883558825,8.758711145905211,68.62387652355063
1300,903179.8914953001,2.5610750730082747,59.835155873118254,10233.898824616328,8.923287315117632,73.03375827565642
1400,903210.9253767788,2.6044577317461735,56.954080972023384,10156.892896363404,11.088945344315535,82.18066905269443
1500,903284.4824000706,2.6816195147724944,55.171558383748156,10151.21836204662,11.895248717097527,83.68524708169869
1600,903306.957576216,2.707055587015986,54.529135014402776,10070.137932113394,12.920563169595804,88.45849991872025
1700,903325.1156842166,2.7923976278184033,52.72560324677246,10038.393910735234,12.66100286964787,89.4774581603278
1800,903405.7007122883,2.8589672836680475,51.4819611728138,10021.550437449116,14.82795001282662,97.3817539290942
1900,903400.5209129949,2.9239958428802004,49.580142456067875,9954.02676640979,14.937376919198329,102.00586443855991
2000,903472.9652863134,2.9285415619111386,48.72093208544773,9935.76964398062,16.950908317583092,101.71673713671598
2100,903471.6995378647,3.0141561058339406,47.02330692801349,9906.063020395688,17.137160945202048,109.01445052628144
2200,903513.2459521343,3.0226206337934296,47.37023414353758,9840.393115274315,18.28175065047803,110.13138331714829
2300,903542.7750400726,3.1358319560127703,46.99009882397017,9807.820858331494,19.33192725540161,113.7845300914262
2400,903580.4955419949,3.1454114473659955,45.06052410394242,9762.973084067988,20.957203988152493,114.85683548154906
2500,903655.0899191516,3.176558499869143,46.19509559532982,9733.422290505925,22.273335029908633,122.14168587638493
2600,903662.9010986515,3.2391066259642427,45.39885003409769,9709.259029225082,22.26367970216683,125.72225825412917
2700,903717.4423573337,3.315785751927553,43.97518206542072,9641.387018601095,24.265962998081527,125.86615276518249
2800,903738.3944691133,3.324561956339095,43.41683389619021,9579.280396023705,25.46442611302118,128.8004701092623
2900,903797.4684560774,3.383586401905295,44.04219559816849,9589.155285728559,26.02848565664921,133.07994260654328
3000,903821.0849905321,3.4153549932665426,44.02635699898372,9547.918810671283,26.454286745799784,140.34482849085265
3100,903864.9507069055,3.467950785321879,42.911127254699764,9455.311724760892,27.335735302624823,140.75925400366228
3200,903866.6985617267,3.509610873350264,43.99018344677165,9416.853656534724,29.445233756159997,142.7967127110551
3300,903947.9962010324,3.5328675744892477,42.55074572141289,9375.00455497502,29.81148417737523,150.25240891299057
3400,903968.0902765739,3.579808899131251,43.909419452575854,9392.463877119284,30.662324070960203,149.9532776457239
3500,903969.4140325937,3.562932720386447,43.20994098668529,9300.96525643886,31.761306379306756,153.00620386939815
3600,904008.6340042693,3.626339713483526,42.6572034293427,9307.37203633141,33.64114016141177,159.95521351123574
3700,904064.879304492,3.641098612243423,42.42855825157434,9251.273246630615,34.5315375908273,163.65973423516593
3800,904091.0212506857,3.722358798381197,43.94366350769058,9210.003212520056,35.92636931495437,164.7503576683798
3900,904134.792118506,3.7479786661463943,43.719409345439125,9196.487159154633,36.52812421551763,167.53181352489855
4000,904170.1015734519,3.8112010012608346,43.974945475896284,9147.856844122609,37.9462272349859,171.1008150746099
4100,904177.0593730293,3.811828988534732,43.589973698878374,9106.641942565324,38.94285303748248,175.90509577585613
4200,904222.5413894299,3.80798624456799,43.927358242298915,9063.586900358063,40.059693733892175,180.75237550512193
4300,904237.0289221904,3.8386003874271792,43.640107214859206,9033.730604382346,41.136731793361825,181.89217519199923
4400,904283.985028099,3.9506876938278457,43.93762475211424,8972.547337309135,42.380807616124756,186.91407262612174
4500,904341.788971875,3.986010949461312,43.97825299281095,8919.942113247003,43.52538512549973,193.42813385074675
4600,904357.3929291668,4.003023232878743,43.96667247915141,8933.361909434152,44.21561252244667,194.6515644816776
4700,904412.4617454563,3.987751696556763,44.18638787756158,8896.78410038667,45.73348113358796,199.56761626105583
4800,904417.6852970866,4.0859481306614605,45.41097525892335,8855.344289570547,46.88085363051235,206.39298662401586
4900,904467.8365439102,4.0578513169454515,45.43086566159491,8770.95948117964,47.79765010202384,209.00153058778952
5000,904477.263378448,4.119478216658988,45.44123258909313,8779.757297942584,49.018767585164234,210.8424511476356
