milliseconds,M,C
0,0.44413619460341686,0.8026332258598827
100,0.44765766962710385,0.8856862558361005
200,0.5007182621095826,0.9880069899165848
300,0.5101689553303809,1.0416159923711084
400,0.6098352682622501,1.103103616274571
500,0.680985270520031,1.185715272154046
600,0.681682452388699,1.2274597652185373
700,0.7458075932549518,1.2245076349937063
800,0.8805714114832525,1.2805015731495952
900,0.8776991350599342,1.3524780249645043
1000,0.9625686127225569,1.3754978208088338
1100,1.2003877225229467,1.3930568356276594
1200,1.328772249390096,1.370755753054253
1300,1.4770302003936862,1.3365309545674589
1400,1.6300682143217406,1.284688166366603
1500,1.7617871903546882,1.2727590799792452
1600,1.9489507818210638,1.2052867705189503
1700,2.240771644392833,1.1023084695751573
1800,2.481768396589166,1.040557258732423
1900,2.722844318073606,0.8317389060450094
2000,2.8820276802738896,0.6979864435418948
2100,2.8757400866108425,0.5692839303329708
2200,2.5884445039212265,0.3418829385025766
2300,2.2653678770519425,0.27203877773058305
2400,1.6973435726113064,0.15287733623579813
2500,1.2713855791119315,0.16787486283225442
2600,0.8053760397278867,0.15169467911146425
2700,0.5320250729598212,0.22829669348841425
2800,0.2879814914762307,0.28335581607876786
2900,0.16503947797688293,0.3988292236016627
3000,0.1369716797008838,0.4841063842963495
3100,0.25081158844804424,0.5923532356901277
3200,0.25292466360035765,0.7076905839420364
3300,0.3398499123108414,0.8216273366864421
3400,0.4332642309753919,0.8671237909045479
3500,0.3666028544994698,0.9344287380471542
3600,0.5163328149905564,1.062488368009044
3700,0.49881032028931294,1.1365226066188139
3800,0.6428979857796625,1.1948761212074068
3900,0.7399613731785977,1.2570141555428993
4000,0.6858634438958914,1.2460616999316763
4100,0.9127249375002818,1.3002915317312136
4200,0.9834102727934905,1.3427639605439974
4300,1.1094706234744907,1.3568883746913831
4400,1.1904728975379466,1.3456042271754174
4500,1.3412234348750411,1.3528761386972938
4600,1.501456415597927,1.3822811246419144
4700,1.6122631551960296,1.344747895327689
4800,1.7545750109564633,1.248290952184811
4900,1.9880749341728206,1.1613366854142222
5000,2.280080524052393,1.09575670291918
