milliseconds,M,C
0,0.3938073061597517,0.7829124587360929
100,0.3755388410529604,0.8502154982556976
200,0.511364925150802,0.9312597863010305
300,0.5143664117402207,1.001216580061674
400,0.4972241569977238,1.0950764524386125
500,0.6385945060415472,1.1832424187536352
600,0.6990596504090189,1.1969419471256666
700,0.7614316347463407,1.2829928531324484
800,0.780989613608402,1.2793324420803251
900,0.9694941179856116,1.339277975220435
1000,1.0660698717967247,1.3393548918161535
1100,1.1346023732835162,1.3502444265894458
1200,1.2481542039619837,1.3533605291559987
1300,1.3382387884069462,1.3773899134057257
1400,1.6382537867780769,1.310806493101766
1500,1.705758469249312,1.2977673361956361
1600,2.0590054132541487,1.2173783370046785
1700,2.273495767320117,1.1444404052261683
1800,2.441842412338807,1.0349755950507837
1900,2.640563940906102,0.8652939275509577
2000,2.9093906544931447,0.7205141674432348
2100,2.7707976919312607,0.5599055359369207
2200,2.57699386190896,0.3428994508990202
2300,2.20015492090227,0.23185126718940285
2400,1.765808621902863,0.18843282942317874
2500,1.1360230666687,0.15961645765315555
2600,0.7389719904831832,0.20921643909937757
2700,0.44003375952693397,0.27125168521959464
2800,0.3801956088165566,0.3070765621240071
2900,0.22431609658427093,0.37563965579930975
3000,0.1428375051837792,0.517979093562149
3100,0.2517011172709374,0.6091489276330109
3200,0.2016646897691917,0.6778755638089534
3300,0.36193344189549925,0.8135907633609811
3400,0.41675785161211737,0.8872906687432434
3500,0.4403600077592624,0.9596612054256294
3600,0.5226100346182022,1.0212616530972496
3700,0.5212616194088161,1.0704860850673645
3800,0.6829650732409265,1.2003403521830058
3900,0.621734103294716,1.2487089027301745
4000,0.7156445797839228,1.2662002398598855
4100,0.7989760474717792,1.3317512834525695
4200,0.9132808208775565,1.3532552592133995
4300,1.0335076996825625,1.348925770764553
4400,1.122351341730112,1.3429795725631415
4500,1.2422204993398165,1.3428955951903838
4600,1.5155251359837167,1.3347765582924536
4700,1.558773829137121,1.2982478330735443
4800,1.8692202997607101,1.2325081151046433
4900,2.114807018513863,1.2055710762188088
5000,2.3170066195022065,1.0588102980157457
