milliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
0,9.979906213587016e-09,2.0020758282897945e-07,-3.7520791534585066e-12,-2.813585900904048e-13,1.1958020404370687e-12,-8.960696309272617e-11,-6.284673395572876e-12,1.82430791622004e-11,1.0466533080307978e-12,-1.7633234207078756e-14,1.7175921516761705e-14,-4.0706881950830264e-16,-3.1879661656562423e-16,1.0372833715260442e-14,-1.0190464343183469e-14,1.6396845859442797e-13,1.0753723261716418e-13,-2.9409430150145587e-15,-1.4431663584887336e-16,-3.101896674171055e-18,-5.533367911190707e-20,2.6525323903359523e-19,4.2427150188287275e-15,-1.7989003461632462e-16,5.627603091784431e-13,1.2331136962289802e-12,-2.0068443649789512e-17,3.1974254711396325e-16,-1.369728653567884e-12,-1.0357245774160945e-13
100,1.5697294969981985e-09,1.9189890620087664e-07,7.75508350909505e-09,5.946837950024615e-12,3.2235778624853006e-11,3.848146566277477e-11,4.89996632368933e-10,9.673580165823701e-12,1.0913994881888171e-11,-1.7473260852126661e-15,-4.425904715118858e-14,-1.6542367800944675e-15,5.051176956574405e-16,-1.5560025950688936e-14,-5.1915611507602995e-15,2.423561006353953e-13,2.771474496458293e-13,1.890932010018862e-15,1.2147212920265666e-16,-3.2192149056298964e-19,1.2096374987271848e-20,-4.6126810524118946e-20,9.125170029740856e-15,5.243965806412184e-16,-2.3222491223762224e-13,-2.0272339022338588e-14,-2.0466040462431945e-16,-5.54313008367544e-16,1.7158107811896063e-12,3.580532818510297e-13
200,5.523366592886407e-10,1.904602123938357e-07,8.083182769082401e-09,4.2932558602869565e-12,7.329355954575785e-11,1.8426106480837858e-10,1.2905432188811702e-09,1.6730522401900274e-11,1.1755180122842024e-11,-9.152068468990079e-15,5.1759675779341677e-14,8.285148886356353e-16,3.735025187614174e-15,-1.4798499636113206e-14,6.961737958772093e-15,5.527946299692216e-13,4.395167277099364e-13,-1.7626430099731608e-15,-1.9480415922527245e-16,3.3931803110039633e-18,-2.1186011478248792e-20,4.122192483588131e-19,5.227093814552601e-15,3.546418428896717e-16,5.532588509172403e-13,1.5313518054120509e-12,-1.5079799574691384e-16,-1.7461188940452068e-16,5.495017170169319e-13,3.806901828424398e-13
300,4.0853710452857286e-10,1.8990868592883058e-07,7.509983596419261e-09,1.3773045103101265e-11,1.0841407598762161e-10,1.543754285553789e-10,1.8756675961217096e-09,-1.4012799560163554e-11,2.1310513988501842e-11,2.4289032068374463e-14,8.721859806902372e-14,-1.4075199955968715e-15,7.057338077010393e-15,-1.1353479980862296e-14,-6.950060347296695e-15,1.1140603446172623e-12,8.195313565395216e-13,-8.57403989926356e-15,1.970992483085322e-16,1.896953280981364e-18,-4.571264127821676e-20,-8.114058409017603e-20,1.1546648467110837e-14,6.653524752542802e-17,6.125954954766695e-13,-1.8878771680999524e-12,-1.7713442933265436e-16,-1.2752553860866415e-15,2.234134731659256e-12,2.0865500232564135e-13
400,3.9730337420110576e-10,1.8996307547733178e-07,6.9952492382531295e-09,2.5913334027241794e-11,1.352934745727451e-10,4.193366866157455e-10,2.4291434196051694e-09,2.443094899514374e-11,5.8116295666641233e-11,1.1410053965306095e-14,2.1525229543602535e-13,2.744162613586399e-15,1.219465230688599e-14,1.5671112570023796e-14,1.5889480495633132e-14,1.2598021588654417e-12,1.0878360484082944e-12,-3.447006295842822e-15,-1.0776788294905239e-16,2.916384016768496e-18,-5.844846245181835e-20,3.3587209328454657e-19,6.820046816161539e-15,-1.716538506162148e-17,3.7753656788736115e-13,4.676463957995933e-14,-3.8296704720442674e-17,3.974890225077469e-16,8.074604790131362e-13,8.196052591460672e-13
500,3.341573338772128e-10,1.8994505728187715e-07,6.5229904257736676e-09,3.443175654199463e-11,1.520507878150857e-10,5.467645648313995e-10,2.993584279493659e-09,1.9425583681532848e-11,8.263541535271542e-11,-7.267789797987058e-14,3.8792020675537423e-13,3.987606379448873e-15,1.6465196340290877e-14,8.568347098272593e-15,1.1635098917179321e-14,1.5573754041833883e-12,1.7394938149863543e-12,-4.273009736736461e-15,3.057961354068316e-16,-6.195339890448577e-19,-1.7860999016830534e-20,-3.076393372856073e-19,1.953464426046567e-14,-6.679846510652312e-17,6.440031301863114e-13,1.8189577165631585e-12,4.977411092374371e-17,2.3803521404549797e-16,-4.0199583866387556e-13,1.1738081318690701e-12
600,2.937382766584737e-10,1.8941893537836585e-07,6.08533730553786e-09,3.3979040481506885e-11,1.6491559887800604e-10,9.261286233922634e-10,3.279567384137522e-09,9.963580675198e-12,1.129217566215887e-10,1.354785904885368e-14,4.3024138065501483e-13,2.58532383759677e-15,2.2445980654253804e-14,5.869595306720461e-15,2.1634096269120437e-14,2.1410678793265717e-12,2.1328666001275244e-12,3.659449984384422e-15,-1.312921996177473e-17,3.4490113633667756e-18,-5.3399463146919196e-20,-4.222207536240947e-19,2.757702412429189e-14,-6.413688259023162e-16,1.905517095946263e-12,2.172724206610473e-12,2.1669809505961222e-16,1.150101226666483e-15,1.5370001572122024e-12,2.1123186183492955e-12
700,3.5122800166333915e-10,1.8936430981774187e-07,5.618492167004116e-09,5.305225126922811e-11,1.724321017938869e-10,7.783178282837118e-10,3.6148949509892365e-09,3.8989890472513865e-11,1.4878016265225557e-10,2.3030938900765395e-13,6.699166957859505e-13,6.066578892726896e-15,2.653549995070036e-14,5.161981392259747e-15,2.8054852092484344e-14,2.321588118026679e-12,2.165384538421544e-12,7.50967459214127e-16,4.735810808271965e-16,2.488917722783219e-18,2.746068347729556e-20,2.8156036947534607e-19,2.2315585649328917e-14,1.0630816115607384e-16,2.398327348058718e-12,-1.3243149817313782e-13,2.2021194930524315e-16,6.35544052618169e-16,1.1733096418464793e-12,2.4300552059092094e-12
800,2.9716107097151804e-10,1.8921681772651778e-07,5.388364938638681e-09,6.083311447248537e-11,1.7688934198301802e-10,1.2704608472940356e-09,3.873666865878195e-09,3.2580473886838656e-11,1.7382111732440415e-10,9.120572410080795e-14,7.591570256020927e-13,6.244789322995799e-15,3.121104624815923e-14,1.3498938910555275e-14,5.732893015850808e-14,2.616179069688626e-12,2.619510955941445e-12,-1.1350659858702978e-15,3.491198490568103e-16,1.9018752022141182e-18,2.6776388735885602e-20,4.845982819167522e-19,3.8493962222254355e-14,5.701565542995856e-16,2.46825836027724e-12,3.313436457467643e-13,1.3128501088953136e-16,3.059041147893423e-16,3.677580527056003e-12,3.5952720224850545e-12
900,3.022539448960226e-10,1.8845702731537593e-07,5.05808318754849e-09,7.689401414287249e-11,1.7983462879103473e-10,1.4693126187137485e-09,4.1818122593354135e-09,5.2590452627910824e-11,2.0248547824106522e-10,2.5075724366040727e-13,8.554897680748797e-13,7.818480635377818e-15,3.484889003949721e-14,1.4249350680375188e-14,5.0726824173838936e-14,3.1145142361639125e-12,3.0815749914019315e-12,1.030232853352995e-14,3.021977404426734e-16,2.895856831326629e-18,9.341840685236697e-20,2.7891110707112446e-19,3.7714828039872475e-14,5.335467494693981e-16,3.638222053208883e-12,3.5587647569163645e-12,5.219771847407012e-16,-6.532477184865694e-16,3.784499376865096e-12,4.148716535159578e-12
