miliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
0,1.0065235408943298e-08,2.0019711040477392e-07,6.046143783072745e-11,4.5819885455961586e-12,5.426213904892453e-13,-1.8760774486156447e-10,-1.439833198286613e-11,2.2124433195554215e-11,3.1906179004603706e-13,-1.0283219149744845e-13,3.006302725440477e-14,5.877790716429226e-16,1.2415255946754908e-16,-1.4338709834285177e-14,-1.5011014493038145e-15,2.1115308815338257e-13,-2.099469874888143e-13,-6.326215263393099e-15,1.85830390836014e-16,3.530665589507235e-19,-5.309780287178893e-20,-1.9395460587245462e-19,-6.361053106553888e-16,-1.5255796974341119e-16,2.4273854975268795e-13,1.4414477163092093e-12,-8.875056873478604e-17,7.009686641808185e-16,-1.7044134267920369e-12,-6.170544287317225e-14
100,1.6227077269209282e-09,1.918593415511264e-07,7.840485869230807e-09,-3.671526251962256e-12,3.021463069912807e-11,1.6765255336918056e-10,4.679504024737278e-10,2.010953065041562e-11,7.936812926437606e-12,2.2887555604496674e-14,5.617308447016422e-15,5.70505758741605e-16,-4.4967613465754734e-17,1.1891559304972566e-14,-1.0735359747996367e-14,2.761545978202905e-13,4.1317246313819393e-13,3.8935257694804427e-16,-2.1534491549594762e-16,4.403980236272182e-19,5.071486275716321e-20,6.753585344988385e-20,-2.0466624513586626e-15,-2.572865365270236e-16,-5.508819079410054e-13,-2.0648845375403287e-13,-6.56028085570286e-17,1.452149834307708e-15,-6.528932848765255e-13,-3.2669334438375753e-13
200,5.834865895882486e-10,1.902483729633769e-07,8.13512820171206e-09,1.0293829533403962e-11,7.60575094229621e-11,-6.018092606225414e-11,1.2585689827226149e-09,1.7350006096245764e-11,1.6369495275134266e-11,-1.1196775821597982e-13,5.8177837602446e-14,8.872686013267715e-16,3.618837934772787e-15,9.956388105911201e-15,-6.686017435180951e-15,7.356467359283768e-13,5.556785136039588e-13,-6.573310744737447e-15,-3.789710129228428e-17,-3.146763238842847e-18,-4.1148613296626296e-20,-4.659981587672525e-19,1.1521577095429461e-14,3.019505259380611e-17,8.767905280806126e-13,1.060742683346188e-12,2.872638865506265e-17,-7.849970763735162e-16,-1.4827725804830511e-12,5.123477465197323e-14
300,4.0512346067306714e-10,1.8992119017258312e-07,7.615258362744556e-09,1.0780789107188003e-11,1.0892896335008237e-10,2.2660622569157608e-11,1.9338510586677202e-09,1.8467718221325837e-11,2.4369479473162993e-11,1.2348949713019521e-13,1.1424021766783794e-13,9.58981886437296e-16,6.916772098895661e-15,-1.5900590253395402e-14,2.365605949382348e-15,9.374387741246068e-13,8.505065193147705e-13,1.129904044813658e-16,1.398237088885587e-16,-1.0842207007301727e-18,-5.741496630834178e-20,2.6985689805200153e-20,8.502323014325171e-15,4.3415460724362846e-16,6.236266463834732e-13,-2.017670425743525e-12,-1.908463101918024e-16,3.6069418862451613e-16,-8.909314354141556e-13,5.033301666158117e-13
400,3.03778884286033e-10,1.899714975287378e-07,6.917212384054315e-09,1.7523010410725903e-11,1.3573003567402707e-10,3.887797062300844e-10,2.4713837688630066e-09,-3.1732622020282305e-13,5.483465715992399e-11,2.2232621914672603e-14,2.816881165718792e-13,-3.484746665190547e-16,1.1411640210450418e-14,-1.2532395377657604e-15,6.9745508661652915e-15,1.1662005309200504e-12,1.3686590233163496e-12,5.7894450383181804e-15,2.36813901930338e-16,3.1415215540937566e-18,2.0528713723095505e-20,-3.8767323792606445e-19,9.151398553590879e-15,1.6007508977928532e-16,1.3039032843667025e-12,6.579293038833557e-13,2.505677303990598e-16,7.780201264094628e-16,-5.308621687301782e-13,1.1841525628317586e-12
500,4.017273913141447e-10,1.8985089807827034e-07,6.435461251791354e-09,3.151537954323401e-11,1.5372475358807243e-10,4.274310468841565e-10,2.9741919364626064e-09,-5.123049405170339e-12,8.336925063948551e-11,9.962206340739126e-14,2.981968533558024e-13,2.136134168265216e-15,1.7499189351672127e-14,-1.674422341289482e-14,1.3218568556329129e-14,1.781160275961374e-12,1.52499550583173e-12,-1.233750076506264e-15,1.883949807566937e-16,3.101907326771286e-18,-1.597546547871456e-20,-1.6809934945856419e-19,1.8778832967378937e-14,-3.8829441922782753e-16,1.8621668291860894e-12,-1.4804702886590333e-12,-1.1969752432831793e-16,1.0057399207719298e-15,7.561992496824472e-13,1.2626532898619506e-12
600,3.655250473968883e-10,1.8944600353560908e-07,5.989072651338123e-09,4.1082135331945434e-11,1.6558997150894276e-10,8.016228172324689e-10,3.3595824168444657e-09,1.0860518126821173e-11,1.0894283265307414e-10,9.234528711588931e-14,5.207117061186627e-13,2.3487884269729056e-15,2.113480638558979e-14,3.688490434762773e-15,1.5535746964764418e-14,2.1036454012748065e-12,2.065055697436479e-12,-6.326445392756453e-15,3.957726419600845e-17,2.7962593011174344e-19,-1.4200776244761358e-20,-4.187788815406472e-19,2.8295978469847674e-14,-1.8029128858931572e-16,1.826510355351867e-12,1.7532421572287238e-13,1.7756487183555661e-16,1.4891835200196853e-15,1.0490262513407966e-12,2.4808160835470918e-12
700,3.232251214050217e-10,1.8946154622978537e-07,5.724924350490082e-09,4.504889988961444e-11,1.7349859155895974e-10,9.46195585116133e-10,3.7124354173026706e-09,1.4025323650593353e-11,1.3939046652707798e-10,6.149477557205786e-14,5.771083373377557e-13,5.82182131522475e-15,2.606461753653036e-14,1.974493735868255e-14,3.28332673215233e-14,2.335583713458464e-12,2.2112611720124675e-12,-2.4117739203480575e-15,2.811864060110634e-16,-9.349851602881226e-19,9.313282095350601e-20,-2.0857132829281615e-19,2.210637504807665e-14,6.69187191314081e-16,2.8971876500204105e-12,1.7225933495073987e-12,2.699525727383453e-16,8.229030964545259e-16,3.509324921399781e-13,2.726484876228729e-12
800,3.460254491410052e-10,1.8889911506557123e-07,5.4141040120562515e-09,5.750563982695332e-11,1.7830119700114953e-10,1.379451965809674e-09,3.964851491903907e-09,3.4400883886073667e-11,1.8133997349176882e-10,2.2088503129248933e-13,7.872972419178259e-13,8.75829946659951e-15,3.0175041138324e-14,1.4483675203845507e-15,5.726904821883759e-14,2.807377403245097e-12,2.451791423824761e-12,9.023760452050157e-15,4.502974909501234e-16,-9.173947796188193e-19,3.7086858788591307e-20,3.8369883485503257e-19,2.943860080703185e-14,2.6718347331651304e-16,3.863330484524846e-12,8.917431799201238e-13,3.314803911477316e-16,-1.3008094559335023e-15,4.5070293719705517e-13,3.5004291884532976e-12
900,3.2293103323887095e-10,1.8876913037155432e-07,5.168198012021993e-09,7.594733732913889e-11,1.8014017570546736e-10,1.3643787659236977e-09,4.149998400003969e-09,5.4474577903145525e-11,2.034873169789837e-10,2.3382121812908433e-13,8.57506509817598e-13,9.85349468506926e-15,3.436230645501126e-14,-5.9780660612307126e-15,6.698716043704815e-14,2.991517286303709e-12,2.8697823820038623e-12,4.77737230309545e-15,4.0517108333527535e-16,-1.015394380330262e-18,6.345703906927276e-20,-9.235787330091053e-20,3.7564217030821204e-14,6.558859674534752e-16,3.5367702478103804e-12,2.796676309070316e-12,4.1307202718781087e-16,1.1697158958068552e-15,4.2982121063148237e-13,3.906835950317537e-12
