miliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
0,1.0002582369463487e-08,2.0001143102451354e-07,-1.1391397874078979e-11,-1.6479595152099221e-12,1.2023820074938695e-12,1.9072323422658786e-10,2.964597735548354e-11,7.671038943703749e-13,-4.08402716230732e-12,1.0979861270131787e-13,-3.2434566601003954e-15,-5.916477848062114e-16,4.592010874895018e-16,-4.104457968554341e-15,5.966066686188031e-15,7.706055193411235e-14,-1.2103085330858906e-13,-6.363019977690398e-15,-2.083035607435733e-16,1.0336624649356383e-18,7.05553378314624e-21,3.305278866121988e-19,-5.764007721111418e-15,-3.7083061824093863e-16,-4.714953193827021e-13,1.6003190467207714e-13,-1.513822816521162e-17,5.883917892346853e-16,1.563656330649106e-13,6.014845761144969e-15
100,1.6188177610981012e-09,1.9134571920095868e-07,7.84361640180888e-09,6.472142731554495e-12,3.20612092615503e-11,2.377153184963989e-10,5.744689893819162e-10,1.7727711309990946e-11,8.489874465178609e-12,-3.37661528862467e-14,-4.063731758727562e-14,1.314112990050269e-15,2.964210094608581e-16,-2.7576710638992684e-15,3.309810393873065e-15,2.9389681446174583e-13,5.487649620792918e-13,2.646896084024585e-15,-2.211030284990312e-16,1.1735257661421007e-18,3.043630934276998e-20,1.791214732899236e-19,1.1987255546953701e-14,6.913048347495379e-16,-2.618663726684978e-13,-2.115559822698584e-12,-4.397400239221973e-17,1.1710200252120567e-15,7.073726585716218e-13,3.3550636793092077e-13
200,5.909883242860736e-10,1.9043512357742818e-07,8.086070953572408e-09,3.59750498723591e-12,7.310669380302127e-11,-5.077114586192545e-11,1.3176348821609706e-09,-1.3032349631292525e-11,7.566774508154108e-12,-3.629406265442623e-14,6.666129414615362e-14,-7.882558291610708e-16,3.5432704425453583e-15,1.1704295004281085e-14,-8.522796149051075e-17,6.923068774657728e-13,5.135756727462209e-13,2.6993355155105037e-15,1.2008757204254083e-16,-7.309583761643288e-19,4.3762876544242425e-20,4.0649800093277537e-19,4.052606567246037e-15,-4.745374031678636e-16,8.715957161998438e-13,1.9348791082581853e-12,1.3053372741774123e-16,1.530655275175478e-15,-1.9918405428466346e-12,1.5059848625128655e-13
300,3.409644573090756e-10,1.8993176497403278e-07,7.544808241425143e-09,1.7433504420207013e-11,1.093581682319645e-10,2.0593433788284002e-10,1.8682251012955224e-09,1.6851963198721283e-11,2.251200079069847e-11,-2.4699466653495788e-14,1.5333443519110203e-13,-3.4532452392519125e-16,6.6910256915784185e-15,1.084253303416251e-14,1.0186056668039701e-14,8.474483026881741e-13,9.767136305994217e-13,-7.847435236292892e-15,3.4395058678581634e-17,-4.341855507144758e-19,3.118259457168393e-20,3.4551501476980624e-19,7.303897554411463e-15,-1.5738054395386505e-17,2.579666752399012e-13,3.097482123155244e-14,5.305377359423615e-17,-4.666208017553828e-16,-9.250359073566041e-15,4.102996755622271e-13
400,3.3624486631790745e-10,1.9016683479472167e-07,6.947600928118309e-09,2.4396195337646694e-11,1.3388377865205795e-10,3.950201048710536e-10,2.450051008463283e-09,-3.533419390278313e-12,6.051103405192853e-11,-2.6039378641629396e-14,2.533858789460854e-13,-6.742176270765465e-16,1.1449728974623504e-14,1.840325291064581e-14,-4.9369029359837006e-15,1.465578063098287e-12,1.3959955829707515e-12,6.248902114758698e-15,2.333811294417873e-16,3.1430515234727997e-18,-1.7652427980337363e-20,3.283964213654593e-19,5.761542044150625e-15,-3.835386309581992e-16,1.2691929027719307e-12,-1.598363171675035e-12,4.272194231678283e-18,1.687347939997445e-16,-1.9236226590643394e-12,7.91979060142246e-13
500,4.0688337488701234e-10,1.9007563996951545e-07,6.434968645306044e-09,2.8053503281966686e-11,1.5249927544090111e-10,4.335043559108399e-10,2.9656316765629023e-09,1.3630263537458948e-11,7.443734776900095e-11,1.5418480142539578e-14,3.986750108107465e-13,3.3222847102110222e-15,1.7289439285485453e-14,-9.489858196337064e-15,1.4141520161061865e-14,1.8587552055744607e-12,1.461313197209784e-12,-5.310348850883964e-15,-4.7662888682409083e-17,1.321194124098237e-18,5.217223194693614e-20,-4.000658745065082e-19,1.4224816653738106e-14,-2.0431526899961546e-16,1.498896256437011e-12,1.0158933328418127e-12,1.826882944847156e-16,7.311903639541927e-16,7.312029142462173e-13,1.4260535829510493e-12
600,3.3587927845337086e-10,1.8970407266454498e-07,6.012555390733944e-09,4.623720697984893e-11,1.635070000733194e-10,8.649823651449533e-10,3.2766506619487e-09,9.105547859946642e-12,1.0262827723149693e-10,2.440285026869361e-14,4.2620719458859954e-13,4.5724168013178506e-15,2.1994214779673706e-14,1.8697222160024284e-15,1.1026812019373289e-14,1.962002800439812e-12,1.7829384511983365e-12,1.1553954429950999e-14,8.332288874515526e-17,-2.0845099869037787e-19,7.597632170548028e-20,2.4447749849100966e-19,2.1505215906656744e-14,4.556241976399155e-16,1.0674181632351126e-12,1.4055346636305837e-12,4.159538044301188e-17,-7.74707720888918e-16,-1.7703224834437618e-12,2.3325539702290598e-12
700,3.841110172063022e-10,1.8955750372403887e-07,5.693390238559476e-09,5.2282504261696304e-11,1.7272249864791158e-10,9.393610214142426e-10,3.6264994967699313e-09,1.0401855000233014e-11,1.4961288868931098e-10,6.078995671089176e-14,6.47364634332866e-13,4.260151493565777e-15,2.5804552334389768e-14,2.0118537675840158e-14,3.1253937698167824e-14,2.464604170348526e-12,2.0409091157157575e-12,1.7080777755168265e-15,3.7635298645854016e-16,-2.2127458320191812e-18,-5.717312531748094e-20,-3.6705286325547784e-21,3.369289379564355e-14,6.709354455782611e-16,3.0428137196733092e-12,1.9316285562957176e-12,3.338151023395071e-16,-3.4152022862637735e-18,-5.573697356742263e-13,2.8030549334936677e-12
800,3.6848814280762163e-10,1.8873223424370906e-07,5.419451712025833e-09,6.129127175572717e-11,1.782160753900021e-10,1.3961372448949747e-09,3.924363708158353e-09,1.813373936536154e-11,1.673715184167559e-10,1.0598898339049098e-13,7.679492355660962e-13,8.748664325778859e-15,3.085791282273069e-14,-3.401601435015414e-15,4.463327889618798e-14,2.4703019438983535e-12,2.455450458650717e-12,4.308146678812397e-15,1.5982797666187234e-16,6.54018035331682e-19,-2.724977610071013e-20,-1.9142526211594636e-19,3.627352216602714e-14,6.702224841324078e-16,3.5757718940171546e-12,6.73780642969152e-13,3.0284524078550874e-16,1.3429592729577854e-15,2.2308425070126923e-12,3.2049909307114662e-12
900,3.7042039970536987e-10,1.88882031792862e-07,5.103939850784132e-09,7.127189321389062e-11,1.7992413827925166e-10,1.3409541417439443e-09,4.131010426174869e-09,5.577776202292996e-11,2.0929933370856983e-10,2.288782955164432e-13,8.59718553445643e-13,1.0313031890473254e-14,3.3851971479448795e-14,8.710296235636137e-15,6.28778302226375e-14,3.06080865595637e-12,3.0377235275087933e-12,1.4530248350450613e-14,2.320654165088291e-16,3.708679273304167e-18,9.004910694881709e-21,3.2901787372070593e-19,4.266986413179366e-14,7.107662387245727e-17,3.922195229128151e-12,3.710382236316426e-12,4.3304106493520004e-16,1.3962018550738849e-15,-3.6951196256918634e-13,3.7230472280181575e-12
