milliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
0,1.0036422032982404e-08,2.0016832807658445e-07,-3.423738644527718e-11,-1.4359714696770278e-12,1.2241086967367476e-13,-1.6074894093548768e-10,2.3801410440028538e-11,5.531351459756432e-12,9.403704871790925e-12,9.568394177621339e-14,-2.733348888235759e-14,1.8501889007874853e-16,6.799372519040695e-17,9.382962950374288e-15,-9.278333327321474e-15,1.0885416593901928e-13,-1.942438977143612e-13,6.023305307613577e-15,2.1330454251755628e-16,3.1580527912989266e-18,2.493798211731592e-20,1.3884466373343246e-19,-3.0986252684809963e-15,-5.697949633609366e-16,-2.764451812775528e-13,-1.8896350317295646e-12,-2.7534648405898098e-17,-9.02382492658845e-16,-2.343860807405933e-13,4.3358600228924243e-13
100,1.6485945276692107e-09,1.9182661898381194e-07,7.776492182320005e-09,5.363830576116628e-13,3.181866302541115e-11,2.0357089209407409e-10,5.590293982603038e-10,-6.552240755115217e-12,-5.072585787399155e-12,-9.435431156081117e-14,-4.2956502078604006e-14,1.6182479767510207e-15,5.642344434720734e-16,-4.567792968466032e-16,1.2014953252023429e-14,1.8413566864826687e-13,4.952612992775886e-13,-8.458086284950605e-15,9.387612491539402e-17,-2.3199471621085626e-18,-6.673269265290622e-20,3.1679626868477877e-19,8.927834170399053e-15,-1.3250349624454073e-16,3.6981346623271703e-13,-1.2900043907320296e-12,1.5554159992457858e-16,2.05946077489854e-16,7.067120723227813e-13,5.061034868451736e-13
200,4.861269877761304e-10,1.9060946330230865e-07,8.12239542780072e-09,1.1065531386670097e-11,7.565220595528514e-11,-9.79035055831984e-11,1.2019505452976976e-09,6.448061097938284e-12,5.6064543486307744e-12,-9.262745551350039e-14,6.93427418390986e-14,1.1251272101463182e-15,2.865516373662787e-15,-1.7907033563934857e-14,1.1411737484698224e-14,7.553293961795274e-13,8.545332165589283e-13,7.194223818057171e-16,3.027297645254537e-16,-1.429152054389884e-18,4.440871460157379e-20,3.9287186992381826e-19,1.6404722750582307e-14,6.936228337138498e-17,-5.89819982206345e-13,2.0325294645828155e-12,-1.2089454195381978e-16,1.0431450727852905e-15,-1.1482268797964293e-12,3.124288494387884e-13
300,3.717624188809184e-10,1.899688809704852e-07,7.54935323081222e-09,1.2867813669586675e-11,1.0764206060950207e-10,2.0270495804971385e-10,1.87195673253129e-09,7.130083102284573e-12,2.043039815662205e-11,-5.187540714518583e-14,1.0546182640823534e-13,2.4368249370640032e-15,6.706853482805507e-15,-1.7336853049513836e-14,-4.036188255553056e-15,7.767686528515254e-13,7.479996238256829e-13,-6.961285387233162e-15,3.0681009491448026e-16,3.0758385653679635e-18,-9.200448868946077e-21,2.0708721721083605e-19,1.5885700471995712e-14,-3.06919803461686e-16,8.015733085145808e-13,8.700427408721233e-13,-8.03332033411032e-17,-9.157855161581084e-16,-2.241380452917693e-12,6.068361115843824e-13
400,3.3563201385437536e-10,1.9011306980841207e-07,6.9866359940099465e-09,1.3091713166039365e-11,1.3429741325570626e-10,1.865351735807261e-10,2.516049422422159e-09,-8.953226001372548e-12,4.808931521994946e-11,-8.117061838513483e-14,2.1070725598831441e-13,2.6593796226105306e-16,1.2277079530630855e-14,6.695970343409084e-15,1.6758779988506538e-14,1.5016015069031246e-12,1.439205459690103e-12,-8.073967758599107e-15,-1.408506078662384e-16,-4.576581773762791e-19,-4.2272648121644257e-20,-3.878650693365222e-19,2.1269542263309127e-14,-5.2870894776082426e-17,1.3468525366379307e-12,2.1402746651208103e-12,1.3635354394532794e-16,1.2880573605975332e-16,-8.408595135000685e-13,1.3000319671317051e-12
500,3.696933556405537e-10,1.8962525516856578e-07,6.455853653061852e-09,3.1766432189119e-11,1.512771149738731e-10,6.349598022080638e-10,2.947524653932882e-09,-3.3210277204385116e-12,8.393942489953246e-11,1.555593161440112e-13,3.5143860281742807e-13,4.422855982013322e-16,1.6574104683169272e-14,6.793080231463575e-15,1.2315463721366237e-14,1.4171722955555382e-12,1.4218108965665828e-12,1.4294090170340826e-15,1.0071776470602308e-16,3.0850284895529776e-18,4.319800003241573e-20,-3.085024139017376e-19,1.695702397386831e-14,-4.936494197698021e-16,1.365651780313842e-12,6.291781385688987e-13,2.2101786333512615e-16,-4.442651531867219e-16,-5.117480811014748e-13,1.8205700777710613e-12
600,4.1153316812373267e-10,1.8959883765756782e-07,6.095869083865091e-09,4.362758439742745e-11,1.6353278144197602e-10,9.017615274743816e-10,3.286105637984888e-09,-5.9667929208626614e-12,1.0810344806468977e-10,-3.694641789965251e-14,4.5418628123519055e-13,1.7873431491065064e-15,2.2185009123761677e-14,-4.5808264595153e-16,1.3422856946481705e-14,2.0230012952259385e-12,2.1735476007895645e-12,-1.0354236881754688e-16,3.09689989064479e-17,-2.102121547509828e-18,3.227814495976101e-20,-1.1365007350381247e-19,2.854757241672804e-14,-1.992402520879151e-16,1.2891162543716563e-12,8.939636077988255e-13,1.5038912097242097e-16,-9.461566071512633e-16,2.279285643706807e-12,2.3395636544122043e-12
700,3.4457018267208776e-10,1.8902909559504638e-07,5.632418423651882e-09,4.8176706785223744e-11,1.724086286635613e-10,7.818620664337538e-10,3.7033732342804813e-09,1.6605781150977305e-11,1.4187481246188688e-10,2.0529394743752743e-13,6.8023549217678e-13,4.269352411224735e-15,2.6783377391267207e-14,1.3019573909612067e-14,2.4289049477534148e-14,2.2689900818320753e-12,2.0752299372707803e-12,-1.5706445170614874e-15,1.3747970457837107e-16,1.6245479734808485e-18,3.4766593866005415e-20,2.452029247817711e-19,3.5964260942348185e-14,-4.287393932388422e-16,3.131857926354477e-12,1.8504850184472538e-12,1.2413767858919285e-16,-1.142334537892167e-15,1.1496282990693158e-12,3.0808395053802215e-12
800,3.213649035717889e-10,1.8928157070682685e-07,5.4257328110428886e-09,6.148256343466899e-11,1.7801381783958529e-10,1.3820514239858119e-09,3.8896238483041354e-09,2.9162584733581234e-11,1.6724960726762778e-10,2.765527692126291e-13,7.39485023453517e-13,7.072428266676808e-15,3.0460721629997054e-14,2.1921901373578718e-14,4.435360244794945e-14,2.62883741508609e-12,2.7454927193997278e-12,4.95568409694701e-15,2.0557372941634356e-16,3.457769937714207e-18,5.329465679149255e-20,4.810425269824706e-19,4.0745442974929675e-14,8.23315957040131e-16,3.3606177607360303e-12,2.925777645215409e-12,3.400999142033058e-16,1.0762149276173047e-15,-7.967138048856473e-13,3.0405378787316245e-12
900,3.51530947647362e-10,1.88953675894996e-07,5.13163734421856e-09,8.083207218802445e-11,1.7959647356922628e-10,1.762839488174256e-09,4.117321108078775e-09,4.7290251207732267e-11,1.963078472919932e-10,1.7298771152668766e-13,9.320163841002253e-13,1.0324287180686945e-14,3.4690876110120156e-14,2.8854914750923187e-14,6.942605608036468e-14,2.942937164702039e-12,2.9927258732796573e-12,8.305723513976334e-15,3.314311601208138e-16,-1.473549618727703e-18,-2.7253613412639855e-20,-3.981207345355321e-19,4.4212348087463516e-14,-3.2053998579351324e-16,4.3074742509850486e-12,2.9240624122663822e-12,6.342438586407098e-16,1.4070291931839823e-15,3.7515694826781906e-12,4.518217470641651e-12
