miliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
0,9.985090519458716e-09,1.998527231059217e-07,-3.4750820413105793e-12,-5.931277282202266e-12,-9.540306804165926e-13,-1.6303451886356675e-10,2.3293492134553814e-12,-6.139158695767631e-12,-5.181631317868303e-12,-5.4617692973653065e-14,2.690122934768233e-15,-6.370799409597076e-16,-6.811307597948579e-16,-1.53218313500401e-14,-2.594711398052419e-15,5.710113921129428e-14,-1.2968510027877845e-13,-8.66703792286093e-15,1.0737076686212984e-17,1.6640923963564243e-18,-7.310806066110567e-20,4.112622208376976e-19,-2.9800555862413556e-15,-1.6601439325208478e-16,5.747773830979235e-13,-1.7546211467429498e-12,7.036084272859918e-17,6.078233914205746e-16,-1.2020110480694399e-12,5.022389990275428e-13
100,1.6424750314203006e-09,1.9142642695264625e-07,7.817066856098164e-09,5.176010542280474e-12,3.1477390405832564e-11,-4.1209941832426635e-11,5.042613927703446e-10,-2.220072198881683e-11,2.1235931705417866e-12,8.538671110496662e-14,-1.547348554750378e-17,-1.9863596450563833e-15,1.1727030157205339e-15,1.6116191294727506e-14,-4.2679638704296314e-16,1.4201430324310548e-13,5.093861826558321e-13,-1.83688737254136e-15,2.631295167239182e-16,2.722483952454374e-19,-6.384530622023783e-20,-2.522025860432361e-19,7.608703207786439e-15,7.001856227864052e-16,4.0433500095846243e-13,1.9748104349352033e-12,4.0489854249129947e-17,3.396019473819568e-16,1.9578765179428284e-12,-1.7956744633295767e-13
200,5.936966735041e-10,1.9034756932402208e-07,8.143903334895922e-09,2.646624148102131e-12,7.622695078249875e-11,-6.58497089328469e-11,1.2956955849110335e-09,-1.0604588386064826e-11,1.032249778262474e-11,8.332861345552076e-14,1.1231664736568916e-13,-8.035508651619084e-19,3.764044137613998e-15,-1.92117655897555e-14,7.8424025077955e-15,8.085034654038108e-13,8.87542472598288e-13,-1.0076395969991187e-15,-2.481575430742577e-16,6.942108828785418e-19,-4.740351595534125e-20,3.329618988114066e-19,4.201468718805902e-15,-4.792191232778346e-17,8.724351921448981e-13,-8.923431230844097e-13,8.566261481575673e-17,9.137998345473993e-16,-3.3915479682915865e-14,4.2919026002451274e-13
300,3.3080146178919086e-10,1.9018866379969405e-07,7.513059598681817e-09,7.986773459101345e-12,1.0990420933888172e-10,1.4206288220072486e-11,1.9513199034388547e-09,8.632878113463421e-13,2.3517902308828474e-11,-3.5365437705087436e-14,1.017817167169482e-13,-8.412903085340284e-16,7.333991629725479e-15,-7.192480649831874e-15,1.1027096572078108e-14,9.25979703471119e-13,1.1244604248754735e-12,-8.273449543969366e-15,2.991806619373667e-17,-3.000981311254358e-18,5.9101949596721104e-21,-2.753228685685366e-19,1.4703226911806758e-14,6.672199122102897e-16,2.0316137795144853e-13,-3.5568276683079713e-13,-5.624270766040028e-17,7.570846851251695e-16,-6.45868007191332e-13,1.8233136197907485e-13
400,3.8856245103024436e-10,1.9021124081049526e-07,6.949767707317703e-09,1.2648082504699196e-11,1.347286311749413e-10,2.438201810708466e-10,2.522481856538454e-09,-1.1127264639938389e-11,5.247847619528257e-11,7.085348718731393e-14,1.821619763461768e-13,-2.2464631861402295e-16,1.1570117095815539e-14,-3.052394642933702e-15,1.7049899662809168e-14,1.2830989237043307e-12,1.5151631061219503e-12,-1.7593579278588061e-15,2.021407667984429e-16,3.2160648915765786e-18,4.5274923974640725e-20,-2.905688598188003e-20,1.1050810494856113e-14,-1.1651823698624323e-16,9.302588444245248e-13,8.33384408508581e-13,-1.5534536786885156e-16,2.586330700479515e-16,-1.21438500347899e-12,6.392466974149764e-13
500,3.2671543545339234e-10,1.895886908289e-07,6.41428272901564e-09,2.3080784541459517e-11,1.511501890657122e-10,5.343832274977933e-10,2.933664198878006e-09,2.768938724499713e-11,7.987746441707748e-11,-6.128321522207857e-14,3.8539811059305377e-13,9.583411999608783e-16,1.7110438912597133e-14,3.792212884100914e-16,2.0494377366549897e-14,1.7662857626713685e-12,1.7527570131712983e-12,-1.063047049053579e-16,3.9942193765813736e-16,2.9551694716230344e-18,3.276429726429184e-20,4.687041182869807e-20,2.347420475841778e-14,6.206106674270141e-16,1.301208982546849e-12,-1.0586485779239475e-12,-1.2098575737027073e-16,-9.792661812795848e-16,-1.7306136218803942e-12,1.1854834054170352e-12
600,3.040141232777094e-10,1.8983959577514057e-07,6.008594323771992e-09,3.792711330393698e-11,1.6575035530348476e-10,9.128985870459279e-10,3.355172473957012e-09,1.024725089874127e-11,1.1900329647004543e-10,9.454397916129192e-14,4.259443015201518e-13,3.3949369066213202e-15,2.1615560429389153e-14,1.919870929342162e-14,1.9446309652869338e-14,2.0928175784899547e-12,2.1520234365463148e-12,-5.675133160773965e-16,-8.760493280200646e-18,-2.193103074364613e-18,-6.584330147166507e-20,2.0498531467201366e-19,1.7418849744248677e-14,-5.780315758135723e-17,1.2753540128717493e-12,-6.844738563237951e-13,3.564589761504202e-16,5.895223293946328e-16,1.3187756798226365e-13,1.860115874818095e-12
700,3.4135384010385827e-10,1.8920377328004545e-07,5.681825294540338e-09,4.7521064431478004e-11,1.7256725639825383e-10,9.20305645111275e-10,3.672384004705293e-09,3.874095969214734e-11,1.4947448177302946e-10,7.905969034471443e-14,5.820722520530259e-13,5.577771810649185e-15,2.656718154693948e-14,7.971659522136051e-16,4.0161053557098837e-14,2.472914725095939e-12,2.430040378669643e-12,4.553682738057506e-15,1.2958840680096517e-16,-1.7410607463777728e-18,6.185279370931697e-20,-4.3456314713680795e-19,3.261430135786446e-14,-6.193978260888635e-16,2.890081606848192e-12,2.039694983118389e-12,3.478087884474366e-17,1.1545498584655163e-15,8.277061027070968e-13,3.2053805462967788e-12
800,3.922982003221584e-10,1.8926528955653115e-07,5.324382369949239e-09,6.610109530453059e-11,1.7841662306664107e-10,1.0482706214656325e-09,3.878367060593527e-09,5.6834360304444285e-11,1.72379326616931e-10,2.788993026344442e-13,8.190871572372229e-13,7.586228323679353e-15,3.053903281861911e-14,1.7327570959203363e-14,3.2021611650293864e-14,2.5896991438100064e-12,2.5952859121660618e-12,1.365201455748147e-15,2.6669149045590947e-16,-5.357752993108337e-19,7.101521227935798e-21,4.505863120328628e-19,3.7814048346117154e-14,3.1454299907439433e-16,2.4231708804705087e-12,2.3721929649146657e-12,4.650473317797664e-16,-6.478780523438426e-16,-5.07884628604727e-13,3.3561084444576005e-12
900,3.8274336666800527e-10,1.8882835958956432e-07,5.1649069440122335e-09,7.470038816426037e-11,1.8108248754538306e-10,1.6370455307253917e-09,4.200096428145736e-09,4.908193614859692e-11,1.9433285437577385e-10,1.5534076744461712e-13,8.759537434141783e-13,8.522861713003647e-15,3.38219327300526e-14,-2.282718459709982e-15,4.972426220564849e-14,2.9527784134926795e-12,2.795463159076212e-12,1.047570767826099e-14,5.421875251301635e-16,-9.935648310292067e-19,2.2351419323501128e-20,4.701343690765888e-19,4.40603270819746e-14,-4.433927068417808e-16,3.812552103814529e-12,2.8751122335458714e-12,6.162070037707825e-16,1.451269684860636e-15,7.979695127168358e-13,3.921899462335717e-12
