miliseconds,s51,s52,s53,s78,s85,s211,s213,s482,s483,s484,s489,s490,s491,s492,s493,s494,s495,s496,s498,s499,s500,s501,s536,s107,s108,s109,s110,s111,s112,s113,s445,s446,s447,s448,s451,s517,s518,s519,s520,s521,s522,s523,s524,s525,s526,s528,s529,s530,s531,s533,s535,s527,s1,s2,s5,s6,s7,s17,s18,s20,s21,s22,s23,s24,s25,s26,s27,s29,s30,s31,s32,s33,s35,s200,s381,s383,s385,s387,s389,s391,s393,s473,s474,s475,s476,s477,s478,s479,s502
0,200.00705981099867,8.942037846810654e-05,-3.085217124770863e-06,-0.012565723070575073,-0.00015771221277565198,7.967174179115659e-07,-2.4885419714294664e-05,-1.3670596178481487e-11,3.691034937989412e-15,6.511035286613772e-20,-1.268871368653809e-32,-2.2353364716003478e-28,1.878177008924329e-23,-6.234386859876003e-38,-1.68954219388551e-42,0.00020840848555787832,-5.9565469026298976e-05,-0.0003528983255444696,-0.00037773669221787307,7.16064601893242e-05,-1.4833831803780705e-08,0.0003404970012376043,-9.128345337054127e-06,6.357123065690271e-07,1.952354189931327e-09,-1.6298057127235373e-09,2.8311398013287086e-09,4.0150355278266655e-10,2.396465119589122e-09,1.2895463811025736e-09,-1.0515411577129854e-07,2.955502291688496e-09,-1.3384184646302052e-10,-1.1174981734330746e-09,-8.445514943313757e-10,-6.441500410539066e-11,6.158670739632022e-09,-9.926272469495526e-09,-8.213413514031928e-09,2.998181686226517e-08,6.476050913082943e-09,9.238206612733002e-09,4.966926985741686e-09,-1.913573235349182e-09,9.857480898003653e-10,-4.971048694215644e-10,-6.878122508305099e-09,6.8581574907351866e-09,-1.058581276603291e-09,-3.8063380237636095e-07,-8.468837160985794e-07,-2.460603471399093e-12,8.000002528118905,8.000002514191552,8.000019797336325,5.756090400920366e-05,953.0103200420505,1650.0680415249362,22.0000053576518,8.000269244185459,8.000002998411894,750.2583538262239,8.0003566250754,7.999611200674184,8.000001739360037,8.000001136848617,7.999995398477675,7.999524643921881,7.999999029869682,8.000122452100909,7.999936366900706,-2.767964654509731e-05,1499.9999660717228,0.3453647302649829,-1.9851846901889076e-06,-1.6299366206993931e-06,-2.0295960641187326e-06,-2.6347355164893953e-06,2.2682603991160134e-06,-2.560864286492405e-06,-1.0697997315803545e-07,2.9563723819599923e-06,2.1462539539187214e-06,2.30079068082855e-06,2.1164852087723874e-06,-3.8369469171116117e-07,1.1622061166914618e-07,-5.986557977909716e-07,-1.2361627877161705e-10
100,199.96963733041534,4.1573467353811775e-05,1.3188422898967033e-06,0.011439186175919321,0.00024871150526590847,-4.485903029448385e-07,3.309333284973554e-05,-2.967967265302399e-10,-1.6951345803858934e-14,-6.836277207470091e-19,4.210060762168244e-33,3.460145987115372e-28,2.12525590828492e-23,3.047290777038623e-38,-3.5463917314959316e-42,0.00039079846492712196,0.0002412504081086165,0.0006420329417791031,0.0006341000819941621,0.0007194663598992389,-6.196414462781648e-08,0.0006334426610138257,0.00018840598458511873,-4.3153900372716523e-07,-2.3830623936996087e-09,2.839977956655067e-09,-2.796764272725834e-10,-6.676273232361501e-11,1.252197604778308e-09,3.106646931546601e-10,-1.1298000058932894e-07,-1.8666344761342518e-10,-2.472037132473511e-09,1.157993670369569e-09,-5.848822240054162e-10,2.205893619775991e-08,1.2326613608674628e-08,2.4854888520039766e-08,1.3591932534239785e-08,4.426110580754975e-08,2.749569299756166e-08,1.0232773228673374e-08,-4.656552082380842e-10,2.956394997041384e-08,7.968849407098103e-09,1.796956458533654e-08,1.7972964252191857e-08,2.325731878650049e-08,8.777572389065384e-09,5.715591357723827e-06,1.1704582954513492e-06,-3.547900592650911e-12,7.999995307645515,7.999993429003576,7.9999534539657775,0.0001049668723181988,953.0324321700793,1649.8564205131415,21.99997942961275,7.999191035736564,7.999997659238054,749.8322782128737,7.998942660208087,7.999409428953321,7.99999447649389,7.999993704253134,8.000031613670814,7.999383101031767,7.999998350491586,7.999287584957626,7.999813063927889,3.90038812281441e-05,1499.9999499608207,0.17785194856478226,4.164365240608661e-06,4.289989544644948e-06,6.335365589105748e-06,1.4667325471118391e-06,3.1359394335256544e-06,6.1275389147301895e-06,6.296597194944138e-06,3.3308704814320043e-06,1.294802753121802e-06,4.847640163743893e-06,1.519563397277354e-06,4.570561134413406e-06,7.049086157681264e-06,4.7185717879379995e-06,-6.402956156451977e-11
200,199.9284954881368,-0.00011888433373224318,5.4133126414997316e-06,0.047948207288308446,0.0006771497253068894,-2.473651403364113e-07,-2.1263546561405912e-05,3.5034152551060455e-10,4.788388534198365e-15,-6.049204829210569e-19,-1.0202106499813295e-32,-2.488059636292898e-28,1.1437822210635635e-23,2.9496701780081144e-38,3.3061036164521967e-43,0.0014121746301111926,0.0017177188506723128,0.0014835086137210975,0.001221425773045817,0.0008743139761989943,3.3774723764166e-08,0.0010218951179460961,0.00021425273373235082,-5.050800878533722e-07,-1.0306270163377159e-09,1.2582929437626182e-09,1.1761310743640185e-09,-1.2131825291840695e-10,3.080935179548207e-09,2.6685794283846334e-09,1.9943533182479597e-07,-1.8808038040422682e-09,-2.754370242181404e-10,3.4684262698650334e-09,2.589519535830671e-09,4.1147090457936015e-08,2.7067251291724937e-08,4.2576000819613105e-08,4.17887745466094e-08,1.1063817744289435e-07,4.7788152500479727e-08,4.542311111392671e-08,-2.2595298540447776e-10,3.539165685842769e-08,3.501318871862634e-08,3.3345618358026325e-08,3.821539946556795e-08,4.818994461283168e-08,4.5175895616609866e-08,7.5121129959297875e-06,3.223773450602717e-06,-2.4133798952231752e-12,7.999991772833936,7.999990603638051,7.999939393218343,0.0002966795312453955,953.2177168924611,1649.7398905778123,21.999946800060627,7.998964234879674,7.9999889300249745,748.8235590263725,7.99832367242618,7.999116865215968,7.99999348153817,7.9999944835685595,8.00004775758643,7.998815594664836,7.999992238360706,7.998682148838652,7.998254106885687,6.207326978751423e-05,1499.999852652854,1.1008031763568666,8.297133212255605e-06,5.567521586527417e-06,9.864339925972899e-06,6.074230604646755e-06,6.309546041514932e-06,6.868009010506838e-06,1.0944621792624222e-05,1.0717904200479946e-05,6.301691813333423e-06,5.2939808035686085e-06,1.0437703609182516e-05,9.950498633222492e-06,9.229802189867537e-06,6.129107210164047e-06,4.0207656894824093e-10
300,199.93065021482062,0.0004223234718122816,1.6512306557925339e-06,0.06060018433224213,0.0008878131621191686,-7.619486959443681e-07,8.106850703222948e-06,4.1937067302840915e-10,-4.104402416423686e-15,2.5654431774042786e-19,-4.980780327455933e-33,4.76338664112002e-28,9.086292055864824e-26,2.191477644666924e-37,-4.068916140249635e-42,0.0018459007299821974,0.0017729150697698808,0.0016774289897747634,0.0023211010840556412,0.0018555120855370413,2.6714095721110492e-09,0.0018359917522088986,0.0003384134599951048,6.504436019795335e-07,2.86970694400786e-09,-1.6641278724764368e-09,-1.32212564094388e-09,2.3199124375360364e-09,4.92085128668928e-10,-6.599378685995366e-10,-2.374477499656528e-07,7.45424597365742e-10,4.0445434140411555e-10,1.77614536900565e-09,1.4555640171734209e-10,4.944778977856723e-08,4.8296804001979e-08,5.640404252497579e-08,6.16833900367893e-08,1.6132615509708025e-07,4.8642794775695635e-08,5.555050185320693e-08,-2.5237252415595393e-09,6.4389454725874e-08,5.600719399048785e-08,5.1443702928002446e-08,6.031184268472144e-08,5.975786238451611e-08,4.840206705061433e-08,1.097496912569156e-05,6.0267069151234856e-06,3.08200950789638e-12,7.999987907521352,7.99998630099882,7.999922552120432,0.0003453220181192114,953.3062573181833,1649.6515455865192,21.99991599290363,7.99859087102632,7.99998823317399,748.6187635888048,7.998281630718677,7.998398715162799,7.999987918767724,7.9999869138458175,8.000063155675589,7.997676279359082,7.999984785883333,7.998167903608609,7.99846998822886,0.00010539084290745414,1499.9997913276393,1.664941112088422,1.2655156146990611e-05,1.2199989360772118e-05,1.3852952842772973e-05,9.860373747635504e-06,1.3018504302156024e-05,1.1789712307150577e-05,1.2105574523163658e-05,1.1176571756666595e-05,9.539296041219413e-06,1.296617010052506e-05,1.0718407994002706e-05,1.36793126635245e-05,1.1538861456602096e-05,1.0686606671917247e-05,2.858893673131978e-10
400,199.90653273179666,0.0002592009125043833,4.034885561635501e-06,0.09589148483362658,0.0011519972681629973,7.623416353204797e-07,6.206980361455576e-05,-1.494728038721001e-11,-4.997948718776267e-16,-2.9471561913792954e-19,2.3697216902898144e-33,-2.3504504067118693e-28,-2.0616403945818537e-23,5.966051845913601e-38,-4.018725620065896e-42,0.002404681312880666,0.002321443626657463,0.002748776267203626,0.002596983569712352,0.002813612219668806,1.9283204359469206e-08,0.0025738600310803816,0.0005954309422083155,3.3939540218114136e-07,1.895453754638643e-09,3.0620688077497625e-09,3.503169967334965e-09,1.9109418833445354e-09,2.171807111303565e-09,1.0224970753954238e-09,3.694810885548335e-07,2.1790893430628568e-09,2.6778297837907296e-09,-1.1426489151034706e-10,1.3164034051850919e-09,8.558783194478609e-08,7.141243113922434e-08,7.268831649483385e-08,8.219499195596959e-08,1.9892146192760218e-07,6.683708939613463e-08,8.277701654401791e-08,2.3151655579638975e-09,8.560944812217698e-08,7.566345606209619e-08,6.551526338887308e-08,7.38869884894898e-08,6.412030249868634e-08,8.563608935341843e-08,1.4605503342453287e-05,9.336606299442948e-06,-1.1123306111625898e-12,7.999986400699959,7.9999862143709555,7.999871307797478,0.0005325456381956175,953.3626668462549,1649.5767218318028,21.99987654935833,7.997726127679879,7.999982330254533,747.4327531701355,7.997735087916063,7.997635346567559,7.999985042779762,7.999983358535121,8.000083923941666,7.997229177087339,7.999984316152282,7.997800398889913,7.997260538870007,0.0001819265065618286,1499.9997646069987,1.8900470243828489,1.7240130102552274e-05,1.622871103558785e-05,1.649038077141229e-05,1.377916455851864e-05,1.4657870207487937e-05,1.3874638129383454e-05,1.945718722623702e-05,1.3451069708459967e-05,1.91308524379102e-05,1.4852490055952267e-05,1.8558717369782983e-05,1.523080457864202e-05,1.4465507413530097e-05,1.7568436404825182e-05,4.832936303324051e-10
500,199.87052376473835,0.0002515271114950934,2.0592724183945255e-06,0.12827387370541388,0.001357325715455451,-7.392017840077649e-07,-4.0730687089447524e-05,-8.142678671164854e-11,-1.4797497709513874e-14,3.5181994411721455e-21,-3.8093475578486557e-35,3.124148115951552e-28,-1.5962528130968194e-23,1.1142165256234408e-37,-5.044382652609375e-43,0.0035675600260603193,0.0028639305875283894,0.0032834901254994277,0.0035446655131400376,0.0032038223519253485,-6.396587157078308e-09,0.003060363246586181,0.0007954459624208716,1.0486867207356692e-06,-5.741366911074292e-10,3.1891055024657267e-09,2.6612867520939145e-10,2.4736629094503813e-09,4.367314187708019e-09,1.8024153089990214e-09,2.516397837938029e-07,1.1850495386879478e-09,5.2426968059746366e-09,2.4146705597526394e-09,2.7484447537460023e-09,9.53504399463491e-08,9.78828183201977e-08,1.0281180695302011e-07,8.845456608600649e-08,2.59059684648303e-07,8.550504841887085e-08,8.937127584224977e-08,1.48601530659464e-09,8.564056435288545e-08,9.602172323022739e-08,8.895777254034655e-08,9.375919746860888e-08,8.845556458976517e-08,9.492826153530428e-08,1.9121384905950017e-05,1.0780618971315856e-05,2.9847534474523893e-12,7.9999804225888065,7.999977829411516,7.999837250638774,0.0006354178147230388,953.4088524153475,1649.4674432768318,21.99988416977809,7.997548316567613,7.999981962508062,747.3692984494876,7.996866998564856,7.996364145717586,7.999979460670392,7.999978622577282,8.000097326905342,7.996455507834968,7.999978959820545,7.996541555673339,7.996370284400625,0.00019433356470805065,1499.9997457774632,2.6464121777762375,2.0128797162785216e-05,1.8685971791847346e-05,2.1562927316620045e-05,1.88316571495748e-05,1.918059787562034e-05,1.9821120428143768e-05,2.1527171464011333e-05,2.0346572220283575e-05,1.900393408760214e-05,1.7906604715992552e-05,2.1023357333963233e-05,2.1155218918288096e-05,1.840393476942147e-05,1.8220307986235177e-05,1.6469902120140724e-10
600,199.8313663006812,0.0004044183513896352,8.264476811932579e-06,0.12503232240566822,0.001658510106847636,-3.3099914202271043e-07,1.8665714483563335e-05,6.777733259845019e-10,-8.489202570512471e-15,2.2690788062337867e-19,-6.978709794484556e-33,-3.448805464477532e-28,2.0027826577966953e-23,-1.678422039622203e-37,3.876302087805629e-42,0.004040808471134355,0.0038688200718852706,0.003548564594478744,0.0037709372413171206,0.004159321002024096,1.9336666696092545e-08,0.003907804907509151,0.00093154201244198,5.251089516645025e-07,6.40403030641697e-09,5.359712302707623e-09,1.9148679751461887e-09,2.7366854647485974e-09,6.738078035537684e-10,1.1324221076872247e-09,3.776232037775723e-07,3.4413677630307385e-09,5.975553796981349e-09,3.5316592887240103e-09,4.848484422182181e-09,1.00664503874593e-07,1.0131850152984857e-07,1.214164169258839e-07,1.1419164338741714e-07,3.2445008459697184e-07,1.0590237792767424e-07,1.1122955405777275e-07,9.133226019748145e-09,1.0624784726900902e-07,1.0274369081375736e-07,1.0435671429013731e-07,1.0332639903073943e-07,1.2166701368447371e-07,1.015583807206517e-07,2.353144163264935e-05,1.339472800332452e-05,1.0323604515164757e-11,7.999976813357937,7.999973514889399,7.999817054365135,0.0008148445390374777,953.4375884048992,1649.4306048879403,21.999838663746996,7.99678588760691,7.999974889114893,746.1520457095532,7.996590554350257,7.996257623050751,7.9999740836845525,7.999974930317111,8.000116851259111,7.99644092768366,7.9999737541944995,7.99622850814317,7.996295116794998,0.00029337467389338993,1499.9996369047233,3.2911703575287947,2.326569233905442e-05,2.2886022657595456e-05,2.5101594396012088e-05,2.600778889321624e-05,2.415863141746376e-05,2.5728814142240327e-05,2.677010594678817e-05,2.5661512219302306e-05,2.4711615294322214e-05,2.3254784382806833e-05,2.630461375034719e-05,2.599173502946698e-05,2.4447845201537497e-05,2.744706118821812e-05,7.816637491455656e-10
700,199.81583552942476,0.0005666483338837761,8.134272250003009e-06,0.15522409401617754,0.0019294432673605812,4.659854291457884e-07,-7.380305299621557e-06,8.580746628794322e-10,1.0167654566090822e-14,-4.34084779764996e-19,-9.91512207279483e-34,-3.734277890250345e-28,1.7153991307438257e-23,-7.763300976503216e-38,-3.311929962337675e-42,0.004921162700391855,0.004691021745692338,0.004189746456788698,0.004779227247132581,0.004870516958532145,6.179615581843797e-08,0.0042753585077329095,0.0009218772507596269,1.02274460622092e-06,3.1373057723643533e-09,1.560405120288622e-09,7.300242116816513e-09,3.940586768071433e-09,4.461775360701509e-09,2.362764439646049e-09,5.226356022774095e-07,2.003012439979773e-09,2.2755270832723535e-09,2.657399815826052e-09,4.935430728806345e-09,1.3926709797466756e-07,1.30555384471299e-07,1.3796250195195e-07,1.1903595043057474e-07,3.33349043717655e-07,1.2368455982682142e-07,1.2257738319607872e-07,1.4341261410220579e-08,1.2055494337402417e-07,1.2894938120620845e-07,1.2445856722148573e-07,1.345584026693406e-07,1.1843804989568938e-07,1.3416557454600996e-07,2.746847544007799e-05,1.4139695156614622e-05,9.007080836349287e-12,7.999968049752061,7.999968125064123,7.999792542539016,0.0009197613460442472,953.5245135844785,1649.3196190331714,21.99980152667314,7.995912870467895,7.9999704415661625,745.8720202381214,7.9953068956734,7.995361713052868,7.999971786780607,7.999973362297386,8.000154565549499,7.9954197107732705,7.99996921045836,7.995496120556009,7.995402399265178,0.00031351818083993123,1499.9996025599678,3.530783869472993,2.6539507876693508e-05,3.1501750332341455e-05,2.9766548080941396e-05,2.961490526637511e-05,3.107722971624933e-05,3.132990525525531e-05,3.0020429367750085e-05,2.645824240600782e-05,3.096638352967168e-05,2.9454111993598155e-05,3.085621389880738e-05,3.109949146536903e-05,3.106670734234091e-05,3.0105905364596512e-05,7.058048628461506e-10
800,199.79502481714314,0.0009445787905368049,6.125370368815035e-06,0.18394257871134648,0.002268221705130277,-2.610868112813324e-07,7.981030841978923e-05,5.437736001045726e-10,-1.2591942902237156e-14,-1.752504636722434e-19,8.36098723200936e-33,2.451614550101957e-28,-1.4354297465940302e-23,-1.0654564185332943e-37,-4.4042684388671685e-45,0.005247305268779157,0.004967203305243959,0.00486590007959946,0.005216189977316449,0.005538112469703878,1.6149282837514294e-07,0.004946379127323358,0.0012642405556615136,1.0162596038799317e-06,7.352063570406766e-09,6.654205944535549e-09,5.518356103273198e-09,6.3965104560818095e-09,7.778611659172488e-09,6.256113657551588e-09,3.7861933065502137e-07,7.093784539294996e-09,6.413018246372646e-09,4.6969491817829395e-09,7.223582190855695e-09,1.51168619333897e-07,1.5703123565707713e-07,1.4611944686590756e-07,1.4251304315075627e-07,4.2874612615377746e-07,1.4947241315440401e-07,1.5675894750076853e-07,6.12228384426808e-09,1.4722699775591445e-07,1.4575985458645975e-07,1.4656387804083217e-07,1.4489410940634235e-07,1.4903796795808966e-07,1.359218667953582e-07,3.183366693188113e-05,1.7562418835646828e-05,1.1195596532163757e-11,7.999964033462175,7.999966096117673,7.999760796945206,0.0011171883910114123,953.6402492952457,1649.1981281869982,21.9997913858615,7.995830044543766,7.9999697280629665,745.2991871954295,7.995188956598416,7.995058381777752,7.999964572954675,7.999967047509208,8.000181099654915,7.995155237433185,7.999965873833782,7.994784450592487,7.994593042636617,0.0003704353867345964,1499.9995554171123,3.7944383733890565,3.149599024180164e-05,3.361054667370009e-05,3.2657708992722336e-05,3.1476843749329236e-05,2.987251800542435e-05,3.141133530764496e-05,3.296207128754767e-05,3.500314730267552e-05,3.316034720839473e-05,3.4937059756498884e-05,3.1921148166016275e-05,3.232143331713172e-05,3.567691493820309e-05,3.4142831584904154e-05,8.146946311173569e-10
900,199.7598681810738,0.0006635542025855538,1.2364968498266386e-05,0.2163175990541268,0.0025298327118037115,1.003236970542062e-07,-9.030697839572193e-06,9.05015190521076e-10,2.685391760738714e-14,3.2222007512249565e-20,-1.0918021980052166e-32,-4.905778720234714e-28,-5.2609659094870336e-24,1.6921142234590202e-37,-1.0167236412278047e-42,0.005790723272219248,0.006073651173793708,0.005575985286928022,0.00537949364897028,0.005653754231001784,1.421549238621236e-07,0.006196151970239458,0.0013156112481345402,2.121355833608295e-06,8.288666337344382e-09,8.471501189101993e-09,5.9366737687830275e-09,9.293101475351161e-09,5.261585782372053e-09,8.43419350771953e-09,1.2508794684528713e-06,9.125126706848248e-09,8.874656114414861e-09,5.537731842842752e-09,1.0018016126816846e-08,1.701065747128966e-07,1.6650768449610173e-07,1.624129745852567e-07,1.6499554364266575e-07,4.613673629116202e-07,1.6620509557826913e-07,1.5393385455195412e-07,1.071624063510077e-08,1.6981190808573617e-07,1.668285371036216e-07,1.6284089866802796e-07,1.705515100955304e-07,1.6284053894683877e-07,1.5670241853091853e-07,3.401259169702303e-05,2.093053607528672e-05,1.126631037146332e-11,7.999963360119522,7.999962875230015,7.9997387998383624,0.001288322978196739,953.7282763216182,1649.1377023567443,21.999776381499395,7.995101932974548,7.999964429169528,744.3689169768111,7.994606148916609,7.9941135217176,7.999965515154322,7.999963200861318,8.000186991587032,7.993884155398533,7.999964582723042,7.99373520549143,7.994454419541283,0.0004194491931754073,1499.9994593289675,4.635019316270392,3.6337896468242475e-05,3.7261654705670694e-05,3.9072764287461174e-05,3.4461889962845674e-05,3.9767041950546295e-05,3.526424294550445e-05,3.570100208351982e-05,3.856274370111079e-05,4.002683134125812e-05,3.8964906432034325e-05,3.793163813230161e-05,3.446068753058296e-05,3.413776957480146e-05,3.7732340194346743e-05,6.428159678990816e-10
