miliseconds,s51,s52,s53,s78,s85,s211,s213,s482,s483,s484,s489,s490,s491,s492,s493,s494,s495,s496,s498,s499,s500,s501,s536,s107,s108,s109,s110,s111,s112,s113,s445,s446,s447,s448,s451,s517,s518,s519,s520,s521,s522,s523,s524,s525,s526,s528,s529,s530,s531,s533,s535,s527,s1,s2,s5,s6,s7,s17,s18,s20,s21,s22,s23,s24,s25,s26,s27,s29,s30,s31,s32,s33,s35,s200,s381,s383,s385,s387,s389,s391,s393,s473,s474,s475,s476,s477,s478,s479,s502
0,199.9900933958201,-0.00033298310909475186,1.0641451525053346e-06,-0.0022581297678210058,-9.936372532488951e-05,-5.4167796247992e-07,7.680558757086001e-06,1.2830413448138144e-10,-8.185582408371084e-15,-6.60109833642038e-19,9.51027429307195e-34,1.5694386092534337e-28,-9.54012153110879e-24,1.5101977710370292e-37,-4.0050281672263387e-42,0.00036092689570229117,-0.00023337378380352744,1.716034027310166e-05,-0.0003933601136849511,-0.00024136896060854778,-4.88068767107487e-08,1.1997403218864623e-05,0.00010353017507164943,-1.208083863721379e-07,2.0266997254836995e-10,-2.5473796181380672e-09,2.701435940093407e-09,6.305592860461842e-13,1.9397016494692392e-10,-1.866416692854049e-09,-1.7898420696216856e-07,1.4656070659795743e-09,-1.5546487442989509e-09,2.2481041280060192e-09,-2.361462505952518e-09,-5.970222081347491e-09,2.014050111699563e-09,-6.2758960476093225e-09,4.995754987864278e-09,-1.6076730717997552e-08,-7.036855863229701e-10,6.318408925489649e-09,5.288050014796834e-10,7.563232242767402e-10,-6.1754043084523215e-09,-2.7351945054578855e-09,3.619910597291906e-09,8.51264873272399e-10,1.0686666170533414e-08,-2.148649853982636e-06,1.2774555371380467e-06,-9.39277685727135e-13,8.000002824910311,8.000001778557108,8.000008568321537,2.6589955751228935e-05,953.0133556011997,1650.0194866438737,22.000008959371982,8.000200716846297,8.000002827706606,749.622462231245,7.9998504407536934,8.000436005020946,8.000000988291422,7.999997649315953,8.000005702889124,8.0002852602963,7.999999936176719,7.999559005363053,8.000462487191086,-2.742785977913201e-06,1500.0000173769845,0.12885878108840265,-1.721909452730637e-06,-2.1300195890903303e-06,2.92410730626392e-06,2.9825552188095395e-06,8.717267991833121e-07,1.190886156275577e-06,-1.4931338066566646e-06,2.888188621297959e-06,-2.985939972136115e-06,-1.4738453280128862e-06,-2.5304460040253246e-06,1.257934696866895e-06,-2.304237177447022e-07,-6.108260407046088e-07,3.14143346222043e-10
100,199.98736744082169,-0.00018367340785124038,3.5310026142760206e-06,0.0245307172292853,0.00011244168936768218,1.639018957400459e-07,-4.019942364147946e-05,3.297631195084825e-10,-1.673599545796532e-14,5.126765563847779e-19,9.794798582899234e-34,-2.5853313538767075e-28,-1.8760225584126327e-23,1.5751418108348521e-37,-1.0982114807745544e-42,0.00036819784025488933,0.0010986134345567391,0.0004296008647995634,0.0002641675562706029,0.0002831509773624895,3.4713413424431974e-08,0.0007600525029920824,0.0002361542947542281,-5.557296226864148e-07,2.535148312988372e-09,-2.9176403900980814e-09,-1.6703243621926377e-09,2.9940975496522486e-10,2.3854197845759413e-09,-1.5692339289476698e-09,-1.936723548085045e-07,-2.2862244249735726e-09,-4.3566077910634595e-10,-2.9566375882235445e-09,1.635218216585138e-09,1.8190532850588173e-08,1.5722193675427654e-08,2.67034052063254e-08,1.0636860453733747e-08,3.6209377975802e-08,2.3850252275541303e-08,2.142710521621262e-08,-1.9866907952856836e-09,1.390255440064421e-08,2.8972289587414572e-08,1.500112405728228e-08,2.5538206048863047e-08,1.307467432411736e-08,1.2678948692617177e-08,1.8692233594812138e-06,3.0034750672552275e-06,1.705753422121355e-13,7.999998188540065,7.99999409525742,7.99996193790793,0.0001891077042179211,953.0821911338209,1649.9141711231068,21.99998905833926,7.999209313309142,7.999992810467335,749.407669296543,7.998970443850462,7.999647019885859,7.999994883184779,7.999992921093617,8.000021780858187,7.99976682581079,7.999996584509074,7.999556239559845,7.99966013515403,1.5621428755423382e-05,1499.999946892837,0.6334442568518172,3.23386460476565e-06,4.775481681108336e-06,3.6523612382170875e-06,1.750896936013766e-06,1.8250722161974655e-06,3.9324769217733145e-06,1.823627023722802e-06,4.135638083318954e-06,3.2355982612573294e-06,2.8615377777968947e-06,6.133434109320318e-06,6.7046473360920775e-06,1.572229590192561e-06,6.9256890187457644e-06,-3.5620062917758264e-10
200,199.93060532302545,-0.0002540285528850913,-3.015638660501028e-06,0.031813309377540164,0.0003995394269397743,2.645556077692359e-07,-1.805797776656553e-05,-3.3583426245869074e-10,3.3284449611963044e-15,-6.311638956810587e-19,3.4161395901597765e-33,6.335438621426741e-29,1.3324654032127018e-23,1.5206636114494887e-37,-9.906349748990115e-43,0.0011632859200722827,0.0014559911540531383,0.0014619319489625159,0.001627712774926151,0.0009576633231177115,5.0280024829417036e-08,0.0012416828564920134,0.0003227760715366329,3.8546121708814154e-07,1.6349946966839928e-09,2.994231973656818e-10,-1.337468166647523e-09,3.3233563745296218e-09,1.1605534533384732e-09,2.128654641937589e-09,2.526902076391927e-07,8.773332499244477e-10,3.252107674459116e-11,-5.221553660954768e-10,-2.998086029758919e-10,3.560283692022938e-08,3.070755883705729e-08,3.99348561880342e-08,3.550674241792062e-08,1.0348888486359335e-07,4.0442547304133584e-08,3.7863713945047284e-08,1.55986848433718e-09,3.168553215362996e-08,3.844497679506702e-08,3.2221707168908645e-08,4.832015803352378e-08,3.620063675052779e-08,2.884992647840858e-08,7.189049952686921e-06,3.637548628192266e-06,2.0923078090565194e-12,7.999993245142449,7.999992414332355,7.99992166977953,0.0002508608168453347,953.2178599088256,1649.74983989255,21.99996632587777,7.9989541831455755,7.999993213782848,748.647935739504,7.999145467721574,7.998255718393335,7.999992146984972,7.9999898663746265,8.00004951102793,7.999015201980507,7.999994521258206,7.998739639468015,7.998694125478209,0.00010122746082620956,1499.9998482211943,0.6564313122459831,9.784056892608371e-06,6.958410053081557e-06,1.1204281703983025e-05,6.860926661532266e-06,8.81621863827791e-06,1.0906956268705745e-05,9.291149752752128e-06,7.470468010512497e-06,1.1002755061785144e-05,8.095443899124225e-06,8.29871221347113e-06,8.238103865571578e-06,1.01377299778186e-05,6.3114975963822615e-06,2.136624677234646e-10
300,199.90567605787336,6.871584675211079e-05,3.7599675029693763e-06,0.06777861271138266,0.0009241521527095281,-2.486091278034347e-07,-1.9212788011415857e-05,-2.6182831652703585e-10,-6.625972591464893e-15,5.891089165655494e-20,-1.2031607513514463e-32,5.84520330216232e-28,1.2822777291399776e-23,2.5462242104978285e-37,3.682237821646145e-42,0.0020409709522521283,0.0018201287294354904,0.001616387074070669,0.0015268056986289308,0.0022356616389047177,7.283998690542016e-08,0.002048000586337595,0.0004345173153987378,4.542427936411993e-08,1.4887434601364795e-09,2.0394335802182223e-09,3.1569433257647453e-09,9.604995757550606e-10,-1.5858519779394608e-09,1.0411913311664369e-09,3.8702888993790197e-08,1.0722278888167752e-09,3.0152431612918808e-09,-1.3818471546158126e-09,2.5208903280437497e-09,4.611067664786785e-08,5.269775210974658e-08,4.615296164553507e-08,6.747985969655765e-08,1.680842126195784e-07,5.5479641938854627e-08,6.081666112254958e-08,2.849678684394195e-09,4.753384281047328e-08,6.577103145895394e-08,6.437875615751475e-08,6.467347295141523e-08,6.480876970193504e-08,5.4927176158030516e-08,1.1594638986463105e-05,7.585193263762798e-06,2.5063652043184907e-13,7.999988515247047,7.999986260242472,7.9999282776129315,0.000493053579169975,953.2624316281582,1649.7071673168396,21.999912797035485,7.997913699441165,7.9999845500819395,747.9321897396436,7.998097200111863,7.998259466112022,7.9999893468744405,7.999985143167744,8.000058576066431,7.997706720005599,7.9999859715863835,7.998437906526686,7.998220016681199,0.00010455861641069816,1499.9998498056216,1.1901451479823957,1.3207533777419506e-05,1.519131968205241e-05,1.1534204818018758e-05,1.0524385436728117e-05,1.4362428020390682e-05,1.5094687697143292e-05,1.0991466531015612e-05,1.0713507399521917e-05,1.1655247047591681e-05,1.2209117885343998e-05,1.031103266180915e-05,1.4350818022677082e-05,1.2390881379712732e-05,1.0398654564001963e-05,-3.2591337785616274e-10
400,199.88518175582192,0.0004333974103759224,4.8775222524466965e-06,0.10459761623123466,0.0011838468353487315,4.650017473319692e-07,3.837194718176951e-05,4.5563190452965705e-10,-3.618969241118544e-15,3.312025283954223e-19,3.5477646825043305e-33,-1.768449287925985e-29,-4.2464650000990936e-24,-3.095745741375282e-38,-3.680084557086543e-42,0.002123408826763707,0.0023417007055143487,0.0026984606271556657,0.002942674539683117,0.0028713910737092462,8.964955352587116e-08,0.0022696459217791147,0.0004988352071574208,4.1429630343976773e-07,-6.425804619780813e-10,5.153063141900212e-10,2.5604713431073256e-09,-1.5602780035287832e-09,4.634348454530781e-09,-1.2520051535978384e-09,4.100158109145337e-07,4.064215010249678e-09,2.883253941037827e-09,5.826546336844075e-10,-1.9957975353735018e-10,7.998963416936336e-08,6.693081010707951e-08,7.312308642399374e-08,8.522232213814465e-08,2.1356644907772336e-07,6.772806925112966e-08,7.250038164214313e-08,-2.3977269090135605e-09,8.565971431986724e-08,7.103224721517449e-08,7.178481662674302e-08,7.698207273132879e-08,7.979305864344268e-08,6.97145085221614e-08,1.4668703654774822e-05,9.2667074524004e-06,4.326917470339587e-12,7.999984787953215,7.999982194349515,7.999878013112499,0.0005597342680470326,953.2834751367922,1649.5330394996327,21.999906726151398,7.997443346310972,7.999983148148534,747.4062057714374,7.997612971320331,7.997638858178642,7.999982034272375,7.999982564386229,8.000078901569886,7.99773396181356,7.9999850002732495,7.99700463957856,7.997485516904029,0.00019076010444215522,1499.9997730680539,2.007906017371844,1.422958364980018e-05,1.3768849218968247e-05,1.5843181886992827e-05,1.6441929853588564e-05,1.496103229645478e-05,1.8761306086688597e-05,1.550771048306977e-05,1.6358821777793836e-05,1.4453649814429118e-05,1.466423534541173e-05,1.532607703672375e-05,1.669828091386353e-05,1.4289660915669256e-05,1.863580579014758e-05,3.385972102662436e-10
500,199.86676233923836,0.00021803257056670283,2.8349286651442657e-06,0.10919222283017159,0.0013836155372193432,1.2783162514418467e-07,4.993934755061167e-05,4.2478595191231976e-10,-1.6140954409854147e-14,-4.599224127196999e-19,7.491327892102375e-33,3.8344969262294697e-28,-1.1091235715543398e-23,5.997521348244154e-38,-9.050345663664025e-43,0.003365098539204265,0.0031834747398137445,0.003308843874293315,0.003522541092960658,0.0036500773660239835,9.795589932414022e-08,0.003001131462381514,0.0006251650051923109,3.9682415735975545e-07,5.446218687987425e-09,3.354004714704705e-09,3.5737703896883126e-09,-3.837785315336528e-10,1.9625603363896293e-10,3.1282999007913534e-11,2.398798098675655e-07,8.650010431370032e-10,2.642226906259607e-09,-2.226837056954626e-10,-4.0222847086776517e-10,1.0240187841330926e-07,1.0310321425529064e-07,9.87889854944238e-08,8.679724724032715e-08,2.823502010405379e-07,8.580080240014925e-08,8.25016816783005e-08,1.1754229421232489e-09,1.0349341831942706e-07,9.044660947159253e-08,1.0248358963454241e-07,1.031505637313699e-07,9.040664236745287e-08,8.360288919198247e-08,2.0844283604010684e-05,9.848717947761225e-06,2.446664633239222e-12,7.999981889339296,7.999976522823725,7.999845926605824,0.0006970386667193544,953.4003885827017,1649.5513970642169,21.999882940209005,7.997157642443906,7.999982419896375,747.1289232572835,7.996680189732991,7.9970670574028935,7.999979070968841,7.999978022685384,8.000106610214347,7.996748402479373,7.999976551700307,7.996488845026271,7.997059828961698,0.00022534457082374124,1499.9997510287758,2.3775379529599916,2.3492920122749085e-05,2.1917527224616426e-05,2.2156503936104105e-05,2.0486010434797923e-05,1.7978757271323674e-05,1.9527404651033636e-05,2.0014160651170462e-05,2.256572016274491e-05,1.9708571198352138e-05,2.0559200228048274e-05,2.148299656140582e-05,2.3211047840713858e-05,1.901584684003248e-05,2.2368143621580066e-05,2.5928729159108e-10
600,199.85587762251154,0.00014352511067108095,8.331824352526432e-06,0.1294982736589981,0.0017433282059850692,7.671633640209116e-07,-3.112723083002061e-05,5.498928539468797e-10,1.5329689439491237e-14,5.117835376101599e-19,-9.80896825061083e-33,-2.5938616077355455e-28,9.650370498976326e-24,1.336693593848e-37,4.505497020713269e-42,0.003390891245682585,0.003692865474156407,0.0038704756173697312,0.003691752464029124,0.004026798672345673,1.6666193619965375e-08,0.003943327747947215,0.0007872972430539585,5.32388438321918e-07,3.0677813826892873e-09,3.252095001335307e-09,4.80180655149822e-09,5.827086536706015e-09,2.1033218368656407e-09,1.4931060606547538e-09,6.537220686461954e-07,5.424242427110192e-09,5.18243134973164e-09,6.48348742510074e-09,3.374446529386457e-09,1.0668232576083012e-07,1.1636276926316295e-07,1.0143818837994497e-07,1.1588476826111319e-07,3.1385550290386e-07,1.135800550624056e-07,1.019433764556371e-07,1.002336354357174e-08,1.1560673791251951e-07,1.173677963584584e-07,1.2108343037191517e-07,1.1932349887463124e-07,1.2028965937228592e-07,1.0725868241778684e-07,2.4946781812893008e-05,1.2843880113913676e-05,1.0688309674914679e-11,7.999972754839009,7.999977784345059,7.9998020664487965,0.0007839337793087303,953.5088864368433,1649.344040369604,21.999825970480885,7.996228284895394,7.999976029697268,746.1662065202466,7.996413321620547,7.996004627994713,7.999972988210042,7.999973638343319,8.000112771126481,7.996353390265118,7.9999754460967445,7.99629435620276,7.995869606060118,0.0002491364743379828,1499.9996891030098,3.2120434881845994,2.3823178364974654e-05,2.6740088742378092e-05,2.1875146880392333e-05,2.5785673551918305e-05,2.401344361580279e-05,2.2427640247576856e-05,2.547625788368166e-05,2.7362559876148057e-05,2.6485760768270227e-05,2.57344467492885e-05,2.6168468310200343e-05,2.588441365785685e-05,2.534840724646012e-05,2.325237601820862e-05,2.7802669597539146e-10
700,199.82030509784795,0.0006484974613896906,6.499114905391349e-06,0.16451291055606618,0.002306328460079277,7.683979081452884e-07,-2.7685655215750474e-05,7.909798651454121e-10,8.406576530243286e-15,-2.1432098023512145e-19,-1.5388712309213813e-33,-7.924400760860978e-29,3.4787429693310556e-24,-4.04980747766493e-38,-1.7950529812355264e-43,0.004514844678051183,0.004039265130782994,0.004152547493930807,0.004714387832413683,0.004139340329046464,1.21988313444657e-07,0.004671808181547301,0.0011285606895660477,1.401335159031907e-06,3.770334193203665e-09,7.2776705523947465e-09,7.4115745501813714e-09,4.097828875319424e-09,1.5938776428936272e-09,6.293681806669634e-09,7.699965137341207e-07,4.530608083131831e-09,2.185812807485476e-09,3.462034826697524e-09,4.585063368173316e-09,1.2848224932194182e-07,1.3238012159323793e-07,1.3835641680456856e-07,1.3318631770592385e-07,3.763951409796431e-07,1.3871056391897384e-07,1.3596076549580423e-07,1.419972284296561e-08,1.3388740687234473e-07,1.284165748630329e-07,1.2351529253487394e-07,1.3241859546998383e-07,1.3357863365789483e-07,1.349036760305547e-07,2.4965876679622173e-05,1.5051905901147883e-05,9.444094606409587e-12,7.999968372136598,7.9999729598452065,7.999786813013302,0.0009537324255571799,953.5440914120122,1649.2952160208706,21.99980893672293,7.996033291066153,7.999970903961001,746.0729719580976,7.9954392344871605,7.995657457497691,7.999971583522994,7.99996888394264,8.000160805241707,7.995218445329027,7.999969441789932,7.995830129312439,7.995923901223601,0.00027956892546598933,1499.9996161122865,3.428750111534223,2.7396893220747e-05,2.847298631433593e-05,2.801385246809007e-05,3.17520659548993e-05,2.582334390807635e-05,3.010089292845685e-05,2.8206859429590656e-05,2.7123678405367782e-05,2.7171044747913272e-05,2.9862036264820916e-05,2.616830589779468e-05,2.768753223122323e-05,3.0732199622296974e-05,3.0642029963127054e-05,9.017431520798776e-10
800,199.80178766820012,0.0008715526433080396,1.1528695832934321e-05,0.17139341634636246,0.00235055683831752,3.5816063681936605e-07,4.262718884543832e-05,6.70351142921155e-10,3.758197642147715e-15,-4.547964429501372e-19,9.633005281014408e-33,1.9794071679930678e-28,-2.037635401633957e-24,-1.2911140166240185e-37,-2.987212185345769e-42,0.005010687062490156,0.004944513636101898,0.005157359553062315,0.004908947703257766,0.005482305047716796,1.5896942738330564e-07,0.005499785135582087,0.0012139552291131326,6.819910955356025e-07,7.17935394230798e-09,8.455464960333078e-09,5.579742526994477e-09,3.251169598441698e-09,6.2938043647354886e-09,5.8910308665698566e-09,4.98794592393977e-07,5.786349746329596e-09,6.838242964326109e-09,7.983001368286006e-09,3.645316883914474e-09,1.4881756903914804e-07,1.4909714015167851e-07,1.3844955628749487e-07,1.5802532991165324e-07,4.143377037790535e-07,1.4788657014155467e-07,1.4275199187771923e-07,1.8196654913839464e-08,1.436479639227929e-07,1.3715927056730317e-07,1.4334615868487872e-07,1.3801202239039476e-07,1.3803693428155505e-07,1.428590729050173e-07,2.872317865936149e-05,1.8740926173035763e-05,1.1695749420579854e-11,7.999965980966436,7.999967480199798,7.999778170624615,0.0011268241580798138,953.6838953455405,1649.1234134672918,21.999787359896484,7.995601303919581,7.999964248097314,745.3487636572879,7.994840871888506,7.994804128752828,7.999966658362004,7.999969512588499,8.000161395942232,7.994485886275163,7.999967554641885,7.994824233781868,7.994433732839838,0.0003558559038152262,1499.9995401453734,3.9834570282571233,3.060241494319743e-05,3.106589138207389e-05,3.246478142165499e-05,3.503155203221142e-05,3.5787807749259056e-05,3.5216133366083994e-05,3.4206341183626555e-05,3.537568026148243e-05,3.56287522929793e-05,3.157433528429546e-05,3.4519938565277824e-05,3.512793983346796e-05,3.373039673278028e-05,3.208122616847227e-05,9.608871352574758e-10
900,199.75558273556473,0.0010030351990810108,1.1803801521417612e-05,0.1937544544308899,0.002529392221465101,-1.1363696189761764e-07,-3.245596270371929e-05,9.863838225249524e-10,2.3420321304300647e-14,7.8363440287554735e-19,-6.982486713674577e-33,-6.843971227566186e-31,-6.437875652474589e-24,-1.847926990757604e-37,-2.0660663879682428e-42,0.0052826182023320315,0.006168170588381977,0.0061785142196508595,0.005918470493822691,0.005319367900272133,1.6960585060989551e-07,0.006041299254559729,0.0013482730664402549,1.1148563089107328e-06,4.8426435136382806e-09,7.304930130782795e-09,5.8819779647776575e-09,7.010656419582534e-09,6.281540164654495e-09,5.3994137270641374e-09,8.389951750517555e-07,6.9171755633046035e-09,5.990505802049401e-09,5.69094860993211e-09,8.959835773654856e-09,1.7557097100890632e-07,1.5492191126720029e-07,1.6494789732959145e-07,1.7519036393742453e-07,4.7292532486364175e-07,1.7113883633124697e-07,1.6558995465596037e-07,2.0947528548380266e-08,1.6430922534806065e-07,1.7374281564229313e-07,1.6120126966742555e-07,1.7454808642389036e-07,1.7337511490815476e-07,1.6169890156827968e-07,3.4766493811076996e-05,1.951873685104239e-05,1.0256179747988211e-11,7.999961850875004,7.999962316558696,7.999712622937921,0.0011235915510674757,953.7251240682551,1648.9959971899782,21.999766005634147,7.994939774921232,7.999959815361697,745.1564710516586,7.9942183265548525,7.9946576495774595,7.999965299887192,7.999965494031124,8.000184058136892,7.994039344142469,7.999963589017798,7.994316871349581,7.993895949003677,0.0003728555829235512,1499.9994553385027,4.936322371996328,3.5978085165036644e-05,3.512991973592778e-05,3.6786929874880095e-05,3.463027334635091e-05,3.815463005413818e-05,3.831790440967575e-05,3.698388758256061e-05,3.45354419468226e-05,3.636271963034485e-05,3.874200708115611e-05,3.518837852519685e-05,3.669548021371697e-05,3.999959658229508e-05,3.501504786307869e-05,9.409352385545661e-10
