miliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,damDNA,p53deg,p53syn,mdm2deg,mdm2syn,Mdm2mRNAdeg,Mdm2mRNAsyn,totp53,totMdm2
0,5.0011052900661985,5.000214142091526,95.00278212359518,9.999981602154477,10.0,0.0,200.0,0.0,0.0,0.0,-0.003687461954574691,0.001607406897688834,1.9910741026984458e-05,-0.0002171813676433491,-2.216468701779414e-07,-7.755868952090051e-06,99.9988790016567,99.99993416999935
100,5.006190029318202,5.005435020901115,94.99639618677226,9.999935957703801,10.0,0.0,200.0,0.0,0.0,0.0,0.0035840435919858304,0.008435507516742387,0.0001338842498123355,0.0006586210110005382,3.3501748293949756e-05,7.678591898007966e-05,99.99777631434738,100.00013646995997
200,5.006982041156889,5.005042714102416,94.9920989173013,9.999906437117208,10.0,0.0,200.0,0.0,0.0,0.0,0.01974114037753904,0.012769358325955346,0.000588623976238278,0.0007690532330994571,0.00026679253494635177,0.00012814008131927011,99.99556536867823,100.00044655159648
300,5.013213498803182,5.011867298644409,94.982076901529,9.999831660695001,10.0,0.0,200.0,0.0,0.0,0.0,0.022264284604605347,0.014395485312663735,0.0006425090839324982,0.0018411057245407095,0.00023397400328103866,0.00015101358288096983,99.99516405480355,100.00083323258454
400,5.0251273706271995,5.014134404797273,94.98336746342967,9.999791806256987,10.0,0.0,200.0,0.0,0.0,0.0,0.03448562304662943,0.021902515537963577,0.0007523623562642424,0.0023056720996883374,0.0003274264734251932,0.00022749753674144177,99.99328672816056,100.00129764973367
500,5.024702375721525,5.0158657079251965,94.97821985010064,9.99976738657446,10.0,0.0,200.0,0.0,0.0,0.0,0.04286577323156968,0.030751910601421018,0.001208693326175913,0.0021582332691926164,0.0004402020790524195,0.00021509566829769838,99.9906215452886,100.00129175163357
600,5.034533788386869,5.019101841367195,94.97163483980921,9.999685595209387,10.0,0.0,200.0,0.0,0.0,0.0,0.05278545444998863,0.031739120307797526,0.0011838776706564122,0.002818664254800639,0.0005289369744321,0.00029046522950146737,99.98802191633413,100.00157556414142
700,5.035883012909079,5.023474376308042,94.96665899262209,9.999645543657874,10.0,0.0,200.0,0.0,0.0,0.0,0.058741795174613615,0.045601880999344126,0.0015060196869503236,0.003770753678464092,0.0006553121868020753,0.0003566587796440712,99.98780161302703,100.00202185574248
800,5.038910619755024,5.025088937316672,94.9583946954127,9.999611673416268,10.0,0.0,200.0,0.0,0.0,0.0,0.06146387578015641,0.049519114979699096,0.0018316859235336525,0.004262963504422683,0.0008291544862304981,0.0003847305915270347,99.98431293646293,100.00232778073415
900,5.044744395426018,5.030027199771036,94.95157329055536,9.999525756724854,10.0,0.0,200.0,0.0,0.0,0.0,0.0693478773442977,0.05184598038373973,0.0019300770240288198,0.004774931139721868,0.0008982093942434082,0.0004812338226917959,99.98439092117454,100.002428839513
1000,5.056556296293576,5.033748302592632,94.95322144826851,9.99952727540751,10.0,0.0,200.0,0.0,0.0,0.0,0.072760668789524,0.0635518737369459,0.002037942646694882,0.005201701313475003,0.0009946557836375861,0.00046647540511948277,99.98179879100488,100.00280347053881
1100,5.056536102782851,5.03681234612306,94.94478911691175,9.999457236834958,10.0,0.0,200.0,0.0,0.0,0.0,0.08486658084621036,0.06357954095318086,0.0024729651680535066,0.005113160431667431,0.0011626071983642805,0.0005810063650112457,99.979817537534,100.00291604945129
1200,5.063847227690715,5.0389761049095885,94.94307665889605,9.999384661949696,10.0,0.0,200.0,0.0,0.0,0.0,0.09824161203983804,0.0713685444433771,0.0027007692076770396,0.00583608616093246,0.0011572088309235915,0.0006243834391342366,99.97894729105842,100.00351301890875
1300,5.066288334306034,5.041506245990968,94.93585564187084,9.99932371858175,10.0,0.0,200.0,0.0,0.0,0.0,0.09967816682016606,0.07809628134061075,0.002686614129466247,0.006488146374820899,0.0012948760155941728,0.0006262808041751386,99.97595669988169,100.00379678334222
1400,5.073006837439471,5.045274520620779,94.92969807504143,9.999271030609837,10.0,0.0,200.0,0.0,0.0,0.0,0.1099512746598675,0.07966350826683424,0.002973087022618378,0.006941832692862681,0.0013600239346714437,0.0006846226912968101,99.97564565939157,100.00405396038862
1500,5.0785468481383935,5.049357674501462,94.92706036189679,9.999233957050759,10.0,0.0,200.0,0.0,0.0,0.0,0.12250824913034321,0.08675320700690604,0.003338450031141043,0.007103801785833791,0.0014297643139357006,0.0007538722756253811,99.97278225199598,100.00415408971539
1600,5.087343909369619,5.0527348546819155,94.91941935235143,9.99923669875142,10.0,0.0,200.0,0.0,0.0,0.0,0.12909574491513745,0.09800077767962355,0.0036106083644483295,0.007836383380285483,0.001656590956076339,0.0008323682022031516,99.97187867251859,100.0046221337362
1700,5.090149765713617,5.054603334631044,94.91564660558014,9.99913865101396,10.0,0.0,200.0,0.0,0.0,0.0,0.1372850987899777,0.10285538486004893,0.003709491545076324,0.008761725142494377,0.0016862153814507688,0.000880931271495914,99.9676167960668,100.00488870133557
1800,5.096754559273335,5.056634098709958,94.9132915276643,9.999103726798648,10.0,0.0,200.0,0.0,0.0,0.0,0.13978541477810436,0.10391308641178267,0.003966906085939022,0.008844511413556766,0.001864890021735039,0.0008728998537053755,99.96816630817989,100.0050551672174
1900,5.09666156723581,5.058673593869676,94.90679104469676,9.999065653995133,10.0,0.0,200.0,0.0,0.0,0.0,0.14713701521594819,0.11570333472668985,0.004128732831359873,0.009611482476403192,0.0019521921540000208,0.0009339437578667381,99.96495813773079,100.00543856883668
2000,5.10945102212739,5.061523552113699,94.89907960573059,9.999012002538137,10.0,0.0,200.0,0.0,0.0,0.0,0.15862604177711442,0.1190241928547237,0.004231781205864795,0.009642089113394594,0.0020699309926231354,0.0010050599247266887,99.96408432049282,100.00566432267291
2100,5.114125905523638,5.065669918318597,94.89724221418889,9.998932758324091,10.0,0.0,200.0,0.0,0.0,0.0,0.16945248352840048,0.12444505513178035,0.004457064811129663,0.010449397877202263,0.0021644803862704847,0.0010765152488754208,99.96193214728521,100.00589058954917
2200,5.118494167781293,5.070988223728922,94.89129182261242,9.998880157442082,10.0,0.0,200.0,0.0,0.0,0.0,0.16870221005515645,0.13160221719243148,0.004893116143319077,0.010555251978422666,0.002195206038729174,0.0010902865596063127,99.95883360387803,100.00619361168341
2300,5.119765579996019,5.074726551352735,94.88500355895425,9.998878698778482,10.0,0.0,200.0,0.0,0.0,0.0,0.17854584320487848,0.1339526258577498,0.0048820256769976636,0.01142348695752601,0.0022407854889741926,0.0011292821376999642,99.95674529820084,100.0064066789952
2400,5.130317293845835,5.077089727534789,94.88064209914769,9.998802669467278,10.0,0.0,200.0,0.0,0.0,0.0,0.192599708249228,0.14024598526918441,0.005391736137560194,0.011801726631586384,0.002337691311223431,0.0011771645675312263,99.9572601279648,100.00644447299811
2500,5.1300980978733755,5.078141043133014,94.87787545080967,9.998771930712229,10.0,0.0,200.0,0.0,0.0,0.0,0.19970126840486205,0.1510908859770883,0.005389157524404368,0.012075898675634756,0.0025019063922731223,0.0012731490146923945,99.9529875047603,100.00671856013037
2600,5.139551054497047,5.0841022124559565,94.86961494395628,9.998702841090799,10.0,0.0,200.0,0.0,0.0,0.0,0.20087461203330423,0.15762803741597345,0.005865385557925793,0.013134270777648728,0.002591800477932956,0.001300566440899765,99.95300258971218,100.00696854663468
2700,5.138470569015619,5.086168923220984,94.86696715254034,9.99862706794862,10.0,0.0,200.0,0.0,0.0,0.0,0.21160451783269732,0.16504881923818715,0.005837451019543802,0.013554916320574872,0.002646691470090454,0.0013970867751507692,99.95010226064268,100.0075758843544
2800,5.15010089063311,5.086279159796022,94.86108582778624,9.99858276828381,10.0,0.0,200.0,0.0,0.0,0.0,0.21501325229726392,0.16395083320743753,0.006108227672557726,0.014100777019602278,0.002858881227698634,0.0013838476679878722,99.94770854137833,100.00789212102147
2900,5.151095236896379,5.090544765178879,94.85856643714057,9.998535167938138,10.0,0.0,200.0,0.0,0.0,0.0,0.2273011332987886,0.1764297173835172,0.006409248659037161,0.014054162570324678,0.00295732976552042,0.0014921003340150432,99.9455815090679,100.00815366983623
3000,5.156400557733217,5.096251223627966,94.8477103324602,9.998549377182913,10.0,0.0,200.0,0.0,0.0,0.0,0.2342040520298342,0.1798672198388549,0.0065083001241047185,0.014551529636608962,0.0030382447642004783,0.001541709114732396,99.94503668762901,100.00805820932203
3100,5.165809130886801,5.096889890625647,94.8484730749992,9.99843845811085,10.0,0.0,200.0,0.0,0.0,0.0,0.24368767183970513,0.18241977198830867,0.006903156301045499,0.015054925352531941,0.003036581502105599,0.0015364017777001998,99.94328369024828,100.00863943346057
3200,5.1703115310334855,5.0990929599692825,94.83869512544295,9.998448420939926,10.0,0.0,200.0,0.0,0.0,0.0,0.25056668983115093,0.19003586406748293,0.00718865722277705,0.01609677534875463,0.0032641653163369344,0.001616273251700445,99.9426430883568,100.00878005916425
3300,5.175248023803153,5.102350990038295,94.83720961177893,9.998399584801739,10.0,0.0,200.0,0.0,0.0,0.0,0.2536199357605547,0.1959597498630088,0.0071152353927108995,0.016066491869106428,0.003307818661077442,0.0016752659593972958,99.94042943264927,100.00896774753154
3400,5.178488785896993,5.107969465567745,94.82924293638425,9.998320637406033,10.0,0.0,200.0,0.0,0.0,0.0,0.26398357157258767,0.20067191162548836,0.007558956241729571,0.016871467980256454,0.003389953874112175,0.001712439815516585,99.93910715375344,100.0092392864992
3500,5.182630817496776,5.108401330724281,94.82584292842462,9.998239277665261,10.0,0.0,200.0,0.0,0.0,0.0,0.2777894080264823,0.2056574885161458,0.007701377506419245,0.01740520835321429,0.003427659125243931,0.001802541908202248,99.93679551986621,100.0097817851612
3600,5.186484106347135,5.111140050114917,94.82411371279305,9.998186114581541,10.0,0.0,200.0,0.0,0.0,0.0,0.2867574303956996,0.21775921557030314,0.007778701507937185,0.01767332045681802,0.0036723545323448284,0.001791463625646134,99.93496730036385,100.00968915108533
3700,5.1903286551253185,5.118027787225673,94.81709715971785,9.998163214193925,10.0,0.0,200.0,0.0,0.0,0.0,0.29180472019868986,0.22598630604611905,0.008183295523980305,0.018095388211535876,0.0037033073435686647,0.0018371269000452596,99.93201350952401,100.01012701238868
3800,5.198965379597855,5.117868725177921,94.80912766451279,9.998126565117765,10.0,0.0,200.0,0.0,0.0,0.0,0.29891666541258605,0.22807496425243703,0.008356222306020898,0.018877481429233924,0.0038691088731067037,0.001909565325420526,99.9298715064228,100.01024616023865
3900,5.2047504534326094,5.122349322796567,94.80937855479499,9.99805916376057,10.0,0.0,200.0,0.0,0.0,0.0,0.30473425692167,0.23267066781859358,0.008559123283427686,0.019045971250915658,0.003950446538016312,0.001999205146948806,99.92829478866011,100.0107309043697
4000,5.210427062280467,5.124932356313634,94.80095080940397,9.99802129448156,10.0,0.0,200.0,0.0,0.0,0.0,0.315804624969685,0.2356155858013217,0.008831526147616038,0.019808660892157364,0.0039885604714378275,0.0020456745884032184,99.9266069125878,100.01081386555889
4100,5.211589598938861,5.127025784103038,94.79971575572425,9.998009659099802,10.0,0.0,200.0,0.0,0.0,0.0,0.32586558238601243,0.24182770403078785,0.00910676769189944,0.020515200222086617,0.004158681615050449,0.0020960283423807134,99.92571712395095,100.01124905795577
4200,5.217046712328878,5.1289183202020165,94.7890469258981,9.997910069021637,10.0,0.0,200.0,0.0,0.0,0.0,0.32541298965256077,0.25510284812180034,0.009146413957795922,0.020611865410854337,0.004232757841956817,0.002092540173092927,99.92214422131855,100.01163428929111
4300,5.222804394365146,5.135307352620476,94.78426262914084,9.997899413501926,10.0,0.0,200.0,0.0,0.0,0.0,0.33082836086678313,0.2618918775532831,0.009588998255060871,0.021229688379600778,0.004348772040402086,0.0022145127986762598,99.9205165356743,100.01164271522566
