milliseconds,T_Tumour_Cells,N_Natural_Killer_Cells,L_CD8_T_Cells,C_Lymphocytes,M_Chemotherapy_Drug,I_IL_2
0,10961231.956962917,249999859.36508328,524421.4189132781,2250000000.0,0.0,1065.506596348314
100,10054487.327751692,250005887.48704126,234888.14908850758,2250000000.0,0.0,748.4893825730854
200,11716805.439812485,250009283.0392531,180627.83375928408,2250000000.0,0.0,425.3951284476712
300,11121907.65640989,250011293.73286745,159620.20437504526,2250000000.0,0.0,256.6030485391626
400,12186337.210169712,250012259.64999348,157280.8871798211,2250000000.0,0.0,153.78819381325067
500,13035878.492089218,250012783.70007128,155488.89628897732,2250000000.0,0.0,117.18321490494463
600,13683655.54480877,250013184.7022561,159716.47067912473,2250000000.0,0.0,96.80506208713666
700,12941503.670165543,250013022.5319419,165232.84449580748,2250000000.0,0.0,89.32790009671423
800,13593067.406672414,250013519.66338485,168051.90124920217,2250000000.0,0.0,91.43889126459183
900,14272246.489220021,250013415.9471011,173226.75549051314,2250000000.0,0.0,79.88163478341488
1000,15214323.253540069,250013807.16423264,176624.77628910568,2250000000.0,0.0,82.73755743196506
1100,15463613.4045694,250013565.96324146,181416.62038152094,2250000000.0,0.0,76.36738345810888
1200,17630134.204840157,250013821.87776384,185551.37486264197,2250000000.0,0.0,81.33140649241601
1300,18247006.37517759,250014039.35140622,188319.18738918318,2250000000.0,0.0,82.1455908205742
1400,17960791.09218098,250014298.89947298,196521.83383502907,2250000000.0,0.0,94.93945955154801
1500,19161100.773940403,250014148.6301971,200532.12116311543,2250000000.0,0.0,90.81010983812932
1600,20693869.848333467,250014574.8276576,202554.64139141887,2250000000.0,0.0,99.61408493899783
1700,20395182.264139958,250014512.27978832,208102.6161880773,2250000000.0,0.0,96.63932465036255
1800,21568715.44255231,250014652.18270612,213743.25451390867,2250000000.0,0.0,102.36593461633059
1900,21656802.98954323,250014836.62851557,213353.36237917445,2250000000.0,0.0,106.50284912426123
2000,24322415.7952793,250015032.75835136,222070.8687915711,2250000000.0,0.0,104.25405336058844
2100,24080431.843956385,250015353.4922798,226803.7730487681,2250000000.0,0.0,109.7700038043702
2200,25560456.861205775,250015459.82308447,230367.41033234363,2250000000.0,0.0,111.21501199195345
2300,26072728.993120074,250016037.33452234,232480.57141160054,2250000000.0,0.0,104.77117749488576
2400,26788715.51283522,250016223.44217986,234736.48212367514,2250000000.0,0.0,110.33302920649061
2500,29498849.61105695,250016282.11907387,238948.1505866552,2250000000.0,0.0,104.54602724195958
2600,30854931.52243635,250016502.91206363,242070.55881710103,2250000000.0,0.0,111.28085078540437
2700,31673599.528717067,250016874.82846096,246222.2028411339,2250000000.0,0.0,117.6577116919068
2800,33085213.45043007,250017209.50776216,251245.37805435256,2250000000.0,0.0,125.58623893969049
2900,33724518.51234455,250017117.5118604,249016.53930059055,2250000000.0,0.0,117.42633704792979
3000,36438973.95097592,250017685.95307413,255151.86154816195,2250000000.0,0.0,128.71497956012928
3100,36338154.895489685,250017660.2123016,260303.23629618285,2250000000.0,0.0,122.32705499530168
3200,38082177.7465159,250018274.6525408,261801.77391928696,2250000000.0,0.0,134.2462191517965
3300,39332067.02039238,250018326.29778534,266108.931867892,2250000000.0,0.0,134.63375408775295
3400,42192729.02441669,250018592.6317137,270118.5757199431,2250000000.0,0.0,131.06796384361692
3500,43450301.38030589,250019000.86473763,268139.7438802623,2250000000.0,0.0,136.55149980524834
3600,46294621.72784635,250019130.86195803,271588.250709917,2250000000.0,0.0,144.5973371580404
3700,47575913.495205,250019531.0076837,280071.770775306,2250000000.0,0.0,142.48568034754064
3800,49641581.967808604,250019971.36410034,280017.5870502263,2250000000.0,0.0,144.80866255473777
3900,51505844.80451039,250020097.41217288,281270.28449415526,2250000000.0,0.0,156.69985263874855
4000,54103657.78526565,250020640.4586522,289661.5324822426,2250000000.0,0.0,158.90820174692166
4100,55796184.06870745,250020971.65256935,288187.8564329651,2250000000.0,0.0,165.5544382475133
4200,57417252.45984676,250020985.63127962,293472.27833491244,2250000000.0,0.0,155.83034787099152
4300,60961799.39426935,250021706.21000665,293932.9258053792,2250000000.0,0.0,163.15564363496765
4400,63550404.91258902,250021757.94139624,300106.8697573655,2250000000.0,0.0,163.2307814731772
4500,65931697.24600552,250022212.62707153,300956.42465748126,2250000000.0,0.0,175.77425648714996
4600,68634650.0495939,250022615.17264694,302120.01461965893,2250000000.0,0.0,184.9717738747115
4700,71739328.43707323,250022856.34737217,309484.79837416206,2250000000.0,0.0,186.87977954653726
4800,74623526.05052221,250023663.60851437,309799.9367575313,2250000000.0,0.0,181.54761205399916
4900,76091377.69953814,250023818.36115837,310895.1791087283,2250000000.0,0.0,195.3129423185533
5000,80209920.01282936,250024384.49828187,319408.8597718338,2250000000.0,0.0,201.56071995676226
