miliseconds,T_Tumour_Cells,N_Natural_Killer_Cells,L_CD8_T_Cells,C_Lymphocytes,M_Chemotherapy_Drug,I_IL_2
0,10643682.27984338,250000098.1898124,525648.3686318551,2250000000.0,0.0,1079.3364467450042
100,10615599.68978993,250006086.04497236,233956.12965690132,2250000000.0,0.0,746.9651608291023
200,11191585.283328753,250009384.3476143,178584.9389622105,2250000000.0,0.0,429.9263146395678
300,12373942.543612588,250011378.45329925,160014.87188001146,2250000000.0,0.0,247.13849343489736
400,12288473.993970625,250012393.28355828,158250.89502605097,2250000000.0,0.0,162.1375467389716
500,11709936.719105063,250012637.09553167,157913.49439096468,2250000000.0,0.0,109.85914068467905
600,13567181.148052797,250013191.05404767,160146.9721282298,2250000000.0,0.0,95.72718597512689
700,13899786.481003195,250013431.97677043,160065.53722136279,2250000000.0,0.0,91.35993979568997
800,14673577.185812727,250013562.01006916,167002.74782735278,2250000000.0,0.0,78.65599566005218
900,13711893.087909268,250013607.6917397,170652.86651466493,2250000000.0,0.0,75.00408264417962
1000,15695425.926922277,250013527.02775785,175704.493831231,2250000000.0,0.0,75.86472890166715
1100,14994854.579665544,250013583.5080701,181494.2465780396,2250000000.0,0.0,76.45829094892389
1200,17571339.172111593,250014093.99473083,186595.6806161351,2250000000.0,0.0,78.40268001384283
1300,16901065.25824987,250014070.7169114,191049.25578104064,2250000000.0,0.0,83.05011990005387
1400,18902564.7835207,250014270.78264832,197214.95634526463,2250000000.0,0.0,84.29838492321113
1500,18880814.320312176,250014358.25817028,202740.38663501988,2250000000.0,0.0,92.75359772293004
1600,19764298.226165697,250014418.3910118,204331.62538273796,2250000000.0,0.0,99.81646706112775
1700,21276132.570531815,250014587.88805008,209123.47285625673,2250000000.0,0.0,92.49100519945797
1800,21450810.508817032,250014801.4789774,210464.15453506904,2250000000.0,0.0,95.20947485196267
1900,22923394.2350392,250015085.1728171,213909.6900578578,2250000000.0,0.0,104.29366440969359
2000,24116251.588493686,250015082.7093609,219975.38311625193,2250000000.0,0.0,107.01995939186834
2100,23695905.411902636,250015517.52964267,226995.38088187246,2250000000.0,0.0,107.18063099566616
2200,24814907.127005924,250015794.13862184,227538.33117259407,2250000000.0,0.0,99.65318547104309
2300,26179264.10426269,250015800.05562803,230282.3587163768,2250000000.0,0.0,110.9195137975869
2400,27681787.02403126,250015901.97888926,235371.07960947356,2250000000.0,0.0,117.48957112646121
2500,28169286.60785832,250016117.9877234,237952.00335708485,2250000000.0,0.0,112.15709582829008
2600,29491034.06043456,250016524.3407748,244812.42537494833,2250000000.0,0.0,111.78251813914207
2700,30793256.656677775,250016722.26050243,247482.95125353755,2250000000.0,0.0,115.2407228871732
2800,31875584.316211775,250017043.74421266,248211.11604405052,2250000000.0,0.0,119.49582489518627
2900,33045764.69712622,250017423.187676,249073.28376934928,2250000000.0,0.0,128.32666108146
3000,34930319.88502897,250017433.00579,252036.5601285177,2250000000.0,0.0,118.63777020368197
3100,36893518.17486876,250017797.8188868,259095.71281298902,2250000000.0,0.0,124.14331895942624
3200,38512321.58406419,250017955.34290886,262632.83766306133,2250000000.0,0.0,124.44313984569442
3300,39990998.84751666,250018525.62554005,265076.03897998517,2250000000.0,0.0,126.25197615389851
3400,42238070.20404377,250018847.43041697,269302.4627324596,2250000000.0,0.0,133.59177548515603
3500,44040473.627641,250018888.9582336,271357.3011298699,2250000000.0,0.0,146.61048224799887
3600,45066621.66262155,250019071.50905037,274029.0528699217,2250000000.0,0.0,145.24039363662163
3700,48197786.322547756,250019511.19557866,274492.1511153243,2250000000.0,0.0,140.6380006437368
3800,50097179.92751642,250019723.63429195,283297.19593664195,2250000000.0,0.0,148.7454616589874
3900,51297116.79880801,250020200.25300932,283152.9776306508,2250000000.0,0.0,142.96732212137965
4000,53303856.69082845,250020511.91829014,288193.21826101234,2250000000.0,0.0,147.6133326991833
4100,55236227.14825015,250020785.67101145,289532.1751935163,2250000000.0,0.0,163.40557756608212
4200,58640374.63864905,250021173.136709,290360.974786128,2250000000.0,0.0,155.927270323262
4300,61260675.295930915,250021675.2579551,298333.44134688127,2250000000.0,0.0,172.29023203950283
4400,62810135.20975827,250021737.566681,298494.79028540384,2250000000.0,0.0,177.44033242796107
4500,64685444.20836844,250022480.46176723,302660.4297582145,2250000000.0,0.0,170.53842679335045
4600,68191877.3003137,250022910.66285935,304893.3602612009,2250000000.0,0.0,177.20073128796912
4700,70242468.91083546,250022923.30381572,307191.8494621547,2250000000.0,0.0,181.4297659048576
4800,74002758.70632449,250023479.79107475,309841.62744955457,2250000000.0,0.0,184.73779223792874
4900,77553323.23571563,250023881.43222386,314151.15188961226,2250000000.0,0.0,195.6775238733553
5000,80897108.27828062,250024337.50293308,314892.78842795535,2250000000.0,0.0,191.1327205200802
