miliseconds,T_Tumour_Cells,N_Natural_Killer_Cells,L_CD8_T_Cells,C_Lymphocytes,M_Chemotherapy_Drug,I_IL_2
0,10436408.030783108,249999897.24022064,527375.6126392444,2250000000.0,0.0,1075.6974111353018
100,11110491.170084199,250005854.25531572,232740.38924524252,2250000000.0,0.0,742.200773589962
200,11095184.166154824,250009239.78525743,180426.43068853996,2250000000.0,0.0,421.42959719426403
300,12183839.024399115,250011235.68251452,158305.9384019254,2250000000.0,0.0,246.4829979398833
400,11695561.996700864,250012252.620837,157721.60460331658,2250000000.0,0.0,163.625039348066
500,12735593.216950212,250012815.81909457,156402.58078196997,2250000000.0,0.0,111.94082587895645
600,12078084.437645556,250012917.3779327,161729.23316796398,2250000000.0,0.0,99.55884461206452
700,13862300.700966079,250013307.92231894,161711.56905874444,2250000000.0,0.0,91.93261945414325
800,14908440.539356094,250013221.42724937,169482.36612408978,2250000000.0,0.0,89.07373391682408
900,14275214.342151226,250013472.6285832,173650.6662406379,2250000000.0,0.0,82.16752835418448
1000,16051318.716098273,250013464.0275511,176262.49377468912,2250000000.0,0.0,87.78659768674551
1100,16170003.098513428,250013652.17812306,181892.20465926794,2250000000.0,0.0,81.98329997132667
1200,16653063.757629836,250013910.87762618,184011.9855539732,2250000000.0,0.0,86.12936015269437
1300,17574199.97739598,250014067.43902683,191827.62869635204,2250000000.0,0.0,91.35304806021868
1400,18910094.483258706,250014252.47705027,198489.80687988363,2250000000.0,0.0,86.54211048325233
1500,18950686.264774196,250014340.98689434,200466.5728394987,2250000000.0,0.0,85.72238180962516
1600,19825625.13807366,250014499.08854324,201287.49842152177,2250000000.0,0.0,92.81888397469882
1700,20106985.655442692,250014662.80784947,210018.01315288167,2250000000.0,0.0,92.28089255163731
1800,21476517.71449538,250014881.13612726,210530.2851459645,2250000000.0,0.0,99.53849265556671
1900,23089985.26103066,250014840.85524115,219440.71642641752,2250000000.0,0.0,95.98593321097451
2000,23451703.744797453,250015054.30288193,222557.11708614204,2250000000.0,0.0,95.48716566012806
2100,23697510.24428414,250015284.31060702,224286.8294983058,2250000000.0,0.0,102.73725970787177
2200,24950227.097074833,250015711.244306,226273.54372781375,2250000000.0,0.0,101.010053489793
2300,27114756.617520195,250016021.22487873,233138.28956837734,2250000000.0,0.0,112.75424643508467
2400,27462489.09250595,250016243.57391596,233011.62003916875,2250000000.0,0.0,111.0759871919559
2500,29769380.164867736,250016347.91853327,237470.39331199994,2250000000.0,0.0,118.37415175823087
2600,29293637.622961327,250016387.4075449,242037.5800372818,2250000000.0,0.0,108.73281812763672
2700,30323880.235649034,250016561.22439387,247610.72620011662,2250000000.0,0.0,124.98176398343671
2800,33499302.662311208,250017164.3601074,245387.02111815033,2250000000.0,0.0,121.3655405769685
2900,33338397.068126045,250017435.3905818,251640.75319720255,2250000000.0,0.0,128.94663574247895
3000,35123816.59265782,250017440.62775218,255204.9297306502,2250000000.0,0.0,130.4909350714682
3100,36861349.85733103,250017969.24466622,259452.53026439212,2250000000.0,0.0,135.15822663176058
3200,38669575.32295879,250018225.14965582,262589.7460967454,2250000000.0,0.0,133.69648366608897
3300,39283999.63281864,250018366.27664554,266964.0605878527,2250000000.0,0.0,125.44395810584147
3400,42616058.82501528,250018522.31406343,267836.55950163974,2250000000.0,0.0,135.27445241219164
3500,44148832.97266223,250018887.64781126,268818.65201202495,2250000000.0,0.0,144.03601763025603
3600,44448174.15328921,250019119.7035982,276983.65011367836,2250000000.0,0.0,139.37336916180283
3700,46964676.06715582,250019407.69134596,277185.3592726169,2250000000.0,0.0,148.6769881865724
3800,49488604.78038459,250019978.61463737,279237.8796838969,2250000000.0,0.0,149.8527412364133
3900,50695318.75170261,250020370.2904577,286606.27582489327,2250000000.0,0.0,151.6171122341921
4000,53185881.97714727,250020546.99591523,286981.7886385694,2250000000.0,0.0,156.44492328847238
4100,54881737.46018618,250020859.20404404,291965.04376819055,2250000000.0,0.0,160.68303067051062
4200,58062630.54292239,250021184.0374973,290167.7432147062,2250000000.0,0.0,164.32604899487362
4300,60219302.20948148,250021675.2793409,298636.1511164557,2250000000.0,0.0,166.75674544619892
4400,62845195.95277818,250021904.833977,300825.00187092694,2250000000.0,0.0,168.76613016056186
4500,65520863.20980754,250022482.23314926,299771.98535699875,2250000000.0,0.0,165.1919193987568
4600,68451972.93299912,250022681.18519625,303658.1511429887,2250000000.0,0.0,183.72605858409233
4700,71862624.22554712,250023009.65352076,305746.5965885115,2250000000.0,0.0,187.8649765333448
4800,73402924.33260927,250023355.5478199,310000.0114952385,2250000000.0,0.0,188.35260165831204
4900,76476824.09116416,250024066.4380636,313314.8311651098,2250000000.0,0.0,184.24972858095424
5000,79945464.30233042,250024144.67962205,314450.2825089378,2250000000.0,0.0,202.77778106437987
