miliseconds,ADAMTS4_mRNA,cFos,cFos_mRNA,cJun,cJun_mRNA,DUSP16,IRAK2,IRAK2_TRAF6,IRAK2_TRAF6_PP4,JAK1,JAK1_P,JNK,JNK_P,Matriptase,MKP1,MMP1_mRNA,MMP3_mRNA,MMP13_mRNA,p38,p38_P,PP4,proMMP1,proMMP3,proMMP13,PTPRT,SOCS3,SOCS3_mRNA,STAT3_cyt,STAT3_P_cyt,TIMP1_mRNA,TIMP3_mRNA,TRAF6,TRAF6_PP4,ADAMTS4,ADAMTS4_TIMP1,ADAMTS4_TIMP3,Aggrecan,Aggrecan_Collagen2,AggFrag,ColFrag,Collagen2,IL1,MMP1,MMP1_TIMP1,MMP1_TIMP3,MMP3,MMP3_TIMP1,MMP3_TIMP3,MMP13,MMP13_TIMP1,MMP13_TIMP3,OSM,TIMP1,TIMP3,IL1_IL1R,IL1_IL1Ra,IL1_IL1R_IRAK2,IL1R,IL1Ra,OSM_OSMR,OSM_OSMRa,OSMR_SOCS3,OSMR,OSMRa,cFos_cJun,cFos_P,cJun_P,cJun_dimer,SP1,SP1_TIMP1_DNA,STAT3_nuc,STAT3_P_nuc,TIMP1_DNA
0,8.570653236560297e-21,9.644920747154996e-13,1.7423334853168272e-09,100.00000000007805,5.0,2.8044792825819007e-19,99.9995549370383,-3.077196377252982e-07,-2.276320847325467e-25,99.99986437526829,-0.00018523374962640252,100.00000000723723,-1.498008407005965e-09,99.9999582865192,-2.338076768113575e-22,4.1568406441230386e-19,3.588776400339898e-20,-2.850886397545432e-20,100.00000000542408,4.422186603645787e-09,8.763495267176e-21,3.2751442288707147e-23,8.102897954196291e-24,-2.692803917712182e-26,-5.381510945295032e-12,-2.1388109051673208e-14,5.611465865027052e-10,100.00010272508825,-6.707545814951601e-05,19.99999999999552,19.99999999999502,99.99999919600182,-9.732368208423692e-20,-2.190127282459601e-24,-9.158563557140562e-29,-1.1247670572185575e-25,0.0,100000.0,3.2080040055524056e-27,8.970078942009485e-67,2.1019763509695773e-27,99.9803589388982,-1.1738927642760165e-30,1.1489944054485444e-35,9.565381309024355e-37,-1.3633636838225056e-28,4.305554237691385e-32,1.3852269161532026e-33,-1.1254015113147238e-58,-5.9145845986757216e-64,-8.226308212944718e-65,1000.0436969171151,200.0,200.0000543765157,-0.018013129630193452,0.0,0.0007978167852397201,100.02331492555513,0.0,0.005468572440128636,0.0,5.803082257335861e-15,99.96678855355204,0.0,1.2229070107216595e-37,1.9850156827201426e-25,1.544314552646927e-10,-2.448471623406554e-15,9.054923392723847e-43,1.7990308582225773e-48,-1.443332892155663e-14,-1.3784130619085068e-07,2.0
100,3.761274092814287e-22,1.982290859371114e-12,-7.766247765731025e-09,100.00000000005316,5.0,-2.6663550391863703e-19,99.99952944255031,7.682153065188426e-07,2.6323935208494355e-26,99.99994628207577,5.3463035440539175e-05,100.00000001176029,-6.944927873745576e-09,99.9998665673459,2.41651334475241e-22,-3.3530143396361555e-19,-1.1702672244664718e-19,-2.4581379079017815e-20,99.99999999654553,8.142187108872393e-09,-6.066595111856703e-21,-4.560609435368195e-24,-4.017269826228006e-24,-2.0591646919191955e-25,1.2609547365803094e-11,-1.93914734164403e-13,-1.7806076090036055e-11,99.99992102686402,6.46575662541157e-05,19.99999999999641,20.000000000003567,99.99999958002536,1.859306162604197e-19,1.2625092433219385e-24,-2.094904077744553e-28,-9.675908682107354e-26,0.0,100000.0,3.648973698662964e-27,5.061512244269675e-68,1.8102534907210392e-28,99.86004593967208,-1.7928529599325407e-30,1.0460937692300625e-35,3.4039607413045337e-37,3.067112368174458e-28,-1.528337583577915e-32,-1.6390873414531302e-33,-3.793139090082524e-58,-8.690831061661678e-63,-4.108355125869318e-64,999.8240689455068,200.0,200.00041721507085,0.04059854318598466,0.0,-0.0005272266870296718,99.94361135282672,0.0,0.17085370571908126,0.0,8.703646960946682e-14,99.89757717874456,0.0,-2.3812842884088694e-38,1.6372592923527859e-24,-6.891628955575979e-11,-2.7692251507043793e-15,1.3085350294151208e-42,5.2267108138740383e-48,-1.3669417286498539e-14,2.0387871660843716e-08,2.0
200,2.8206428120079262e-21,3.225508018293229e-12,-3.4766027917332685e-09,100.00000000000114,5.0,4.120248130546208e-19,99.99993184164855,1.0934631606835297e-06,-1.188823149949744e-25,100.00009688148778,-0.00015904775593251228,100.00000000408453,1.6639667028250701e-09,99.99981668780873,1.3920623974468984e-21,4.349787680340882e-19,3.3665521545731414e-19,2.5616227417888995e-20,100.00000001322141,-9.887555175334961e-09,1.8559573727188815e-21,-2.3944578154466094e-23,5.996025253945828e-24,5.462048304980842e-26,-1.6403964105411962e-11,8.859479104782724e-14,8.331868154782224e-10,100.00007205626727,-0.00013746413794786926,20.000000000006686,19.99999999999634,100.00000017997596,3.4987825103175928e-19,1.4584246717497462e-24,5.180070951991417e-28,1.3148377683028535e-25,0.0,100000.0,3.1043252434332854e-27,8.751928485780733e-67,-1.3946876844562684e-27,99.7321322104991,2.776432145574605e-31,3.920065912541294e-35,1.9635380714973974e-36,-1.4739795589161492e-28,2.7954935052350187e-32,-3.688796743787576e-34,-1.725628462803648e-58,-5.904222168734581e-63,1.3489556016048202e-64,999.7422037285368,200.0,200.00103796239247,0.20941276473328405,0.0,0.0004877097693055996,99.75288400881276,0.0,0.15447642890656302,0.0,-1.9785398628283434e-13,99.76790205353662,0.0,1.2214785278362395e-37,9.334160463722302e-25,-4.717525909034913e-11,-4.4214981359683632e-16,4.21619297610093e-43,1.833940941651724e-48,7.514408565761459e-15,2.332273383548294e-08,2.0
300,4.2347348085173e-21,-1.5930997335239853e-12,6.411852508868216e-09,99.99999999985117,5.0,4.0644839355688495e-19,100.00038246903836,1.0404283533966622e-06,-5.843028905050072e-26,100.0001173595154,0.0001774342420694223,99.9999999916022,1.4064869813758411e-08,99.99981158242535,8.543041483239349e-23,-4.273197465907681e-19,3.914055708030536e-19,5.832224430171609e-21,100.00000001617816,-9.59114505032659e-09,6.1402848006305615e-21,-1.5080861994476505e-23,-2.6878885185748303e-24,-3.391545367568951e-25,-6.180033138742526e-12,-4.106276497027827e-14,2.934408727538239e-10,100.00014776608727,-7.353184045674762e-05,20.00000000000833,20.000000000000654,100.0000002769979,-2.2076139999906135e-19,-3.027451541134827e-25,4.840168093086171e-28,4.178258207399857e-26,0.0,100000.0,3.5469160774080974e-28,-6.061256827827598e-67,9.175371707715145e-28,99.73827593756425,1.269836737789255e-30,7.604242281512227e-37,1.5272766938194853e-36,2.6447244982604674e-28,4.459562038496263e-32,-1.766146809941744e-33,4.761059250579958e-58,-7.859143371673052e-63,-1.5373193750726612e-64,999.755275558563,200.0,200.00144286478087,0.2935680345985773,0.0,-3.3664600460367905e-05,99.63583853124277,0.0,0.24743162540224564,0.0,1.9257781443807208e-13,99.66442321042405,0.0,2.103493319313035e-39,-1.5736559596529756e-24,7.771519724223544e-11,3.190045912203605e-15,-1.3889287596491252e-42,3.450605694097555e-48,1.3572636423217034e-14,-4.015615001195716e-08,2.0
400,8.639081039132466e-21,-2.207439320172974e-12,1.803836853656056e-10,100.00000000015561,5.0,6.003367823264495e-20,100.00024469420653,-7.333994183091088e-07,9.789400356960016e-26,100.00000932230869,0.0001871653508010516,100.00000001158428,1.0577012211063737e-08,99.9997253048395,2.1036490056030407e-21,-3.99801524155923e-19,3.0283835782845237e-19,3.006590124997114e-20,99.99999999104377,6.509146547446367e-09,3.632218029114371e-21,2.3474117142215385e-23,2.939713337496066e-24,5.465063552516982e-27,-6.324094540672028e-12,-1.9249042968534008e-13,-9.56915380322533e-10,100.00006992222593,-3.093312137726686e-05,19.999999999999563,20.00000000000133,100.00000033602151,2.392074946861404e-19,1.5653767520064126e-24,-2.6710484355513154e-28,1.0108201095803033e-25,0.0,100000.0,-1.479485004806482e-28,6.972168418305684e-67,-3.429654406727103e-27,99.56551400716472,-2.544533100048082e-31,5.728753849628349e-35,9.880152979683408e-38,7.088376602288589e-28,-4.6609784483480303e-32,8.013041005071777e-36,-5.400500697073427e-58,-1.1933890693980946e-62,3.256548557808884e-64,999.5336645770736,200.0,200.00133551800104,0.37292228501293184,0.0,-6.452144245069408e-05,99.62256463453124,0.0,0.4697414956632583,0.0,3.6285382712521296e-14,99.59430852966682,0.0,-1.1404217163946288e-37,-1.6227058563098929e-24,3.01502143934779e-11,-1.248810865671876e-15,3.691904447129679e-43,2.5370236522282394e-48,7.109416741484116e-15,-1.0913073827606302e-07,2.0
500,-3.542982094201169e-21,5.325935085624959e-12,5.818831123665537e-09,100.00000000007411,5.0,-2.482270520149523e-19,99.99867053360569,1.5641334973588043e-06,-2.7266368453708987e-25,99.99991194211584,-3.8694925051561155e-05,99.99999999534647,1.452073784127138e-08,99.99959886924529,7.543515572204736e-22,-4.239096160210917e-19,-4.098730670662041e-19,3.138258648697269e-20,100.00000001653184,-1.0129656795208356e-08,-8.334366296782299e-21,-3.446924356157504e-23,7.282197998911475e-24,-4.083455164115613e-25,7.80368804963348e-12,-1.1838714312989702e-13,-2.5412255004004064e-10,100.00002743294102,-4.9485811011046424e-05,19.999999999988873,19.999999999995406,100.00000067515266,-1.4252507404313224e-19,1.927889004819326e-24,8.470519419157861e-28,-2.0408231915728577e-26,0.0,100000.0,-3.760584736603862e-27,5.680812296146436e-67,2.1148636741935086e-27,99.55141238028668,-1.846602008649452e-30,2.4650045825302943e-35,7.691262980502117e-37,1.216762363077796e-27,-1.9688648197635863e-32,-1.0879077085803888e-33,5.129400019038322e-58,-9.89868963328809e-63,3.342760222291238e-64,999.4015545807811,200.0,200.00223599507135,0.5254307964210346,0.0,0.0010948017856739131,99.51893448693042,0.0,0.5099306766359776,0.0,6.081616859053062e-14,99.50778051927857,0.0,-1.50085890043079e-37,-6.298179620584856e-25,1.418475772430257e-10,1.38768421353167e-15,1.0010514372887703e-43,-3.832791229636749e-48,-8.483022022816244e-15,5.572597551493387e-08,2.0
600,-4.2870267118939025e-21,5.842763389344194e-12,2.6641746338976247e-09,100.00000000014472,5.0,1.1006732446798927e-19,99.99984786182148,1.3329293900798541e-06,-9.909387639791876e-26,99.99975775626392,9.651229163576332e-06,100.00000001658306,6.361573340860371e-09,99.99953953117547,8.4667960037488865e-22,-1.8398755566301562e-19,3.1680962014121015e-19,-1.1179548765945358e-20,100.00000000744365,-1.3891354915070767e-09,-4.76175031678437e-21,4.386206175304741e-24,5.443613835441357e-24,2.05621038745061e-25,5.738316064540473e-12,8.626523534472175e-14,5.888247000377001e-10,99.99993270725878,-7.064242949802061e-05,19.99999999998755,19.999999999996067,99.99999897285109,-1.3686065811203e-19,6.931062219199774e-25,4.520234383505206e-28,8.727392103242459e-26,0.0,100000.0,-7.147152204396205e-28,4.160667172207212e-67,2.836587135213074e-27,99.43343036910812,-9.786999363129635e-31,6.486776800310438e-35,-9.771290360883446e-37,1.0027909703896902e-27,-2.938460776701454e-32,-1.4355648851418503e-33,7.10242771616733e-58,-3.7455538626673297e-63,1.4605282645762708e-64,999.3556703878421,200.0,200.0022743242639,0.6416662091260684,0.0,0.0009602992465510129,99.35908648600092,0.0,0.5725757516687288,0.0,1.8398962183843658e-13,99.34725110258454,0.0,1.2215737415225702e-37,6.1793906758353725e-25,-1.1269409229184764e-10,2.909834826661416e-15,1.565233260636779e-42,4.759894837745438e-48,5.738694037100958e-15,1.1122357262994333e-07,2.0
700,4.968396769771428e-21,5.9090500229321104e-12,-4.189099622892787e-09,100.00000000010866,5.0,3.3192859760300254e-19,99.9979213702465,1.0038814402342786e-06,-2.4648863658897993e-25,99.99968839374417,0.00040871549568469157,100.0000000021593,1.695800179054255e-08,99.99948647627204,-4.593575139057065e-22,2.97428425617096e-19,6.570431898873669e-20,1.709651658303999e-22,100.00000001385457,-4.828337567629809e-09,1.164599027738088e-20,3.5021188272447056e-23,4.660582264024026e-25,-2.6147853793821045e-25,-7.457064236669725e-12,3.095882348362871e-13,6.192762008834616e-10,99.9998899816403,0.00010842773188495876,20.00000000000395,19.999999999995616,100.00000006123737,4.393726277333257e-19,-1.0783165104165383e-24,-2.7959817528753362e-28,-3.806604011987875e-26,0.0,100000.0,-1.8422086401651103e-27,2.8598891913896227e-68,-3.3575563902412895e-27,99.3060824371875,-1.4706574324882065e-30,-2.9867347598648e-35,-1.939908807394544e-36,-3.762750960772e-28,-4.827087616377015e-32,-8.006533433611053e-34,-2.420596033645619e-58,8.189963868039921e-63,1.1454648523553975e-64,999.2468716473073,200.0,200.00254433584715,0.672961202652186,0.0,0.0016320946464725454,99.2669432647471,0.0,0.7589788099962231,0.0,1.307016696891648e-13,99.24945292001651,0.0,-5.996738176470361e-39,-7.471935634394302e-25,1.5364112685520008e-10,-2.2381780336738175e-15,-1.4628000926815865e-42,2.0550993072002837e-48,1.1638872637031236e-14,-9.974967853379373e-08,2.0
800,6.118805993678875e-21,7.409446114533988e-13,7.461733272024783e-09,99.99999999984739,5.0,4.1694863668044615e-19,99.9982167785155,-2.545649736461174e-07,3.180731874638229e-26,99.99954381978395,0.0003407424406099199,100.00000000215968,1.4734597023251921e-08,99.99940738248779,4.486322787807204e-22,1.669675719923572e-19,2.5509690985961994e-20,-1.4698728146198735e-20,99.99999998255902,1.154957957961514e-08,-3.801752610242801e-21,1.2043591946895414e-23,-2.7501214376165177e-25,-2.3055075373910076e-25,2.6499486874623755e-12,-5.453862404784872e-14,1.5471426919392888e-10,99.99995063515672,-9.930734881814974e-05,19.999999999997915,19.999999999997165,100.00000095659385,-7.274926248348644e-20,2.2858882699855073e-24,6.0059068709356475e-28,-1.3474264160008108e-25,0.0,100000.0,-3.2695121927025333e-28,-4.140792315587547e-67,-5.364460363351092e-29,99.19692380493407,1.6120284194032385e-30,2.9805814094584013e-36,4.640741410066317e-37,-6.990490078151403e-28,-1.7398207469698112e-32,9.00817993592318e-34,7.414480040035913e-58,4.766386602928321e-63,-3.2589282834062153e-64,999.1097461324724,200.0,200.0029276418144,0.7249199949256224,0.0,0.0018071387482089239,99.19174353170482,0.0,0.74011756583404,0.0,1.0162951037768328e-13,99.14694352189805,0.0,-1.3663678834896512e-37,1.036071279861842e-24,1.3628097182308598e-10,-1.1322872872436504e-15,5.9892714271838895e-43,-4.6633098191718455e-48,2.7111435782381193e-15,1.0009786364461733e-08,2.0
900,5.0316573712945455e-21,-5.309084464973138e-12,-1.1633172269452294e-09,99.99999999987192,5.0,-2.0391502936416405e-19,99.9972458984052,-1.97616364090915e-07,1.6460479641243685e-26,99.99944670590625,0.0004746981834020508,99.99999999266863,1.172203589765431e-08,99.99930870676485,6.775593313474065e-24,3.265402395770741e-19,4.233448784903189e-19,2.551555592284292e-20,100.00000000977131,1.0778830696644814e-08,-1.2534952045552513e-20,1.2370727358035211e-23,-5.682823430258717e-24,-1.6138718982376183e-25,5.441756722835795e-12,5.781727306457141e-13,1.8653159736995626e-10,100.00007173303509,9.090983544156442e-05,20.000000000009983,20.00000000000225,100.00000085475666,4.723318379073332e-20,9.311768486903197e-25,5.7597840311739535e-28,-1.1355114283473371e-25,0.0,100000.0,-1.279319368555589e-27,5.510139594277026e-67,-2.774809026753623e-27,99.08077906089805,1.673281327292945e-30,-5.480227110174645e-35,-1.7298736916887196e-36,1.4211980273380305e-27,2.707625590876868e-32,1.0169691883277603e-33,-2.2759960467182477e-58,9.565348597180091e-63,2.5774678290508e-64,999.0895228292528,200.0,200.00376474484193,0.8281535685840122,0.0,0.0015972937837016817,99.13953931385949,0.0,0.9631385268719358,0.0,1.225790643295238e-13,99.09539958845629,0.0,9.345080298275572e-38,-3.9166863775947736e-25,-1.1335174276450662e-10,2.8994178301394817e-15,-1.0577491251190336e-42,-3.6298794606468773e-48,1.6334121663914166e-15,6.696842065654902e-08,2.0
