miliseconds,TrkA,pTrkA,pTrkA_Akt,Akt,pAkt,S6,pAkt_S6,pS6,NGF_TrkA
0,8.520676930490291,-1.0113369010155619e-07,-1.7470164768497557e-08,1.1559489504504923,-2.669333010829763e-12,3.55233603941354,-5.942651977918335e-10,1.02387165374849e-12,1.3795563570477945e-05
100,8.520656907635482,1.003440563857607e-08,8.705505029671805e-09,1.1559489994035892,-1.6359821368349006e-11,3.552336038706763,-2.7196185313753523e-10,4.2045926460795806e-12,-1.294498942438698e-07
200,8.520640536710523,-2.4799688555512483e-07,4.024308499003117e-08,1.1559490011569717,1.728779738314526e-11,3.552336038661797,-1.4599977259610764e-10,3.659433525728267e-12,-2.212781693560001e-05
300,8.520612670649742,-3.696626254499758e-07,7.941767061208718e-09,1.1559489712117361,-1.3305528283926345e-11,3.5523360386598997,2.1060694210509755e-10,2.325844152838459e-12,7.153313355779471e-06
400,8.5206628645733,-2.1595013692254314e-07,-2.899051573629534e-08,1.1559489449311318,1.0496528719974444e-11,3.552336038878611,-3.4859776323029e-11,8.116866797413717e-13,-9.019616448099048e-06
500,8.520628401965052,2.3530088867671796e-07,3.454353981384737e-08,1.1559489452453575,-1.683585252692709e-11,3.5523360393904686,2.0794156606198757e-10,4.219833611615821e-12,3.409254559990865e-07
600,8.520643729584476,-2.218786241293639e-07,-1.6811452911860054e-08,1.155948932954061,2.023795463349031e-11,3.5523360388099636,1.2348451139029235e-10,-2.9726481347554487e-12,-1.2197308345490097e-06
700,8.520577402233178,-9.270279894075221e-08,-3.1639536478244856e-09,1.1559489626022306,7.725333689147141e-12,3.5523360398109487,5.783259552061215e-10,3.671613562104696e-12,5.757653033328757e-05
800,8.520599713391263,3.451911316936264e-07,4.5490124778539433e-08,1.1559489793193287,-1.2554262958229485e-12,3.5523360396628223,-7.697376795530981e-10,1.900713468903568e-12,6.858834997297256e-05
900,8.520557502370693,1.5171796221424788e-08,-3.13360683070179e-08,1.1559489297175665,1.0164201624033271e-11,3.552336039914804,-2.6579535274639956e-10,1.2519354263924697e-12,0.00010517098557450457
1000,8.520554241049716,8.228452361181281e-08,1.241970475840205e-08,1.1559489905356697,-2.051388523160438e-11,3.552336039658307,8.258208513229093e-10,-3.735096762996559e-12,0.00012462003068937347
1100,8.520562626265628,6.027508189713847e-07,2.7609949504234836e-08,1.1559490054267958,1.917480089851901e-11,3.552336039385124,-2.907471201211342e-10,-2.4851120423135236e-12,8.510091090339363e-05
1200,8.520504030739058,5.8512666044992e-08,5.198823933451679e-08,1.1559489563750867,1.2924599002716976e-11,3.5523360394568333,-1.262934358509245e-10,1.8436664272145567e-12,0.0001221921892723141
1300,8.52046708571651,2.1553205102653627e-07,2.6159795472989942e-08,1.1559489539975731,6.858212935471599e-12,3.5523360391504895,-6.947244799194908e-10,-3.4745239314862825e-12,0.00013529247379248855
1400,8.52043495178142,9.645107466971617e-07,3.0915675099489846e-08,1.1559489826453981,-4.342951607419255e-12,3.5523360396659434,-3.7557329909056847e-10,-7.553122944696686e-13,0.00020256657154121426
1500,8.520466676826022,8.777242574968281e-07,-4.880700928311151e-09,1.1559489020257425,2.2191277123643714e-11,3.5523360385513936,-1.7009599446833406e-10,4.637418848243998e-13,0.00024062665465554353
1600,8.520410056955644,1.1791740681198347e-06,4.6293484182016334e-08,1.1559488948788457,4.577347491340843e-13,3.552336038573417,5.994108793959859e-10,2.4142364786816844e-12,0.0002282465687927418
1700,8.520394407056003,1.3353692530153077e-06,9.896110840632132e-08,1.1559489201725854,-3.93668097853904e-12,3.5523360394303523,1.0915171832344225e-10,-1.6037231857017847e-13,0.00023985921979258445
1800,8.520326176494944,1.096414944318159e-06,1.0105507699513707e-07,1.155948959492352,3.2495098860420386e-11,3.552336038487268,1.74781981926978e-10,2.3901384112109574e-12,0.0003111236881516312
1900,8.52033207218074,1.544058431220989e-06,5.8321390176304556e-08,1.155948933243497,2.992510232343129e-11,3.552336038669414,1.4356393640213864e-09,3.892788011651537e-12,0.00033245591628050096
2000,8.520290079639244,1.6641521936099855e-06,1.055837275787942e-07,1.1559489028297993,3.122858434565878e-12,3.5523360382321076,-1.1813820858413134e-12,3.2774159946685137e-12,0.0003839185593396919
2100,8.520226656401867,2.235325675951087e-06,1.0375308845443055e-07,1.1559488990360096,1.3647146257049529e-11,3.552336038272938,6.613927937403848e-10,3.3016640271348738e-12,0.0004019058924127358
2200,8.52016670412628,2.6180289051188738e-06,1.9012815314488514e-07,1.1559488778108884,1.604062722639868e-11,3.5523360379965343,1.7107811372258309e-09,4.101358851349327e-12,0.0004745446616849746
2300,8.52016135555089,3.2797448007600643e-06,1.8678135141815752e-07,1.1559487615536415,2.7295141457687733e-11,3.5523360385990896,1.5897584969973917e-09,4.422268880963872e-12,0.0004862632869230843
2400,8.520135017063943,3.3944401922882074e-06,1.9524612644952892e-07,1.1559487947583806,7.600156576396255e-11,3.552336037457081,1.9592323917930283e-09,1.1202046093101256e-12,0.0005671274561403471
2500,8.520024774331139,3.973380780819941e-06,2.5949264161351576e-07,1.1559487460790765,4.777738901730364e-11,3.5523360376396527,1.5461630321390436e-09,6.511669345287005e-12,0.0005664797892808733
