miliseconds,TrkA,pTrkA,pTrkA_Akt,Akt,pAkt,S6,pAkt_S6,pS6,NGF_TrkA
0,8.520669917317884,3.669182452671639e-07,3.528219388015332e-08,1.1559489328900736,-1.0208920457487096e-11,3.5523360391495844,-9.115783625132763e-10,2.3371131443987593e-13,-1.6267470036168704e-05
100,8.520657760883752,3.062982240324755e-07,3.0732210102076954e-08,1.1559489459689627,-3.860018415633947e-12,3.5523360401654824,5.703444037431397e-10,-2.4525161752621544e-12,-1.4758334960176505e-05
200,8.520640669836895,-1.6520167719624816e-07,2.2334906257796748e-08,1.155948937681734,2.3631466566204257e-11,3.5523360397445667,-7.484937493147919e-10,-3.486977432040391e-12,-3.079282767837505e-05
300,8.52065986106891,-1.4845229232873421e-07,4.344746115914822e-08,1.1559489923688462,-1.3605642085116557e-11,3.5523360391746226,-8.305707266028904e-10,-1.5036466312149856e-12,3.903548158502354e-06
400,8.520643669407637,1.2856622557392386e-07,-3.992932144648691e-08,1.1559489353673669,-2.290772210465665e-11,3.5523360403268947,2.7245089305801565e-10,2.8558568954288276e-12,4.458352718000779e-05
500,8.520630260038587,-2.7792921291739984e-07,-2.3883862099513662e-08,1.1559490213912587,-3.0981468985659216e-12,3.5523360395759065,5.655102725943582e-10,1.269782860200822e-12,1.5487804569126318e-05
600,8.52064434658435,4.242975782323309e-07,-1.423924242909043e-08,1.1559489958243554,2.0104244584532183e-11,3.5523360398388246,-5.225197881278852e-10,8.436692372148331e-13,6.155531301788969e-05
700,8.520638596248851,-4.843865882483023e-09,3.172958872513543e-08,1.1559490085695352,4.377011781314757e-13,3.5523360391535816,-6.448365700103588e-10,-2.9804847287473904e-12,6.489909921942455e-05
800,8.520586465967828,1.6463258070298165e-07,-1.1257945264064428e-08,1.1559489728362455,1.398440720078669e-11,3.5523360400946777,8.943968535879518e-10,2.011951225323716e-12,5.99617225398847e-05
900,8.520589765007786,8.410253712608948e-08,-5.7462325866600156e-09,1.1559489657593038,9.607433130879152e-12,3.5523360386727765,2.6420577978870796e-10,2.9039477159318725e-12,6.289951193201527e-05
1000,8.520577266584045,2.1150411177764943e-07,-7.66968043965793e-09,1.1559489277440984,1.073268581981268e-11,3.5523360399736004,-7.929946750343185e-10,4.193611730969611e-12,9.890792986101414e-05
