miliseconds,TrkA,pTrkA,pTrkA_Akt,Akt,pAkt,S6,pAkt_S6,pS6,NGF_TrkA
0,8.520656871683011,1.2913726827104485e-07,4.528502229615173e-08,1.1559490079099974,-9.832479963872785e-12,3.5523360400378095,-3.874305491252183e-10,-2.0742141098829196e-13,-1.6697833067890126e-05
100,8.520644420043725,2.8668221272039453e-07,-1.3886597591712341e-08,1.1559489530902285,1.0634500691392305e-11,3.552336039579816,-5.909811782447897e-10,2.7335731758592042e-12,3.450126658723914e-05
200,8.520617757504304,7.001988309313821e-08,-2.607237748285693e-08,1.1559489898395259,-1.297865941352197e-11,3.5523360399853354,8.317045477264266e-10,-2.6249377288508026e-12,1.902183044296071e-05
300,8.520624443642276,1.2471928782454309e-07,-7.702000095090129e-09,1.155948945888292,1.0804198382275561e-11,3.552336039338241,-6.068789784712861e-11,7.31518831844857e-13,-2.5572389713097813e-05
400,8.520632854105685,1.6929043594423884e-07,2.1607600908656767e-08,1.1559489659605515,-1.8411132199636643e-11,3.5523360403362036,-3.853482597726189e-10,2.6846575340699704e-13,1.3939997687746444e-05
500,8.520605216393246,-8.53216783844998e-08,2.1579266772427595e-08,1.1559490046965641,9.219086296697728e-12,3.5523360391844956,-1.7031688541130048e-10,5.465605533665075e-14,4.395172252134618e-05
600,8.520589135608853,4.3262641439747926e-07,3.232853054417541e-08,1.1559489865477228,1.3563600595693306e-11,3.552336040219441,-4.0247446490432037e-10,6.830039039881143e-14,4.2683791732797525e-05
700,8.52059115935057,7.529348566117216e-09,4.137459187351e-08,1.1559489309895106,2.467303524438298e-12,3.552336039700724,-6.974482930596334e-10,2.0711001452176408e-12,1.2544950926124011e-05
800,8.520596512097253,-7.46758683107906e-09,1.6080200472132853e-08,1.1559490170345632,-8.319637965046033e-13,3.552336039588538,7.456262532016791e-10,-3.4222017671899355e-12,7.59589992777174e-05
900,8.520562974192428,2.9439912697483274e-08,4.4951046034591685e-09,1.1559489634583695,-2.036715645510662e-11,3.5523360395054833,-8.714377586546196e-10,3.0280987701627315e-12,4.8457252745111936e-05
1000,8.520585302251998,2.5087426299546734e-07,1.7967766020859487e-08,1.155949005792272,1.309312659770066e-11,3.5523360391060654,-1.3548626183321856e-10,-6.408898263349543e-13,0.00010337768467833596
1100,8.520549524850178,3.163098770091352e-07,5.7991340213020384e-08,1.1559490025428432,1.9893127681713642e-11,3.552336038603038,-6.017397660746289e-10,4.07949122425001e-12,0.0001046476524523682
1200,8.5205159487324,7.637610734876593e-07,-2.9897210868187344e-08,1.1559489255700295,1.7842419938041688e-11,3.55233603974923,-3.4021963110071683e-10,-1.1608530732750885e-12,0.0001658784476114304
1300,8.520512955776843,3.643098483203706e-07,-7.580208062308821e-09,1.1559489808114654,-1.2435343613919933e-11,3.5523360389733005,-5.297557889999445e-10,-3.3653249094792447e-12,0.0001666334105182392
1400,8.520498312573457,8.395602997105246e-07,3.2035643843149174e-08,1.1559489311584348,3.568524975902318e-12,3.552336040318858,-6.177024227299601e-10,1.349553609165877e-12,0.00018365430648444356
1500,8.520461152969316,4.479405936538891e-07,5.5452687865402395e-08,1.1559489280725987,-1.463530868894428e-12,3.5523360402456543,4.253159826769506e-10,-1.9710363030333017e-13,0.00018000274691931515
1600,8.520388664603912,9.303662729030361e-07,5.908225364347532e-08,1.1559489302403838,-1.1424450515966645e-11,3.552336038815821,3.1454994945879185e-10,-2.5898687201468116e-12,0.00025854892587513865
1700,8.520399376768719,1.2203729788533173e-06,6.949073658114189e-08,1.155948888609549,6.086759529022632e-12,3.552336039344435,-5.504042180202503e-10,-3.86829792409247e-13,0.00027480109581177933
1800,8.520376011863787,1.0523485950091033e-06,6.298995671140144e-08,1.1559488741894255,2.97079454627361e-12,3.5523360395682135,1.289521214449424e-09,1.005361106905998e-12,0.00033973052299998116
