milliseconds,Susceptible,Exposed,Infected,Asymptomatic,Susceptible_isolated,Quarantined,Hospitalised,Recovered,Deceased,Recovered_from_hospitals,Total_reported_cases
0,1336210105.047517,477.79877353622504,8.41903819016798,998.9713253797439,22.7498954018478,5.138408106547277e-07,0.22619177080408237,222.07036751196412,-0.00860063595025557,116.2138506903771,2104.951096037013
100,1336209918.8762658,543.0939695567927,10.936713619035846,953.4048936908997,-20.842809802400236,1.055113439581387e-06,18.067284182216387,316.641937135084,0.012703128297537511,115.8310175634876,2119.268892398835
200,1336209743.583305,622.7249231501048,18.299255546281323,902.8428789400444,-35.616332784206094,2.831552124544917e-06,-7.944392999633463,347.1164813121725,0.013357210924981024,115.87841557323253,2119.30748071011
300,1336209667.9044058,709.8109925330702,20.246954920317926,832.0543779123856,6.364473541545225,1.2650377096216748e-06,19.153164277595994,420.47816948573296,-0.009345401384006368,116.24026795340352,2120.0443274821437
400,1336209778.248935,817.6796726831863,42.30515464607953,826.5735021834707,43.05902619975626,4.024726992777473e-07,-7.479198549122809,475.5711007170779,-0.010173128897822825,116.90619422422786,2121.2049996268356
500,1336209671.0022395,814.4499363189879,41.98996324600526,754.1115230261722,0.8684222016839733,3.0045532463983533e-06,15.53057473050525,489.3180439100153,0.009034564974064959,116.20374208568568,2121.0958097668313
600,1336209599.69117,880.3845697154098,57.20333079436469,719.8685360625732,47.69849789675712,1.6017106367659324e-06,17.32405043773192,537.8767108700756,0.015925287931710875,115.36562174144258,2129.0185208357166
700,1336209305.139867,1039.985894133264,55.70132165051114,717.6077733338398,8.046981944015316,5.260843810020978e-06,0.7997001320377546,564.2557433142111,-0.002724854002359451,115.68376644408926,2111.6000750289845
800,1336209185.6657875,1056.6081388569482,67.77255891702063,676.8508842955414,36.29510376108647,5.941873909345102e-06,16.677420542187264,613.9269284552995,-0.0019811169484896113,116.91795240566971,2126.9306283477817
900,1336209248.2553222,1073.2172755699914,80.96743003670333,627.1355396845711,54.641761138598106,5.560253704247802e-06,32.33715859758063,614.1272576840787,-0.0060363936891676875,115.26341624303264,2144.189521577581
1000,1336209187.7440474,1144.4588019355526,91.02454644215854,593.6505722639023,45.38639975467173,7.025392519316966e-06,33.79484360312555,640.5218098903182,0.005020058414234992,115.39997923012177,2141.8600237706187
1100,1336209174.18335,1182.9278767965059,96.39500967796745,575.9619587980261,44.92349872456412,1.0182361556697726e-05,35.00189173796517,711.5098403235216,0.015155463644238122,115.9130169326131,2123.343380502839
1200,1336209137.1164417,1249.7307306904024,97.60010014115403,544.2662759397874,105.95156644050368,9.800679542333541e-06,44.762087360388634,763.1642150628843,0.00951317596308202,116.54383506441732,2129.0040888088047
1300,1336208848.680751,1281.5699213668072,123.89587359023685,545.1300784937911,98.65904464246515,1.1416939856164182e-05,28.80408693371857,818.5633758737135,-0.0019232132837318072,115.97242494282214,2146.6278735062424
1400,1336208844.1365418,1323.030609836155,109.53658584177553,506.0355574919878,81.08391381954296,9.977717859836622e-06,54.51183521298412,831.6773339395486,0.013768084230270108,116.81053566011063,2168.26577723443
1500,1336208674.6126206,1395.1142777413763,130.54848925126024,493.1781411592902,137.41401636707062,1.158159559786917e-05,59.3750479224901,826.4156105411288,0.0016650428548514278,116.09994657093624,2155.2322687997134
1600,1336208597.2310905,1406.2387261607375,130.48110616729304,465.9017856546172,109.9199746029169,1.6441355592140847e-05,49.53707681277655,896.1413499721313,0.019556975779664747,116.41626631761007,2177.2236187517524
1700,1336208543.8831773,1390.8563933850728,142.69903374259258,446.9244303461318,163.35547309177036,1.486174349999567e-05,47.185741008901154,919.4071488911771,0.0310511997290141,117.02854963990842,2170.753102103162
1800,1336208603.0758197,1428.600753904626,155.80760373561225,463.7919108274443,180.95275406489625,1.624447471973283e-05,55.43600965928118,949.312403538539,0.03469799336940591,117.0446947821313,2194.440808684045
1900,1336208486.3374715,1496.0241657682643,173.07475609443037,435.5874853075359,154.9010892932187,1.836721627096381e-05,73.10133902011945,934.3357495908136,0.012968767589117969,118.1752017054769,2178.2788690788507
2000,1336208205.509064,1488.9799324973103,165.22899018305463,420.6190884722968,197.9944360687184,1.7002147304082327e-05,91.88635469029336,991.1435171526414,0.02411278583099943,118.41266510339344,2182.6727981145564
2100,1336208316.9050775,1532.805656301118,181.66513919801713,387.67213118119537,237.03850497654642,1.9997743798074224e-05,74.02781792392415,1038.8394312952448,0.03581779633052859,118.5124659993719,2207.9547914990903
2200,1336208332.1616645,1634.037918102841,202.30176881513805,392.86799664376326,286.78175964042526,2.0372647783748145e-05,80.7258674112606,997.5094778974127,0.02808107935469175,119.01608722261601,2221.994125870511
2300,1336208035.6066163,1617.9249894761272,187.99656513038556,371.68137196806595,274.871853819859,2.328957432611867e-05,91.41540184804933,1072.9819786864955,0.05949045199666582,118.94092043480605,2210.4917519010933
