milliseconds,AC_active_cyto_mem,G_GDP_cyto,G_protein_cyto,G_a_s_cyto,GRK_bg_cyto,iso_BAR_p_cyto_mem,PDE4_cyto,ATP_cyto,AC_PKA_cyto_mem,R2C2_cyto,PP_PDE_cyto,BAR_cyto_mem,BAR_G_cyto_mem,iso_extra,iso_BAR_cyto_mem,MAPK_active_cyto,MEK_cyto,MEK_active_cyto,B_Raf_active_cyto,bg_cyto,B_Raf_cyto,PKA_cyto,AC_cyto_mem,AMP_cyto,GRK_cyto,PP2A_cyto,MAPK_cyto,PTP_cyto,PTP_PKA_cyto,c_R2C2_cyto,c2_R2C2_cyto,c3_R2C2_cyto,iso_BAR_G_cyto_mem,PDE_high_km_cyto,cAMP_cyto,PTP_PP_cyto,PDE4_P_cyto
0,0.10832773292228212,-9.845478408974437e-05,2166.937110600271,-0.0011590720026299858,7.424143198080162e-05,2.567956984389277e-07,240.7999999966464,3009997.2417237395,0.0,120.39932831092416,120.4,93.4031214201648,-0.033270761640165264,6020.522742331008,-0.15803736121777975,-6.078077706420961e-12,108.36000000006399,4.105590704627965e-12,-5.704928341979665e-10,-0.026286782583207716,120.40000000024517,1.0110525447642978e-09,300.07718725303323,3010001.6930781603,0.6019292067352114,60.2,216.71999999999431,120.39999999999164,3.597944824043893e-11,0.00032535520872762144,3.168401991978305e-08,1.335105133223478e-08,-0.4588010235194736,301.0,0.08958170073077563,60.199999999999996,-1.5485213225439046e-10
100,0.34181313017645387,-6.570733585413739e-05,2156.877347118467,0.002754284021500248,9.36181304807971e-05,4.937512389212975e-06,240.8000000042531,3009996.936310555,0.0,120.39987443489282,120.4,32.612953123029165,3.696251100394996,5915.587107239126,11.589356641538112,-4.147332525297936e-12,108.36000000009474,5.6607896498653896e-11,-2.706375056839509e-09,-0.05420780721437547,120.39999999988474,5.761345285357891e-10,300.2873833819539,3010002.527001763,0.602071805720197,60.2,216.71999999999565,120.4000000001336,-1.5228909963027924e-10,0.00014630635927377435,-1.383366325785675e-07,-4.512145484212293e-09,48.673896568305395,301.0,0.8282499731316667,60.2,-1.2254499646013346e-09
200,0.08611787899219792,8.610447040965676e-05,2151.176097337637,0.008498285132154032,-3.3951837529682306e-05,7.850222534001657e-06,240.79999999769106,3009997.862835049,0.0,120.39976247871839,120.4,11.326137319329545,2.8321954925440744,5877.545207240412,4.4755988440618335,5.986493269899204e-12,108.35999999991103,1.0810387646990662e-10,-1.8550394632845689e-09,0.0455263260747166,120.40000000004692,1.5074143862649522e-09,299.7838300280356,3010000.4611248192,0.6020505307979994,60.2,216.71999999999397,120.3999999998832,1.0425460349490458e-10,-0.0003421312008369364,6.999967075490656e-08,-2.121946616886335e-09,76.08339827106583,301.0,1.610435869041465,60.2,2.1862509129876123e-09
300,0.5413658047184029,-0.00012410543628883265,2149.6207261780824,0.010301919266269405,3.787889443887641e-05,9.986806173222699e-06,240.79999999899806,3009995.5557351955,0.0,120.40024129689148,120.4,3.165457103877687,1.7716303288966846,5862.887233543898,1.6136175161843844,-5.299416090948743e-12,108.36000000004948,1.8866441025954597e-11,2.7844492965151675e-09,0.055534858212344856,120.39999999931372,-1.2201362402780813e-09,299.82783946974433,3010002.645881068,0.6020460630087044,60.2,216.7199999999959,120.39999999992752,-6.587738120165599e-11,0.0005870214885907803,-1.3015162718115191e-08,7.94175292127962e-10,86.6128766670067,301.0,2.2600207282138958,60.2,-1.203581942219449e-09
400,0.40694362614868385,0.00027324899155776306,2148.454582683653,0.010687950901813906,8.947629950322786e-05,1.0247487565904387e-05,240.7999999958402,3009997.411435509,0.0,120.39940533628699,120.4,0.593916388293598,1.146227742573607,5855.169119350125,0.9335024493646877,-4.246017993623296e-12,108.36000000010701,1.041629968289635e-11,-6.147472638752343e-10,0.14113969622883502,120.4000000014964,-1.3399635963965532e-09,299.58997582948587,3010000.7728521326,0.6019043008326732,60.2,216.72000000000227,120.40000000005118,-1.7512168547991194e-11,-0.00031260080285988633,-1.2271124297926207e-07,9.31880770578914e-09,90.73554605122392,301.0,2.3741440567677605,60.2,3.961349211411516e-09
500,1.0747520688809038,0.00010889780669481221,2148.5117445100263,0.013432075008934967,6.598030581900718e-05,1.0920051910470204e-05,240.80000000329667,3009994.8373578414,0.0,120.39929122122435,120.4,0.5888490125104083,0.865428833737047,5851.789778708906,0.5786129307532564,-5.264598152353688e-12,108.36000000004034,-7.840072992524719e-11,-1.8507234637426144e-09,0.16164230060395268,120.40000000185334,-1.3851965234190082e-10,299.18353499680376,3010003.7478980985,0.601993045005954,60.2,216.71999999999406,120.39999999999037,2.3912789475852222e-11,0.0017642254855753268,7.910905523945023e-08,-1.1968933964348066e-08,91.56200542345292,301.0,2.9686363524414414,60.2,-2.7046150705093394e-10
600,1.2818932864291983,0.00024789585438549685,2148.025358606902,0.014035219381356523,0.00016544007779328588,1.1200949314190685e-05,240.8000000036276,3009990.9447620255,0.0,120.3994198279531,120.39999999999999,-0.26291331760670744,0.6876210872356062,5854.308778016303,0.30689379882548157,1.2953472804082655e-12,108.36000000006642,-4.115886082217017e-11,-1.1778483156742768e-09,0.20552694402842456,120.40000000154905,-1.0987575815944095e-09,299.2023895479025,3010001.5164114814,0.6019688834560858,60.2,216.72000000000355,120.39999999992233,-3.980897172953589e-11,0.00082611876635252,-2.9501106973290535e-08,-5.82547463516586e-09,93.50577477740505,301.0,3.402036756290536,60.2,1.1107076302791869e-09
700,1.117585338197614,0.000488753357290355,2148.2120650631064,0.015219775023107953,0.00012184631569472065,1.1189425932234331e-05,240.80000000354838,3009990.2111156667,0.0,120.399129565415,120.4,-0.18955835884599243,0.6146545566575076,5849.760971066629,0.3983583330147644,4.166422320160501e-12,108.36000000001081,-5.989005315782208e-11,-3.360453106788963e-09,0.30024247368783824,120.39999999968327,-1.3142453208259e-09,298.52751414008645,3010003.904721971,0.6020438772677144,60.2,216.72000000000526,120.40000000006809,1.5247877249527492e-10,0.0018054804461921869,1.4870968758705243e-09,4.125494127131075e-09,92.2104109561278,301.0,3.317560584498353,60.199999999999996,-4.1303499691092456e-09
800,1.2217145039071569,0.0007715625748146325,2148.365800541828,0.01527891818628243,3.588804857783432e-05,1.1783747745049691e-05,240.80000000252053,3009989.059995839,0.0,120.39725389045637,120.4,1.0524900077324288,0.6595386287089988,5850.344647248332,0.4618097774274982,1.7479775049115252e-12,108.36000000007591,-6.759640708980481e-11,-2.6733052150539512e-09,0.24867910697495232,120.39999999929863,-1.6648276076175598e-09,298.54782847279546,3010002.7864096113,0.601890891126304,60.2,216.72000000000054,120.39999999995042,4.552651005265623e-11,0.00306021636475234,2.1027230151977915e-08,-3.1854542428432033e-09,91.68732718050518,301.0,3.9232518656664155,60.2,4.847521206677971e-09
900,1.9794356438625764,0.0007200134060066889,2148.047753015657,0.015986153408800063,0.0001469508481182157,1.198390634396404e-05,240.79999999513126,3009989.6539694103,0.0,120.39743411617778,120.39999999999999,0.1242048208008134,0.6367245481595206,5853.507898143083,0.2859767407228855,-2.868999261273765e-12,108.36000000009855,-1.1250855719522429e-10,-1.2258313709531555e-09,0.3763350159725593,120.40000000141588,-2.379405660344383e-10,298.3051497351363,3010007.6872781743,0.6019413793361803,60.2,216.7200000000004,120.40000000009603,-1.1189980482833843e-10,0.003356975815981665,4.7779632922397674e-08,1.1655344924704308e-08,93.45008268193106,301.0,4.192930691962374,60.2,2.118054893233086e-09
1000,2.0740868843630986,0.0006918716776536531,2148.127207498638,0.01693469614339712,0.0001639545124966575,1.160039350395309e-05,240.80000000383907,3009988.4696715833,0.0,120.3977687092725,120.4,-0.10280241929516812,0.6291568222959081,5853.2521269559575,0.4165092910391001,-1.8104412111990578e-12,108.35999999990007,8.968137999682598e-11,-2.9044437296839043e-09,0.4183744801562581,120.39999999690586,-3.754552468353979e-10,297.9830029236465,3010008.0555551467,0.6017963717107712,60.2,216.71999999999957,120.40000000001803,-5.348378682131867e-11,0.0025913109601168006,-8.869413583748956e-08,-1.1929658292287783e-08,93.09146765462091,301.0,4.051876001809333,60.2,4.674210876995796e-09
1100,2.393480604961319,0.001168305574418558,2148.209386294927,0.018783039024756556,0.00016188848242683105,1.1933576884840332e-05,240.80000000041008,3009987.1707791938,0.0,120.39665144684467,120.4,-0.5487034584813384,0.5721899411348567,5854.221693421443,0.319789709163442,1.4131800835984767e-12,108.3600000000745,-7.696870530570308e-11,1.9126215403406534e-09,0.4730347467189361,120.400000002841,-3.796046410265635e-10,297.56831497348,3010008.660372976,0.6017075573204342,60.2,216.71999999999412,120.3999999998921,-9.64886486352198e-11,0.004126513455671373,1.7548221115055741e-07,-2.820090103379686e-09,94.3901973440787,301.0,4.501481544092685,60.20000000000001,-3.4536394162372145e-09
1200,2.51178650756664,0.001051720638333189,2148.187727949823,0.01843753591178902,0.0003061149383293306,1.2869879070236817e-05,240.80000000358055,3009988.7132153916,0.0,120.3958122144839,120.39999999999999,0.5580060713693709,0.5676191487119739,5854.068453492717,0.35246668216970406,-1.443653442630801e-12,108.35999999990864,9.132074284783669e-11,-2.7138953472375953e-09,0.5543173772242656,120.39999999905844,-1.3777295781438232e-09,297.46843299556065,3010007.490063726,0.6017860678595807,60.2,216.72000000000415,120.40000000005104,-9.229601761720684e-11,0.0045283217952142565,2.0229195430911492e-07,-1.2535258912939208e-09,91.97835399047575,301.0,4.67621115028982,60.199999999999996,2.7954567755293203e-09
1300,2.8617122187269537,0.001150632648725159,2148.0743613886557,0.019311224567672772,0.0003548753694765802,1.282538666014454e-05,240.79999999567917,3009986.226313373,0.0,120.39535742232286,120.4,-1.3460704591420443,0.5700050059971284,5849.989476488414,0.3216332020992799,-4.9603225137026324e-12,108.35999999991184,3.977473760743576e-11,-1.666858569494717e-09,0.4852853061668329,120.40000000312283,1.7626785003661735e-09,297.4766145773298,3010012.3914293596,0.6017010106267809,60.2,216.72000000000278,120.40000000003465,-5.77285860958331e-11,0.0053895797238554125,9.575037697149685e-08,7.866563148183615e-09,93.92016911958429,301.0,4.794065103692268,60.2,4.230280330263192e-09
1400,2.997765309785855,0.001272836449954497,2148.0092751497223,0.02105476516872624,0.0003746055974442803,1.3268311114425826e-05,240.800000002333,3009984.996049249,0.0,120.39425338939823,120.4,-0.6823238438263732,0.5995822877817925,5850.4698493144,0.38440904711224616,2.260956108478205e-12,108.36000000008737,5.3182797154820225e-11,-2.3905000787483036e-09,0.5860174681591658,120.39999999769591,-1.3894239630131867e-09,297.0297750414568,3010011.1485224203,0.6016157278537517,60.2,216.7199999999976,120.40000000009329,-1.1281096292213823e-10,0.006016754546642275,7.807072493954635e-08,1.2923365268886124e-08,92.15213676983862,301.0,4.731186828850542,60.2,-3.0264337246777997e-09
1500,3.3036542258357398,0.0014938644679310079,2148.099690719583,0.02141177012503014,0.0003448138345627932,1.3325387123298269e-05,240.79999999677793,3009981.283534683,0.0,120.39330482365816,120.4,-1.1007228780477645,0.5517398702745753,5850.905947231053,0.46255375142173205,-1.4626770528725665e-12,108.36000000006477,7.606556733711765e-11,-1.698279789231077e-09,0.5898169812600468,120.40000000064778,8.571497988385274e-10,297.12504166813636,3010015.073617272,0.601557480419541,60.2,216.72000000000455,120.39999999994959,-1.2933132513298142e-10,0.006613824224496671,2.6887927388192453e-07,8.193233244876855e-09,94.05623301691816,301.0,5.058454558554018,60.2,-3.2181229280185646e-09
1600,3.0639072823482554,0.0018012157868498263,2147.929427667369,0.022569490375918894,0.00042335261144139426,1.30448231736706e-05,240.79999999696923,3009979.2810875536,0.0,120.39295088723324,120.4,0.07893531824148745,0.5684227024853346,5854.308493526434,0.23835718215791002,-4.111631423191917e-12,108.35999999997681,4.748939195728246e-11,1.9665728240609207e-09,0.7400785934153488,120.39999999892099,2.4758251988535137e-10,296.4483486751131,3010016.7467996688,0.601596388795516,60.199999999999996,216.71999999999994,120.3999999998559,4.730440555952924e-11,0.005863591104749613,3.0010775641453143e-07,1.749235766308155e-08,91.68213621013511,301.0,5.196241621583463,60.2,-4.232672008168634e-09
