milliseconds,x_Malignant_Cells,y_Lymphocytes
0,5.3,6.7
100,2.8588031867167407,9.486232509634235
200,1.241231553161133,10.964953781698686
300,0.4941318945477185,11.32295807373874
400,0.19576188909867182,11.14130080966258
500,0.07992187666433002,10.757422656524474
600,0.03403500899182297,10.311124102897487
700,0.015166692537265315,9.855038332566883
800,0.007071236002309092,9.408507386775522
900,0.0034447157078671556,8.978439890990382
1000,0.0017501972994203227,8.56702597623453
1100,0.0009257095544298528,8.174620311243492
1200,0.0005087419360927029,7.800851879203259
1300,0.0002899743867233706,7.445065933867039
1400,0.0001711182548434471,7.106506088363434
1500,0.00010437019913360764,6.784391531730771
1600,6.569063820303253e-05,6.477950388295491
1700,4.2600246324320125e-05,6.186434104591354
1800,2.842299887489379e-05,5.909123368958047
1900,1.948386198546989e-05,5.645330153142423
2000,1.3704240967183013e-05,5.394397941599125
2100,9.87790448814899e-06,5.155701108357545
2200,7.287628178757037e-06,4.928643899249615
2300,5.497004227942076e-06,4.712659243233423
2400,4.234635775103343e-06,4.507207504290915
2500,3.328196974738071e-06,4.311775230140197
2600,2.6661263896673833e-06,4.125873926266396
2700,2.1748402597290243e-06,3.949038869369254
2800,1.8049490252355045e-06,3.7808279667986797
2900,1.5227483933216774e-06,3.620820664553855
3000,1.3048767371382203e-06,3.468616904285198
3100,1.1349031767861686e-06,3.3238361285945124
3200,1.0011089312770678e-06,3.1861163329894953
3300,8.950293779555067e-07,3.0551131630815545
3400,8.104813260358516e-07,2.930499055550548
3500,7.428948549638721e-07,2.8119624199301056
3600,6.888635529999675e-07,2.6992068604040194
3700,6.45825942456913e-07,2.591950435231095
3800,6.118464277434361e-07,2.4899249528206675
3900,5.854532477319604e-07,2.3928753000539285
4000,5.655257003693286e-07,2.300558804052794
4100,5.512166087909295e-07,2.2127446278073557
4200,5.418913367672946e-07,2.1292131924503708
4300,5.37082156862988e-07,2.0497556277924582
4400,5.364570346727474e-07,1.9741732496512066
4500,5.397974973310143e-07,1.90227706376133
4600,5.469813162548774e-07,1.8338872935392367
4700,5.579704023969572e-07,1.7688329295913312
4800,5.728034104049143e-07,1.7069513028894978
4900,5.91591023881613e-07,1.648087679621798
5000,6.145135379930692e-07,1.5920948726450943
