miliseconds,GTPgS_C,KCNQsites_M,PIP2_M,GGDPbS_M,ATP_C,oxoM_EX,GDPbS_C,GGTPMg_M,GDP_C,GGDPAlF4Mg_M,ip3_C,AlF4_C,G_M,GGTP_M,GGDPAlF4_M,GGTPgS_M,PI_M,PIP_M,PIP2xKCNQ_M,GGTPgSMg_M,GGDP_M
0,0.0,6.705000438227476,5005.572853357328,0.0,3000.001249796885,0.10583056328613687,0.0,0.4234992309965764,0.0014493145123529191,0.0,0.4472523907671642,0.0,0.051408861844127164,-0.08172541789700148,0.0,0.0,199999.4275790244,1150.7195609098085,33.29875337863554,0.0,199.64500690387462
100,0.0,6.66216642680528,4979.859137215754,0.0,2999.9892703865053,-0.10027003689940721,0.0,-0.2287574437420734,0.0002872832628458603,0.0,0.49731254619678805,0.0,0.01710778768724129,0.00029881203141872426,0.0,0.0,199999.09009684145,1148.3956716702535,33.27963880812574,0.0,199.40173483232638
200,0.0,6.7226309776963635,5000.985094745938,0.0,2999.9855566028828,0.13954377797332096,0.0,0.3327932674467936,-0.0007059417874956503,0.0,0.4463701770533753,0.0,0.01900420659023685,0.13613927437465684,0.0,0.0,199997.52929878712,1144.7704356598001,33.28230335205298,0.0,199.65465736726148
300,0.0,6.693150950487032,4987.252718201091,0.0,2999.9728328853184,-0.17486887389004796,0.0,0.5756097879461739,0.0002445345999595325,0.0,0.4223842918769616,0.0,-0.0015648377760522775,0.11129612659851115,0.0,0.0,199995.7892358694,1142.1271148721012,33.31287513930572,0.0,200.59939691186474
400,0.0,6.711260501561901,4999.544841782592,0.0,2999.9730305890585,0.1886836212874413,0.0,0.2831094858229159,0.0015895576338145329,0.0,0.46220113921318634,0.0,0.0121492176095807,-0.064604169876058,0.0,0.0,199993.03999923915,1139.998791279172,33.33277706156527,0.0,200.34831937146
500,0.0,6.684811639424796,4966.371713044537,0.0,2999.9574840612904,0.054278587672078556,0.0,0.08966191223353001,-0.0007737447686968166,0.0,0.4475457383652465,0.0,0.02142072211308394,-0.06053878215269182,0.0,0.0,199993.14125403328,1138.967910666386,33.301618912784896,0.0,200.0238379151469
600,0.0,6.648894175902095,5033.018881004921,0.0,2999.9535627732557,-0.22691958302089424,0.0,-0.35920260808401305,-0.0005759070526367481,0.0,0.40667659374710274,0.0,-0.023145840882129703,0.08679010687175925,0.0,0.0,199991.20672252492,1137.5872308587197,33.316905067211586,0.0,199.60113028604576
700,0.0,6.68371592898431,5042.222153440126,0.0,2999.9512822075044,0.001220252767395961,0.0,-0.3379635692413414,-0.0004051953766063397,0.0,0.43418417751127014,0.0,0.009312788903330448,0.14944856994215536,0.0,0.0,199989.18004902054,1133.7791059812782,33.35136803886874,0.0,199.39424080538615
800,0.0,6.673908212734169,4965.2254673952175,0.0,2999.9357940720356,0.009475836017215444,0.0,-0.03554814245978541,-0.0012294369051497887,0.0,0.4029419876134164,0.0,0.030896574077045505,-0.07486192325199512,0.0,0.0,199989.11949774402,1131.2992468423668,33.35454261170112,0.0,200.40371919044333
900,0.0,6.65554797598457,5029.457895505691,0.0,2999.93279310393,-0.1247992494994181,0.0,0.4587335694642498,9.355251821242301e-05,0.0,0.4146478743683927,0.0,-0.01908914012290438,0.012091944333622005,0.0,0.0,199985.77331652437,1130.0348290167929,33.35032671356156,0.0,200.32910406498556
1000,0.0,6.6854162709181555,5020.907379234288,0.0,2999.921417407553,-0.06105747597940253,0.0,0.04598148532028956,0.0004909578191699135,0.0,0.40712657282634906,0.0,-0.011390730917288122,0.21019133126109474,0.0,0.0,199985.1900602296,1128.4607485255458,33.29726857815301,0.0,200.14510284734007
1100,0.0,6.64506100250859,4968.79592474209,0.0,2999.916683615594,-0.01726233847412309,0.0,-0.20707198270259017,0.0008025927299129185,0.0,0.3807214534675004,0.0,0.013724803850175686,0.14532484177579186,0.0,0.0,199984.29099261345,1126.8144132144046,33.36032858477564,0.0,200.57481743766033
1200,0.0,6.65641901815029,5025.774098465959,0.0,2999.9090020891513,-0.12359539201241757,0.0,0.22424616597864777,-0.00026363921740510117,0.0,0.36414708601147266,0.0,-0.008997331135171429,-0.02541627802115936,0.0,0.0,199983.1222890768,1122.3857337176914,33.351052956362246,0.0,199.7000974170265
1300,0.0,6.641333351968989,4999.378677365768,0.0,2999.8968905344423,-0.027209777468755154,0.0,0.42238287538257474,-0.00032735229115042825,0.0,0.38303439003135237,0.0,-0.005726794082937967,0.059525285705625625,0.0,0.0,199979.6750427362,1121.2271795146416,33.31868249395613,0.0,200.46985654532756
