milliseconds,T,E,I,S
0,0.9851801246217341,1.002928721123186,9.9526073598805,-2.68300424625974e-14
100,0.9848399754050428,1.002160590983284,3.580647281734556,2.191228846559182e-13
200,1.071036988885648,1.0014286400656,1.293549787978971,2.9100783341458424e-13
300,1.0384455949581115,0.9996370525407453,0.6228441128958636,2.7808263236019035e-13
400,1.0455023476810923,1.0061130304249484,0.17397308410879214,3.222037339569488e-13
500,1.0672381585250643,1.0039327414156234,-0.013025446388570616,3.5617428844872824e-13
600,1.1213527744319063,1.0052546534704159,-0.09671782070850236,3.144158014013047e-13
700,1.1620821645775974,1.0021587688830524,0.07076682453108595,3.500917497335976e-13
800,1.113001111277699,1.0059918108861665,-0.09809104369724955,3.3394568432715846e-13
900,1.1700669117433669,1.008589049687347,0.022685213982827832,3.6248033840089716e-13
1000,1.1949569393242743,1.0056074393664676,0.03996569348910905,3.826326837026767e-13
1100,1.1792354966137508,1.0058751765056648,-0.0669084788058162,4.0887178995697863e-13
1200,1.2383425914239676,1.0102214530633025,0.012996747181907789,4.385035132981394e-13
1300,1.2665838581368327,1.0138966563145835,0.08293557396071301,4.394157373166292e-13
1400,1.3237264437102851,1.0141084009290606,-0.06408554744008275,4.1608674182255864e-13
1500,1.3327705920918669,1.01239167126944,-0.037495841656067556,4.820772835720641e-13
1600,1.3184854488125228,1.0158321285502732,-0.11140443288005135,5.29089399465458e-13
1700,1.3746054349998664,1.0158386195205562,-0.1249457513196194,4.825784741981877e-13
1800,1.3985275842155125,1.0164376572527727,0.0006929771637040979,5.537105580364398e-13
1900,1.376317829103761,1.0197563858533782,-0.0664808229927743,5.434794289946853e-13
2000,1.4588095736820308,1.0252166401516616,0.005129730448415737,5.694850048028946e-13
2100,1.4551521773972296,1.0261344758300388,-0.029365522575124616,6.080445821733685e-13
2200,1.4808987095929267,1.0309626710816286,-0.08443973003016446,5.847979040261058e-13
2300,1.5500990308123788,1.0287897979659157,0.07467634749095499,6.216833951798154e-13
2400,1.5313270383080686,1.0355469579981469,-0.04544400584302052,6.121555641703134e-13
2500,1.5685198671775618,1.0376665881032356,-0.04561721658748412,7.156293067838776e-13
2600,1.5922252790927807,1.040673577463221,-0.04752444203954116,7.201421068729137e-13
2700,1.614688260503892,1.035894269763365,0.008503018432334752,7.204667703674362e-13
2800,1.6161908762922066,1.045148589618369,0.04462835334610666,7.214576808467316e-13
2900,1.6434208603834026,1.043962864834776,-0.06561902760207662,8.108594801105889e-13
3000,1.7163108625923194,1.0506453089370458,0.05640395277457522,7.712331883725957e-13
3100,1.7672970403226929,1.0472381807746798,0.015740334070940016,8.257276455733664e-13
3200,1.7594582856676955,1.0507332275916206,-0.13462937888952092,8.593559454674539e-13
3300,1.773169410767369,1.0554736810430871,-0.04784510452518221,8.716615701721243e-13
3400,1.8164092653204793,1.0573955051595212,-0.02836866633705197,9.495695914107855e-13
3500,1.8565343574598263,1.062146488308804,-0.07280392332435522,9.931454728767914e-13
3600,1.9357435968899979,1.0700175858771224,-0.14591894983805467,9.817111754976733e-13
3700,1.9109778671693372,1.069772812599069,0.07733956413748369,9.99402255056351e-13
3800,1.9484744632975048,1.0724604213020763,-0.07125973582814789,1.1147495370734529e-12
3900,2.0440179307744284,1.0768209974169372,-0.08833757173976921,1.1321098204813646e-12
4000,2.078234788603935,1.0834265684794226,0.04505419208763991,1.1224013597387357e-12
4100,2.0931074949011714,1.0865298323294583,-0.012901923938142684,1.1623300597905764e-12
4200,2.1513890112615437,1.0877362345840202,0.004780799871782088,1.213607609297583e-12
4300,2.1931016966166976,1.0921338922001662,-0.1433479054082682,1.256198135097223e-12
4400,2.181899834552744,1.0985225196305233,-0.021012346853142252,1.3754944695857685e-12
4500,2.288277039363414,1.1009745449028556,-0.09391534494429159,1.4202551424726212e-12
4600,2.251871334240262,1.109923924556663,-0.07487140179186702,1.4123799895898222e-12
4700,2.293473428344366,1.1096428344990186,-0.10096035768334397,1.4594143621756885e-12
4800,2.3992977407591267,1.1197284361546074,-0.1320798180557252,1.5176286227821067e-12
4900,2.385723503568495,1.1182262721604637,-0.07385892554974234,1.609825430457317e-12
5000,2.4690479283393625,1.1291720213200458,-0.09134095667841308,1.6551482935755064e-12
