milliseconds,EGF,NGF,freeEGFReceptor,boundEGFReceptor,freeNGFReceptor,boundNGFReceptor,SosInactive,SosActive,P90RskInactive,P90RskActive,RasInactive,RasActive,RasGapActive,Raf1Inactive,Raf1Active,BRafInactive,BRafActive,MekInactive,MekActive,ErkInactive,ErkActive,PI3KInactive,PI3KActive,AktInactive,AktActive,C3GInactive,C3GActive,Rap1Inactive,Rap1Active,RapGapActive,PP2AActive,Raf1PPtase
0,10002176.747552734,455968.4382295838,80318.32198827484,238.08679476331076,9974.48003720043,3.5893511221249894,119718.28662973086,8.1035665746022,119990.22969122813,32.33862084137241,119857.79822708009,26.35575986205949,120000.0,120042.85944387023,1.7713339182264805,120002.68358351139,11.071295649788661,601934.0196435209,2737.33117916762,609568.3131647329,9157.648545219032,119170.61631621879,-102.9764398784703,120029.63523358594,27.002354675663156,122024.47394368875,-1912.454861554733,119918.60060714757,-128.7664444413431,120000.0,120000.0,120000.0
100,9922503.183170697,455948.8230963699,-189.35327524799135,80370.51058867112,9941.554456543166,37.3996854865223,49913.13450137538,69923.96209693326,119999.32722204622,19.075400555793877,107327.58547231852,12727.287601806302,120000.0,119697.44669008067,242.95691201877662,120003.11081022413,11.155185629549113,601454.8040233306,1314.0165003520228,608685.3562287568,-316.72310656588667,91594.55638952435,29840.142536420484,119968.80851959782,-16.031457421638073,119063.03408499253,-1668.8291057206447,119773.31238932609,-58.462592540865124,120000.0,120000.0,120000.0
200,9922016.487525782,455838.19958809187,-320.3469971042922,79867.91927038161,9870.348825611096,101.07498071621171,17637.433273333852,103094.57428430302,119963.35541239739,-24.16736977643497,100771.43375293472,19139.774549162383,120000.0,119248.40514304828,753.825044596342,119989.92309178277,7.046226529697889,601763.9647058505,4089.6552722960796,594731.7940639964,4905.783504566572,65610.23768115416,54046.13724145359,119961.37316848391,86.8766707778741,119954.09749694893,3235.6419109746403,119818.51252739741,284.97387744088,120000.0,120000.0,120000.0
300,9921904.804202007,455811.37468717375,356.992084038964,79445.15245697221,9811.64628584264,191.46259552589908,3912.6287639759003,115190.80689147371,120040.96517133171,-10.337960707003912,98138.77316295479,21812.676577537597,120000.0,118815.44839460803,1235.6283672554998,119989.60265230683,7.835185318528035,593838.2714563933,-147.60904648802398,591694.6457787575,5658.283359635396,45063.1286141013,75173.5735384443,119820.73461052221,164.63061621909083,114569.95894149951,5675.491787956851,119752.47937269798,123.47179135501459,120000.0,120000.0,120000.0
400,9921635.575759543,455755.88080106344,-272.4440224790014,79888.37433111641,9772.434028823302,229.74763839161497,441.9400255293614,120224.73666473306,119957.1264840668,14.644646595786709,97110.60653142587,22858.85869395698,120000.0,118375.71588424015,1616.0585804935286,119982.82732990966,20.203772685667964,594278.225454275,5206.178017333103,599566.3118974016,8599.066840616995,31655.4485441315,89862.05163066949,119869.42876396181,248.625360959681,111321.88926308764,7750.270176152751,119461.23734116094,434.036411842157,120000.0,120000.0,120000.0
500,9922466.681367548,455672.1034579655,435.732987230504,79945.09564715989,9693.860673369589,320.4561959698505,676.7611611101506,120680.0406946456,119962.4303116168,59.726704529232045,97201.4206672694,22639.954179513825,120000.0,117975.0390444492,2009.5256653335066,119976.53892043977,14.979013475167884,592632.5656248125,6494.067436577012,599215.0108413169,445.22285248966,19901.79098703011,98161.47114720996,119682.7228332608,253.47302872043232,110212.81419093123,8300.202709221225,119139.27072212509,788.1396205865783,120000.0,120000.0,120000.0
600,9922408.978330135,455659.9323046282,-348.3506704749677,80504.69786950067,9624.769855627826,361.20795416044444,-597.144960642971,119338.25600170191,120000.64950682828,30.667636283458442,97297.33873914335,22906.278068347507,120000.0,117682.78840788016,2279.0426131044405,119958.04595779184,37.09048062497853,587655.6471714721,9689.146187052254,587075.264551612,2127.5814982563425,12578.61658778838,106631.87737032158,119605.25284166462,301.94165350495115,104272.80098173504,13679.806358822178,118671.71296672939,1449.5986921198978,120000.0,120000.0,120000.0
700,9921749.82016057,455565.6519268675,-386.2233937190233,79801.44643516597,9549.323879120255,429.89300619799735,-256.66500100295207,119411.13402448644,119945.04018977196,21.179984915242986,97405.78047133678,22696.77612765193,120000.0,117491.80767385781,2541.075456535111,119944.22567977961,34.69142588589327,578970.3902353834,19708.050554373345,577497.9081465055,11780.346118019012,8199.614718193374,110676.23959583913,119541.07409557732,374.56793755866505,100840.23637227497,18089.960155344714,118225.74796277523,1794.3515123943391,120000.0,120000.0,120000.0
800,9922298.63768719,455494.7626183597,-432.43138109203477,80338.8304170631,9503.422202992326,521.6340961151806,-75.5443301942847,119810.61225453537,119964.76919227447,54.57440965707349,97122.9197656467,22672.00726780218,120000.0,117225.05731930042,2711.561389252444,119924.78812004023,80.4223117801008,580243.0272863081,24644.267851504545,571734.6026597217,19840.873394108643,6309.976124255164,113744.55691817362,119473.32323909184,564.7819806623334,93499.90221254781,27317.760170773647,117337.56189985118,2558.0447843083784,120000.0,120000.0,120000.0
900,9922214.603529057,455466.7150418988,433.21911550268567,80271.7679864302,9425.797095443928,539.1066282826872,176.51119404440868,120086.24204684317,119949.42117994936,74.18207412536958,97227.31781059518,22831.371631237693,120000.0,117079.4873664824,2906.144198630262,119916.47480954479,80.3671444518379,573032.7049388257,29332.57476542194,567460.242522176,25519.234016306407,3092.930924858541,115821.01307222169,119329.80851376797,636.7157467411294,86299.96403015708,30430.439489630473,117064.84996404157,3307.9344709743414,120000.0,120000.0,120000.0
