miliseconds,EGF,NGF,freeEGFReceptor,boundEGFReceptor,freeNGFReceptor,boundNGFReceptor,SosInactive,SosActive,P90RskInactive,P90RskActive,RasInactive,RasActive,RasGapActive,Raf1Inactive,Raf1Active,BRafInactive,BRafActive,MekInactive,MekActive,ErkInactive,ErkActive,PI3KInactive,PI3KActive,AktInactive,AktActive,C3GInactive,C3GActive,Rap1Inactive,Rap1Active,RapGapActive,PP2AActive,Raf1PPtase
0,10001909.955372391,455971.57907392917,79506.3574491176,-40.18540248337371,9994.865044265296,-32.248833080844626,120486.33052763791,256.39399500234447,119986.71244792883,-9.81073162618861,120091.48293696537,-23.526483351657046,120000.0,119972.13979055503,35.30847980897766,119991.12465466313,-12.815541234790135,601053.3313432282,2137.637423452605,598059.9443177718,-8921.880739388585,119045.06630689026,-352.12717410964996,120062.27032540842,-55.38426758917599,119797.69854531984,-1471.7102480120116,120114.91906178035,-226.90457751801682,120000.0,120000.0,120000.0
100,9921843.846508527,455939.03121588944,265.7148048255654,80039.1055203205,9952.35352147896,85.57183991480085,50187.319134863035,70963.60424590911,119959.85980496103,-44.87333576971076,107138.91136395464,12683.654386902293,120000.0,119772.05663774931,242.1681575093763,119996.12561819008,13.015579406004067,598835.5392684367,-1184.559456415875,600199.1687475194,-3974.1655788714056,91509.20450960624,28579.966599471314,120041.07088994434,-28.92431682287389,118032.33594194075,-1517.6189995437182,119999.8440635086,267.3538621742844,120000.0,120000.0,120000.0
200,9922220.516045256,455905.97937600245,-137.5784996596948,79626.01320185105,9836.22570060603,132.89833852886727,18596.899831564995,102589.64668137892,120000.5943319482,-39.2194572135488,100627.58998615532,19365.27773404676,120000.0,119241.5992390439,709.5803921609195,119986.34495361224,14.393878734967931,595309.270518506,2571.8341777008836,600391.6536651115,-20.632659714841907,65216.02300311818,53478.254898423125,119898.73833028895,57.17410590669272,116763.57894866393,3603.04477510214,119794.1644329787,33.671195648728705,120000.0,120000.0,120000.0
300,9922014.700161086,455787.1034014985,228.47950790623753,79862.88634935045,9775.339181510195,184.64743259605734,4464.529266768082,115993.42290169696,119967.42784603815,-41.724482111060595,98229.05951922528,21886.90369384475,120000.0,118824.99532619608,1250.2657767611097,120006.70806217748,11.008966142952003,595705.1389774849,4337.381613398713,591699.1346049642,-6407.54295252758,45522.636784614515,73292.26778715615,119881.73320166842,46.18696550305246,118454.45870715601,3021.8235653257307,119638.39275655558,510.4525855353319,120000.0,120000.0,120000.0
400,9921719.895145332,455718.64517766645,-506.116037232337,79942.04364904932,9748.21497961941,287.02710740216247,-327.7346842143038,119968.2808789653,120061.86207270953,-61.7687852844256,97281.54974505195,22715.138314965272,120000.0,118349.02580489023,1675.8061285674119,119991.13018731489,19.19065434158628,596669.8958447701,8740.136604866642,591938.9794906548,-4779.299052184109,31505.220140946654,89879.2176049323,119822.93595586721,108.62808799807459,113925.2008786166,6980.061447756087,119714.87077059294,607.9049250312628,120000.0,120000.0,120000.0
500,9921692.907510309,455704.2728369833,-394.1280199338541,80441.49297686956,9721.112567540507,328.3545639941176,107.3604247386293,120647.55375338565,120010.56818146251,-32.05952408745894,97352.87734270115,22796.603978155752,120000.0,118032.24230028945,2025.4786728772276,119987.68307197365,21.402295035212166,591901.7836787028,8220.019162806582,586525.5589559934,-588.7652107717322,21803.51669695061,99766.60191299184,119778.87090515332,274.76205361448507,111705.73530108179,10777.316831825548,119294.21835697605,705.7360075190179,120000.0,120000.0,120000.0
600,9922347.775414763,455621.90819654916,182.25042408946362,80037.1234402424,9634.061493850046,381.297450835864,643.3087316425057,120229.97144763457,119980.67279565654,8.434904341971448,97179.29370437344,22598.920785479273,120000.0,117719.9179500975,2285.5948035286865,119963.85362965395,41.092580265524965,585820.8861913655,15269.588899937917,590988.993257221,2613.437783225444,12785.408966611705,106603.60090334385,119704.31170765588,369.5470072879555,103802.20355149511,13023.414908264524,118810.47653114428,1005.7983383031644,120000.0,120000.0,120000.0
700,9922022.589739693,455583.590435936,253.05679881728236,79466.75042175737,9534.14636148367,442.1467661694481,624.3425104213179,120194.54440322028,119989.42832377832,47.44256043557765,97174.99497714781,22695.467921163054,120000.0,117421.38872776546,2514.476823422068,119947.51953783366,36.932156870971845,585431.3503822653,18132.31416220836,582375.1681974176,15019.519854697055,8726.524073390394,110312.28291536715,119583.15982489112,377.9139400200491,100460.23791788086,19061.549881041476,118131.10866710742,2009.507811457488,120000.0,120000.0,120000.0
800,9921859.100460054,455495.8639104514,129.56216856817034,80461.40764886065,9503.957246456575,481.20456779746496,884.1343468051315,119234.57163292854,119949.96430795226,-17.37715265398094,97315.5625605915,22726.457645214396,120000.0,117269.18520250371,2728.3543247995776,119923.5956715628,55.52149915834454,577535.097615605,25678.60542674122,584284.6682612404,19846.860713042563,6728.8541425883595,114244.31372504526,119502.30969730769,573.2303144673466,94175.02899842415,23987.379244923668,117644.92689885321,2681.0381291664503,120000.0,120000.0,120000.0
900,9921529.56564629,455479.9378737644,48.2957554638604,79935.56916952014,9459.235172707211,556.4981530647607,595.8349866391442,119647.46428319157,120030.00730620802,-30.00838527621444,97280.96376078336,22684.10025378829,120000.0,117051.9374323346,2907.4531088088465,119918.5695271216,85.01223272792558,570222.8023276281,28123.211194488093,579962.9910245999,19537.422009216833,3122.825657326085,115378.86719426357,119338.42518993482,634.8442860558775,86699.24521910126,30992.082993355627,116717.58466156638,2898.1411869446156,120000.0,120000.0,120000.0
1000,9922504.875962434,455387.8864040669,-177.2197882670407,79436.58464210051,9418.03997421993,586.8073713265579,911.5936302482141,120813.27332770351,119934.0443074597,13.005055132977645,97232.90307491705,22602.33432416131,120000.0,116858.8207562152,3141.007953735271,119880.16266628081,126.69856452896157,567174.2502124103,33250.3544315784,568031.0769311169,46068.27998701216,3380.217051260591,117390.55493344409,119205.57164407439,795.358203301101,79432.8163438405,38831.67928488415,115888.09351885307,4153.113970051295,120000.0,120000.0,120000.0
1100,9921908.792256774,455361.34829288634,-522.5002960853998,80032.5774167573,9363.00970039181,631.3437865957559,310.79662183076937,119146.5218196774,119933.21303663074,-18.94304028284651,97104.18189313906,22777.130648276583,120000.0,116715.89229636718,3293.542013983499,119845.19344746933,160.29230885058945,561714.2975682261,36947.38792227826,557881.5198450238,49580.419115427176,379.60255471877736,118259.97908471744,119171.56142512488,909.3881146557261,74021.44459708463,47426.57714887867,115333.00723574341,5054.598458161425,120000.0,120000.0,120000.0
1200,9922451.295833018,455250.16712292953,376.29637124124514,80188.19208675808,9240.947973952238,685.86363182429,-767.2188785559731,119255.3550882129,119934.6993942768,55.25537305591104,97417.49704348865,22788.670509698084,120000.0,116666.58645085957,3393.4651398476476,119804.6979458517,192.34808035838225,554999.8679042975,45561.34979451508,543919.4986505711,59887.47753260541,1755.0689236989265,118190.71868096333,119097.14930815707,1010.1094988004373,64953.314562854066,57862.604707480416,114486.63844354765,5684.257226239771,120000.0,120000.0,120000.0
1300,9922346.782748183,455238.16626495327,-53.134203223092655,80040.67827204734,9227.597919474054,770.0713236860486,-745.075763614859,119590.70590620821,119938.41943732016,132.7843305100361,97270.43694477083,22867.807140969802,120000.0,116532.23579753551,3436.9078634489156,119776.70842727374,228.57671615596115,548113.1419270968,50260.61405495086,517483.6146576745,82038.36884244412,354.8786333440096,119620.96357954237,118947.12506146812,1027.7935891928178,55680.429126812494,63567.97940765729,113271.64990828691,6986.778737702545,120000.0,120000.0,120000.0
1400,9922285.360872954,455184.3872869749,469.7800299026005,79669.05445961498,9165.222380732366,870.1808052295951,818.4716971833458,119910.66497924393,119893.55047681034,107.1821504976941,97278.72730551877,22901.9441098503,120000.0,116431.70432803017,3599.609515383953,119715.57596939591,275.89513877568197,545255.8410062772,53304.06051404902,509916.01562406746,93833.22845575026,-132.99276531509764,119810.06364964842,118826.4318805081,1210.2907398915313,46382.97884336533,77027.99842345386,111855.02027102382,8076.938672453009,120000.0,120000.0,120000.0
1500,9921523.271898715,455125.5226045449,-232.84598866425196,79701.4152980892,9069.101838208446,867.2875401394872,-301.27272139487457,119315.32979472421,119807.4043693771,96.42770233768998,97335.5458263372,22636.35413611069,120000.0,116319.41644824884,3620.577086919541,119684.62800305699,332.15401708442363,534806.5830484157,63393.02728339473,502060.2834475833,98708.35307709152,-222.1916630115447,119086.34359846941,118802.04743925393,1261.1519077253718,34194.73798376409,84326.34886638843,110971.4958624814,8895.814783402477,120000.0,120000.0,120000.0
1600,9921528.61149365,455052.1915060513,304.4999750725724,80308.04605410458,9009.48943053826,948.0284244485705,73.22379167262639,120463.75325253517,119886.05566834469,158.95726577610063,97295.83547182802,22802.559708512606,120000.0,116243.14315602713,3748.5578243390887,119626.96906743306,375.3468219188021,533510.8859230326,65585.8467650532,474678.85344509594,116845.46269722242,-917.5050426369103,120696.69162296523,118578.87030791533,1392.9880695378015,23912.74200132122,93735.1806800521,109662.7940997733,10384.219064645766,120000.0,120000.0,120000.0
1700,9921819.22695967,454987.1605667316,-520.2050822472055,79637.21209218356,8978.569589616216,971.3402483163957,-582.7383412881538,120315.10867474203,119755.18391505192,257.94708491473614,97249.95713938634,22710.825365535293,120000.0,116246.38923156999,3777.0946213323627,119575.19951595401,430.83368440748785,521439.0771162409,76861.77447728622,462876.49644001515,152472.4695499214,335.54832321383606,118958.15926570598,118518.28762711813,1443.9185964366227,16775.597700503142,105315.76127153554,108456.63361167391,11369.099616092251,120000.0,120000.0,120000.0
1800,9922013.468124907,454974.8954959735,14.65683176829378,80352.67686356165,8908.165321520026,1066.1455932344604,745.1658830842201,119611.56507793804,119812.41955955939,305.7362873747316,97410.83093895878,22883.66584847907,120000.0,116163.93523211578,3837.485723206927,119508.90889163039,469.22540698577075,520937.2700690377,85095.26727482771,443030.8041664577,170590.97357956466,-1097.1326367839022,119578.47182375245,118478.12013051462,1547.2334600680138,9214.988681191819,112955.22760389165,107823.69324869051,12333.169192834079,120000.0,120000.0,120000.0
1900,9921741.311933616,454913.07437461516,-313.7790398472177,80196.71549805548,8841.841927716514,1099.9344024564325,551.7975724687129,119763.80758105499,119654.86332266736,278.4381842856366,97154.0214967651,22852.391003585915,120000.0,116111.41818612405,3907.752998762314,119461.80771807325,530.0844592652658,514168.9534621021,85674.92433464345,409313.38449175155,177730.94188714743,145.43611743059324,119655.21637271438,118333.75571452535,1730.5448509745409,5087.335870288725,115076.99064855163,106894.9312610369,12956.048993404982,120000.0,120000.0,120000.0
2000,9921860.69599543,454852.0228839772,-80.86545431623958,80080.49676312796,8827.604692206152,1178.1174168532846,790.4747364144068,119871.20024071883,119629.06115631606,332.4355817580172,97214.18656374098,22789.668017074287,120000.0,116130.6680687087,3923.541069865859,119426.76984427517,573.9759616899004,502668.23073309014,96767.36768412372,388559.135609432,205483.511487256,-683.1355058234611,119703.26634892319,118206.13816769248,1818.7011836614524,348.5084379639819,116537.10493357058,106069.78525357625,13695.757064436235,120000.0,120000.0,120000.0
2100,9922095.0727683,454799.3824059372,-74.96780659978889,80484.6572495475,8764.149530617864,1228.3641158770727,832.6811443038889,119942.76969413532,119560.7569535094,377.5340008067486,97390.99497173236,22622.372127323524,120000.0,116059.89670991946,3958.5280613308755,119387.91579916287,614.4991871505408,494649.07579215226,102048.33566361164,368780.20427967125,230513.7814035919,505.0382391222027,119997.30480117159,118127.05266366647,1848.2221073670646,-1344.5194676073443,119122.47782536247,105761.30977328529,14248.49860322548,120000.0,120000.0,120000.0
2200,9922016.19976144,454711.19763821794,-1.5342683673574085,79729.5520917878,8743.593874533159,1286.214652662037,-186.7940911913143,118854.54953727571,119498.74619445417,449.11712687119694,97204.4372915013,22842.182693605606,120000.0,116050.1594628384,3937.4726858621384,119352.33023699619,643.3434326966199,493171.78478373465,107543.31702173412,352011.6647949876,237705.72257042388,-1134.2169511484508,120277.84749850885,117932.00875084373,1928.731894653897,-1383.6631099131312,121185.70051563534,105558.67326637554,14581.222965432344,120000.0,120000.0,120000.0
2300,9921967.290431233,454668.3471641649,-15.764351175206226,80549.34241629342,8631.597898802405,1320.8555315896247,-391.7437775650833,119886.39750339543,119485.62774696117,544.1360385131218,97227.03044160332,22831.541936754213,120000.0,116012.18371915555,3966.9642036162436,119357.72564211287,665.4404821501269,484420.8641530908,113509.95892519996,333080.8332007105,262886.4277961367,1159.734005422195,120402.43390114144,117961.07988992492,2043.1062771950042,1345.840734175209,120961.99962337753,105344.32433582093,14663.879555378373,120000.0,120000.0,120000.0
