miliseconds,H1,H2,M1,M2
0,1688612.5167492006,-0.07394116655403621,-2348.1563743179945,-310.0653303256771
100,1591592.1694751496,0.09343477351610358,4336.461550062669,-35.8148016387025
200,1313071.627555041,-0.2863015169497739,2537.765141006528,-62.9895049493608
300,2376805.720501172,-0.13404343339252445,3045.9676286475824,-248.65257633469835
400,-898406.603726591,-0.19195031763975617,-4411.702237214825,-47.978980527415125
500,-1979620.933776206,0.041922289866868905,3079.37351269091,-150.13115624367842
600,-1177550.674368517,0.18124849739761928,-1783.3520385977567,-19.79852775891715
700,-327190.97255647543,0.12285887650086605,195.15596656849615,301.21324051084423
800,-1638121.7962618384,-0.025299840531370098,4910.904757554203,149.34217470106597
900,765262.5438628275,-0.08642732136270681,-1217.3685755569613,-350.18544659471286
1000,-2315406.4295707494,0.23760337354978076,1405.989052509213,-10.328794822581628
1100,2407341.2153071193,0.22823433957482714,1373.6814036266753,323.46778511645283
1200,969914.3722587037,-0.2844061013841302,-3416.9520796116194,-42.021858479735215
1300,482076.8391126278,0.005511819199381962,-262.5681223463116,-194.61036182409498
1400,2312833.1438323595,0.21173776620939808,-251.23512035693398,119.86041860039055
1500,1475980.9926769922,-0.16407360696100606,4783.745576601551,249.42436439210553
1600,-1072640.0247495417,0.09526577006624282,1396.220335713494,-55.859896344995626
1700,-1913921.3774215723,-0.009756679168410186,1056.070531878996,12.462915929156493
1800,1185421.5506586144,-0.2545915041761223,-2334.840740452313,-229.08493840234888
1900,10598561.86626662,-0.08809010416743789,4368.031082336565,-208.0018548719545
2000,100875981.73621501,0.0798554019413642,12391.449886623388,-185.71779470876854
2100,99327826.73069373,0.12018071338456365,19586.269742528882,135.23558882359134
2200,100307288.87850733,-0.26331837207649544,30340.69793862924,456.28982316331485
2300,99381130.92736453,0.14631703301605115,36654.95434982712,274.3714311652276
2400,101899522.41390286,-0.024035092834216606,47995.1811357341,743.001736929981
2500,97618992.28178743,0.40175559368781444,53247.59938049131,1031.759355543601
2600,97947685.4982984,0.3084124491576541,69519.9587156649,1058.229879826693
2700,97618157.55695625,0.5459209994690278,75829.19503774293,1725.4462061786426
2800,102083013.16419688,0.5562100258256456,88655.46634204788,2031.7200165693675
2900,97831949.76624724,0.8437662486324137,90588.56943372666,2365.2149812854936
3000,98081939.30065972,0.7962062387745111,103639.56898566494,2797.587022495569
3100,99420095.68197237,1.349334273078739,114532.6446935535,2964.661076590357
3200,98378923.8029499,1.6301054930231864,126017.78592878088,3893.0934261568277
3300,100147831.42145266,1.946279946765707,133694.0136703374,4380.277513249359
3400,98551679.99223909,2.5250512174965003,137897.1184215862,5009.532078088383
3500,98083324.8197831,2.8888107803454166,155136.59973231243,5606.285567882893
3600,97818458.14708395,3.676182867160328,163493.77664476234,6307.766869578863
3700,98885972.03292985,4.563341503594277,170665.5777456674,7073.2031939939325
3800,98586346.91651697,5.415691031570335,178594.8081586751,7961.343114923558
3900,102315572.74240327,6.095216255939886,186637.6407518527,9392.56113451707
4000,97817550.00592476,6.8630311178733665,200595.727334878,10376.574958677409
4100,101849757.50991017,7.939729121251153,204202.36314157327,11505.772600884766
4200,98117775.08767429,9.069026817431046,214646.576518769,12368.21053204979
4300,101011575.91461414,10.483610851248926,220617.07926071863,13326.919184400766
4400,98984265.69371207,11.623387298856688,236969.70373750653,14666.94066565916
4500,101212726.97073826,13.34825265212787,246601.72495560424,16211.559851095773
4600,102379107.36882553,14.808163202994072,255450.47935542744,17451.596681952713
4700,98136259.07662511,16.806346050017147,263921.0205329061,19787.34943165739
4800,100848984.42587794,19.076438957773643,271214.237833251,21573.39142183141
4900,97688838.81030181,21.069310290541193,277692.019471356,23064.944855900176
5000,98783951.98501097,23.29714164824857,282805.1024873007,25430.717523995052
