milliseconds,APC,APC_Va,Va,Va_i_506,Va_i_306,APC_Va_i_506,APC_Va_i_306,Va_i_306_506,Va_1_306_Va_LC,Va_307_506,Va_507_679_709,APC_Va_1_306_Va_LC,Xa,Xa_Va,Xa_Va_i_506,Xa_Va_i_306_506,Xa_Va_i_306,Va_307_679_709,PT,Va_PT,Xa_Va_PT,Xa_Va_i_506_PT,Xa_Va_i_306_PT,Xa_Va_i_306_506_PT
0,2e-09,0.0,2e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.670137803091855e-09,3.297139750515671e-10,1.9649723464169047e-08,1.7123438690071476e-11,3.2833701435864136e-12,1.2690725063477606e-13,2.3455400614528057e-14,2.316342491999109e-15,4.302230334550188e-15,3.3201972473541163e-18,3.3201972473541163e-18,3.255341482292652e-17,0.0,0.0,0.0,0.0,0.0,4.33146355212576e-15,0.0,0.0,0.0,0.0,0.0,0.0
200,1.4479381494161775e-09,5.512583850622688e-10,1.9375815196112203e-08,6.049088168571854e-11,1.1588802021916469e-11,6.810905835028379e-13,1.240153700870928e-13,1.7400571135929956e-14,2.5197147579978677e-14,3.005289158120609e-17,3.005289158120609e-17,2.415629010104174e-16,0.0,0.0,0.0,0.0,0.0,2.5408657589407896e-14,0.0,0.0,0.0,0.0,0.0,0.0
300,1.3001952943663817e-09,6.976689805869579e-10,1.9154896828462638e-08,1.218479821688221e-10,2.3320173608401253e-11,1.801715636628094e-12,3.219932179526092e-13,6.294714384620752e-14,7.35022120025456e-14,1.3895801115373092e-16,1.3895801115373092e-16,8.617323935818017e-16,0.0,0.0,0.0,0.0,0.0,7.422498638497369e-14,0.0,0.0,0.0,0.0,0.0,0.0
400,1.201104389539726e-09,7.947296326717351e-10,1.896883077467899e-08,1.9473760560163095e-10,3.7228824837964414e-11,3.526539501646433e-12,6.175661124565847e-13,1.6038026458603055e-13,1.5721526129769495e-13,4.473929270949024e-16,4.473929270949024e-16,2.1761164778068963e-15,0.0,0.0,0.0,0.0,0.0,1.5894398484840697e-13,0.0,0.0,0.0,0.0,0.0,0.0
500,1.1347542667146558e-09,8.583749738297971e-10,1.8806482481307452e-08,2.751367959178041e-10,5.253638741558139e-11,5.8408175129378305e-12,1.0020821965192306e-12,3.29666035498429e-13,2.810969539164657e-13,1.1231904358586951e-15,1.1231904358586951e-15,4.47121295548754e-15,0.0,0.0,0.0,0.0,0.0,2.844449764360945e-13,0.0,0.0,0.0,0.0,0.0,0.0
600,1.0904243353403544e-09,8.993588991391451e-10,1.8660381465793316e-08,3.603052906894608e-10,6.871216108629721e-11,8.718279735328256e-12,1.4657369094559162e-12,5.899553094857159e-13,4.481814776373364e-13,2.39831083346397e-15,2.39831083346397e-15,8.050137996980292e-15,0.0,0.0,0.0,0.0,0.0,4.5383330480085266e-13,0.0,0.0,0.0,0.0,0.0,0.0
700,1.0606633545006454e-09,9.251654499719151e-10,1.8525356198348792e-08,4.4831858788288435e-10,8.538294751877907e-11,1.2131855858081309e-11,1.999527561700932e-12,9.593067287697559e-13,6.604019879681968e-13,4.558305233226622e-15,4.558305233226622e-15,1.3227475587168844e-14,0.0,0.0,0.0,0.0,0.0,6.69071158322139e-13,0.0,0.0,0.0,0.0,0.0,0.0
800,1.0407852460678067e-09,9.405186356213466e-10,1.8398158677800557e-08,5.379585191524293e-10,1.0231194968369564e-10,1.605150652480396e-11,2.5950166754036246e-12,1.4538526788928225e-12,9.187779577695765e-13,7.939345948167004e-15,7.939345948167004e-15,2.0309403138723283e-14,0.0,0.0,0.0,0.0,0.0,9.311480149601327e-13,0.0,0.0,0.0,0.0,0.0,0.0
900,1.0264580454575575e-09,9.498072779560158e-10,1.827576182468256e-08,6.281138758398548e-10,1.1928298743331107e-10,2.0439977237169014e-11,3.2427775629499356e-12,2.0889372490489085e-12,1.2242413712458974e-12,1.2893332946498275e-14,1.2893332946498275e-14,2.957171355871491e-14,0.0,0.0,0.0,0.0,0.0,1.2409197518581138e-12,0.0,0.0,0.0,0.0,0.0,0.0
1000,1.0159357297383308e-09,9.5484552079946e-10,1.8156927399626768e-08,7.183418024451183e-10,1.362089217428805e-10,2.525342448402774e-11,3.9334450605613366e-12,2.877521374505803e-12,1.5768960413946406e-12,1.9832861540892127e-14,1.9832861540892127e-14,4.12649699992685e-14,0.0,0.0,0.0,0.0,0.0,1.5983281498530172e-12,0.0,0.0,0.0,0.0,0.0,0.0
1100,1.0081739764061215e-09,9.56674143184011e-10,1.8040982933277627e-08,8.083383018591281e-10,1.5302957454959243e-10,3.046967807587388e-11,4.6623759788369765e-12,3.831083506548446e-12,1.9765766818824793e-12,2.9208396369799174e-14,2.9208396369799174e-14,5.5714802307711216e-14,0.0,0.0,0.0,0.0,0.0,2.0030830878203917e-12,0.0,0.0,0.0,0.0,0.0,0.0
1200,1.0022861199558895e-09,9.56215967524875e-10,1.792731866192436e-08,8.978622536377214e-10,1.696969098066239e-10,3.605804516143786e-11,5.4237051881339776e-12,4.960069238505376e-12,2.4231183556086183e-12,4.149692311571278e-14,4.149692311571278e-14,7.318842381171e-14,0.0,0.0,0.0,0.0,0.0,2.4548098563046156e-12,0.0,0.0,0.0,0.0,0.0,0.0
