milliseconds,Akt,Akt_pS473,AMPK,AMPK_pT172,mTORC1,mTORC1_pS2448,Mitophagy,FoxO3a,FoxO3a_pS253,CDKN1A,CDKN1B,JNK,JNK_pT183,ROS,DNA_damage,SA_beta_gal,IKKbeta,Mito_mass_new,Mito_mass_old,Mito_mass_turnover,Mito_membr_pot_new,Mito_membr_pot_old,Nil
0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0,10.0,10.0,1.0,0.81,10.0,1.0,0.0,25.0,12.12,0.0,0.0
100,10.433730466230502,9.566269533769498,10.634783352250974,9.365216647749026,10.709541826559114,9.290458173440886,13.133484871568001,6.376491975906166,10.437258049094698,11.157327978982497,11.373082636693615,24.94207396802552,10.057926031974466,10.657792692340136,32.15269887367855,0.8696522074277929,10.034903202742303,0.9636668879881924,0.027858057548456938,25.008475054463386,8.700233531361194,7.805030724806828e-06,9727.16172688059
200,10.81119530106157,9.18880469893843,11.178736903700269,8.821263096299731,10.612078683353868,9.387921316646132,12.730837399627122,6.631085439526033,10.273685773624544,12.182991759009568,12.599705787588142,24.878258601273533,10.121741398726448,11.105513814187512,31.249690623094935,0.9320811218375583,10.116874667749107,0.9664495800834033,0.05826036937425027,24.97529005054239,8.724691361254218,3.116875036432457e-05,18524.906548082487
300,11.140173603463918,8.859826396536082,11.657799469482507,8.342200530517493,10.515505096032841,9.484494903967159,12.365994970972098,6.881011270750356,10.273554869795687,13.192732120312932,13.80542928599648,24.81037216231348,10.189627837686507,11.45379413939643,30.380215938087755,0.9962848131200969,10.228373309043734,0.9755548024123382,0.0914864545524669,24.93295874303524,8.80647031396868,7.018925617352766e-05,27179.95085639121
400,11.427447021826822,8.572552978173178,12.083996877449188,7.916003122550814,10.4183403217808,9.5816596782192,12.011421214021892,7.115715299436263,10.277359152366532,14.183040324879508,14.987040657689837,24.73940974499335,10.260590255006635,11.749332631168617,29.542334233150214,1.061720459995858,10.359568627666016,0.9889792371946786,0.1277151643126143,24.883305598492754,8.927367223209007,0.00012507128209692761,35703.577241249746
500,11.678964847760792,8.321035152239208,12.46608194066894,7.533918059331064,10.320032199716684,9.679967800283316,11.664385276772151,7.335055004545571,10.281240721452656,15.150004117984567,16.140764082527397,24.665893734566176,10.334106265433812,12.020582840251762,28.734597183571317,1.1281095907822842,10.505055168134543,1.0055197982942734,0.16709461070976123,24.827385590996002,9.07647672608489,0.00019609178274594032,44100.95364492998
600,11.899877924899688,8.100122075100312,12.81069583664387,7.189304163356134,10.22055559066922,9.77944440933078,11.324555792551482,7.539423585199959,10.285004617587228,16.090084823567388,17.263122120089886,24.590061840514583,10.4099381594854,12.284734371331872,27.955864287815732,1.1953336241367092,10.662062807770381,1.024377118326449,0.20974787159283814,24.76587501008074,9.246556850896942,0.0002835779720864848,52375.76225347983
700,12.094607565550255,7.905392434449745,13.12303738960121,6.876962610398793,10.120183277143909,9.879816722856091,10.992790127215368,7.729472721037155,10.288590512708256,17.00022211774853,18.351068600673994,24.51198400582759,10.488015994172395,12.551911461519502,27.205187921726896,1.26336886331787,10.829353211717127,1.0449882734994778,0.2557761211981677,24.699235605302384,9.432510521457772,0.0003878897249038003,60531.19150930916
800,12.266923989991932,7.733076010008068,13.407271097692997,6.592728902307006,10.019347616944547,9.980652383055453,10.670240164921797,7.906021058874876,10.291961522562067,17.877878513928987,19.40205291262212,24.431635580208802,10.568364419791184,12.827756197847664,26.481741283034207,1.332245743585841,11.006538435973608,1.0669321974846178,0.3052602465855726,24.627807555929834,9.630527321947342,0.0005094048924344471,68570.43120144856
900,12.420033519816986,7.579966480183014,13.66680026318049,6.333199736819514,9.91854048667065,10.08145951332935,10.358144147106778,8.06998140675527,10.295096441247798,18.721038440399568,20.414033349561418,24.348944182104592,10.651055817895394,13.11508279481896,25.784771660676267,1.4020226469352497,11.19365395445493,1.0898730210371437,0.3582618831793064,24.55186509578358,9.837569367647356,0.0006485065215955559,76496.9045353858
