milliseconds,Ctelo,Utelo,Cdc13,Rad17Utelo,Rad17,Rad24,RPA,Mec1,ssDNA,RPAssDNA,RPAssDNA1,RPAssDNA2,Mec1RPAssDNA,ExoXI,ExoXA,Exo1I,Exo1A,Rad9I,Rad9A,Rad53I,Rad53A,Chk1I,Chk1A,Dun1I,Dun1A,ATP,ADP,Rad9Kin,recovery,G1,S,G2,M,G1cyclin,Scyclin,G2cyclin,Mcyclin,G1CdkI,G1CdkA,SCdkI,SCdkA,G2CdkI,G2CdkA,MCdkI,MCdkA,G1Soff,G1Son,SG2off,SG2on,G2Moff,G2Mon,MG1off,MG1on,budscar
0,63.998438322891325,-0.0017260464967581925,299.99873591554547,2.6042796252512096e-07,70.00000023081104,70.0,3999.999987722253,3999.9999999998386,-7.852932819371996e-07,-1.1882351427985863e-11,-4.942551061866485e-06,2.7488866232882185e-08,-1.6664730612668901e-10,69.99999988459543,9.736121163949242e-08,667.6379285623104,2.720358447616467,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.000000157374,1000.0000000827022,0.0,0.0,1.0,0.0,0.0,0.0,0.022471189034171012,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
100,63.99707524424717,0.0003459414819480971,300.0028216358066,2.4179838200904477e-09,70.00000025323682,70.0,3999.999995827493,3999.9999999999463,4.500298530557027e-07,6.962546779334671e-12,-8.026043500126677e-06,-6.168207512923592e-08,-1.61674145225558e-10,69.99999986039084,7.218448095120459e-08,668.8156472539384,5.269251886662085,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.00000012823,999.9999998657095,0.0,0.0,1.0,0.0,0.0,0.0,-0.005611037388488012,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
200,63.996037584810296,0.003920585917839278,300.0047733727355,2.0635665369077327e-07,69.99999976039986,70.0,4000.0000024266405,3999.9999999998163,1.6922970629365883e-06,-9.7424080335813e-12,6.61770761981875e-06,1.6262108862686667e-08,-8.803106318943385e-11,70.00000002025953,-8.061763654492166e-10,664.6037004783904,5.258647941182951,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999686552,999.9999997553855,0.0,0.0,1.0,0.0,0.0,0.0,0.02140694987263195,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
300,63.99470859553305,0.007363797802125529,300.0081981635989,3.188367521172315e-07,70.00000027757386,70.0,3999.999986501513,3999.9999999998895,-2.5689524892148074e-08,7.444237149753008e-12,9.727877088711488e-06,-5.789441141887113e-08,-1.612674777179119e-10,69.9999998929258,-5.90357847898326e-08,659.9987680909339,9.086738331413569,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.000000233707,1000.0000000641354,0.0,0.0,1.0,0.0,0.0,0.0,0.053928666764638755,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
400,63.989711063051296,0.010610466664516146,300.0091301073351,3.868670738456133e-07,69.99999997538228,70.0,4000.000004329399,3999.999999999926,2.496579778581389e-07,1.393701859044412e-11,-1.3028322818561592e-05,6.418886556462849e-08,-1.7666329272040194e-10,70.00000004786112,-1.2274693571391111e-07,663.1521993028983,8.448740616171762,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999881828,1000.0000001754032,0.0,0.0,1.0,0.0,0.0,0.0,0.04454254923857391,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
500,63.98816428373597,0.010924191570002654,300.01267912916285,4.4114442685655154e-07,70.00000015226276,70.0,3999.9999983072157,4000.0000000001282,4.99076665133761e-07,-5.209559293697545e-13,-6.182027915908361e-06,-3.290446156789899e-08,8.492308733615495e-11,69.99999987586531,-6.649799643935766e-08,658.2146352209709,14.726574297670336,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999634636,999.9999999942244,0.0,0.0,1.0,0.0,0.0,0.0,0.10214829151648012,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
600,63.986877155949706,0.012997399197142991,300.01220512217617,1.5683957236956606e-07,69.99999979159148,70.0,4000.000000888847,4000.000000000046,2.3213070947644208e-06,9.015036680911902e-12,1.0347555144116352e-05,3.131689895284499e-08,9.692252593413816e-11,70.00000002676559,-6.438676644604358e-08,653.6833312603424,14.342755452200837,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999808202,999.9999998639289,0.0,0.0,1.0,0.0,0.0,0.0,0.08627119361345173,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
700,63.98128302418417,0.017590980923500543,300.0141576518964,4.603695450457889e-07,69.99999965269198,70.0,3999.9999933322074,4000.0000000000455,2.134483548584497e-07,-1.7393412694144026e-11,1.3088324360169214e-05,-4.545485320117687e-08,-2.818341153385037e-11,69.99999994720656,-7.363902891931158e-08,652.1387641009538,16.7680492845206,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.00000006733,999.9999999867787,0.0,0.0,1.0,0.0,0.0,0.0,0.10546104217396043,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
800,63.98069186856908,0.01604939263376204,300.01703838942035,9.562852529937031e-08,69.99999983078148,70.0,4000.000011467912,4000.000000000082,4.033643469168457e-07,-1.6706954473949445e-11,1.1616426847428187e-05,-6.009791568838207e-08,1.8075333598331728e-10,69.99999993702474,-8.361285279665044e-08,652.6175336047418,21.00914448457915,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999364334,1000.0000002949325,0.0,0.0,1.0,0.0,0.0,0.0,0.14840943455256472,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
900,63.98013221745385,0.019765959753826234,300.0201526134031,5.395523882336066e-07,69.99999945579519,70.0,3999.9999988936315,4000.000000000026,-4.7837717968066875e-08,-1.6840402967974452e-11,-4.495458258586094e-06,-3.698120842719607e-08,1.4377443579356373e-10,69.9999999096533,-8.206236368273633e-08,647.9378540592454,23.29106548273853,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.9999991766,1000.0000005084515,0.0,0.0,1.0,0.0,0.0,0.0,0.13901896055410176,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
