milliseconds,D,CDK5,D_CDK5,D75,CK1,D_CK1,D137,PKA,D_PKA,D34,D34_CDK5,D34_CK1,PP2B,D34_PP2B,D34_75,D34_137,D75CK1,D75_PKA,PP2A,D75_PP2A,PP2AP,D75_PP2AP,D75_137,D137_CDK5,D137_PKA,D137_PP2C,PP2C,D34_75_CK1,D34_137_CDK5,D34_75_137,D75_137_PKA,D34_75_PP2B,D34_137_PP2B,D34_75_137_PP2B,D34_75_PP2A,D75_137_PP2A,D34_75_134_PP2A,D34_75_PP2AP,D75_137_PP2AP,D34_75_137_PP2AP,D34_137_PP2C,D75_137_PP2C,PDE,PP2Binactive,D34_75_137_PP2C,CK1P,CK1P_PP2B,PDE_PKA,PDEP,PP2A_PKA,Ca,PP2BinactiveCa2,R2C2,cAMP,cAMP_R2C2,cAMP2_R2C2,cAMP3_R2C2,cAMP4_R2C2,cAMP4_R2C,cAMP4_R2,cAMP_PDE,AMP,cAMP_PDEP
0,-0.0001223102622369295,5.258236576095846e-06,2.0001378229759494e-05,5.507464787447711e-05,-1.2693535273788811e-05,3.5586007259196195e-07,-5.347124118485844e-05,2.678926880280922e-19,-9.678486509188893e-19,-3.969160866445907e-18,-1.582564697704086e-18,1.344970786908113e-18,-6.46695093171388e-06,0.0,5.8332329388340496e-18,-1.7130561713627767e-17,2.0980546143710506e-05,0.0,-7.144913829883861e-06,-1.5804916131258236e-07,6.376303865812622e-21,0.0,-0.00016036506467267782,5.5245577087719375e-06,0.0,-1.204935352861339e-06,4.26570226284886e-06,1.5754053491140124e-20,-1.3671317637855987e-18,4.9706887603809255e-18,0.0,0.0,0.0,0.0,5.185572232777371e-19,-8.331088379586809e-07,2.8871738043726625e-19,0.0,0.0,0.0,7.454301702774907e-19,-6.690315284803614e-06,2.000000000009806e-06,1.4561770604278972e-07,-3.7380950947284895e-19,-0.0003496915483389392,6.141892795703612e-07,1.1312541223579435e-19,-5.876856480609514e-18,5.049609845300976e-20,-1.537296308533532e-08,5.058440385655086e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,9.131297291635605e-05,1.4332157949432223e-05,-1.2656698942424708e-05,7.874460188105285e-05,1.2039632992570473e-05,-5.686517486764221e-08,7.091060449686168e-05,4.2122818061122653e-19,-3.8623381922864025e-19,2.877525896310136e-17,-7.551624599595056e-19,9.312901483814e-19,-4.7042846568989885e-06,0.0,5.509146551284918e-18,7.042370716013167e-18,-3.4716612543659974e-06,0.0,-7.065075366821912e-06,-7.033748239667504e-07,-1.8508107770370618e-20,0.0,-0.00019676840373284183,9.647374318339484e-07,0.0,3.375446428307668e-07,6.49986945148022e-06,-8.6419204397278795e-19,7.410297500409101e-19,-1.5010499318285618e-17,0.0,0.0,0.0,0.0,3.463073626395637e-19,5.519911790491233e-07,-3.5614725038571997e-19,0.0,0.0,0.0,1.5885546743077865e-20,-1.1408936121338234e-05,2.0000000000097044e-06,-8.619548846036478e-07,4.42161465460253e-20,0.00034016792415981177,6.563167226475527e-07,-1.4327098474787472e-19,-6.009181157683985e-18,-4.3023957713680074e-20,-2.8820857979629297e-07,-9.063278926699233e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,9.771363651762854e-05,-5.433214457020662e-06,-1.9022878672882164e-05,7.241231934544958e-05,1.0282530464546428e-05,-1.688452801947617e-07,6.0767982341461847e-05,-1.2478161818264299e-19,-9.437613686585281e-19,1.2782562912512538e-17,1.9889754191895923e-18,7.165063031568642e-20,4.699700820932805e-06,0.0,2.3669986091437926e-17,-1.5241571717208602e-18,3.843196342780128e-06,0.0,4.031631356001152e-06,-1.3769513828139738e-06,1.6235538231661994e-21,0.0,-0.00013273564160212333,8.462189577990938e-06,0.0,1.3347473739570351e-06,-5.951887180985503e-06,5.153874007615759e-19,-1.8050200771270971e-19,-2.4245501624584192e-18,0.0,0.0,0.0,0.0,1.61156369361852e-20,-2.4816405848011444e-06,-3.580902758852104e-20,0.0,0.0,0.0,-5.072832174331093e-19,-1.321715374201231e-05,1.9999999999980445e-06,8.681073505636438e-07,-8.968228621544823e-19,0.0003134315103952855,-5.5479186907567636e-08,-1.9527454726242406e-20,2.668257492325779e-18,-5.394049356755764e-20,5.078818074007175e-07,5.162330196630254e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.00010418453985587617,-1.6810080008905683e-05,-1.7346500400419865e-05,0.0001888581478403203,-1.1031792099738898e-05,4.962545608979559e-07,6.388869011874643e-05,-1.374300892305798e-19,-5.880074456675204e-19,5.202782896222993e-18,1.601390973198545e-19,4.1020833037256403e-20,1.0131468141198677e-05,0.0,2.238369336138949e-17,1.3173403818200648e-17,-8.0350248681832e-06,0.0,-4.457528084355537e-08,-6.470224879246386e-07,-2.4194496099368837e-20,0.0,-0.00023283979200578353,-9.665699888854927e-06,0.0,1.4891890797242883e-06,1.2984619063329055e-05,1.1631459412909553e-18,8.684783547727004e-19,-5.47438250522247e-19,0.0,0.0,0.0,0.0,-1.412596481694762e-19,2.3117338909158024e-06,-3.6232843512904814e-19,0.0,0.0,0.0,-3.608811187112048e-19,-1.0213517553906333e-05,2.000000000007524e-06,3.1881488179900477e-06,-1.1231968737022062e-18,-6.286892216570119e-05,-6.078311326273251e-07,-7.989964462935176e-20,-6.526006060518487e-18,5.2102371323505155e-20,3.979503266732353e-07,-2.77556528982579e-06,6.639999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,-0.00011755118787467617,-1.5979484625666077e-06,2.0089166100908364e-05,-9.72953345343509e-05,-1.1811525554263296e-05,5.090729257233818e-07,4.7768474821531175e-05,2.993106520516118e-19,-9.279760582729282e-19,-1.2978182963944074e-17,-1.972660095267114e-18,3.9346837308930185e-19,-2.388690528960912e-06,0.0,-2.0385251784641605e-17,1.1099007829366249e-17,-2.4442844530017786e-06,0.0,-6.334645524049272e-06,-2.6674788057679865e-06,1.9864416884946995e-20,0.0,-5.3493338933875206e-05,-7.385974961883036e-06,0.0,2.0969786481582876e-06,-1.3694644578259096e-05,-2.241392708721361e-19,-1.2341430194450302e-18,1.6746241719368048e-17,0.0,0.0,0.0,0.0,3.6573714316167705e-19,-5.527636357137178e-06,-2.4757274270107247e-19,0.0,0.0,0.0,-3.436703712823389e-19,4.2865087562295685e-07,2.0000000000082403e-06,2.3271879085907412e-06,-4.341454906973254e-19,-0.0005425514933629659,2.2211333715859583e-07,7.100894539641065e-20,-4.820534944021077e-18,-4.1562769878510585e-20,-4.3313842231373896e-07,3.1956280229995537e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,3.8720607744331675e-05,-1.2986272236303163e-05,-4.022168715012411e-06,0.00017582401897745737,4.145547802444277e-06,-8.206887911438947e-08,-7.515418789470872e-05,1.8641801755257366e-20,-8.206905476474615e-19,-1.0428995631343272e-17,-3.1778279327066727e-19,-1.3975760312949152e-18,7.191795351732233e-06,0.0,-1.0360840731963997e-17,-8.484024876000639e-18,-8.84832040786206e-06,0.0,-9.02735792797339e-06,-1.4180513880710984e-07,2.2465071052280346e-20,0.0,0.00015352305633689283,-1.412198804462591e-06,0.0,-2.2261629341028014e-06,7.730782702624893e-06,9.709803342373528e-19,9.069456597055887e-19,-1.4827286057103905e-17,0.0,0.0,0.0,0.0,-4.537377247982989e-19,-3.8108904361644517e-06,1.4981914015330267e-19,0.0,0.0,0.0,5.43105360945563e-19,-1.3316895371475273e-05,2.000000000008442e-06,-5.345225171384725e-07,-4.563867197282524e-19,-2.495037696640935e-05,-3.2592312004878326e-07,1.217512237260081e-19,5.111342341725034e-19,-4.4524005391681804e-20,3.412374524516537e-07,-7.603899660270553e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,2.7698607769871207e-06,1.075203038070072e-05,1.9705944009114077e-06,0.0001303887256141025,8.020866758915154e-06,9.719743812372753e-08,7.182843956385097e-05,-2.8515691706309966e-19,-7.484782523255818e-19,-2.9035084771350555e-18,1.799689828474321e-18,4.497570921721661e-19,7.417444108888825e-07,0.0,2.558155046075877e-17,1.0537114731539394e-17,9.334664000875643e-06,0.0,9.40409524707652e-06,-1.8371606299543573e-07,-2.0034273590698427e-20,0.0,-4.701680800728187e-05,-2.6035119224347257e-06,0.0,4.6306089888710877e-07,-2.914352218816783e-06,7.452058460508127e-19,-1.202911244087255e-18,-2.986272265951742e-18,0.0,0.0,0.0,0.0,3.977202788193059e-19,-3.1869075313602023e-06,2.9704246745294203e-20,0.0,0.0,0.0,-4.598300343601908e-19,1.3201685885468192e-05,1.9999999999958753e-06,-1.5176622742491427e-06,2.999764834949087e-19,-0.0004194017860661013,5.034950514566812e-07,-1.1682940458184636e-19,-9.255266614721275e-18,-1.812731939465782e-20,-4.0169716070018276e-07,8.339922893237646e-06,6.640000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,-1.3134161606419177e-05,-2.919030396871175e-06,-1.479959126171888e-06,2.7265271394619442e-05,8.202825580692936e-06,-1.6250483737884936e-07,-8.20162929474364e-05,-3.0472098977843854e-19,1.0971783147408639e-18,-1.0795718777405031e-17,-1.1739009668558395e-18,3.484815848114381e-19,1.3483825933188776e-05,0.0,2.0700341576945916e-17,7.945444238365314e-18,-2.2630181171402616e-06,0.0,4.769933682475245e-06,1.9960519638326043e-06,2.4087123508285664e-20,0.0,-0.00024942059339362106,-1.612451270004051e-05,0.0,-2.116452741904484e-06,-9.310171315085475e-06,1.1431485131994692e-18,-6.320609400497236e-19,8.585007938192498e-18,0.0,0.0,0.0,0.0,1.9178021626264929e-19,1.667358162533074e-06,-1.8080714712711804e-19,0.0,0.0,0.0,3.009566106054279e-19,-1.375371985024314e-05,2.0000000000015254e-06,-1.950398877578836e-06,-1.0643236762836489e-18,0.0005376515290227151,5.490122079282691e-07,-1.0092386624779203e-19,-9.833382100661249e-18,2.987981667780014e-20,-2.597579299130445e-07,1.7170843191052525e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,9.297597107868302e-05,1.1408308233425959e-05,2.388365137765043e-06,-1.4002965289193483e-05,-1.3405904152626292e-05,-1.977759257540758e-07,-1.3140381599742044e-05,3.7071982417445277e-19,-1.1044399642945317e-18,-3.2411896284251832e-18,1.7666836835545502e-19,-1.225770978113478e-18,-6.763073968545825e-06,0.0,2.0275536078343663e-17,8.165176494859404e-18,-4.61826136530482e-06,0.0,9.42952020858182e-06,-1.130894689007509e-06,-2.943178606871953e-20,0.0,0.00017054557697172764,-1.4238565822194623e-06,0.0,1.4185093068612389e-06,1.104695103144212e-05,-1.0396626899813013e-18,-4.810371782189559e-19,1.1866604228558338e-17,0.0,0.0,0.0,0.0,2.5258978914754035e-20,-5.26138236527319e-06,-1.8776137479335641e-19,0.0,0.0,0.0,-6.901247044240179e-19,-1.128981791898924e-05,1.9999999999920416e-06,-3.85614976301493e-06,7.123799597506059e-20,-0.0003837660461159721,-6.410370703412002e-07,-5.794507083551037e-20,1.5896925617836024e-18,-6.223717372522539e-21,1.7015002832998068e-07,8.277306810291034e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,8.931301819629776e-05,2.7826760170277744e-06,1.2801082130304295e-05,-2.3568875146242104e-05,-4.487669049934386e-06,-3.4571942940699763e-07,6.288323979296238e-05,-1.4162884350810776e-19,-1.1145937812774923e-18,-9.437105840613594e-18,1.7031983924513479e-18,4.0675920156874926e-19,8.602155917887444e-07,0.0,-1.9473051764552855e-17,1.7073246212751e-17,-1.8231259312240777e-05,0.0,4.266098339402884e-06,7.247729974178987e-07,3.909590180720032e-20,0.0,-0.0002775018066283519,-1.3323841614252115e-05,0.0,-5.696698190396654e-07,4.3465673862229375e-06,-7.166392294602914e-20,-1.2115175732291633e-19,9.94628798829221e-18,0.0,0.0,0.0,0.0,3.8731591043692243e-19,5.419467129227074e-07,-1.2969098261773676e-19,0.0,0.0,0.0,8.575347850389859e-19,5.177911554622843e-06,1.999999999999406e-06,-3.3814508646208034e-06,-4.299407238923931e-19,-5.299993548899313e-05,6.638552463839858e-08,-1.2244277020078984e-19,-9.422072761302663e-18,5.288154809330866e-21,-7.831291589443579e-08,-1.813930691044669e-06,6.639999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
