milliseconds,T,N,D,L
0,105.91090504573538,-347.9684451462796,9.211432554079423,2.540412303392621
100,100.36639830619023,783.7451375837137,63.44714943400716,7.627092041836396
200,114.7775431534798,3220.6436108555545,87.99799066578325,14.834387116456593
300,115.35739852157457,3238.756276710443,154.958097168844,28.131601615687018
400,117.76009520062198,5718.769442235218,170.2849393685616,8.09198754467517
500,129.30852463796293,5828.792119266425,216.8092160617387,114.07242494269764
600,128.29839077899595,8261.212683531148,306.33787259047483,59.33382169394667
700,139.14012120391234,8413.089373460969,323.070072810199,109.33341229895288
800,135.3215234615065,10469.158197209661,375.37282225549774,202.83059638458198
900,143.8321572137506,11795.086241622834,408.70380462676854,301.7680575120789
1000,154.0559010726802,13035.059872055308,465.55303208005853,342.26897729902396
1100,161.9133010830262,13174.819219988643,525.4786235763113,390.4656665139296
1200,164.4971231555385,14791.05861068346,578.1069182268513,461.25095249380166
1300,169.38219251833235,17115.70164739834,644.628257432716,543.522792971371
1400,173.1715147481056,16837.53190870175,661.8410146020466,713.258523261379
1500,175.644123589371,19201.164188200026,694.904587734155,728.368600462256
1600,192.24923396489365,19714.367991120493,776.6166542893329,872.6283646353348
1700,190.19537289726057,21555.27510739771,804.5821255337261,1017.5899029452618
1800,206.2602893529784,22098.401278171877,868.4848121591275,1075.4709261633475
1900,208.91782302265895,22993.13063175023,902.8103528591799,1270.878148884594
2000,211.8356251692648,25205.062768881045,924.4413148139163,1319.4429973188792
2100,224.02836281298028,26691.30731416495,993.5360149740405,1441.5089801644713
2200,235.7206105856728,26894.33717829174,1017.6860507660061,1631.9476728334594
2300,239.43339927892868,28378.19839344623,1044.2519742185152,1683.9246294701786
2400,246.4252712075709,30509.867455810665,1121.240049587852,1770.953213314702
2500,257.35769442512753,30146.64807272361,1121.581011633684,1913.166576957479
2600,264.7948105412408,31718.342279308075,1182.706127700286,1984.8838527672656
2700,268.93132958540616,33632.120946253955,1205.1001273915876,2060.98570754741
2800,285.4001133513407,34170.499799384546,1257.8835377548542,2169.625236121079
2900,285.10051628274755,36215.5470788817,1291.6492357982993,2189.893292997328
3000,304.0344257123413,36568.11984176265,1317.116068074833,2212.41782366627
3100,302.3797752473753,37944.1527514473,1390.8515779606264,2267.2017064570155
3200,311.77685648447215,38284.95160823858,1393.1212618046256,2386.274354353313
3300,329.00016401031746,40298.556522135514,1455.8367569505276,2397.748799355937
3400,340.9161435941096,41673.81775859548,1464.5638462090371,2434.815790460937
3500,342.42228638544753,42832.450081237366,1509.2419993583344,2518.4372406340317
3600,356.04531403857027,43949.915762574274,1524.1384779276195,2555.4905569372877
3700,370.804861792338,44075.36655028884,1541.983938479823,2561.9648869882126
3800,380.5046476124163,46138.551993980254,1585.8479087283088,2615.5249366640273
3900,388.9097072220348,46781.29088160393,1603.7885055447714,2623.481965757466
4000,399.86381885483553,48655.46057127849,1633.887119669575,2677.6732861615574
4100,412.59082074508063,48071.95622687651,1652.42919800536,2744.5430053592645
4200,414.52431982314823,50120.73800949173,1703.087188084535,2683.891369508204
4300,434.6825983268923,50371.37019507049,1706.6573345862867,2716.329911989492
4400,438.6243048276766,51495.39637494704,1737.0120345824052,2796.419014957453
4500,447.0260222010541,52942.576456166906,1758.485069435812,2865.6362323099925
4600,457.4142557156882,53600.14081444872,1800.2409066111743,2819.462161164136
4700,478.92472989671484,55193.38235617204,1808.5420680808013,2838.6297370003026
4800,487.4868112781473,55595.568838867075,1824.3756923602484,2887.1224816562562
4900,498.1799233287172,56702.2585169318,1856.5624745065927,2967.369727031832
5000,502.4005081769998,58532.41318140853,1892.3335400201988,2972.341763571651
