milliseconds,T,N,D,L
0,105.18533063493032,470.77955702930905,27.710834063917186,-43.15452112491672
100,102.9159752663607,1213.6589210703773,52.42557905227891,41.55437103812939
200,114.60062165223295,3213.507708739211,104.7054211094071,-22.873522316815116
300,113.65409507686618,3083.728085451857,138.53383608219525,3.0335459205807354
400,113.22854821658737,5149.919767573497,212.34022194881246,41.446855934363064
500,122.30978496713712,6155.134942025344,249.16811137571875,55.57182725383566
600,129.05118801318415,8514.185276848986,280.95681749795807,51.30907307533333
700,130.83075867924575,9426.68448840995,359.80675691722166,135.6416161854209
800,137.33288985790344,10927.215347179646,376.0656234820936,246.04350034092514
900,144.5362248055858,11949.480958314985,450.53144576556207,289.89539085978436
1000,145.12278751435065,12758.663327149929,498.1329251104778,319.46228879408125
1100,150.88068367913488,13469.461047892702,527.1477087390839,442.2904764910133
1200,157.01364947956034,15293.337538566571,578.2283033851478,438.26112859850434
1300,170.40473252744582,15929.295285516173,628.4392441271516,604.3229430627814
1400,176.07508638140052,17974.919633139692,670.5004301028806,625.0510175841033
1500,177.34888971669815,18393.568399435513,723.5745390466191,741.278214103709
1600,193.16919967132324,20892.085062371552,778.3423751090618,854.7161927976108
1700,198.86935091899815,22047.380686125693,780.4572087667024,946.7207441845794
1800,208.11705411146923,22919.078483903377,821.7611347581952,1154.0304320985506
1900,213.96008838675428,22916.095727438078,894.613523503949,1228.2299274529905
2000,210.7761734722077,25709.447901581218,931.9651718171516,1322.7071769842435
2100,230.24609236732618,26358.67060007731,976.5409992463607,1414.1824031223355
2200,229.2812676512917,26979.012733525564,1036.687417020351,1546.0610069760073
2300,237.24322333830963,28545.33200093605,1079.060904068064,1650.8212716519915
2400,249.52679963305587,29134.249914467408,1081.043138068454,1771.7676339601321
2500,254.9744467633159,31006.943968334122,1134.0738515519424,1882.3073277365597
2600,268.2823987289856,32370.060552836712,1163.1406384737975,1952.4483301525693
2700,272.3583209562202,33209.59437487386,1198.5594675130703,2064.0595580503864
2800,282.42477222914516,33514.20399929256,1239.7345422163405,2170.979811132758
2900,295.6406953453258,35091.99509223131,1292.877267627679,2239.8110806725913
3000,297.6876347879167,37132.73192667649,1328.1219340264802,2273.5292271806584
3100,304.1457994354895,38329.570411305765,1385.1772211499072,2346.9770129823064
3200,317.6508036286801,39188.1308166529,1384.2259358940462,2361.3826650244796
3300,323.4252827890526,39279.81845063026,1405.87310551444,2421.619312134072
3400,338.5593543052319,40421.18595049653,1446.535817521597,2432.1562665433994
3500,340.490955752705,41787.15630010375,1503.4753105020832,2462.219385015271
3600,353.46386690167503,42602.979779753485,1524.5924962545907,2561.1766873222127
3700,361.3693834002792,44474.42626759136,1566.1533668544935,2523.1720770089046
3800,371.4995947056741,46193.59096940586,1609.1692693742507,2653.292905214328
3900,383.65589713757805,47466.54454666758,1625.982182533952,2665.736158766897
4000,401.51561653160167,47300.519885448804,1617.5455509862288,2701.9035399889535
4100,405.4926866192812,48253.465726786104,1673.6810099953684,2750.686417377173
4200,412.4518814934056,49799.188206205275,1705.589911295056,2743.2655336930034
4300,429.7086642794249,50355.71095426882,1728.181032418376,2714.3652534670323
4400,436.65824049236267,51850.570508633005,1742.9573169088626,2837.070291784956
4500,451.5894980356064,52444.442645723204,1795.7746803050484,2799.4589505747704
4600,462.21785813160056,54978.601431268195,1802.272436249646,2883.2061769909674
4700,470.5296049836215,54627.20085444642,1800.6324800147322,2919.243001518104
4800,487.4594774991385,56145.08359238669,1807.4480661881528,2880.0732087186775
4900,494.44298766459906,56715.68347982916,1866.3960314348349,2900.466834114877
5000,501.6089242469958,58517.19048407674,1889.0450185613815,2925.5279093126337
