miliseconds,T,N,D,L
0,96.98831206907529,604.6638074078453,16.410610499844474,-2.5697118505591128
100,110.10138009194608,1343.680571965912,65.19194840848199,-3.753071868559826
200,110.91350772869437,3218.6256318638916,81.3260484618364,-13.682854089071153
300,110.51536568242383,4379.550295765073,131.74541660157658,64.97099674234525
400,114.02719104776635,5363.741562533787,206.85110735763666,70.4565262409323
500,118.41227181487045,5610.8022347843325,260.4497565424391,19.384081090516368
600,129.74719936628244,7434.044424137228,318.5632191609982,55.8281842706948
700,130.34453272802924,8415.314715563214,348.1543595424646,196.84480414443354
800,141.7300103575148,9622.440548684177,410.4174499469393,212.5576656691337
900,142.07701296727478,11145.91976563533,419.15041334328936,273.21656218457474
1000,156.53461762865805,12190.387355492298,497.277371202803,330.16285925691506
1100,159.62208098091398,13479.666809232744,540.7711749328253,363.3107157198775
1200,157.5260109145317,15049.1823987022,566.5758441054842,496.0981163678046
1300,163.19029947018873,16857.14255841354,615.7821728799295,609.4634042623985
1400,179.66248514944493,17212.714504078132,649.7449317506952,702.190283906747
1500,185.6589900000914,18249.84213335781,700.835432844516,800.6933700253494
1600,185.5541840670275,20800.301727717324,786.7577917192777,917.5675588946226
1700,190.24365091716112,21946.111015259372,821.0342486637212,981.3441305701864
1800,207.62339292578153,21694.392630236158,872.6814921400251,1138.7671565321466
1900,204.75117446202475,23060.351495782346,870.453487657959,1184.3257511095574
2000,215.703678079283,25606.467488970084,918.670946613976,1348.6148093998138
2100,229.01394951505517,26784.247638226287,952.5979958214397,1474.1320496691549
2200,226.20988489682628,26520.63396599289,1047.9901142282056,1579.6067521792556
2300,238.45645659377388,28795.576481284577,1073.0248359954535,1645.968764006081
2400,250.47158684750866,28949.704840458147,1088.6451362423984,1812.8400478921687
2500,251.4279637249687,30063.5086182097,1117.3672168820187,1900.1642997146416
2600,268.77361856638345,32465.926984552094,1154.1196474650137,1929.3552166753964
2700,271.97109397394746,33327.887921852,1213.4904110164393,2010.1271298060065
2800,283.3549057270462,33970.48899087108,1232.8240071533937,2159.822649282427
2900,289.0604787047055,35753.651357151844,1295.9570661090063,2170.6852377317327
3000,293.6756242991572,37476.321971326535,1322.638298805629,2301.897922896111
3100,303.23753053984274,37676.88674449866,1338.1232238011128,2317.1071539907357
3200,322.215368429123,38467.7852328953,1408.3482333831175,2371.712935546318
3300,331.6507623124962,40035.191572801494,1414.065322749431,2373.0247686176663
3400,334.8472445810142,41069.757789201045,1476.8471730132405,2402.62686230891
3500,349.4228860976733,42101.32708965158,1491.4814541207468,2479.8546860986476
3600,354.0568182366139,43980.83357013251,1530.7990689938124,2569.0347523039673
3700,366.745739582515,44088.28087739557,1570.3331629411684,2575.4808880909845
3800,372.8119630591824,45559.725542798544,1577.897013265319,2639.2618235017226
3900,382.6892912379932,46364.27395573787,1596.6793965719482,2634.1272194815933
4000,398.0243936101889,48240.05865461061,1629.9896625263805,2707.1005958675773
4100,405.69607837979964,48583.08005221754,1696.9666391724152,2680.3291040903077
4200,411.9840461937273,49849.36240892373,1679.0809233507086,2742.2750030596244
4300,431.9970135723364,51281.386722986324,1699.3180853779927,2716.40519862755
4400,438.9193346017893,51446.62415201995,1733.8140954312173,2765.8003957916635
4500,451.112791408914,53268.58950056219,1796.5148802853807,2829.7698222171207
4600,457.75699565240495,54453.68569337898,1810.6980690896698,2828.4093437189817
4700,477.49213993363617,55593.22351359192,1828.9673688199905,2919.3035420473384
4800,485.1468882081904,57000.687337889314,1811.400489132357,2867.532823657582
4900,497.7434936259825,57213.66762287514,1862.2470953586171,2925.2917693457775
5000,508.2889055729052,58736.297349641936,1860.0999266910935,2979.6288965855088
