miliseconds,T,N,D,L
0,99.7036544353598,543.9828651827576,-4.622641478974356,6.227736447122955
100,106.88297942704962,892.1423487437717,33.144584061231654,35.78844853696968
200,109.62586195791816,2579.340393365631,108.98357029931518,39.2776233757694
300,119.08664077038442,3546.548394674089,124.72910819865928,6.904447690177793
400,123.14210729725204,5427.263035329655,198.53000068663397,75.7029307086377
500,120.65036072183996,6207.016705735366,253.1978937994109,72.7279391023067
600,134.12460956976804,7602.404138408285,263.87520140725957,141.58215215973263
700,139.67810779439878,9040.754171520332,335.33152042073016,175.6962799600633
800,135.31879363750156,9681.04130315543,376.3283729032509,194.15045962044792
900,143.5228646131532,11769.507028560227,421.40967398107546,276.62985158274125
1000,155.87925666836847,13431.77700724064,482.4475570340262,301.57082534105643
1100,155.8329886355312,14156.979202686902,518.902733735011,389.29534241742675
1200,159.48964478399276,15064.117052446312,555.1760041840997,483.15179923459056
1300,169.906631166617,15988.046428233205,647.7259864616387,577.0104941869047
1400,176.3530792244333,17589.90340000724,646.0824410469136,634.0610431909397
1500,176.09543952521472,19514.68587954889,732.1978988522044,806.0238228691887
1600,190.32929470118847,20746.184159511286,765.2624361022621,839.6189400344247
1700,193.83095694842945,21591.8760558401,780.4266008273362,968.0628900505328
1800,202.64650632154658,22901.48365340398,876.5864929184245,1126.1277257876066
1900,209.39663817852437,23737.304563672802,866.5697895004439,1281.5302518262708
2000,215.29556783815187,25089.786748000257,910.5835440858204,1319.0731680005804
2100,227.19737600229234,26777.47256926408,973.9563945724159,1516.0349225334735
2200,229.41193890909443,27601.507005958007,1020.8615643044138,1605.2139652374497
2300,242.59675131659284,28927.79599608763,1083.7946338685413,1661.674129807526
2400,250.87145366533016,28848.21076079924,1106.1642120151023,1817.2514858310308
2500,252.4171701953458,31118.78647033359,1159.3577859663521,1935.9881293840376
2600,263.50690579606373,32219.51964205809,1201.7138913576596,2002.3381827906135
2700,276.56306329395926,33728.4095777703,1222.5783419964187,2040.162912743214
2800,282.5646444168623,35201.56341840968,1238.3823722257505,2108.0710303073593
2900,287.6604513020811,35880.15548362987,1306.649792972227,2179.402188598697
3000,298.5366045712533,36902.96497241376,1312.0992522560998,2248.5536525194584
3100,306.0146216814987,37931.26785304341,1382.1144099486044,2280.0624928957914
3200,312.4683879679277,39032.07555162112,1411.230571499382,2343.5277975079994
3300,329.74623134466356,40076.63751755976,1429.7043446008388,2430.1758677389253
3400,338.77225059804744,41289.08351692843,1451.4677586906357,2404.0855589549383
3500,348.278625636377,41848.037172056174,1502.1629977269597,2513.1002988366845
3600,356.0945138056893,43703.71523407701,1538.9389331642935,2494.6381797919503
3700,361.8017660902472,44511.509225429734,1554.7481163023997,2588.2962241865534
3800,376.6518125762957,45722.787045886216,1570.7157468878856,2580.563801635531
3900,388.23133894850645,46496.90630159016,1628.3523688041846,2691.2975747916494
4000,400.44612369226815,48064.15033425789,1641.1339446237803,2663.3213041042127
4100,406.4282946961284,48584.444398130414,1676.9846325837505,2723.565055756063
4200,413.5261500158451,50144.58511683338,1716.720638813053,2759.9999691839043
4300,427.1720888449373,50433.4490830569,1718.7396869752808,2739.796306468226
4400,439.4955318240489,51446.76034512787,1745.767875443006,2762.47136077633
4500,449.5555422842588,53869.71926696321,1760.0697145125353,2828.1327511175505
4600,462.82533360938424,55080.182724110535,1784.8149339324793,2833.8211855407685
4700,467.32557720699236,55734.01174122983,1791.5128433505947,2887.6035650045596
4800,480.9404786717397,55897.534945326,1848.2339410170616,2926.3818119149064
4900,497.03924141725884,56647.713541949124,1851.4576789923888,2881.776179996836
5000,502.31783390645774,58817.07991047743,1845.0257334157714,3001.8151167151823
