miliseconds,T,N,D,L
0,98.39976832310306,-501.8371065740813,-8.906612048943689,-4.928550644543872
100,98.76577625774893,1426.9930767090707,21.52513954867292,54.099235271861936
200,114.9680398746042,1880.3909353963872,109.65184916814715,22.97827630227333
300,111.12082155402724,3584.4869671139886,133.2263852221405,33.06914769427069
400,118.20405923216293,5614.793239863836,186.3891364192257,56.08366496073705
500,123.33058572458069,6687.967796946692,239.32503059953504,102.24257011866622
600,129.83445028356766,7982.938790024773,285.5401487209242,57.68611272023545
700,134.16013730639642,9789.266283579067,334.95483460875533,165.4272000223714
800,140.7744475013697,10069.36608515055,406.2180925066576,207.86817801229702
900,149.1650650179916,11303.814090778711,410.0093976219468,201.0481568710126
1000,151.29131270488992,13056.693121526296,485.774140752515,325.5477533094021
1100,150.57519378527556,14416.0520823332,533.0029960016578,372.33072710265117
1200,158.47066817557902,14607.008698959407,555.4143897905534,491.3607202174365
1300,167.14456854704076,16401.76448560668,624.5584517139569,585.1385753752744
1400,171.5966117957184,17999.165215396395,673.506930810489,711.0555819705737
1500,182.57707057427774,19620.685404501495,693.3098219198013,754.6018230856289
1600,185.06524587776596,19516.1199123728,765.83585456344,831.0960334263754
1700,196.991322782732,20968.845074715286,782.920427489441,1029.1541571974847
1800,198.17177037980548,22294.665650804494,843.9771187938659,1161.9909564222203
1900,212.97643040812986,24224.500584548518,913.9096299610604,1234.2644197715947
2000,214.32857230839846,24466.105669104425,939.9038980997971,1351.8319740618515
2100,220.3085885228686,25878.759150430025,986.7112461111956,1513.9949812443347
2200,226.68691602880585,27269.631927962444,1010.8760857397785,1605.7700598574538
2300,239.67915897763604,29338.086221225152,1087.085305275186,1651.3066482756963
2400,252.2966813866886,30450.588818581207,1097.9799350201881,1741.5358905510848
2500,261.3466020149502,31423.42957497569,1136.4677422900515,1904.4959647850776
2600,259.3317517085812,31255.832948407875,1160.315079332487,1975.7549549472285
2700,278.01915390579734,33061.20382336651,1235.4342027437317,2033.7334091018984
2800,281.92970010934044,33809.23773682998,1237.6800248695697,2082.2543848739265
2900,294.5724553188195,35616.3342860326,1282.4274644106085,2195.0660830634606
3000,294.51124585501196,35814.39357497418,1320.206170102439,2271.822980405335
3100,312.856936975009,36967.76556646337,1371.9752757306612,2299.41579643947
3200,313.20553639476617,38079.18227226782,1412.7781185524548,2317.8343482049736
3300,324.3577537248436,40466.767734185625,1432.6269367401603,2393.4235007785614
3400,336.4981907285988,40894.993753562885,1484.4655845321456,2477.051114460318
3500,349.27633960422236,41501.52526576192,1520.340978737232,2515.824164445816
3600,354.00452514469566,43735.94406055364,1553.3132578102295,2515.26135515544
3700,365.28430621141416,43880.041676180634,1562.9947399553294,2581.606341863457
3800,381.51313381620463,44988.92690889027,1587.3570958151956,2573.7107487163325
3900,389.2845440272212,47035.24475596108,1644.1699509315126,2666.2032783292893
4000,395.5512166253382,47975.81816036739,1659.2779692054487,2621.458768805039
4100,407.720167260564,48736.04158745193,1686.625322014658,2735.566441140056
4200,416.86735216000966,50632.76718279507,1712.9277432213164,2784.944674083361
4300,432.4773815712616,50518.501744182075,1746.092387185649,2769.640372161133
4400,444.7080729837652,51417.55907450256,1736.679645379389,2760.751044274084
4500,446.0486889839921,53220.790163102785,1794.836003654299,2781.655452202703
4600,465.39563865298567,53862.416474419886,1818.7840557051964,2861.1379087592522
4700,471.18164708613006,56136.222711278955,1785.7723502782567,2869.7694384902916
4800,479.76544815567337,55765.223169215766,1805.8898526725213,2866.576665097152
4900,496.73084229799997,58111.12204946179,1845.8389242724215,2930.593330197346
5000,509.1917353931,59142.35293980367,1854.587107591109,2946.315037185019
