milliseconds,Ligand_EGF,Surface_Receptor_External,Receptor_Ligand_Complex,Internalised_receptors,Receptor_Ligand_Pit_Protein_complex,Free_pit_proteins,Internalised_Ligand
0,198730648281000.0,73000.0000000001,0.0,25029.0,0.0,0.0,0.0
100,198730648203643.72,2.689189997292973e-18,72979.61094402673,25049.38905597353,0.0,0.0,142.9283610450528
200,198730648199289.6,2.6872317590575293e-18,72919.88081192943,25109.119188072353,0.0,0.0,325.0694567842165
300,198730648194939.6,2.68405362880149e-18,72822.94156552725,25206.058434476676,0.0,0.0,544.4023746248918
400,198730648190595.72,2.6797241413976646e-18,72690.8836510233,25338.116349019183,0.0,0.0,798.9418146837696
500,198730648186259.75,2.6743101535477456e-18,72525.74633983795,25503.25366023128,0.0,0.0,1086.7471071312602
600,198730648181933.34,2.6678767219769952e-18,72329.51397938449,25699.486020681263,0.0,0.0,1405.9263411863988
700,198730648177618.2,2.6604870637054053e-18,72104.11481795467,25924.885182087648,0.0,0.0,1754.638016136553
800,198730648173315.7,2.6522024449820024e-18,71851.41759604297,26177.58240396236,0.0,0.0,2131.0945075118916
900,198730648169027.3,2.6430822101108528e-18,71573.2324349616,26455.76756502834,0.0,0.0,2533.561104050764
1000,198730648164754.34,2.633183547735826e-18,71271.30368908009,26757.6963109808,0.0,0.0,2960.363821126957
1100,198730648160498.03,2.6225616314796756e-18,70947.31427367753,27081.68572653382,0.0,0.0,3409.8847751728363
1200,198730648156259.44,2.611269461925698e-18,70602.88082655135,27426.119173814033,0.0,0.0,3880.5675194699684
1300,198730648152039.66,2.5993579082857365e-18,70239.5549386702,27789.445061826482,0.0,0.0,4370.916104182652
1400,198730648147839.62,2.5868757404879244e-18,69858.82418886542,28170.175811702753,0.0,0.0,4879.493860881972
1500,198730648143660.28,2.573869610493191e-18,69462.1115598228,28566.888440764465,0.0,0.0,5404.924577451751
1600,198730648139502.38,2.5603842057822253e-18,69050.78010319357,28978.219897376854,0.0,0.0,5945.888644059167
1700,198730648135366.7,2.5464619883774792e-18,68626.12499709574,29402.8750034443,0.0,0.0,6501.128907580463
1800,198730648131253.84,2.532143442414296e-18,68189.3810894818,29839.618911035654,0.0,0.0,7069.444998529121
1900,198730648127164.56,2.5174674402499278e-18,67741.73405943137,30287.265941041023,0.0,0.0,7649.684560758794
2000,198730648123099.28,2.502470265802267e-18,67284.2906433288,30744.70935711451,0.0,0.0,8240.766515411995
2100,198730648119058.5,2.487186712837889e-18,66818.11212558443,31210.887874711396,0.0,0.0,8841.654212789095
2200,198730648115042.75,2.4716501463849888e-18,66344.21621583536,31684.783783821345,0.0,0.0,9451.3535900836
2300,198730648111052.3,2.455891198881064e-18,65863.53727177424,32165.462726637565,0.0,0.0,10068.946412949032
2400,198730648107087.53,2.4399392997131816e-18,65376.972910192606,32652.027086654438,0.0,0.0,10693.550991470755
2500,198730648103148.72,2.423822483940717e-18,64885.378162585854,33143.621833263074,0.0,0.0,11324.327006008583
2600,198730648099236.1,2.4075669353925512e-18,64389.55174307096,33639.448252326976,0.0,0.0,11960.486589389935
2700,198730648095349.94,2.391197535294623e-18,63890.252738307405,34138.747256826406,0.0,0.0,12601.279925747825
2800,198730648091490.34,2.374737569403919e-18,63388.19135804856,34640.80863710257,0.0,0.0,13246.003654891485
2900,198730648087657.47,2.35820897028262e-18,62884.036468322454,35144.96352694302,0.0,0.0,13893.993653526573
3000,198730648083851.4,2.341632270409343e-18,62378.414388429635,35650.58560696263,0.0,0.0,14544.62644429766
3100,198730648080072.25,2.3250267287496538e-18,61871.91259874605,36157.08739676697,0.0,0.0,15197.315556073165
3200,198730648076319.94,2.3084103424535598e-18,61365.08002983072,36663.919965733716,0.0,0.0,15851.511375592034
3300,198730648072594.56,2.291799965785794e-18,60858.43076302285,37170.56923256267,0.0,0.0,16506.69768363163
3400,198730648068896.1,2.2752113003354043e-18,60352.44373121943,37676.556264348874,0.0,0.0,17162.391888122882
3500,198730648065224.47,2.25865901639724e-18,59847.56640735934,38181.43358818055,0.0,0.0,17818.141641339367
3600,198730648061579.6,2.242156747124429e-18,59344.21462951372,38684.78536599907,0.0,0.0,18473.524916986982
