miliseconds,CycBt,Cdc20a,Cdh1,m,Cdc20t,IEP,CKIt,SK,CycB,Trimer,Mad
0,0.0010995086602983383,0.0009980539732041703,0.00932390379300168,0.25003391879559583,0.0009403661774928853,0.0010001291791262384,0.020106525009832742,0.0009805878546050673,0.0006152714449024849,0.00044312578838913885,1.0
100,0.005253246771376871,-2.1780926164064723e-06,0.1062415434686599,0.2501648798337135,0.0015543860910093446,0.0009988927538838058,0.09469454227891622,0.0014668708915271677,5.338090845841853e-05,0.004878820523395471,1.0
200,0.008882725403478068,2.4057080249775836e-06,0.19887241808217093,0.2503348330780069,0.0021285146045512764,0.0009954149682650521,0.20841031901408047,0.0018603624042737854,4.499467058073944e-05,0.009028885905558521,1.0
300,0.012757446831244336,-2.7693605597618086e-06,0.28823271887150337,0.2504192037841839,0.0026096008606476535,0.0009934249794850325,0.3037691411534819,0.0023388336917744552,4.224637855315657e-05,0.012295309135420863,1.0
400,0.016140849773921398,-2.6910263784879646e-06,0.3694417393205512,0.25049013612608617,0.0028140513468740205,0.0009934369448171378,0.3632321353222478,0.0026443027312183565,4.185277148550399e-05,0.01555356191258108,1.0
500,0.019385204994833496,-4.607588393265683e-06,0.4615560276551913,0.25057433063037515,0.0033950860797402884,0.0009899469856477344,0.47303423923101595,0.0028718991701206166,3.951567750882633e-05,0.01958011475071824,1.0
600,0.021885001309167006,-3.6190111517618243e-06,0.5670563599190762,0.2507816722916193,0.0036863388195826916,0.0009900890592138881,0.5691278163473893,0.003240206151864973,4.588547313702236e-05,0.02217376464114352,1.0
700,0.024938891357808243,-1.816232385094173e-06,0.6671413123342338,0.25081920449324824,0.0041594511557343965,0.00098584777531504,0.617576336536047,0.0034827375501083647,4.1832049504072007e-05,0.024062638882359714,1.0
800,0.026249540470745337,8.54772579084832e-06,0.7546332449214315,0.2509462327808554,0.004560428535111331,0.0009838464088023718,0.70733150267084,0.003668886611499473,4.105730437252083e-05,0.026161843994344933,1.0
900,0.028213327709575787,-4.7356917403916896e-06,0.8384751730933676,0.25103057940253126,0.0050663515200814165,0.0009841464345802277,0.7673658056371266,0.003954859812255474,4.1703699544506595e-05,0.027935913937228763,1.0
1000,0.02945336481122807,6.00537992215734e-06,0.9047231256056515,0.2512659990946913,0.005880121968072461,0.0009812801780491353,0.8239144938877683,0.0041808717049047215,4.045964276805422e-05,0.029325564166109385,1.0
1100,0.030453784528216458,-2.131544788227338e-06,0.9495475019831527,0.251298632266666,0.00585363543287624,0.00098006651235115,0.9238908649094576,0.00425040015586267,3.201864239568552e-05,0.03069012882589446,1.0
1200,0.031804308052001184,7.889491173171624e-06,0.9975310829782751,0.25146137863413,0.006618062530170243,0.0009768648143026854,0.9645765185786203,0.004435018043870863,3.174536238340969e-05,0.031133693440695782,1.0
1300,0.03267609494339021,-3.113003984760087e-06,0.9860689607427955,0.2516024475349949,0.0069780277658368335,0.0009750916799807486,1.0241801919858293,0.004544693318111265,3.4726680866189423e-05,0.03190062695231998,1.0
