miliseconds,CycBt,Cdc20a,Cdh1,m,Cdc20t,IEP,CKIt,SK,CycB,Trimer,Mad
0,0.0011655998370143014,0.0009954958134241326,-0.003315327011783993,0.25000691673498077,0.0012382294022197826,0.0009987052851294501,0.010666392072275238,0.0009961289235372644,0.0006182677682695023,0.0007480859752360043,1.0
100,0.00475418896999017,-3.950383141568136e-06,0.10415050315353637,0.25015854751600153,0.001649651327016279,0.000997907334867754,0.10573412748909841,0.001448539923148975,4.922818360132077e-05,0.004998207139125701,1.0
200,0.008858214215506362,-5.493199312074489e-06,0.19805927906815537,0.2503226252540427,0.0020493274928238157,0.0009969797551564908,0.18044048360894205,0.001939072106653963,4.603446453162142e-05,0.009142283838676553,1.0
300,0.012524093825867626,-1.0927004054329423e-06,0.2882019904900595,0.2504500436434584,0.002415046511842549,0.000993477974095504,0.26623245229926595,0.0022755698742903145,4.3964909035905524e-05,0.012046275723596662,1.0
400,0.016190733752955794,1.688670702296202e-06,0.37925866873923325,0.2505518047290525,0.003107854992875496,0.0009915609431095944,0.35112865519666187,0.0026638118957398693,4.014682397016776e-05,0.015935915339749803,1.0
500,0.019288894969727355,5.235110119662056e-06,0.4723829072143745,0.2505964759134345,0.0034523609407759665,0.000991013768571967,0.45154771229288215,0.002995283467212158,4.357236138118685e-05,0.018765533503644946,1.0
600,0.022383381792660632,7.95241534375651e-06,0.5732712388637127,0.25073669193059855,0.003954943340859651,0.0009892165008256288,0.5575866312964466,0.003277185248358988,4.567096852258122e-05,0.022300348196768335,1.0
700,0.024546407499524338,-1.4231576678819837e-07,0.6650670126891306,0.25088215152063065,0.004522715007272766,0.0009882360485166527,0.6006824451171527,0.0034816712946349033,4.157187645242467e-05,0.024742644370722242,1.0
800,0.026536428408211934,-1.9052403129985833e-06,0.7303765423132621,0.25100723836290056,0.004922452935284399,0.000985126306023351,0.6942087269833358,0.003768416723416569,3.7125396274431497e-05,0.02633252334736915,1.0
900,0.028403420202525738,-1.4907651680743045e-06,0.8165906367121891,0.2511768688940286,0.0052660176573940875,0.0009837763074875164,0.7726713762177677,0.003880036185238893,3.66260274585837e-05,0.028757040759065693,1.0
1000,0.02951352439399045,8.939544258213981e-07,0.9033005212478977,0.25127088274594694,0.005544463196896024,0.0009813598814295674,0.8605013057352061,0.004141015568441726,3.7886580336327804e-05,0.029503160445030915,1.0
1100,0.030933330033389255,-1.4938291311844415e-06,0.9611723387792226,0.2512602454179259,0.006155613841511767,0.0009791234371128422,0.875724166944131,0.0042914752387279475,3.695256157444743e-05,0.030420170374641977,1.0
