miliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,9994682.233510768,301023.5497393854,62115350869.760124,0.44970790133100386
100,10104781.90647439,291705.49782228254,60534303944.117035,0.4529828976796029
200,10110071.86210692,285439.47665043303,59798039908.55029,0.45548279899008104
300,10163311.941595186,275254.1268560187,58181986175.19078,0.45825617522171813
400,10292299.746679358,267773.03793650714,55526619148.103424,0.46020752692192385
500,10365385.332788449,262259.3221792151,54005181126.224045,0.4618080871662048
600,10399987.628167067,257399.72387980064,52568734556.133255,0.463680535546252
700,10437685.045802146,248319.3912302715,52060615507.83618,0.4654296078014166
800,10529505.379044851,244227.38888270195,49787318765.87024,0.4672744986553577
900,10618711.040440314,240337.9660715271,48850909546.6694,0.46863634647545893
1000,10627419.99594844,229121.85525348445,47093082022.544075,0.4698715898739162
1100,10673773.079001395,223827.862977445,46415566313.07432,0.4708110220462377
1200,10745377.052490331,218179.7748317338,44579465838.835266,0.4712694987310186
1300,10853555.76139104,214321.71799804235,43415151913.2173,0.4726735300356212
1400,10877390.289661203,211164.04522101796,43122967691.4957,0.4736628643687425
1500,10910974.008433199,203702.8638785333,41766109969.76408,0.4739398178621181
1600,10973335.31878272,201210.42638930192,39959313744.6704,0.474761271423764
1700,11051589.394693583,194994.0447332176,39726819222.81513,0.47529205561142324
1800,11052777.727560963,191675.81901507525,38168572281.9942,0.47602723937324654
1900,11135099.361735117,187288.5538094788,36677704696.49697,0.47624945875395147
2000,11179562.99174825,179207.17284522756,35789867664.26024,0.4767326103589432
2100,11250912.074049093,175889.82874195153,34878981325.89073,0.47668544517253875
2200,11345410.132673364,172876.8277670558,34542943569.54823,0.47698578049505636
2300,11352208.942542352,170112.6728997964,33721016800.51333,0.4776078888865627
2400,11432608.495130546,165986.03705835267,32222950010.87141,0.4781624034893073
2500,11481484.15570413,162474.80102394457,31131507777.81802,0.4783693383558033
2600,11522341.55039939,155656.43756811373,31109083751.58595,0.47810560638598826
2700,11629224.69984387,154890.06220877025,29930412825.726448,0.47845381289857253
2800,11670928.922416871,146106.29680274823,29466466831.010002,0.4783647141016494
2900,11718925.843481464,142436.04511862254,27975926147.714752,0.4787280637501904
3000,11751607.23512592,143963.48313354098,27625420447.46163,0.47854330672419443
3100,11789452.068381008,136552.15000481164,26527224417.56674,0.47890657881945414
3200,11893757.647959195,134228.97715245644,26201175717.14833,0.4788970077132554
3300,11954745.107916957,131768.16708591022,25597297291.842438,0.47892999548183446
3400,12010125.52246769,132385.7813422497,23935669511.177757,0.4788639731380605
3500,12031296.828845777,126376.18754600322,23552872336.486984,0.47948782638469123
3600,12132883.677260669,124222.5600013323,23687625787.747726,0.4789545156622858
3700,12149322.205658397,121614.40374860837,22041235895.72442,0.47955880184065514
3800,12209554.688181259,116820.2896266551,21881053260.368263,0.4790619362725181
3900,12243526.459255608,118934.85436076931,21970904990.246964,0.47898045928041716
4000,12298199.896185754,117023.2028953629,21462374234.730347,0.4795185866619588
4100,12365901.249461427,114286.26331645975,20287819124.603573,0.4788429204848736
4200,12495679.066790393,109677.15998784674,20017031626.290867,0.4789798603365002
4300,12538924.481225945,109165.91898039663,18991324366.102303,0.47929203847683527
4400,12597611.417402925,107172.3158349112,18717618259.764435,0.4792371334994719
4500,12606803.183237119,103606.37001541757,18444040131.76797,0.47904393355399455
4600,12721411.451705135,104027.34265382326,18078453057.832253,0.4787710740013583
4700,12714452.67006223,97923.39057013787,17412720712.21336,0.4785415634475204
4800,12826917.44703835,99896.07928584714,16421023059.359455,0.4790171042956466
4900,12920038.479224395,98384.20484920763,17059959822.564144,0.47873438368684706
5000,12945843.735617137,94142.60204583434,16061625693.746693,0.4790125544703956
