milliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,10008857.976482041,301492.6887763216,62269797534.32804,0.450068308932101
100,10068755.058659997,289969.30127725756,61273998936.77549,0.45289258097575014
200,10142662.641446516,282248.4174888217,59224884968.921486,0.4558958112640789
300,10182521.244092785,278560.65468264336,57459163338.64657,0.45785910043829736
400,10276379.68209241,273015.3727997948,55823347444.99345,0.4600351641766746
500,10337081.028335929,261748.02415660795,54217130775.677795,0.4618740157686637
600,10414659.335003607,256638.60842341525,52499728286.20941,0.46363753838533
700,10450948.33319974,249234.8990778563,51397058424.429855,0.46544016225876866
800,10520524.124271316,242035.34203784456,49537319654.51694,0.46710876240422444
900,10615131.05756516,239364.40546548596,49163484115.09445,0.4683311159849941
1000,10623844.112745851,234449.18309008566,47758692134.14576,0.46962914400284894
1100,10661375.105922615,228996.1570733912,45591728554.04303,0.4705644659694427
1200,10793688.827757236,220763.20940959436,45151458722.13326,0.47198545050178775
1300,10781673.490271736,213840.49520761677,43989556633.23723,0.4722272839736657
1400,10906165.199566197,209283.00166935293,42567413678.215546,0.4730331890601352
1500,10889126.812133038,203541.5950777527,41933533832.84204,0.47384317458798153
1600,10975843.328507645,200681.76708476164,40483686052.06621,0.4747862103188334
1700,10999585.624022525,195187.33517880764,39106340463.16696,0.4752147323371441
1800,11073019.592128977,189799.69811737922,38004844900.24145,0.47603482815406556
1900,11111241.515909519,184958.27259973658,37021814529.395386,0.47629328449851466
2000,11175430.384313617,182035.64235745958,36315408390.282585,0.4764770666970508
2100,11218353.611109724,173854.56207330604,34677864679.404755,0.4768799562128315
2200,11287379.296224998,174529.86851821534,33933516685.28299,0.47760483587071284
2300,11337423.62874037,166284.0356467372,32878590732.91724,0.4775722975070084
2400,11414534.886205869,161928.41937183862,31523372470.857708,0.4775553493464815
2500,11515072.628528858,158588.61469078084,31436110693.962463,0.4779423150599758
2600,11566152.898426693,154898.73453759277,29953687325.14898,0.47863122480145925
2700,11562927.46834586,150001.8469401197,30269430761.493793,0.4782384946067461
2800,11682248.382054541,151352.33913369194,29284611324.109467,0.47894373713352506
2900,11677263.862398136,143201.53066945844,27703444698.465076,0.4785817651594249
3000,11759740.634420576,141453.27041226902,26694721430.361782,0.4790997032217933
3100,11791967.79791241,138449.11600613446,26611497969.62065,0.47863271551763453
3200,11870840.51893117,134330.06329412328,26493070904.24064,0.47876684363452204
3300,11910387.302509459,132972.30196868622,25763045628.237495,0.4788399085933756
3400,12027274.698027799,131542.9382831331,24772756518.326756,0.4794766228474445
3500,12071119.294337641,125483.43279626658,23885934812.226093,0.4792475363845813
3600,12107848.500053607,124145.45215668941,23043747321.62049,0.4788749260829983
3700,12158614.134917108,124265.11381611893,22265261049.031162,0.47893625104220616
3800,12261773.956040166,121415.28392649276,22584576143.776745,0.47916252748754984
3900,12258702.253274009,115979.24338998387,21040558090.440212,0.47942543669500176
4000,12363666.861674875,115169.58890877647,20365696432.916557,0.47944228304172676
4100,12356970.501205342,109815.76107947007,19867805758.962513,0.47879925516240446
4200,12474791.961023595,107445.35114732436,19989862467.84967,0.47938596248011317
4300,12475806.390223566,105979.14907874414,19597339948.969578,0.47897245559537643
4400,12563691.838764405,103618.4007937397,18345590198.956306,0.4793297496805725
4500,12618286.562249625,104383.06039063928,18188249626.458668,0.4792941909332315
4600,12680901.312694624,103707.32912393965,18103327078.143887,0.47862690692314036
4700,12791677.07700594,99855.50468777893,17701884844.330036,0.4788305723673194
4800,12804639.96871847,97230.1217907375,16944121139.754616,0.47920246380851217
4900,12842073.272194035,96411.57393625793,16221006007.953104,0.47858952762523205
5000,12941988.28264542,93753.23514752975,15525887756.923937,0.47850710627999654
