miliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,9997506.910229025,301465.961554104,62463393422.21905,0.4502537245501177
100,10069917.78576803,294318.1900535631,61332929238.6761,0.45326402102464075
200,10115393.87918649,284326.3404352742,59244909695.48094,0.4556803654004442
300,10228862.314973153,277737.1381160906,56933455227.9631,0.45796764028653364
400,10305600.740985952,269122.7658806325,56514566797.04571,0.45995750342710096
500,10292169.673278572,265676.50393465057,54892781895.69309,0.462293007880116
600,10410239.179692043,254821.51918293757,52411310353.355194,0.4642111049478613
700,10436819.209330276,249844.96284591942,51528460942.80771,0.4657538388854577
800,10559373.143754164,245826.0796256114,50088056010.65575,0.46720749334112854
900,10613938.92595577,235345.5462104741,48413604942.43842,0.46825505420226915
1000,10646668.454015685,229773.95109186092,47003784616.26105,0.4698250062466147
1100,10686832.637901323,228787.0635749592,46415378097.71223,0.4707999525106736
1200,10748135.755497564,218890.05150789986,44386636498.91969,0.4718430884777023
1300,10803284.438712053,213445.76391199976,43473321633.75338,0.47211391537049313
1400,10839420.248326328,211184.47708080107,42169955161.167404,0.4730916720373666
1500,10891407.077068547,206267.2964813123,41784534463.64341,0.47437021193428774
1600,10964946.396110913,200554.1196495488,39783766443.68285,0.4746072368092384
1700,11030227.973147854,194767.41011229885,39363672845.14429,0.4750105299422222
1800,11134596.59252211,192050.82710837902,38312774802.63167,0.4754276405042376
1900,11122670.046201268,186427.75714189245,36618155342.43294,0.47643806172217473
2000,11231681.004627362,177249.5388689011,35359129365.500626,0.4767544223522772
2100,11235956.604130661,174472.56925427628,34401811786.23734,0.47707666953308303
2200,11332027.93122146,174475.59700395356,34000115901.609547,0.4776454295647888
2300,11353343.110555831,170487.7054110576,33595344558.676136,0.477922755532695
2400,11441423.725089487,162538.06827935937,32271573083.398445,0.47803536498615123
2500,11523894.226648366,162289.93746729684,30896628165.56098,0.47803325195757806
2600,11578079.597355336,154973.90966213556,30996986910.089336,0.47809907774011884
2700,11569320.105319474,153116.091760772,29499801427.935123,0.4786782307972933
2800,11613016.6403686,151732.72414500703,29037768933.780933,0.4785846926503628
2900,11707934.916882837,143796.34480591735,27835873698.117672,0.47840499575130835
3000,11738842.80016764,139894.29265072066,26896530448.609478,0.4787390008219666
3100,11777929.581245396,136904.98234580128,26714329162.80201,0.47926635046648874
3200,11861611.164264927,132818.41958826425,25284455087.2012,0.4791949259978196
3300,11957609.246889738,135788.62347027447,25746625851.334133,0.4790423211717948
3400,11953933.689766442,131403.10507115975,24001755553.94073,0.4794751618215753
3500,12084454.70629641,125542.07148148037,24090043061.269447,0.47930246344400085
3600,12136433.956049575,126311.08670624335,22751528887.79621,0.4792919308076231
3700,12203139.587214604,122651.25826117268,22973712807.94413,0.479385047561087
3800,12181778.177789485,119309.47051732455,22276067708.805836,0.4789712324016279
3900,12236237.256553972,113677.6426446322,21289639735.6321,0.47916558006302007
4000,12324668.330267303,112156.8530175452,21202922059.329933,0.4794968833802297
4100,12406792.168433964,109543.05624116892,19958435608.199635,0.4790481181484123
4200,12432777.658394277,107429.57153746772,20136304401.328274,0.4791236790705771
4300,12491008.005652474,109542.95264817464,19967612949.107513,0.4791295691182055
4400,12546066.77715671,103780.64082507529,18873200223.50476,0.47886452371728216
4500,12598928.072201315,101757.63626106913,18732779451.553413,0.4786910111714954
4600,12699220.030105062,101342.057691328,18409484982.337547,0.4788946324406606
4700,12716899.440114096,98968.44158764694,17663194823.439453,0.47898553732979293
4800,12774292.710123176,98978.63440054498,16321054030.790915,0.4789980790065407
4900,12915543.552821677,95515.36143181928,16842372136.245771,0.47890518157210016
5000,12958175.869714066,93879.608442261,16222820441.242868,0.4788392372169726
