miliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,9979149.455563264,297147.76197985804,63095608782.467674,0.449774445625121
100,10041576.081393812,293114.9926157281,60794817408.01116,0.453085415086656
200,10102312.377946554,287816.255029303,58517711181.77736,0.4552473123090814
300,10177993.242570877,278569.97957210237,57024886434.5432,0.45820370885054806
400,10271008.43126638,271667.5260585871,55714013528.263664,0.45990718044121065
500,10303042.984490335,266383.7400572215,54855827773.36007,0.46223546410774546
600,10381908.57058252,257392.90752652776,53007259303.90962,0.4640162635609479
700,10424632.564042391,248443.57151093963,51479056855.55083,0.4651579169223138
800,10533146.848150587,246326.09830729067,49981704747.94593,0.46703551192207765
900,10542753.249795506,235699.2891448272,48165244097.63994,0.4681284104094574
1000,10661582.95589567,233114.83893322482,47785107485.08142,0.4692899099754216
1100,10664518.133645428,223404.73933956106,46794093548.842,0.47090521692756937
1200,10783032.911660206,219656.52746978484,44247438168.2435,0.4713751749428255
1300,10776450.732478071,215455.39237550355,43683556033.41609,0.47224841117935845
1400,10855189.072145835,209581.9426582687,42690168639.9206,0.4735225980823107
1500,10897698.415489912,204832.14148941022,41202880831.28587,0.4738049873755615
1600,10945154.267033791,202006.93645463744,40418918462.45629,0.47471620148210014
1700,10997886.893042706,195211.36305529752,38908164406.34258,0.475179835815767
1800,11093186.782216862,188990.48578772153,38066845701.447556,0.47559131747513894
1900,11134901.229773045,181873.22093259767,36582161671.61653,0.47607906676657
2000,11235145.163254432,179576.79747263843,35315174000.14948,0.4765447124375007
2100,11221418.143651318,173778.64288293567,35014325287.23145,0.47698281789286273
2200,11331659.597793793,172505.249853425,33779004172.553253,0.4775430563117417
2300,11330959.116732188,167187.06497579487,32535184989.11702,0.47743830997520836
2400,11397540.39290895,165376.86980530265,32840361696.294926,0.4776175013246362
2500,11441334.476749094,161462.74249610057,31057691966.449722,0.4777548911587144
2600,11542829.78923236,156442.50318364459,29877813486.954983,0.47857917048752835
2700,11596459.221547,153894.89090729228,29221521820.603436,0.47859657443508513
2800,11615860.662064523,149026.76236623083,28790895031.23576,0.47896996421028204
2900,11733833.046369195,142419.44184759035,27560549163.917255,0.47874977787697237
3000,11805147.94461767,141787.9846444686,27333612893.877743,0.4788318004114621
3100,11847067.118610905,141825.17379088086,26295025992.94119,0.4793381714054902
3200,11849664.821220448,136581.37967966564,25821775755.403236,0.4792389409415189
3300,11913608.599153774,133695.5785623087,25730901115.51683,0.47903266085048396
3400,11997308.300149046,132608.18554498337,24414156577.56786,0.4788129386305217
3500,12023723.225682843,127553.39640206126,24459462010.605392,0.4794208834017651
3600,12113096.430792086,124211.24461447938,23003880376.39418,0.4791961001130114
3700,12126723.757047975,121705.13193100956,22628046857.266262,0.4794721399501742
3800,12178778.39741453,121869.84578037127,21927655853.344048,0.47928995861587104
3900,12285424.327154476,118623.79496480933,21851478992.831703,0.47948322404114724
4000,12347901.536248604,111161.27041681498,21307995159.45149,0.4790897591765489
4100,12418398.243132075,114617.97548441867,20301251283.727932,0.47880845485378093
4200,12430208.191560173,107195.5898193114,19430705172.81224,0.4791100503740634
4300,12556239.100704761,108886.37641947309,19743065894.765728,0.4792839573753963
4400,12562042.21648844,103700.55469584199,18240313544.946392,0.4792207776804951
4500,12655011.77895441,105867.29376306644,18396947080.069904,0.47938146171161977
4600,12689491.649039237,100000.94632557892,18190438083.51331,0.47913596623484656
4700,12798201.143859455,101929.10518791123,16979851152.008698,0.4792223499328563
4800,12828996.73451011,96802.15789484396,17245720550.230595,0.4788776989221212
4900,12868140.2635542,97660.77572286397,15981012356.93494,0.4788346226502618
5000,12958804.813798582,91135.7021573273,16751883780.165035,0.47906676686349847
