milliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,10034654.174140152,302475.1066983785,62367202832.180565,0.4496174398400451
100,10090257.079531983,289434.71155125956,60596655360.80584,0.4531092281802595
200,10118610.04976857,282265.4874647727,58812812441.3596,0.4557261350553912
300,10230779.017063651,276851.8754093248,56961655037.130005,0.4579619653864972
400,10259930.207684215,268993.30002345087,55599549746.57997,0.45984337987946783
500,10343855.641671384,261438.84405096236,54517670759.98321,0.46204864756585073
600,10365801.484636575,258797.18598226178,53248385726.04423,0.4636974213446241
700,10445794.395881455,253407.15475553926,51188322120.07868,0.4653344599240503
800,10503011.814642405,243162.60760903332,50199416651.19978,0.4668472339751927
900,10577803.610914903,235917.41991096767,48176730244.639084,0.4680881836693988
1000,10655009.572813988,230415.66112042114,47026448668.750694,0.46922782399567264
1100,10654631.251478242,226483.58493551236,46432427993.41841,0.47098171225019775
1200,10723671.54245262,217982.00922489955,45565504735.76297,0.4717680608228854
1300,10845108.273770003,213895.35898790136,43450148999.9408,0.4725745254064234
1400,10893487.024879873,206638.189480758,42599771318.05655,0.4733575838453815
1500,10910169.64508496,205177.4098222239,41239005519.574936,0.4737541304478568
1600,10964420.240176296,201750.43718517144,39765326831.60201,0.47499970930770835
1700,11030122.729047472,194246.71023166753,38821351480.67644,0.4754032502195336
1800,11132606.591533223,189702.03797456154,38201531117.25591,0.4755581902147981
1900,11159237.906336775,182662.4548393014,37126467924.63875,0.47644759866306746
2000,11190805.785761662,180929.5004135409,35715317137.60873,0.4763320539962876
2100,11279504.817126347,173934.99751253627,34697964680.293076,0.4772480846993812
2200,11346212.174514247,172655.45960071674,33578171424.870792,0.4770486565709144
2300,11343705.714155234,168266.91031624898,33758294390.108288,0.47734505156656054
2400,11392539.200847732,163195.00227496252,32084244874.23017,0.47755364362703084
2500,11513568.849081393,161180.04072555914,30949377939.7261,0.47787807852281794
2600,11526898.439580828,158632.35184241983,29888462851.368134,0.4783215374749978
2700,11561836.092047403,151942.1856036356,29375616103.111225,0.4783394290084626
2800,11671844.542324958,149325.7000600645,28387681332.762024,0.4783003932247386
2900,11738524.70058289,142781.0791991141,28499344078.297054,0.4791010872664227
3000,11803077.075237371,140700.3540037792,27692622893.673943,0.47902302716446876
3100,11776327.225642605,140835.93931109193,26455781863.176777,0.4792581697261494
3200,11900500.0837384,138187.85529119903,25866356817.747807,0.47891885413046553
3300,11931064.969138607,134694.58809768799,25749680056.287483,0.478952643020441
3400,11999408.546790794,127214.35957641427,23844692208.402557,0.4793778234627542
3500,12022785.87748884,129553.04098281225,23912646260.63356,0.4793873374236883
3600,12084531.744111503,122745.79136483684,23468606847.121597,0.47925512379836616
3700,12140289.56704216,124284.67024323398,23174569957.79584,0.47929402327919224
3800,12261047.20000246,119966.51439371512,21811066974.561474,0.479538292688869
3900,12255280.275460768,116263.1779217251,20826989648.739857,0.4790238866596046
4000,12300229.97765491,116634.64009955623,21543376077.85965,0.47931734110065477
4100,12370012.403015334,111257.79309916143,20570908249.13336,0.47910911126741174
4200,12429648.65346994,109463.74771428935,20070782319.891533,0.47904376790702935
4300,12541786.938945606,104903.26895275235,18813903564.89413,0.47927987538610767
4400,12611928.933862284,106133.49291353815,19250621104.484203,0.47885867284546696
4500,12612441.788402613,104601.79724447922,18686253954.774525,0.47873660033383036
4600,12706467.80707696,102504.30757988489,17384039475.05013,0.4793450592394284
4700,12771953.205706233,100184.88370349313,16736731494.626001,0.4792278432829335
4800,12858195.81302722,94691.55708803174,17282634114.264862,0.4786611947670697
4900,12884616.443396984,94149.30430156733,15979831952.33562,0.47858239288026866
5000,12958076.834735032,95561.71682359773,16248534262.001648,0.4785866222727949
