milliseconds,NFkB,IKKIkBa,IKKIkBaNFkB,IKK,IkBa,IKKIkBb,IKKIkBbNFkB,IkBb,IKKIkBe,IKKIkBeNFkB,IkBe,IkBaNFkB,IkBbNFkB,IkBeNFkB,IkBat,NFkBn,IkBan,IkBanNFkBn,IkBbn,IkBbnNFkBn,IkBbt,IkBen,IkBenNFkBn,IkBet
0,0.00025081,0.0,0.0,0.1,0.19028,0.0,0.0,0.021428,0.0,0.0,0.015307,0.082062,0.0090963,0.0064977,0.0054868,0.00020366,0.19326,0.0013739,0.021887,0.00030061,0.00063696,0.015635,0.00021473,0.000455
100,0.00025096712743476006,4.275602686664295e-05,0.00015135015729243013,0.09979313725848861,0.1902371976975848,1.2842062483656524e-06,4.358530935660035e-06,0.021426816933737953,1.3759787995399571e-06,4.539083221345303e-06,0.015305696180614052,0.08191049058928017,0.009091889674873488,0.006493122595564662,0.005486800438031728,0.00020366063508172274,0.1932599432848705,0.0013739032892354896,0.021886894698394527,0.0003006615126626244,0.0006369599651204883,0.015634924772007654,0.00021476680441764968,0.00045499996000056
200,0.00025143336624544734,8.539844728090833e-05,0.0003017750055801914,0.0995873560287635,0.19019449032999616,2.5654741622616937e-06,8.701724260068138e-06,0.021425636296723588,2.748665299407148e-06,9.059613871745279e-06,0.015304395136879466,0.08175960213179068,0.009087491807919729,0.006488559038687421,0.005486800876052547,0.00020366413322732844,0.19325988526961183,0.001373906592641495,0.02188678938155819,0.000300712997104094,0.0006369599302419532,0.015634849526263463,0.0002148035886718071,0.00045499992000223996
300,0.0002522010363521637,0.00012792776535703462,0.0004512801777343026,0.09938264996970135,0.1901518746785854,3.843817344198884e-06,1.3029652350392462e-05,0.021424457766988547,4.118074484720847e-06,1.3561682918894677e-05,0.015303096633767426,0.08160933352318636,0.00908310664626547,0.0064840094782179425,0.00548680131406516,0.0002036730402701645,0.19325982591801,0.0013739099490444955,0.021886684045118142,0.0003007644577418141,0.0006369598953643948,0.01563477425965846,0.00021484035591798608,0.0004549998800050399
400,0.0002532621241974455,0.00017034451257887285,0.0005998716332221104,0.0991790123740484,0.19010934739256266,5.119250128503724e-06,1.7342391999297234e-05,0.021423281009855206,5.484222148949747e-06,1.8045386821557385e-05,0.015301800426899555,0.08145968354279327,0.009078734445279214,0.006479474067244668,0.005486801752074003,0.00020368997322797223,0.19325976516906027,0.001373913422082257,0.021886578681881607,0.00030081590180901864,0.0006369598604878128,0.01563469896707018,0.00021487711132318644,0.0004549998400089597
500,0.00025460883143704657,0.00021264921522504043,0.0007475553142126435,0.09897643655723712,0.19006690522529401,6.3917866983668146e-06,2.1640020110311307e-05,0.021422105701918978,6.847123922479148e-06,2.251082208910081e-05,0.015300506280005632,0.08131065088440582,0.009074375449117126,0.0064749529508687275,0.005486802190086261,0.00020371740884718087,0.19325970292215586,0.001373917114669909,0.021886473280178693,0.0003008673410005595,0.0006369598256122075,0.015634623640177918,0.00021491386324156895,0.0004549998000139994
600,0.00025623333039176985,0.00025484240130606295,0.0008943371805599975,0.09877491581464493,0.19002454491732146,7.661441283984467e-06,2.5922613808010025e-05,0.021420931518471104,8.206795487363383e-06,2.695808551020993e-05,0.015299213955866454,0.0811622342406686,0.009070029903004711,0.0064704462748683324,0.005486802628109048,0.00020375783561956822,0.19325963907769422,0.0013739211287233314,0.021886367828452193,0.0003009187868986425,0.0006369597907375786,0.01563454827074151,0.0002149506199468253,0.00045499976002015893
700,0.0002581282809343698,0.00029692457770070504,0.0010402230029312352,0.0985744436582632,0.1899822634297378,8.928227532587108e-06,3.019024819317583e-05,0.021419758157896557,9.563251887409412e-06,3.1387271221128045e-05,0.015297923233974692,0.08101443223448182,0.009065698031372579,0.006465954171016475,0.005486803066152679,0.00020381349849644509,0.19325957348999223,0.001373925611679282,0.02188626230994389,0.00030097025626256836,0.0006369597558639261,0.015634472846805008,0.00021498739341091147,0.00045499972002743827
800,0.000260286205359667,0.000338896258753864,0.001185218628131614,0.09837501351380595,0.1899400576637211,1.019215929482369e-05,3.444299928200836e-05,0.021418585312439186,1.0916508389953086e-05,3.5798474525774555e-05,0.015296633889361023,0.08086724348975771,0.009061380063818214,0.006461476774416868,0.005486803504226994,0.0002038867004407008,0.19325950602025577,0.00137393070413638,0.02188615670867085,0.0003010217650779563,0.0006369597209912502,0.01563439735696648,0.00021502419505310246,0.0004549996800358374
900,0.0002627000168500565,0.0003807579428580193,0.001329329766662616,0.0981766189636922,0.1898979246989812,1.1453249979588282e-05,3.868094169797851e-05,0.021417412693125373,1.2266579779253808e-05,4.019178888214085e-05,0.015295345710636163,0.08072066656201488,0.009057076212784398,0.006457014208520219,0.005486803942344687,0.00020397954192187277,0.19325943648870625,0.0013739365871492703,0.02188605100402283,0.0003010733339347728,0.0006369596861195506,0.01563432178651814,0.0002150610395817941,0.00045499964004535627
