milliseconds,s2,s4,s7,s15,s19,s21,s22,s23,s25,s27,s26,s28,s32,s29,s24,s35,s37,s38,s39,s40,s1,s18,s41,s42,s48,s53,s60,s63,s64,s65,s67,s75,s76,s77,s81,s82
0,5.0,5.0,5.0,5.0,0.0,0.5,0.0,0.5,0.64,0.5,5.0,5.0,0.0,0.5,0.0,0.0,0.0,0.6,0.5,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,5.0,5.0,0.0,0.0
100,5.0,4.668478413777599,4.892560647910876,5.000124027166982,0.00019485738036768903,0.5,0.05677273125750389,0.5,0.6355365661422427,0.49999988255141026,4.999999819864683,4.999999937313271,6.028851859402372e-08,0.49999988255141026,7.66995877446749e-06,1.1739998465565524e-07,3.768487366073308e-08,0.6,0.4999999611910379,1.1240884827053447e-09,4.668478413777599,0.00025512609937271914,0.25683252020298747,5.0,4.975977552326141,0.02395868922586627,6.375844797549578e-05,0.00018703116404118183,0.004463433857756939,0.33,0.05041150180901589,2.4468151141127118e-09,4.990954026887975,4.990954026887975,0.0,0.009045973112029919
200,5.0,4.356461393882292,4.7392187055235295,5.001167636970096,0.0007306397600809218,0.5,0.1049237220444823,0.5,0.6311704533953195,0.4999983292117574,4.999997401070321,4.9999990718585625,8.584971335419869e-07,0.4999983292117574,5.569472964588066e-05,1.671720607153163e-06,5.382936004582087e-07,0.6,0.49999942980553247,3.1900867175251695e-08,4.356461393882292,0.0014632329152128084,0.4074592254969655,5.0,4.919778160943837,0.07978679524093918,0.0004350438149681407,0.0006727040477246889,0.008829546604680539,0.33,0.1543944283610069,6.871193816609931e-08,4.983577324488088,4.983577324488088,0.0,0.01642267551191606
300,5.0,4.062054829617612,4.571525954636441,5.003376937197129,0.0015443894681264438,0.5,0.14700966585602418,0.5,0.626899520123433,0.4999924676220295,4.999988112208609,4.999995644586578,3.874735972907292e-06,0.4999924676220295,0.00017098801370918785,7.554483048740958e-06,2.4402355204137147e-06,0.6,0.4999973444429104,2.1532156928839322e-07,4.062054829617612,0.003654055562664585,0.5027496831517487,5.0,4.846268868693648,0.15246386020356265,0.0012672711025947647,0.0013632135193568245,0.013100479876567104,0.33,0.2778103917862873,4.585723703677204e-07,4.977561823400846,4.977561823400846,0.0,0.02243817659915772
400,5.0,3.784543140198829,4.402552930276083,5.006604072208632,0.0025847702262370483,0.5,0.18448079147249574,0.5,0.6227216726680151,0.49997876887993364,4.999965988333859,4.999987219453922,1.0936781423343607e-05,0.49997876887993364,0.00036948060371093557,2.1374091354531344e-05,6.926477854889147e-06,0.6,0.4999922652519853,8.082701599146981e-07,3.784543140198829,0.00657144367108819,0.5661969513545515,5.0,4.763706346107081,0.23367625512893753,0.0026173987637842463,0.002186323754444811,0.01727832733198488,0.33,0.406394902752112,1.700793365759986e-06,4.972656321274459,4.972656321274459,0.0,0.02734367872554368
500,5.0,3.5237659665238525,4.238571532072554,5.010624484255796,0.0038099250633588932,0.5,0.2182744075533799,0.5,0.6186348642360787,0.4999537097370125,4.9999246926356316,4.999970982898617,2.388788849348624e-05,0.4999537097370125,0.0006592493239988313,4.684456125424369e-05,1.5230764453009915e-05,0.6,0.4999825672843286,2.201951218419797e-06,3.5237659665238525,0.009944489649115339,0.6100376885864357,5.0,4.6769576918666536,0.3185523884631035,0.00448991967004375,0.003086952760700967,0.02136513576392137,0.33,0.5332096386641005,4.574914622524662e-06,4.968655982210228,4.968655982210228,0.0,0.03134401778977558
600,5.0,3.279815702696263,4.082785419956993,5.015231311077558,0.005185725606970242,0.5,0.24904808182787025,0.5,0.6146370938160878,0.49991417125397086,4.9998581274949565,4.999943956240983,4.4392155482175635e-05,0.49991417125397086,0.0010428634262161917,8.743170281967978e-05,2.8524876095418874e-05,0.6,0.49996657366282776,4.901461076913078e-06,3.279815702696263,0.01355598720565701,0.6410325845670801,5.0,4.589014761857369,0.4041241886635454,0.0068610494788764265,0.004023607097552597,0.025362906183912428,0.33,0.6546105789582981,1.0048646743994797e-05,4.965393774941281,4.965393774941281,0.0,0.03460622505872246
700,5.0,3.052857594606643,3.9368392180929233,5.020255365145905,0.006684344758985004,0.5,0.2772898102392097,0.5,0.6107264051203992,0.49985765786069714,4.999760800673321,4.999903142812622,7.383343541082379e-05,0.49985765786069714,0.0015191348078064364,0.00014616593083904305,4.785886398753904e-05,0.6,0.49994264460540366,9.496530608885689e-06,3.052857594606643,0.017247374988867598,0.663056431553491,5.0,4.501784974222214,0.4885226908615463,0.009692334916027926,0.004965512417279306,0.02927359487960115,0.33,0.768623664583544,1.919996043113247e-05,4.962733494042755,4.962733494042755,0.0,0.03726650595724815
800,5.0,2.8430103413113943,3.8015216553498234,5.025562769710037,0.008283093422375955,0.5,0.30337689142374746,0.5,0.6069008855536336,0.4997823960118699,4.999628022565014,4.999845626553142,0.00011327601756568712,0.4997823960118699,0.0020844146660682805,0.00022556054531342823,7.413504305936489e-05,0.6,0.4999092343303475,1.6630626593236442e-05,2.8430103413113943,0.020907464236610822,0.6784131036621743,5.0,4.416524874585559,0.5705367265184165,0.01293839889580663,0.005890309098525076,0.03309911444636666,0.33,0.8741940569194785,3.314087210813023e-05,4.960564071587377,4.960564071587377,0.0,0.039435928412626664
900,5.0,2.650264380170986,3.6771200886544264,5.031047696854161,0.009963471415106204,0.5,0.3276102377348253,0.5,0.6031586652061522,0.49968735388082075,4.999455988813921,4.999768634933098,0.00016346450975691774,0.49968735388082075,0.002733546340149555,0.00032759498744035383,0.00010810279083595563,0.6,0.49986492487613,2.6972333034201713e-05,2.650264380170986,0.024459783110019975,0.688548769086492,5.0,4.334082799251141,0.6493658155893725,0.016551385159252203,0.00678220383190757,0.03684133479384796,0.33,0.9708099584382176,5.295168888266887e-05,4.958794936084019,4.958794936084019,0.0,0.041205063915984365
