milliseconds,srci,srco,srca,srcc,Cbp_P_CSK,CSK_cytoplasm,PTP,PTP_pY789,Cbp,Cbp_P
0,1.0004252155122093,0.004282390676600821,1.4153495533869392e-06,2.8820134496722226e-11,3.176591564190932e-06,1.0000002501297094,1.003053681947921,-0.0003344792674876257,0.9999988681654775,-1.2923004116454143e-05
100,0.9983699060258239,-0.005926202977129444,-1.1689127247349416e-06,2.940868285785243e-11,9.342341122223621e-07,0.9999992057469146,0.998523602702898,0.0052934901258615335,0.9999767525195344,7.779681612151295e-07
200,1.0056401457180313,-0.0035347870936021596,-1.1795836368345005e-06,-2.7438387773239555e-11,-2.0927875092001327e-06,1.0000024643018401,0.9913014470594982,0.007021296484684725,0.9999947095765509,1.9171189011581072e-05
300,0.9960760017073158,0.0024806313932777112,-1.390694901127058e-06,4.5498089628691645e-11,-1.3960727676274778e-06,1.0000007061960225,0.9921525817648119,0.009071288602475724,0.9999773715531429,3.638229834948962e-05
400,0.9990735981003198,0.004187853607396265,7.217457226916834e-07,6.41597190580965e-11,1.6361144076690666e-06,0.9999981486311359,0.9874631441511591,0.011222449605771052,0.9999453544317353,5.08407768484645e-05
500,0.9983551743241134,0.006790820110812336,1.5099285404000494e-08,-4.24663173144718e-11,1.738503218402945e-06,0.9999982491575767,0.9841336357334843,0.020002307025528514,0.9999566409594606,4.338747490095728e-05
600,0.998084915602671,0.011765730759946386,1.31343686901248e-06,3.717316556668091e-11,2.412638783100017e-06,0.9999999643839672,0.9822972788512134,0.022352010041683926,0.9999319266470942,5.390343749665458e-05
700,0.9875650962211707,0.00519720083973983,-1.3621682170028334e-07,-5.907533752580468e-11,8.177490244305077e-07,0.9999971465563692,0.9788113871393912,0.020080544649458083,0.9999190570886982,7.379615023375222e-05
800,0.9929585221170282,0.004069336590008841,1.107559456819068e-06,-1.954833204126509e-11,3.3278106713700966e-06,0.9999956519527576,0.9712280213090387,0.02846593990663902,0.9999289931920948,7.102772019000001e-05
900,0.9960442266360691,0.009198139029112838,1.1344364818305416e-06,2.920855047510475e-11,2.204470053932808e-06,0.9999956482471353,0.9684825524669732,0.02745153198985035,0.9998999649778392,8.635730645077883e-05
1000,0.9854889105823579,0.01465576606495388,-2.2603840114740258e-08,1.4000416179945744e-11,1.718523537243133e-06,0.999997139580974,0.9689317149381296,0.03528952405061153,0.999908727558103,9.027075067350525e-05
1100,0.9772693342738034,0.018205751423192945,1.560040627195969e-06,7.269834436236843e-11,8.667412596244554e-06,0.9999957053030366,0.9658771752424422,0.03173475691135462,0.9998958129206718,0.0001103861440766851
1200,0.975796436761014,0.02093337737287471,1.5485853815748462e-06,5.80513952963582e-11,7.2688746315062106e-06,0.9999955103704663,0.9600920035186401,0.04050463993069228,0.9998774270262065,0.00011606216640644032
1300,0.9794919374422182,0.016865055550873483,-2.5386708834485237e-07,2.293810215200493e-11,8.610671134473461e-06,0.9999948313704432,0.9572520492482185,0.04127611437875738,0.9998627907987675,0.00012591828597081317
1400,0.9701690102821884,0.022694661013897655,8.082273099303334e-07,-4.833972001114556e-11,1.1508338745377943e-05,0.9999876989193223,0.958313678871511,0.043243510253585936,0.99987040853954,0.0001230438746779488
1500,0.9775742969080986,0.026264791541295317,2.8216683543980566e-07,-7.591910920179512e-11,8.818304950447431e-06,0.9999892438214524,0.9570756549688754,0.04275426416666488,0.9998513711328142,0.00013715327848647365
1600,0.9607554533607777,0.03354237160587973,1.5710943005087353e-06,4.9340857768193624e-11,1.5439035775880094e-05,0.9999848011730561,0.9543852360964575,0.051533585334221366,0.9998279248530748,0.000149104894456911
1700,0.962013798905497,0.04319779262367146,1.5694588399399176e-06,-6.041537593050746e-11,1.5769313648153637e-05,0.9999844309161164,0.9454641865367716,0.05253200943540557,0.9998262512683009,0.000147248663073105
1800,0.9637663307873412,0.03738390437046367,1.097695466241858e-06,-5.299126076290624e-11,1.6384894340916727e-05,0.9999855582773252,0.9485202215912747,0.052587418396582125,0.9998154272600394,0.00016298927938357728
1900,0.9555690860260971,0.043566999191944435,2.3819207498299697e-06,-2.6306138436028363e-11,1.38960777238453e-05,0.9999797064167092,0.9439728596525354,0.05317686538557295,0.9997927170035544,0.0001682085017440648
2000,0.9479831893899686,0.05511606228914759,3.421754967466809e-06,-3.5129467866338446e-12,2.1417636160520663e-05,0.9999806348545889,0.94169226537002,0.058327478910062486,0.9998002495307734,0.000180528691779557
2100,0.9524031446953232,0.04756466653386236,4.847054416024519e-06,-4.102787640010574e-11,1.9992753708811628e-05,0.9999796896243345,0.9364980972155762,0.062485399935963484,0.9997932849677379,0.00018002000636095874
2200,0.9407565280382496,0.057104293640232257,5.416975030765215e-06,2.288329892571962e-11,2.5226707216625023e-05,0.9999768655983657,0.9358607070239294,0.06185749562788862,0.9997736438723118,0.00019677055561261535
2300,0.9387375011799788,0.06258187051545769,4.3191713191451475e-06,6.537314487151944e-11,2.2846135445819156e-05,0.9999763027880223,0.933971793016823,0.06260090248579595,0.9997593893052427,0.00019996510566404593
