milliseconds,s53,s57,s58,s60,s61,s68,s72,s73,s81,s83,s85,s88,s89,s96,s98,s100,s101,s107,s109,s111,s122,s124,s135,s142,s144,s146,s147
0,0.0,5.0,0.0,5.0,100.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,100.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,100.0
100,0.003906429805132698,4.9958776235479965,0.004122376452002956,5.0,100.0,4.999784053560001,0.02144255334936235,0.4121590351559547,3.4050469066943077,3.4050469066943077,1.5949530933056943,5.0,0.0,4.975388511828164,4.975388511828164,0.044657826264199146,100.0,3.4050469066943077,3.4050469066943077,1.5949530933056943,4.936509542115516,4.936509542115516,0.06349045788448378,4.977032918310807,4.523600938064225,0.022967081689191128,100.0
200,0.009302986708408336,4.991761769619654,0.00823823038034484,5.0,100.0,5.001064756833688,0.071635306622707,0.6887054993271131,2.694840164184171,2.694840164184171,2.3051598358158305,5.0,0.0,4.951077317473948,4.951077317473948,0.11701144312059603,100.0,2.694840164184171,2.694840164184171,2.3051598358158305,4.8007451796206695,4.8007451796206695,0.1992548203793314,4.958177123974919,4.128682800342095,0.04182287602507843,100.0
300,0.017202474812477556,4.9876539852867605,0.012346014713238271,5.0,100.0,5.004856460609852,0.13629843538495567,0.8744697734577077,2.3240650349961895,2.3240650349961895,2.675934965003812,5.0,0.0,4.927082591112065,4.927082591112065,0.20381617824857653,100.0,2.3240650349961895,2.3240650349961895,2.675934965003812,4.633584643213065,4.633584643213065,0.36641535678693693,4.943037035048312,3.796513595977713,0.056962964951685714,100.0
400,0.02736859734919003,4.983556042836119,0.01644395716388001,5.0,100.0,5.010924640686274,0.20718966046944623,0.9994235538712405,2.114402926570213,2.114402926570213,2.885597073429788,5.0,0.0,4.903409859396964,4.903409859396964,0.2965976443388993,100.0,2.114402926570213,2.114402926570213,2.885597073429788,4.453019323654613,4.453019323654613,0.5469806763453894,4.930796911077785,3.513251552063567,0.06920308892221202,100.0
500,0.039164992636324024,4.979469397512547,0.02053060248745198,5.0,100.0,5.018634390649499,0.27956903726463445,1.08363412654352,1.9904592226574154,1.9904592226574154,3.0095407773425853,5.0,0.0,4.880057954542269,4.880057954542269,0.39003553287981463,100.0,1.9904592226574154,1.9904592226574154,3.0095407773425853,4.268351107466854,4.268351107466854,0.731648892533147,4.920744015769108,3.268812973638181,0.07925598423088882,100.0
600,0.05192279261365541,4.975395044479,0.024604955521000352,5.0,100.0,5.027317837591745,0.35074623864445503,1.1405572303879978,1.9152647033015082,1.9152647033015082,3.0847352966984927,5.0,0.0,4.857021619223966,4.857021619223966,0.48088862969054946,100.0,1.9152647033015082,1.9152647033015082,3.0847352966984927,4.0848585418635635,4.0848585418635635,0.9151414581364381,4.912342646725128,3.0558110909361544,0.08765735327486976,100.0
700,0.0650788819043384,4.971333544814414,0.02866645518558661,5.0,100.0,5.036412427217704,0.41923852144462137,1.17922718983195,1.8689175834150793,1.8689175834150793,3.1310824165849223,5.0,0.0,4.834293216922138,4.834293216922138,0.5672787727173503,100.0,1.8689175834150793,1.8689175834150793,3.1310824165849223,3.905724255088801,3.905724255088801,1.0942757449112008,4.905204335127844,2.868754206743899,0.09479566487215371,100.0
800,0.07820911431165228,4.967285110256258,0.03271488974374099,5.0,100.0,5.04549422506617,0.48427968456834086,1.205712559260758,1.8400854059498095,1.8400854059498095,3.1599145940501923,5.0,0.0,4.811863843434367,4.811863843434367,0.6482151191330037,100.0,1.8400854059498095,1.8400854059498095,3.1599145940501923,3.7329439859999387,3.732943985999938,1.2670560140000637,4.899047385490284,2.7034819537778874,0.10095261450971382,100.0
900,0.09101866322852946,4.963249696069037,0.03675030393096125,5.0,100.0,5.0542683597952855,0.5455284176204755,1.2240923452605803,1.8220331371425673,1.822033137142567,3.1779668628574345,5.0,0.0,4.789724045931467,4.789724045931467,0.723276272514265,100.0,1.8220331371425673,1.822033137142567,3.1779668628574345,3.567802673103428,3.567802673103427,1.4321973268965742,4.8936650730609275,2.556775631689409,0.10633492693907003,100.0
1000,0.10331748258565242,4.959227082580061,0.04077291741993697,5.0,100.0,5.06254456566356,0.6028950451257122,1.237108751409524,1.8106787285765336,1.8106787285765333,3.189321271423468,5.0,0.0,4.767864277277286,4.767864277277286,0.7923994758382706,100.0,1.8106787285765336,1.8106787285765333,3.189321271423468,3.411130065044039,3.411130065044038,1.5888699349559634,4.888902959562787,2.4260908439988826,0.11109704043720973,100.0
1100,0.11499414317466643,4.9552169388139315,0.04478306118606688,5.0,100.0,5.070211082486382,0.6564395413392912,1.2465982148701726,1.8035343669869075,1.8035343669869073,3.1964656330130943,5.0,0.0,4.746275170062276,4.746275170062276,0.8557434326511685,100.0,1.8035343669869075,1.8035343669869073,3.1964656330130943,3.263444234591009,3.263444234591008,1.7365557654089936,4.884643831466671,2.309376389807864,0.11535616853332634,100.0
1200,0.1259937265563902,4.951218869772561,0.0487811302274365,5.0,100.0,5.07721259682674,0.7063057254303143,1.2537919415724645,1.7990227722209844,1.7990227722209842,3.200977227779018,5.0,0.0,4.72494770635778,4.72494770635778,0.9135945197673446,100.0,1.7990227722209844,1.7990227722209842,3.200977227779018,3.12504178263831,3.1250417826383092,1.8749582173616917,4.880797333874643,2.2049448436704755,0.11920266612535345,100.0
1300,0.1362997878989952,4.947232449844631,0.0527675501553662,5.0,100.0,5.083532238241428,0.7526833686082224,1.2595122038713176,1.7961774212873483,1.796177421287348,3.203822578712654,5.0,0.0,4.703873305728778,4.703873305728778,0.9663075365239704,100.0,1.7961774212873483,1.796177421287348,3.203822578712654,2.996043642786281,2.99604364278628,2.003956357213721,4.877292546757707,2.11138389353445,0.12270745324228981,100.0
1400,0.1459211662433767,4.943257245263966,0.056742754736031895,5.0,100.0,5.0891784120051335,0.795784366412449,1.2643056386114366,1.794378361860026,1.7943783618600258,3.2056216381399762,5.0,0.0,4.683043866049844,4.683043866049844,1.014267217866593,100.0,1.794378361860026,1.7943783618600258,3.2056216381399762,2.8764309586565937,2.876430958656593,2.123569041343408,4.874073209398712,2.027493708203726,0.12592679060128512,100.0
1500,0.15488251306234832,4.939292828813763,0.060707171186234664,5.0,100.0,5.094175342373907,0.8358278500847299,1.2685340221152586,1.7932417471477318,1.7932417471477315,3.20675825285227,5.0,0.0,4.662451774292129,4.662451774292129,1.0578636098631098,100.0,1.7932417471477318,1.7932417471477315,3.20675825285227,2.7660655506213057,2.766065550621305,2.233934449378696,4.871094032278052,1.9522414332993785,0.12890596772194635,100.0
1600,0.16321766455597614,4.9353387889103075,0.06466121108969014,5.0,100.0,5.098556453964078,0.8730314444693487,1.2724345478408208,1.792523524270368,1.7925235242703679,3.2074764757296337,5.0,0.0,4.642089897289648,4.642089897289648,1.097477243406428,100.0,1.792523524270368,1.7925235242703679,3.2074764757296337,2.664709655605441,2.6647096556054404,2.335290344394561,4.86831820835228,1.8847286211324177,0.13168179164771804,100.0
1700,0.17096523193574023,4.931394734803521,0.06860526519647601,5.0,100.0,5.102359967237057,0.907605833124311,1.2761609404686318,1.7920680434666898,1.7920680434666896,3.2079319565333124,5.0,0.0,4.62195156179302,4.62195156179302,1.133470307364288,100.0,1.7920680434666898,1.7920680434666896,3.2079319565333124,2.572042199648634,2.5720421996486333,2.427957800351368,4.865715536137692,1.8241669259008468,0.1342844638623057,100.0
1800,0.1781656598651964,4.927460299232709,0.07253970076728933,5.0,100.0,5.105625959595707,0.9397517401477814,1.2798109800079365,1.791779529394501,1.7917795293945007,3.2082204706055015,5.0,0.0,4.602030528142927,4.602030528142927,1.1661819530050699,100.0,1.791779529394501,1.7917795293945007,3.2082204706055015,2.487674326587556,2.487674326587555,2.512325673412446,4.863261005733987,1.7698598445850244,0.1367389942660112,100.0
1900,0.18485921634728622,4.923535139600294,0.07646486039970386,5.0,100.0,5.1083943564453875,0.9696581446981459,1.2834462483740643,1.7915993863870803,1.79159938638708,3.2084006136129224,5.0,0.0,4.582320961437132,4.582320961437133,1.1959258568381999,100.0,1.7915993863870803,1.79159938638708,3.2084006136129224,2.411164959840582,2.411164959840581,2.58883504015942,4.860933690089535,1.721188122047043,0.13906630991046298,100.0
2000,0.19108487427503065,4.919618937787352,0.08038106221264713,5.0,100.0,5.110703812560191,0.9975017024259004,1.2871042019241135,1.791487271555511,1.7914872715555108,3.208512728444491,5.0,0.0,4.562817401125056,4.562817401125057,1.2229899264547142,100.0,1.791487271555511,1.7914872715555108,3.208512728444491,2.3420366092358447,2.342036609235844,2.657963390764157,4.858716013558635,1.6775989688190711,0.14128398644136314,100.0
2100,0.19687979661529945,4.915711399130281,0.08428860086971796,5.0,100.0,5.112591196243388,1.0234468539501602,1.2908053266564912,1.7914146589424804,1.7914146589424802,3.2085853410575216,5.0,0.0,4.543514730944234,4.543514730944235,1.2476372514260519,100.0,1.7914146589424804,1.7914146589424802,3.2085853410575216,2.279789389339339,2.2797893893393377,2.720210610660663,4.856593178330044,1.6385978188601187,0.14340682166995372,100.0
2200,0.20227896215362018,4.911812251319639,0.08818774868035903,5.0,100.0,5.114091213971066,1.0476460157652325,1.2945591261166425,1.7913668074776037,1.7913668074776035,3.2086331925223983,5.0,0.0,4.524408150932885,4.524408150932886,1.2701071589428345,100.0,1.7913668074776037,1.7913668074776035,3.2086331925223983,2.2239127016310447,2.2239127016310434,2.776087298368958,4.854552595544704,1.6037409295664513,0.14544740445529356,100.0
2300,0.207314912139511,4.907921243224808,0.09207875677519081,5.0,100.0,5.115236155862125,1.070239928148208,1.2983687836990343,1.7913374247418359,1.7913374247418357,3.208662575258166,5.0,0.0,4.505493151149374,4.505493151149375,1.290616449128057,100.0,1.7913374247418359,1.7913374247418357,3.208662575258166,2.173896435008391,2.17389643500839,2.8261035649916115,4.852583460033134,1.5726289917967522,0.14741653996686366,100.0
2400,0.21201770184173377,4.9040381435141285,0.09596185648587112,5.0,100.0,5.116055845853667,1.0913582721168131,1.302233792047728,1.791320269395158,1.7913202693951578,3.2086797306048433,5.0,0.0,4.486765486867112,4.486765486867113,1.3093610175026271,100.0,1.791320269395158,1.7913202693951578,3.2086797306048433,2.1292410583058032,2.1292410583058015,2.8707589416941994,4.8506764943099885,1.5449020796724557,0.1493235056900099,100.0
2500,0.21641501679513261,4.9001627391375315,0.0998372608624679,5.0,100.0,5.116577756430469,1.1111204346734258,1.3061511213078496,1.7913084732283775,1.7913084732283773,3.2086915267716236,5.0,0.0,4.46822115545936,4.468221155459361,1.326517697505454,100.0,1.7913084732283775,1.7913084732283773,3.2086915267716236,2.0894648939589024,2.0894648939589007,2.9105351060411,4.848823734000445,1.5202355683743043,0.15117626599955386,100.0
2600,0.2205323223084146,4.896294833877643,0.10370516612235663,5.0,100.0,5.116827156683862,1.1296362227281027,1.3101161031236763,1.79129979575602,1.7912997957560197,3.2087002042439816,5.0,0.0,4.449856375413952,4.449856375413953,1.342245974518714,100.0,1.79129979575602,1.7912997957560197,3.2087002042439816,2.054108684535521,2.054108684535519,2.9458913154644817,4.84701827988305,1.4983364471651717,0.1529817201169487,100.0
2700,0.2243929822110749,4.892434247053974,0.10756575294602522,5.0,100.0,5.116827229762854,1.1470065058851093,1.314123354688688,1.7912952728685583,1.791295272868558,3.2087047271314435,5.0,0.0,4.431667567395772,4.431667567395773,1.3566894931850078,100.0,1.7912952728685583,1.791295272868558,3.2087047271314435,2.0227394861677457,2.022739486167744,2.977260513832257,4.845254112248735,1.47893996108174,0.15474588775126424,100.0
2800,0.22801838235710684,4.888580812310543,0.1114191876894557,5.0,100.0,5.116599195165455,1.1633238701982842,1.3181673626923673,1.7912935066356361,1.791293506635636,3.2087064933643656,5.0,0.0,4.413651336937903,4.413651336937904,1.3699774977885437,100.0,1.7912935066356361,1.791293506635636,3.2087064933643656,1.9949539356849626,1.9949539356849608,3.0050460643150405,4.843525998280123,1.461806735248006,0.15647400171987663,100.0
