miliseconds,ADPi,ATPi,Cri,PCri,PCr,ADP,ATP,Cr,P_ii,P_i,tmito
0,38.02408040697093,5626.936588168425,9814.39807313237,5723.218604720856,5721.072269387381,63.68282824698363,5601.9093642147855,9778.887525861157,921.0426193756379,947.4197695360616,0.0
100,50.27835730623695,5615.91159561371,9895.432811820952,5628.159571623181,5620.164011912215,84.98303099491261,5578.447235778826,9873.87187670964,1077.6506296302302,991.7691452872305,0.0
200,49.78056000423102,5613.1832071784875,9961.065331050424,5510.436756482377,5538.467728385328,88.4687842862152,5576.166487877049,10039.097939273219,1110.4457026646467,1109.6902203895174,0.0
300,52.02720588978625,5613.197342503206,10066.71537611651,5383.332736193205,5387.328049895317,91.4418372639059,5573.022640085418,10061.18901945316,1210.7333374340733,1257.1915384317692,0.0
400,53.3397296191095,5611.212646925671,10220.000199401677,5277.94651073954,5315.859643691272,91.86943311420518,5573.746888602093,10218.75513726828,1307.450009093741,1359.049748225048,0.0
500,51.82506680068289,5611.442328826806,10351.599459957752,5146.0183123157,5156.792201460878,95.03946172495348,5569.55116387293,10284.29287545961,1428.0683304415297,1516.4070895198122,0.0
600,55.84099612963708,5611.334792351335,10429.611543975134,5085.937356058151,5064.691618596088,96.50893632470772,5568.4493682557795,10394.904675398719,1556.3112808870496,1579.098147737486,0.0
700,54.76510964353684,5610.042782752482,10479.408843396866,4972.051856804323,4958.826897370434,97.84749614650028,5565.538699707659,10462.15705605694,1642.576733164122,1657.911874719834,0.0
800,57.95736586847939,5610.161328860906,10649.232637478768,4872.5598092976425,4938.250731765553,103.11389802615697,5566.260818569584,10591.464542765834,1722.5741181005767,1778.6357724889403,0.0
900,57.23543612022977,5606.044033274744,10705.659376714888,4784.499952218807,4765.678791800162,102.53971530391334,5562.19472074254,10712.58688782176,1807.9438599527439,1826.8183501509134,0.0
1000,57.92818335503849,5606.330605248701,10815.570890790548,4662.488625162066,4676.133185593961,106.42836484185146,5558.799018909641,10771.670868963787,1986.4043811798404,2003.0117641427635,0.0
1100,61.99343789345424,5602.8029994055205,10862.529991747051,4614.250626885401,4643.571745139478,106.70551462598442,5556.305128378678,10928.062555123626,1999.1817189332505,2020.8977710757501,0.0
1200,61.09594891234845,5604.520028008787,10976.134086120523,4560.083940274097,4528.917158338947,109.99660495104395,5556.044461184032,10972.833531550246,2097.7697712417635,2081.4529665811983,0.0
1300,63.059599973892084,5600.947539703843,11021.539948826916,4476.056554589185,4412.1906911337865,114.07785348794334,5553.980411535704,11022.015391352788,2265.103290160915,2181.6763595583357,0.0
1400,64.91662741284566,5601.408608019828,11083.986518256914,4358.211962865588,4361.370121656147,114.6076286980681,5548.973333529609,11089.02442152513,2270.6558601382862,2324.796815365717,0.0
1500,65.34990800630476,5598.720383658145,11175.850823764136,4301.5489590819325,4333.07787681241,120.0828908573552,5547.5728705898055,11225.719950140885,2438.7563193554465,2394.331977196254,0.0
1600,69.87261233063491,5596.290674312037,11322.769340098308,4253.562648624504,4151.585772799968,121.98025518401137,5546.411383783359,11317.980419906526,2449.283600560579,2470.6772425944055,0.0
1700,71.09795652454089,5595.748651898072,11328.268845704191,4174.536312797611,4110.330016565287,123.50782447786612,5543.096155405724,11393.147268133374,2570.3535131013546,2576.4744922993527,0.0
1800,70.55265124771266,5593.966813854613,11498.109484202649,3999.5807389266083,4008.036460174664,127.92077553030101,5540.036775252085,11411.691248950125,2658.2702445565096,2614.9534888798776,0.0
1900,72.74292954422285,5590.898084331032,11494.761040818612,3967.2473325426427,3985.2447472672584,130.77127345208797,5537.1063063899655,11568.966767991205,2709.2867289442083,2756.9810194196525,0.0
2000,77.2777806953311,5587.424082710613,11625.621018914791,3938.6605083026557,3847.606166678181,130.76603393196493,5535.45741305898,11625.868291644592,2778.5342345970175,2749.070125683769,0.0
2100,79.02325828433818,5587.430560596996,11713.378457737697,3871.5564696252504,3818.3870399138696,132.83686135452984,5533.078717107618,11680.052314493598,2903.5625052123874,2876.078938920707,0.0
2200,78.88694461251332,5583.707402033132,11695.802977578223,3793.448558587464,3731.5383181878433,138.31207758509746,5526.238031737791,11745.959644480963,2982.056771847803,2916.527715875996,0.0
2300,81.0353078240132,5582.180555599991,11780.686583857756,3656.067349281549,3636.3733122484364,140.93940964494587,5527.320286059923,11863.477333162306,2971.8698773834303,3020.313481594953,0.0
2400,85.21573557936624,5581.463787433524,11874.018071847335,3620.7142518942783,3565.420929123291,143.43642152394017,5522.127885913483,11887.932063005352,3077.430244908792,3037.7134043931856,0.0
2500,87.0622266092255,5578.412892706801,11964.075197662087,3506.701221963968,3589.643488190656,144.1182998347063,5517.69713558472,11947.87685776775,3114.6485223179266,3171.729091008823,0.0
2600,90.03885753949878,5574.640289321616,11979.751925142955,3524.6184316314757,3452.4334457734553,147.8451925097654,5516.06533932264,12053.26506653623,3167.747227476015,3264.58368736692,0.0
2700,92.64835156203624,5572.755154221439,12039.285927397437,3422.2773069570803,3440.3292657914853,150.92898616343032,5512.27762343468,12131.77609019886,3330.369356671235,3259.3206938621,0.0
2800,94.73364572500505,5570.9239534483695,12112.54559455139,3401.7068411791374,3334.071085197109,155.1710093509653,5509.345939806145,12199.673038553423,3330.971808908171,3395.7944943016028,0.0
2900,97.7008612106112,5567.843140144578,12213.529943576272,3243.427064167259,3244.961518960103,157.37722295009786,5503.952915186639,12246.460894814429,3465.7418935952123,3397.2540855694383,0.0
3000,99.54378754741705,5564.875960893694,12314.735804803622,3273.9742062216765,3256.197269205434,162.80039645542394,5501.710300759627,12240.862680145943,3466.1998442119175,3474.3714890806514,0.0
3100,102.4826135416088,5562.879039859864,12363.478630850534,3199.7554769698468,3159.2416467599924,166.09921513000776,5500.893857422397,12282.827946889814,3528.3365650607925,3520.242741195039,0.0
3200,104.31225366505065,5561.37417731817,12433.875311170068,3117.810609703992,3134.8894804842166,170.85572445399282,5494.94104012597,12393.253318109882,3562.3035238725224,3659.282691045797,0.0
3300,107.4576265038356,5557.884670856191,12411.504317414365,3064.706873399102,3033.7957341735723,171.9820998043082,5494.134560251907,12450.658586849979,3667.9602378458635,3642.8395037117907,0.0
3400,108.56783373179074,5556.044159796959,12510.89910293999,3000.7610284382486,3015.4118301882922,176.009365916449,5488.462915721693,12530.841489162933,3764.2182920415403,3700.2299919223356,0.0
3500,111.37313954954088,5552.194176707459,12541.404826532094,2930.0707869139105,2909.4669584517574,181.0178301329004,5485.064071740138,12601.435196207804,3740.848737461755,3746.16023607268,0.0
3600,115.7712633050669,5548.942527564672,12622.494382460116,2884.5943713290217,2918.6148251022346,184.84079300077576,5482.726846897821,12615.036611236861,3810.3698070574173,3839.182383699954,0.0
3700,118.80524037984678,5544.451007248287,12643.91750738027,2791.0674721213236,2817.8463262278283,186.72217187083385,5477.6018437347375,12635.65505367009,3956.223317466509,3919.5774912379143,0.0
3800,123.70287087368148,5541.439767511258,12697.762806891016,2789.164501785452,2801.5831839593934,189.67469417307842,5473.587362850471,12753.854259412654,3951.0973594041748,3945.0253079250983,0.0
3900,124.07267558313221,5539.213639305133,12742.892169053302,2733.1069978113965,2711.415617969773,193.4325686782302,5470.150350567536,12798.714177586315,4008.0381335635134,3998.43451355061,0.0
4000,127.62720272130534,5534.393778441563,12801.756050893493,2702.505514884084,2665.6438925220414,196.37443685937146,5467.313509642358,12797.369891242231,4126.353834033597,4072.310422134362,0.0
4100,130.66514948183826,5532.567734639446,12862.700501849004,2578.1869927425732,2586.2367721426945,203.72143804222085,5463.250241959512,12890.407811131892,4143.203763187484,4100.410008860065,0.0
4200,135.7605059782059,5530.740631844193,12886.409339933913,2599.035192289472,2533.316928205006,205.45985556657402,5458.284283585852,12901.96231284138,4170.624675323855,4198.067396475094,0.0
4300,137.93342225568267,5527.325477288194,12948.70913957201,2536.514476071794,2552.038417251927,209.38295818293807,5455.547102621942,13015.58060915743,4196.1092980842795,4221.717577358063,0.0
4400,142.2939834692684,5521.603219789543,13045.269009748745,2504.9868621652117,2472.9364197712707,213.4145337745182,5451.340598077546,13037.536918606762,4325.59134386094,4300.312645107868,0.0
4500,147.1145349602824,5519.433243203229,13107.353999932036,2464.582969710971,2436.663511017087,220.18234718127627,5444.603394127008,13124.35667241298,4363.256221688559,4355.389558205407,0.0
4600,149.01873170956432,5514.78108144349,13135.702610198407,2388.331396114459,2426.7707601993948,225.2517193689191,5440.58309004191,13114.78185801918,4407.725830117914,4417.81420335923,0.0
4700,153.6009711512487,5511.53542984746,13210.461292783511,2301.8827707156506,2298.479237264482,226.58929799256254,5435.555247207235,13139.896635195671,4455.688929324487,4453.127571559447,0.0
4800,157.08793057691088,5507.054586044737,13205.94183920231,2296.0158715944685,2251.3572728714944,234.4280380086977,5432.305225790663,13191.216019847718,4540.931770448694,4495.6667926720265,0.0
4900,163.88080670452507,5502.626398674334,13272.116966050975,2220.9537602733126,2203.211720451206,239.62008541329553,5427.846154223154,13297.670992907695,4536.523887018377,4529.112602784217,0.0
5000,165.42490871934777,5498.094254547507,13325.503894714364,2203.6258357667443,2205.1972939749194,240.558393276726,5421.103319499005,13326.318512255599,4634.239442095714,4556.321335821246,0.0
