miliseconds,ADPi,ATPi,Cri,PCri,PCr,ADP,ATP,Cr,P_ii,P_i,tmito
0,38.89133119056221,5625.90680926116,9786.496976249018,5712.700723724512,5712.039875045208,63.52105953830262,5600.526915810536,9789.060927383,909.1098642931423,912.2446485280325,0.0
100,49.974549990297774,5614.976357140641,9882.799412101114,5611.501067069148,5613.023069339944,85.71843301552452,5579.556224908676,9887.645695124123,1025.9700190137507,1032.2817767975978,0.0
200,51.151146816294485,5613.950709089299,9998.119383067231,5505.556201374111,5501.360165250857,87.96032423650462,5577.471754998552,9999.545412540312,1137.9339320928273,1140.5680675325718,0.0
300,51.5204247783645,5613.340225882931,10102.931099659483,5392.151152734098,5391.136227792489,90.17372579246036,5575.429301045415,10107.843395367277,1251.8339685577905,1251.0780369339461,0.0
400,52.21423279360387,5613.009072948348,10208.604806643569,5291.165810981718,5286.385286028866,91.69895089405581,5573.70129632491,10212.601606664928,1353.9104204670994,1362.6407302047335,0.0
500,53.64463032685797,5611.591172186769,10309.813140456788,5188.420747520766,5187.326837029122,94.28672113262506,5570.792749296281,10312.030824127416,1460.0742824224803,1466.7389879448906,0.0
600,54.23894395723072,5610.923915853411,10413.47266186075,5086.301160204643,5087.086265664092,96.46175139389604,5568.318675075796,10411.654318476601,1565.674948150855,1566.534937575722,0.0
700,55.193584818956424,5609.226480455935,10505.726259505738,4991.230722889292,4988.811396751367,98.19977355424295,5566.512803050129,10510.696913622856,1664.131930379092,1665.0745899895062,0.0
800,56.36308956190617,5608.444321765809,10603.707140840606,4895.7339475301005,4894.522013879625,101.48094115841744,5564.665401512122,10604.712873228144,1756.7881694670539,1763.2403802670701,0.0
900,57.600868115885824,5606.912739995531,10697.533240979565,4800.418212720424,4800.912974588161,103.45746822097844,5562.388716867209,10700.360915991128,1851.6379867728508,1855.623805502989,0.0
1000,59.41240075968398,5606.131675979904,10788.777662325921,4708.84814618055,4710.224400582058,106.06966673630303,5559.890655273096,10789.756321328172,1948.8386369201555,1948.88356545412,0.0
1100,60.86117301400508,5604.475421329886,10874.19175560074,4620.405805035974,4623.870344142138,108.54313597234702,5557.613309375223,10876.276917572104,2036.4091522814456,2045.2816509270604,0.0
1200,62.03573045695887,5602.891387937755,10961.765169048082,4532.57204886316,4533.367242769718,110.49542243268873,5554.521311417003,10962.369971756945,2126.014701726778,2131.4325665149745,0.0
1300,63.43574596571732,5601.653908903899,11051.17986640899,4447.788078459838,4446.716608881205,112.6151287799813,5551.888857522664,11048.878674168833,2212.855307469982,2218.4952676831595,0.0
1400,65.03705433510484,5599.913258674628,11129.645994496595,4364.870365300029,4362.438297974468,115.44101368256122,5549.2944736017425,11136.567985820047,2302.4227336023405,2308.2828256079047,0.0
1500,66.5186671855238,5597.901507447591,11212.094677636638,4285.8802964305,4280.783286546838,118.25133556530909,5547.026129111172,11215.46230760363,2385.5467824167627,2392.5126796195714,0.0
1600,68.69648883935889,5596.528903765686,11296.388024742913,4203.548986102984,4200.684875247692,120.77475545676106,5544.974014493283,11298.137521638193,2467.5629024374634,2473.833408063534,0.0
